Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,38299.80,316.50,20475.20,42923.60,ABG
2021-01-01 00:01:00,38299.90,316.70,20475.40,42923.30,ABG
2021-01-01 00:02:00,38300.10,316.60,20475.40,42923.10,ABG
2021-01-01 00:03:00,38300.10,316.70,20475.40,42923.30,ABG
2021-01-01 00:04:00,38300.10,316.80,20475.50,42923.60,ABG
2021-01-01 00:05:00,38300.30,317.00,20475.40,42923.60,ABG
2021-01-01 00:06:00,38300.10,316.60,20475.10,42923.80,ABG
2021-01-01 00:07:00,38299.90,316.30,20475.00,42923.80,ABG
2021-01-01 00:08:00,38299.80,316.30,20475.00,42923.80,ABG
2021-01-01 00:09:00,38299.90,316.60,20475.20,42923.80,ABG
2021-01-01 00:10:00,38300.00,316.70,20475.60,42923.80,ABG
2021-01-01 00:11:00,38300.10,317.10,20475.70,42923.80,ABG
2021-01-01 00:12:00,38300.00,317.20,20475.70,42923.60,ABG
2021-01-01 00:13:00,38300.00,317.10,20475.70,42923.60,ABG
2021-01-01 00:14:00,38300.10,317.10,20475.70,42923.80,ABG
2021-01-01 00:15:00,38300.10,317.10,20475.90,42923.80,ABG
2021-01-01 00:16:00,38300.10,317.10,20475.70,42923.80,ABG
2021-01-01 00:17:00,38300.10,317.00,20475.50,42923.60,ABG
2021-01-01 00:18:00,38300.10,316.80,20475.50,42923.60,ABG
2021-01-01 00:19:00,38300.30,316.70,20475.20,42923.60,ABG
2021-01-01 00:20:00,38300.40,316.50,20475.10,42923.60,ABG
2021-01-01 00:21:00,38300.50,316.30,20475.00,42923.60,ABG
2021-01-01 00:22:00,38300.50,316.00,20474.70,42923.60,ABG
2021-01-01 00:23:00,38300.50,316.00,20474.50,42923.80,ABG
2021-01-01 00:24:00,38300.60,315.50,20474.50,42924.10,ABG
2021-01-01 00:25:00,38300.50,315.50,20474.40,42924.10,ABG
2021-01-01 00:26:00,38300.50,315.20,20474.40,42924.10,ABG
2021-01-01 00:27:00,38300.60,315.50,20474.50,42924.10,ABG
2021-01-01 00:28:00,38300.60,315.50,20474.50,42924.30,ABG
2021-01-01 00:29:00,38300.80,315.50,20474.60,42924.30,ABG
2021-01-01 00:30:00,38300.90,315.50,20475.00,42924.30,ABG
