Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,11246.60,1907.90,52193.70,53425.80,ABK
2021-01-01 00:01:00,11246.40,1908.40,52194.10,53426.00,ABK
2021-01-01 00:02:00,11246.60,1908.20,52194.20,53426.30,ABK
2021-01-01 00:03:00,11246.60,1908.00,52194.50,53426.60,ABK
2021-01-01 00:04:00,11246.30,1907.60,52194.90,53426.80,ABK
2021-01-01 00:05:00,11245.80,1907.10,52195.10,53426.90,ABK
2021-01-01 00:06:00,11245.20,1906.00,52194.80,53426.50,ABK
2021-01-01 00:07:00,11245.00,1904.50,52194.20,53425.80,ABK
2021-01-01 00:08:00,11244.70,1903.80,52193.30,53424.80,ABK
2021-01-01 00:09:00,11243.90,1904.00,52192.80,53424.20,ABK
2021-01-01 00:10:00,11243.60,1905.30,52192.90,53424.20,ABK
2021-01-01 00:11:00,11244.40,1906.60,52193.30,53424.90,ABK
2021-01-01 00:12:00,11244.80,1906.90,52193.60,53425.30,ABK
2021-01-01 00:13:00,11244.70,1906.50,52193.70,53425.30,ABK
2021-01-01 00:14:00,11243.70,1906.20,52193.70,53425.10,ABK
2021-01-01 00:15:00,11243.10,1906.90,52194.30,53425.50,ABK
2021-01-01 00:16:00,11242.20,1907.80,52194.70,53425.80,ABK
2021-01-01 00:17:00,11242.40,1908.80,52195.40,53426.60,ABK
2021-01-01 00:18:00,11242.50,1909.60,52195.80,53427.00,ABK
2021-01-01 00:19:00,11243.50,1910.20,52196.50,53427.90,ABK
2021-01-01 00:20:00,11244.50,1910.20,52196.80,53428.40,ABK
2021-01-01 00:21:00,11245.20,1910.00,52197.30,53429.00,ABK
2021-01-01 00:22:00,11246.20,1909.00,52197.50,53429.40,ABK
2021-01-01 00:23:00,11246.80,1908.00,52197.70,53429.70,ABK
2021-01-01 00:24:00,11247.40,1907.40,52197.90,53430.00,ABK
2021-01-01 00:25:00,11247.00,1906.90,52197.50,53429.50,ABK
2021-01-01 00:26:00,11246.80,1906.30,52197.20,53429.20,ABK
2021-01-01 00:27:00,11246.80,1906.10,52197.10,53429.00,ABK
2021-01-01 00:28:00,11246.40,1906.10,52196.80,53428.60,ABK
2021-01-01 00:29:00,11246.40,1906.10,52196.70,53428.50,ABK
2021-01-01 00:30:00,11246.70,1906.10,52196.80,53428.70,ABK
2021-01-01 00:31:00,11247.30,1906.10,52197.00,53429.00,ABK
2021-01-01 00:32:00,11247.60,1905.90,52197.10,53429.10,ABK
2021-01-01 00:33:00,11247.20,1905.40,52196.90,53428.80,ABK
2021-01-01 00:34:00,11246.80,1905.10,52196.60,53428.40,ABK
2021-01-01 00:35:00,11246.30,1904.80,52196.30,53428.00,ABK
2021-01-01 00:36:00,11246.30,1905.10,52196.30,53428.10,ABK
2021-01-01 00:37:00,11246.40,1905.20,52196.40,53428.20,ABK
2021-01-01 00:38:00,11246.30,1905.40,52196.30,53428.10,ABK
2021-01-01 00:39:00,11246.20,1905.40,52196.30,53428.10,ABK
2021-01-01 00:40:00,11246.10,1905.30,52196.20,53428.00,ABK
2021-01-01 00:41:00,11246.10,1905.70,52196.40,53428.20,ABK
2021-01-01 00:42:00,11246.30,1906.00,52196.70,53428.60,ABK
2021-01-01 00:43:00,11246.60,1906.50,52197.10,53429.00,ABK
2021-01-01 00:44:00,11246.70,1906.60,52197.20,53429.10,ABK
2021-01-01 00:45:00,11246.70,1906.30,52197.30,53429.20,ABK
2021-01-01 00:46:00,11246.70,1905.90,52197.20,53429.10,ABK
2021-01-01 00:47:00,11246.40,1905.70,52197.10,53429.00,ABK
2021-01-01 00:48:00,11246.40,1905.80,52197.20,53429.00,ABK
2021-01-01 00:49:00,11246.20,1905.80,52197.20,53429.00,ABK
2021-01-01 00:50:00,11246.00,1906.00,52197.10,53428.90,ABK
2021-01-01 00:51:00,11245.90,1906.10,52197.10,53428.90,ABK
2021-01-01 00:52:00,11246.00,1906.20,52197.10,53428.90,ABK
2021-01-01 00:53:00,11246.20,1906.30,52197.00,53428.80,ABK
2021-01-01 00:54:00,11246.30,1906.60,52197.10,53428.90,ABK
2021-01-01 00:55:00,11246.20,1906.60,52197.10,53428.90,ABK
2021-01-01 00:56:00,11246.20,1907.00,52197.10,53428.90,ABK
2021-01-01 00:57:00,11246.30,1907.20,52197.10,53429.00,ABK
2021-01-01 00:58:00,11246.40,1907.40,52196.60,53428.50,ABK
2021-01-01 00:59:00,11246.20,1907.50,52196.20,53428.00,ABK
2021-01-01 01:00:00,11246.40,1907.80,52197.10,53429.00,ABK
2021-01-01 01:01:00,11246.60,1908.00,52197.20,53429.20,ABK
2021-01-01 01:02:00,11247.10,1908.00,52197.10,53429.20,ABK
2021-01-01 01:03:00,11247.50,1908.10,52197.20,53429.30,ABK
2021-01-01 01:04:00,11248.00,1908.20,52197.10,53429.40,ABK
2021-01-01 01:05:00,11248.20,1908.40,52197.00,53429.40,ABK
2021-01-01 01:06:00,11248.20,1908.70,52196.80,53429.10,ABK
2021-01-01 01:07:00,11248.30,1908.60,52196.50,53428.90,ABK
2021-01-01 01:08:00,11248.10,1908.50,52196.20,53428.60,ABK
2021-01-01 01:09:00,11247.90,1908.00,52195.80,53428.10,ABK
2021-01-01 01:10:00,11247.40,1907.90,52195.60,53427.70,ABK
2021-01-01 01:11:00,11246.90,1907.90,52195.50,53427.50,ABK
2021-01-01 01:12:00,11246.60,1907.60,52195.40,53427.40,ABK
2021-01-01 01:13:00,11246.40,1907.50,52195.30,53427.20,ABK
2021-01-01 01:14:00,11246.10,1907.50,52195.10,53427.00,ABK
2021-01-01 01:15:00,11245.80,1907.30,52195.20,53427.00,ABK
2021-01-01 01:16:00,11245.60,1906.90,52195.10,53426.90,ABK
2021-01-01 01:17:00,11245.60,1906.60,52194.30,53426.10,ABK
2021-01-01 01:18:00,11245.60,1906.40,52194.80,53426.50,ABK
2021-01-01 01:19:00,11245.70,1906.00,52195.00,53426.80,ABK
2021-01-01 01:20:00,11245.70,1905.60,52194.90,53426.70,ABK
2021-01-01 01:21:00,11245.60,1905.30,52194.80,53426.50,ABK
2021-01-01 01:22:00,11245.50,1904.90,52194.50,53426.20,ABK
2021-01-01 01:23:00,11245.30,1904.40,52194.40,53426.10,ABK
2021-01-01 01:24:00,11245.10,1904.00,52194.20,53425.80,ABK
2021-01-01 01:25:00,11244.40,1903.80,52193.90,53425.30,ABK
2021-01-01 01:26:00,11243.90,1903.90,52193.70,53425.10,ABK
2021-01-01 01:27:00,11243.40,1904.40,52193.80,53425.10,ABK
2021-01-01 01:28:00,11243.60,1905.20,52194.10,53425.40,ABK
2021-01-01 01:29:00,11244.00,1906.00,52194.40,53425.90,ABK
2021-01-01 01:30:00,11244.40,1906.60,52194.70,53426.20,ABK
2021-01-01 01:31:00,11244.80,1906.50,52194.70,53426.30,ABK
2021-01-01 01:32:00,11244.80,1906.30,52194.60,53426.20,ABK
2021-01-01 01:33:00,11244.90,1906.20,52194.60,53426.20,ABK
2021-01-01 01:34:00,11245.10,1906.30,52194.60,53426.20,ABK
2021-01-01 01:35:00,11245.40,1906.50,52194.50,53426.20,ABK
2021-01-01 01:36:00,11245.50,1906.80,52194.50,53426.30,ABK
2021-01-01 01:37:00,11245.60,1907.10,52194.60,53426.40,ABK
2021-01-01 01:38:00,11245.60,1907.40,52194.60,53426.40,ABK
2021-01-01 01:39:00,11245.60,1907.80,52194.70,53426.50,ABK
2021-01-01 01:40:00,11245.60,1907.90,52194.70,53426.50,ABK
2021-01-01 01:41:00,11245.70,1908.00,52194.70,53426.50,ABK
2021-01-01 01:42:00,11245.90,1908.20,52194.70,53426.60,ABK
2021-01-01 01:43:00,11246.10,1908.50,52194.60,53426.60,ABK
2021-01-01 01:44:00,11246.40,1908.50,52194.50,53426.60,ABK
2021-01-01 01:45:00,11246.50,1908.30,52194.50,53426.60,ABK
2021-01-01 01:46:00,11246.60,1908.20,52194.40,53426.50,ABK
2021-01-01 01:47:00,11246.70,1908.00,52194.30,53426.40,ABK
2021-01-01 01:48:00,11246.80,1907.60,52194.20,53426.30,ABK
2021-01-01 01:49:00,11246.70,1907.30,52194.00,53426.20,ABK
2021-01-01 01:50:00,11246.60,1907.40,52194.00,53426.10,ABK
2021-01-01 01:51:00,11246.50,1907.60,52194.20,53426.20,ABK
2021-01-01 01:52:00,11246.60,1907.40,52192.90,53425.00,ABK
2021-01-01 01:53:00,11246.30,1907.10,52193.60,53425.70,ABK
2021-01-01 01:54:00,11246.20,1907.20,52194.00,53426.00,ABK
2021-01-01 01:55:00,11246.30,1907.70,52194.10,53426.10,ABK
2021-01-01 01:56:00,11246.30,1907.90,52194.00,53426.10,ABK
2021-01-01 01:57:00,11246.40,1907.50,52194.00,53426.00,ABK
2021-01-01 01:58:00,11246.50,1907.70,52194.20,53426.30,ABK
2021-01-01 01:59:00,11246.50,1907.90,52194.30,53426.40,ABK
2021-01-01 02:00:00,11246.80,1908.00,52194.30,53426.40,ABK
2021-01-01 02:01:00,11247.00,1907.30,52194.10,53426.30,ABK
2021-01-01 02:02:00,11247.10,1906.70,52193.90,53426.00,ABK
2021-01-01 02:03:00,11247.10,1906.30,52193.70,53425.90,ABK
2021-01-01 02:04:00,11247.30,1906.10,52193.60,53425.80,ABK
2021-01-01 02:05:00,11247.20,1905.70,52193.40,53425.60,ABK
2021-01-01 02:06:00,11247.40,1905.40,52193.30,53425.50,ABK
2021-01-01 02:07:00,11247.50,1905.10,52193.10,53425.30,ABK
2021-01-01 02:08:00,11247.50,1904.90,52193.00,53425.20,ABK
2021-01-01 02:09:00,11247.60,1904.90,52192.90,53425.10,ABK
2021-01-01 02:10:00,11247.50,1904.70,52192.70,53424.90,ABK
2021-01-01 02:11:00,11247.30,1904.20,52192.50,53424.60,ABK
2021-01-01 02:12:00,11246.90,1904.10,52192.40,53424.40,ABK
2021-01-01 02:13:00,11246.70,1904.20,52192.30,53424.30,ABK
2021-01-01 02:14:00,11246.50,1904.40,52192.30,53424.30,ABK
2021-01-01 02:15:00,11246.30,1904.50,52192.30,53424.20,ABK
2021-01-01 02:16:00,11246.00,1904.70,52192.30,53424.10,ABK
2021-01-01 02:17:00,11245.70,1905.30,52192.40,53424.30,ABK
2021-01-01 02:18:00,11245.50,1906.10,52192.60,53424.40,ABK
2021-01-01 02:19:00,11245.60,1906.60,52192.70,53424.50,ABK
2021-01-01 02:20:00,11245.50,1907.20,52192.70,53424.60,ABK
2021-01-01 02:21:00,11245.70,1907.60,52192.80,53424.70,ABK
2021-01-01 02:22:00,11245.50,1908.00,52192.80,53424.70,ABK
2021-01-01 02:23:00,11245.50,1908.40,52192.80,53424.70,ABK
2021-01-01 02:24:00,11245.20,1908.60,52192.70,53424.60,ABK
2021-01-01 02:25:00,11245.10,1908.80,52192.60,53424.50,ABK
2021-01-01 02:26:00,11244.80,1908.90,52192.60,53424.50,ABK
2021-01-01 02:27:00,11245.00,1909.20,52192.80,53424.60,ABK
2021-01-01 02:28:00,11245.00,1909.40,52192.90,53424.70,ABK
2021-01-01 02:29:00,11245.00,1909.50,52192.90,53424.80,ABK
2021-01-01 02:30:00,11244.60,1909.40,52192.90,53424.70,ABK
2021-01-01 02:31:00,11244.70,1909.20,52192.90,53424.60,ABK
2021-01-01 02:32:00,11244.40,1909.10,52192.90,53424.60,ABK
2021-01-01 02:33:00,11244.60,1909.00,52192.80,53424.60,ABK
2021-01-01 02:34:00,11244.80,1909.30,52193.00,53424.80,ABK
2021-01-01 02:35:00,11244.90,1909.10,52192.90,53424.80,ABK
2021-01-01 02:36:00,11245.40,1909.20,52193.00,53424.90,ABK
2021-01-01 02:37:00,11245.50,1909.00,52193.00,53424.90,ABK
2021-01-01 02:38:00,11245.60,1908.80,52192.90,53424.90,ABK
2021-01-01 02:39:00,11245.60,1908.40,52192.80,53424.80,ABK
2021-01-01 02:40:00,11245.80,1907.70,52192.50,53424.60,ABK
2021-01-01 02:41:00,11245.90,1907.10,52192.30,53424.30,ABK
2021-01-01 02:42:00,11245.80,1906.50,52192.10,53424.10,ABK
2021-01-01 02:43:00,11245.90,1906.20,52192.00,53424.00,ABK
