Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,-46.70,-91.30,121.00,99999.00,AIA
2021-01-01 00:01:00,-46.80,-91.30,120.80,99999.00,AIA
2021-01-01 00:02:00,-47.10,-91.40,121.10,99999.00,AIA
2021-01-01 00:03:00,-46.10,-91.30,120.70,99999.00,AIA
2021-01-01 00:04:00,-47.60,-91.60,121.10,99999.00,AIA
2021-01-01 00:05:00,-47.50,-91.70,121.10,99999.00,AIA
2021-01-01 00:06:00,-48.00,-91.60,121.40,99999.00,AIA
2021-01-01 00:07:00,-47.70,-91.40,121.40,99999.00,AIA
2021-01-01 00:08:00,-47.80,-90.90,121.70,99999.00,AIA
2021-01-01 00:09:00,-47.50,-90.70,121.60,99999.00,AIA
2021-01-01 00:10:00,-47.70,-90.30,121.70,99999.00,AIA
2021-01-01 00:11:00,-46.20,-89.90,121.20,99999.00,AIA
2021-01-01 00:12:00,-46.40,-90.10,121.20,99999.00,AIA
2021-01-01 00:13:00,-46.20,-90.20,121.10,99999.00,AIA
2021-01-01 00:14:00,-45.80,-90.40,120.90,99999.00,AIA
2021-01-01 00:15:00,-46.30,-90.80,120.90,99999.00,AIA
2021-01-01 00:16:00,-46.80,-91.10,121.10,99999.00,AIA
2021-01-01 00:17:00,-47.10,-91.10,121.20,99999.00,AIA
2021-01-01 00:18:00,-47.10,-91.10,121.20,99999.00,AIA
2021-01-01 00:19:00,-47.10,-91.00,121.30,99999.00,AIA
2021-01-01 00:20:00,-47.80,-90.70,121.70,99999.00,AIA
2021-01-01 00:21:00,-46.90,-90.70,121.40,99999.00,AIA
2021-01-01 00:22:00,-47.30,-90.60,121.60,99999.00,AIA
2021-01-01 00:23:00,-47.00,-90.40,121.70,99999.00,AIA
2021-01-01 00:24:00,-48.20,-90.30,121.90,99999.00,AIA
2021-01-01 00:25:00,-47.70,-90.30,121.90,99999.00,AIA
2021-01-01 00:26:00,-48.10,-90.20,122.20,99999.00,AIA
2021-01-01 00:27:00,-48.90,-90.20,122.50,99999.00,AIA
2021-01-01 00:28:00,-48.60,-90.10,122.50,99999.00,AIA
2021-01-01 00:29:00,-49.20,-89.80,122.80,99999.00,AIA
2021-01-01 00:30:00,-48.80,-89.70,122.80,99999.00,AIA
2021-01-01 00:31:00,-48.50,-89.50,122.80,99999.00,AIA
2021-01-01 00:32:00,-48.00,-89.50,122.80,99999.00,AIA
2021-01-01 00:33:00,-48.00,-89.50,122.70,99999.00,AIA
2021-01-01 00:34:00,-48.00,-89.60,122.80,99999.00,AIA
2021-01-01 00:35:00,-48.30,-89.60,122.80,99999.00,AIA
2021-01-01 00:36:00,-48.60,-89.70,123.10,99999.00,AIA
2021-01-01 00:37:00,-48.80,-89.60,123.40,99999.00,AIA
2021-01-01 00:38:00,-48.60,-89.50,123.40,99999.00,AIA
2021-01-01 00:39:00,-48.40,-89.50,123.50,99999.00,AIA
2021-01-01 00:40:00,-48.60,-89.50,123.50,99999.00,AIA
2021-01-01 00:41:00,-48.80,-89.50,123.70,99999.00,AIA
2021-01-01 00:42:00,-48.50,-89.50,123.70,99999.00,AIA
2021-01-01 00:43:00,-48.50,-89.50,123.70,99999.00,AIA
2021-01-01 00:44:00,-48.20,-89.30,123.80,99999.00,AIA
2021-01-01 00:45:00,-48.10,-89.30,123.80,99999.00,AIA
2021-01-01 00:46:00,-48.70,-89.40,124.10,99999.00,AIA
2021-01-01 00:47:00,-49.50,-89.40,124.30,99999.00,AIA
2021-01-01 00:48:00,-50.00,-89.30,124.60,99999.00,AIA
2021-01-01 00:49:00,-49.90,-89.20,124.90,99999.00,AIA
2021-01-01 00:50:00,-49.70,-88.90,125.00,99999.00,AIA
2021-01-01 00:51:00,-49.60,-88.80,125.10,99999.00,AIA
2021-01-01 00:52:00,-49.60,-88.80,125.10,99999.00,AIA
2021-01-01 00:53:00,-50.60,-88.70,125.40,99999.00,AIA
2021-01-01 00:54:00,-50.20,-88.70,125.70,99999.00,AIA
2021-01-01 00:55:00,-50.30,-88.50,125.80,99999.00,AIA
2021-01-01 00:56:00,-50.00,-88.60,125.80,99999.00,AIA
2021-01-01 00:57:00,-49.80,-88.50,125.80,99999.00,AIA
2021-01-01 00:58:00,-49.70,-88.40,125.80,99999.00,AIA
2021-01-01 00:59:00,-49.60,-88.30,125.80,99999.00,AIA
2021-01-01 01:00:00,-49.50,-88.30,125.90,99999.00,AIA
2021-01-01 01:01:00,-49.30,-88.30,125.90,99999.00,AIA
2021-01-01 01:02:00,-49.20,-88.10,125.90,99999.00,AIA
2021-01-01 01:03:00,-49.10,-88.10,125.90,99999.00,AIA
2021-01-01 01:04:00,-48.90,-88.00,125.90,99999.00,AIA
2021-01-01 01:05:00,-48.80,-87.90,125.90,99999.00,AIA
2021-01-01 01:06:00,-48.90,-87.70,125.90,99999.00,AIA
2021-01-01 01:07:00,-48.90,-87.60,126.00,99999.00,AIA
2021-01-01 01:08:00,-49.00,-87.30,126.00,99999.00,AIA
2021-01-01 01:09:00,-48.80,-87.20,126.10,99999.00,AIA
2021-01-01 01:10:00,-49.00,-87.10,126.20,99999.00,AIA
2021-01-01 01:11:00,-49.10,-87.10,126.20,99999.00,AIA
2021-01-01 01:12:00,-49.00,-87.10,126.20,99999.00,AIA
2021-01-01 01:13:00,-48.90,-87.00,126.20,99999.00,AIA
2021-01-01 01:14:00,-48.70,-87.00,126.20,99999.00,AIA
2021-01-01 01:15:00,-48.60,-86.90,126.20,99999.00,AIA
2021-01-01 01:16:00,-49.00,-87.00,126.10,99999.00,AIA
2021-01-01 01:17:00,-49.00,-87.00,126.30,99999.00,AIA
2021-01-01 01:18:00,-48.80,-87.00,126.10,99999.00,AIA
2021-01-01 01:19:00,-48.70,-87.10,126.10,99999.00,AIA
2021-01-01 01:20:00,-48.80,-86.90,126.40,99999.00,AIA
2021-01-01 01:21:00,-49.00,-86.80,126.30,99999.00,AIA
2021-01-01 01:22:00,-48.50,-86.40,126.30,99999.00,AIA
2021-01-01 01:23:00,-48.40,-86.20,126.30,99999.00,AIA
2021-01-01 01:24:00,-48.60,-86.10,126.40,99999.00,AIA
2021-01-01 01:25:00,-48.10,-85.80,126.40,99999.00,AIA
2021-01-01 01:26:00,-48.30,-85.50,126.50,99999.00,AIA
2021-01-01 01:27:00,-48.50,-85.50,126.50,99999.00,AIA
2021-01-01 01:28:00,-48.60,-85.50,126.50,99999.00,AIA
2021-01-01 01:29:00,-48.80,-85.50,126.60,99999.00,AIA
2021-01-01 01:30:00,-48.80,-85.60,126.70,99999.00,AIA
2021-01-01 01:31:00,-49.10,-85.60,126.80,99999.00,AIA
2021-01-01 01:32:00,-48.70,-85.70,126.70,99999.00,AIA
2021-01-01 01:33:00,-48.90,-85.90,126.80,99999.00,AIA
2021-01-01 01:34:00,-49.00,-85.90,126.90,99999.00,AIA
2021-01-01 01:35:00,-48.90,-85.90,127.00,99999.00,AIA
2021-01-01 01:36:00,-48.80,-85.80,127.00,99999.00,AIA
2021-01-01 01:37:00,-48.50,-85.70,127.00,99999.00,AIA
2021-01-01 01:38:00,-48.20,-85.50,126.90,99999.00,AIA
2021-01-01 01:39:00,-48.30,-85.40,127.00,99999.00,AIA
2021-01-01 01:40:00,-47.90,-85.40,126.90,99999.00,AIA
2021-01-01 01:41:00,-47.70,-85.30,126.80,99999.00,AIA
2021-01-01 01:42:00,-47.60,-85.20,126.80,99999.00,AIA
2021-01-01 01:43:00,-47.50,-85.10,126.80,99999.00,AIA
2021-01-01 01:44:00,-47.50,-84.80,126.80,99999.00,AIA
2021-01-01 01:45:00,-47.50,-84.70,126.90,99999.00,AIA
2021-01-01 01:46:00,-47.80,-84.60,127.00,99999.00,AIA
2021-01-01 01:47:00,-47.80,-84.50,127.00,99999.00,AIA
2021-01-01 01:48:00,-47.90,-84.50,127.20,99999.00,AIA
2021-01-01 01:49:00,-47.90,-84.30,127.20,99999.00,AIA
2021-01-01 01:50:00,-48.00,-84.30,127.30,99999.00,AIA
2021-01-01 01:51:00,-47.80,-84.20,127.30,99999.00,AIA
2021-01-01 01:52:00,-48.00,-84.10,127.40,99999.00,AIA
2021-01-01 01:53:00,-47.80,-84.10,127.30,99999.00,AIA
2021-01-01 01:54:00,-48.10,-84.00,127.40,99999.00,AIA
2021-01-01 01:55:00,-48.40,-84.10,127.50,99999.00,AIA
2021-01-01 01:56:00,-48.50,-84.00,127.60,99999.00,AIA
2021-01-01 01:57:00,-48.50,-83.90,127.70,99999.00,AIA
2021-01-01 01:58:00,-48.50,-83.90,127.70,99999.00,AIA
2021-01-01 01:59:00,-48.50,-83.90,127.80,99999.00,AIA
2021-01-01 02:00:00,-48.30,-84.00,127.70,99999.00,AIA
2021-01-01 02:01:00,-48.60,-83.90,128.00,99999.00,AIA
2021-01-01 02:02:00,-48.50,-83.80,128.00,99999.00,AIA
2021-01-01 02:03:00,-48.90,-83.80,128.10,99999.00,AIA
2021-01-01 02:04:00,-49.20,-83.70,128.30,99999.00,AIA
2021-01-01 02:05:00,-49.30,-83.70,128.40,99999.00,AIA
2021-01-01 02:06:00,-49.10,-83.60,128.40,99999.00,AIA
2021-01-01 02:07:00,-48.90,-83.50,128.40,99999.00,AIA
2021-01-01 02:08:00,-48.80,-83.40,128.40,99999.00,AIA
2021-01-01 02:09:00,-48.60,-83.30,128.30,99999.00,AIA
2021-01-01 02:10:00,-48.10,-83.30,128.30,99999.00,AIA
2021-01-01 02:11:00,-48.00,-83.30,128.30,99999.00,AIA
2021-01-01 02:12:00,-47.90,-83.30,128.20,99999.00,AIA
2021-01-01 02:13:00,-47.80,-83.30,128.20,99999.00,AIA
2021-01-01 02:14:00,-47.50,-83.20,128.10,99999.00,AIA
2021-01-01 02:15:00,-47.00,-83.30,127.90,99999.00,AIA
2021-01-01 02:16:00,-46.80,-83.30,127.70,99999.00,AIA
2021-01-01 02:17:00,-46.60,-83.30,127.50,99999.00,AIA
2021-01-01 02:18:00,-46.40,-83.30,127.50,99999.00,AIA
2021-01-01 02:19:00,-46.20,-83.10,127.40,99999.00,AIA
2021-01-01 02:20:00,-45.90,-83.00,127.30,99999.00,AIA
2021-01-01 02:21:00,-45.40,-83.00,127.00,99999.00,AIA
2021-01-01 02:22:00,-45.20,-82.90,126.80,99999.00,AIA
2021-01-01 02:23:00,-45.40,-82.80,126.80,99999.00,AIA
2021-01-01 02:24:00,-45.30,-83.00,126.60,99999.00,AIA
2021-01-01 02:25:00,-45.30,-82.80,126.60,99999.00,AIA
2021-01-01 02:26:00,-45.20,-82.80,126.50,99999.00,AIA
2021-01-01 02:27:00,-45.10,-82.80,126.50,99999.00,AIA
2021-01-01 02:28:00,-45.00,-82.80,126.40,99999.00,AIA
2021-01-01 02:29:00,-44.70,-82.70,126.10,99999.00,AIA
2021-01-01 02:30:00,-44.90,-82.70,126.20,99999.00,AIA
2021-01-01 02:31:00,-45.30,-82.80,126.10,99999.00,AIA
2021-01-01 02:32:00,-45.90,-82.60,126.40,99999.00,AIA
2021-01-01 02:33:00,-46.40,-82.50,126.60,99999.00,AIA
2021-01-01 02:34:00,-46.80,-82.30,126.70,99999.00,AIA
2021-01-01 02:35:00,-47.10,-82.40,126.90,99999.00,AIA
2021-01-01 02:36:00,-47.60,-82.40,127.10,99999.00,AIA
2021-01-01 02:37:00,-48.10,-82.60,127.30,99999.00,AIA
2021-01-01 02:38:00,-48.60,-82.60,127.50,99999.00,AIA
2021-01-01 02:39:00,-48.90,-82.60,127.70,99999.00,AIA
2021-01-01 02:40:00,-49.20,-82.50,127.90,99999.00,AIA
2021-01-01 02:41:00,-49.40,-82.30,128.10,99999.00,AIA
2021-01-01 02:42:00,-49.30,-82.20,128.20,99999.00,AIA
2021-01-01 02:43:00,-49.20,-82.20,128.20,99999.00,AIA
2021-01-01 02:44:00,-49.20,-82.10,128.30,99999.00,AIA
2021-01-01 02:45:00,-49.20,-82.00,128.30,99999.00,AIA
2021-01-01 02:46:00,-49.20,-82.00,128.30,99999.00,AIA
2021-01-01 02:47:00,-49.10,-82.10,128.40,99999.00,AIA
2021-01-01 02:48:00,-49.30,-81.90,128.50,99999.00,AIA
2021-01-01 02:49:00,-49.00,-81.90,128.50,99999.00,AIA
2021-01-01 02:50:00,-49.00,-81.80,128.50,99999.00,AIA
2021-01-01 02:51:00,-48.90,-81.90,128.50,99999.00,AIA
2021-01-01 02:52:00,-49.00,-81.90,128.50,99999.00,AIA
2021-01-01 02:53:00,-49.00,-82.00,128.60,99999.00,AIA
2021-01-01 02:54:00,-49.10,-82.00,128.60,99999.00,AIA
2021-01-01 02:55:00,-49.20,-82.00,128.60,99999.00,AIA
2021-01-01 02:56:00,-49.30,-82.10,128.80,99999.00,AIA
2021-01-01 02:57:00,-49.20,-82.10,128.80,99999.00,AIA
2021-01-01 02:58:00,-49.30,-82.10,128.70,99999.00,AIA
2021-01-01 02:59:00,-49.40,-82.00,128.90,99999.00,AIA
2021-01-01 03:00:00,-49.50,-81.90,129.00,99999.00,AIA
2021-01-01 03:01:00,-49.40,-82.00,129.00,99999.00,AIA
2021-01-01 03:02:00,-49.40,-82.20,129.00,99999.00,AIA
2021-01-01 03:03:00,-49.40,-82.30,128.90,99999.00,AIA
2021-01-01 03:04:00,-49.20,-82.50,128.90,99999.00,AIA
2021-01-01 03:05:00,-49.10,-82.40,128.90,99999.00,AIA
2021-01-01 03:06:00,-49.30,-82.10,129.00,99999.00,AIA
2021-01-01 03:07:00,-48.80,-82.30,128.90,99999.00,AIA
2021-01-01 03:08:00,-48.40,-82.30,128.60,99999.00,AIA
2021-01-01 03:09:00,-48.20,-82.40,128.50,99999.00,AIA
2021-01-01 03:10:00,-47.80,-82.50,128.30,99999.00,AIA
2021-01-01 03:11:00,-47.60,-82.40,128.30,99999.00,AIA
2021-01-01 03:12:00,-47.60,-82.50,128.30,99999.00,AIA
2021-01-01 03:13:00,-47.60,-82.70,128.20,99999.00,AIA
2021-01-01 03:14:00,-47.80,-82.70,128.20,99999.00,AIA
2021-01-01 03:15:00,-47.90,-82.70,128.30,99999.00,AIA
2021-01-01 03:16:00,-48.20,-82.50,128.30,99999.00,AIA
2021-01-01 03:17:00,-48.20,-82.40,128.30,99999.00,AIA
2021-01-01 03:18:00,-48.30,-82.30,128.30,99999.00,AIA
2021-01-01 03:19:00,-48.40,-82.40,128.30,99999.00,AIA
2021-01-01 03:20:00,-48.40,-82.30,128.30,99999.00,AIA
2021-01-01 03:21:00,-48.30,-82.30,128.30,99999.00,AIA
2021-01-01 03:22:00,-48.20,-82.30,128.30,99999.00,AIA
2021-01-01 03:23:00,-47.90,-82.20,128.20,99999.00,AIA
2021-01-01 03:24:00,-47.80,-82.30,128.10,99999.00,AIA
2021-01-01 03:25:00,-47.60,-82.20,128.00,99999.00,AIA
2021-01-01 03:26:00,-47.50,-82.30,127.80,99999.00,AIA
2021-01-01 03:27:00,-47.30,-82.20,127.80,99999.00,AIA
