Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,13909.24,-11482.24,-49963.01,53113.23,AMS
2021-01-01 00:01:00,13909.44,-11482.26,-49963.14,53113.40,AMS
2021-01-01 00:02:00,13909.57,-11482.46,-49963.16,53113.51,AMS
2021-01-01 00:03:00,13909.85,-11482.62,-49963.26,53113.71,AMS
2021-01-01 00:04:00,13909.85,-11482.55,-49963.28,53113.69,AMS
2021-01-01 00:05:00,13909.95,-11482.53,-49963.33,53113.76,AMS
2021-01-01 00:06:00,13910.13,-11482.17,-49963.49,53113.86,AMS
2021-01-01 00:07:00,13909.85,-11482.15,-49963.29,53113.61,AMS
2021-01-01 00:08:00,13909.72,-11481.96,-49963.29,53113.51,AMS
2021-01-01 00:09:00,13909.63,-11481.75,-49963.26,53113.48,AMS
2021-01-01 00:10:00,13909.76,-11481.49,-49963.36,53113.54,AMS
2021-01-01 00:11:00,13909.65,-11481.47,-49963.24,53113.41,AMS
2021-01-01 00:12:00,13909.77,-11481.62,-49963.28,53113.48,AMS
2021-01-01 00:13:00,13909.72,-11481.86,-49963.18,53113.46,AMS
2021-01-01 00:14:00,13909.85,-11482.16,-49963.18,53113.53,AMS
2021-01-01 00:15:00,13909.90,-11482.07,-49963.24,53113.56,AMS
2021-01-01 00:16:00,13909.92,-11482.16,-49963.20,53113.55,AMS
2021-01-01 00:17:00,13909.92,-11482.59,-49963.11,53113.56,AMS
2021-01-01 00:18:00,13909.93,-11482.65,-49963.08,53113.52,AMS
2021-01-01 00:19:00,13910.01,-11483.00,-49963.07,53113.70,AMS
2021-01-01 00:20:00,13910.02,-11483.18,-49963.05,53113.73,AMS
2021-01-01 00:21:00,13910.08,-11483.29,-49963.09,53113.71,AMS
2021-01-01 00:22:00,13910.04,-11483.62,-49962.99,53113.68,AMS
2021-01-01 00:23:00,13909.93,-11483.95,-49962.85,53113.59,AMS
2021-01-01 00:24:00,13909.95,-11484.28,-49962.81,53113.65,AMS
2021-01-01 00:25:00,13909.93,-11484.26,-49962.83,53113.69,AMS
2021-01-01 00:26:00,13909.86,-11484.32,-49962.79,53113.61,AMS
2021-01-01 00:27:00,13909.80,-11484.22,-49962.78,53113.56,AMS
2021-01-01 00:28:00,13909.78,-11484.19,-49962.75,53113.57,AMS
2021-01-01 00:29:00,13909.85,-11484.16,-49962.77,53113.61,AMS
2021-01-01 00:30:00,13909.88,-11484.25,-49962.75,53113.62,AMS
2021-01-01 00:31:00,13909.91,-11484.37,-49962.69,53113.66,AMS
2021-01-01 00:32:00,13909.98,-11484.46,-49962.76,53113.71,AMS
2021-01-01 00:33:00,13910.03,-11484.41,-49962.75,53113.71,AMS
2021-01-01 00:34:00,13910.06,-11484.29,-49962.79,53113.76,AMS
2021-01-01 00:35:00,13910.06,-11484.28,-49962.77,53113.70,AMS
2021-01-01 00:36:00,13910.04,-11484.26,-49962.75,53113.66,AMS
2021-01-01 00:37:00,13910.00,-11484.15,-49962.71,53113.61,AMS
2021-01-01 00:38:00,13910.06,-11484.17,-49962.73,53113.64,AMS
2021-01-01 00:39:00,13910.05,-11484.10,-49962.70,53113.61,AMS
2021-01-01 00:40:00,13910.01,-11484.09,-49962.63,53113.53,AMS
2021-01-01 00:41:00,13909.94,-11484.38,-49962.46,53113.48,AMS
2021-01-01 00:42:00,13910.04,-11484.49,-49962.52,53113.55,AMS
2021-01-01 00:43:00,13910.19,-11484.57,-49962.57,53113.68,AMS
2021-01-01 00:44:00,13910.34,-11484.57,-49962.66,53113.79,AMS
2021-01-01 00:45:00,13910.41,-11484.60,-49962.67,53113.78,AMS
2021-01-01 00:46:00,13910.36,-11484.56,-49962.62,53113.73,AMS
2021-01-01 00:47:00,13910.33,-11484.57,-49962.58,53113.69,AMS
2021-01-01 00:48:00,13910.34,-11484.84,-49962.48,53113.71,AMS
2021-01-01 00:49:00,13910.52,-11484.75,-49962.66,53113.85,AMS
2021-01-01 00:50:00,13910.54,-11484.73,-49962.65,53113.87,AMS
2021-01-01 00:51:00,13910.64,-11484.50,-49962.76,53113.93,AMS
2021-01-01 00:52:00,13910.68,-11484.39,-49962.78,53113.91,AMS
2021-01-01 00:53:00,13910.67,-11484.39,-49962.74,53113.88,AMS
2021-01-01 00:54:00,13910.73,-11484.44,-49962.73,53113.90,AMS
2021-01-01 00:55:00,13910.79,-11484.50,-49962.75,53114.00,AMS
2021-01-01 00:56:00,13910.85,-11484.44,-49962.80,53114.03,AMS
2021-01-01 00:57:00,13910.88,-11484.51,-49962.81,53114.04,AMS
2021-01-01 00:58:00,13910.91,-11484.60,-49962.80,53114.08,AMS
2021-01-01 00:59:00,13911.00,-11484.60,-49962.84,53114.10,AMS
2021-01-01 01:00:00,13911.07,-11484.56,-49962.89,53114.16,AMS
2021-01-01 01:01:00,13911.10,-11484.59,-49962.97,53114.24,AMS
2021-01-01 01:02:00,13911.15,-11484.70,-49962.97,53114.32,AMS
2021-01-01 01:03:00,13911.17,-11484.80,-49962.94,53114.34,AMS
2021-01-01 01:04:00,13911.19,-11484.79,-49962.99,53114.38,AMS
2021-01-01 01:05:00,13911.27,-11484.80,-49963.07,53114.45,AMS
2021-01-01 01:06:00,13911.34,-11484.91,-49963.13,53114.51,AMS
2021-01-01 01:07:00,13911.39,-11484.90,-49963.21,53114.61,AMS
2021-01-01 01:08:00,13911.41,-11484.90,-49963.26,53114.67,AMS
2021-01-01 01:09:00,13911.35,-11484.90,-49963.26,53114.66,AMS
2021-01-01 01:10:00,13911.34,-11484.84,-49963.26,53114.66,AMS
2021-01-01 01:11:00,13911.31,-11484.80,-49963.28,53114.66,AMS
2021-01-01 01:12:00,13911.31,-11484.82,-49963.29,53114.66,AMS
2021-01-01 01:13:00,13911.25,-11484.83,-49963.28,53114.64,AMS
2021-01-01 01:14:00,13911.30,-11484.85,-49963.28,53114.68,AMS
2021-01-01 01:15:00,13911.31,-11484.93,-49963.33,53114.73,AMS
2021-01-01 01:16:00,13911.36,-11485.07,-49963.40,53114.81,AMS
2021-01-01 01:17:00,13911.36,-11485.31,-49963.39,53114.86,AMS
2021-01-01 01:18:00,13911.34,-11485.56,-49963.40,53114.91,AMS
2021-01-01 01:19:00,13911.37,-11485.75,-49963.45,53115.02,AMS
2021-01-01 01:20:00,13911.47,-11485.91,-49963.51,53115.12,AMS
2021-01-01 01:21:00,13911.49,-11486.05,-49963.53,53115.19,AMS
2021-01-01 01:22:00,13911.44,-11486.13,-49963.53,53115.22,AMS
2021-01-01 01:23:00,13911.43,-11486.24,-49963.56,53115.26,AMS
2021-01-01 01:24:00,13911.48,-11486.38,-49963.59,53115.34,AMS
2021-01-01 01:25:00,13911.51,-11486.51,-49963.62,53115.44,AMS
2021-01-01 01:26:00,13911.42,-11486.41,-49963.71,53115.41,AMS
2021-01-01 01:27:00,13911.33,-11486.54,-49963.65,53115.39,AMS
2021-01-01 01:28:00,13911.27,-11486.62,-49963.67,53115.39,AMS
2021-01-01 01:29:00,13911.26,-11486.67,-49963.72,53115.46,AMS
2021-01-01 01:30:00,13911.29,-11486.68,-49963.77,53115.55,AMS
2021-01-01 01:31:00,13911.25,-11486.67,-49963.81,53115.55,AMS
