Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,32563.30,7082.32,-19980.38,38849.64,API
2021-01-01 00:01:00,32563.38,7082.28,-19980.48,38849.75,API
2021-01-01 00:02:00,32563.61,7082.31,-19980.55,38849.94,API
2021-01-01 00:03:00,32563.79,7082.70,-19980.57,38850.17,API
2021-01-01 00:04:00,32563.86,7082.89,-19980.61,38850.20,API
2021-01-01 00:05:00,32563.74,7082.90,-19980.62,38850.13,API
2021-01-01 00:06:00,32563.26,7083.07,-19980.47,38849.68,API
2021-01-01 00:07:00,32562.56,7083.03,-19980.28,38849.00,API
2021-01-01 00:08:00,32562.10,7082.88,-19980.18,38848.53,API
2021-01-01 00:09:00,32561.64,7082.64,-19980.03,38848.03,API
2021-01-01 00:10:00,32561.21,7082.39,-19979.94,38847.58,API
2021-01-01 00:11:00,32561.20,7082.52,-19979.83,38847.47,API
2021-01-01 00:12:00,32560.79,7082.36,-19979.79,38847.16,API
2021-01-01 00:13:00,32560.58,7082.33,-19979.71,38846.88,API
2021-01-01 00:14:00,32560.32,7082.29,-19979.64,38846.62,API
2021-01-01 00:15:00,32560.08,7082.23,-19979.60,38846.44,API
2021-01-01 00:16:00,32559.76,7082.17,-19979.53,38846.13,API
2021-01-01 00:17:00,32559.49,7082.11,-19979.40,38845.86,API
2021-01-01 00:18:00,32559.08,7082.14,-19979.28,38845.42,API
2021-01-01 00:19:00,32558.77,7082.06,-19979.21,38845.10,API
2021-01-01 00:20:00,32558.44,7082.07,-19979.12,38844.82,API
2021-01-01 00:21:00,32558.04,7082.08,-19978.99,38844.46,API
2021-01-01 00:22:00,32557.76,7082.08,-19978.92,38844.18,API
2021-01-01 00:23:00,32557.35,7082.16,-19978.86,38843.81,API
2021-01-01 00:24:00,32556.99,7082.19,-19978.79,38843.49,API
2021-01-01 00:25:00,32556.62,7082.20,-19978.73,38843.16,API
2021-01-01 00:26:00,32556.35,7082.24,-19978.67,38842.93,API
2021-01-01 00:27:00,32556.07,7082.20,-19978.56,38842.59,API
2021-01-01 00:28:00,32555.74,7082.12,-19978.46,38842.26,API
2021-01-01 00:29:00,32555.45,7082.07,-19978.36,38841.94,API
2021-01-01 00:30:00,32555.16,7082.04,-19978.25,38841.62,API
2021-01-01 00:31:00,32554.91,7081.96,-19978.13,38841.30,API
2021-01-01 00:32:00,32554.66,7081.89,-19978.02,38841.01,API
2021-01-01 00:33:00,32554.39,7081.86,-19977.99,38840.77,API
2021-01-01 00:34:00,32554.09,7081.88,-19977.94,38840.53,API
2021-01-01 00:35:00,32553.91,7081.90,-19977.87,38840.29,API
2021-01-01 00:36:00,32553.60,7081.82,-19977.75,38840.00,API
2021-01-01 00:37:00,32553.31,7081.78,-19977.69,38839.73,API
2021-01-01 00:38:00,32553.11,7081.69,-19977.63,38839.52,API
2021-01-01 00:39:00,32552.79,7081.60,-19977.57,38839.23,API
2021-01-01 00:40:00,32552.31,7081.51,-19977.38,38838.74,API
2021-01-01 00:41:00,32551.84,7081.29,-19977.22,38838.19,API
2021-01-01 00:42:00,32551.55,7081.19,-19977.13,38837.86,API
2021-01-01 00:43:00,32551.24,7081.08,-19977.11,38837.61,API
2021-01-01 00:44:00,32551.03,7081.01,-19977.05,38837.42,API
2021-01-01 00:45:00,32550.90,7081.05,-19977.03,38837.23,API
2021-01-01 00:46:00,32550.47,7081.02,-19976.88,38836.84,API
2021-01-01 00:47:00,32549.96,7080.86,-19976.83,38836.42,API
2021-01-01 00:48:00,32549.71,7080.71,-19976.80,38836.10,API
2021-01-01 00:49:00,32549.45,7080.71,-19976.76,38835.84,API
2021-01-01 00:50:00,32549.18,7080.63,-19976.74,38835.63,API
2021-01-01 00:51:00,32548.92,7080.60,-19976.69,38835.35,API
2021-01-01 00:52:00,32548.64,7080.59,-19976.66,38835.12,API
2021-01-01 00:53:00,32548.35,7080.55,-19976.60,38834.81,API
2021-01-01 00:54:00,32548.06,7080.50,-19976.53,38834.53,API
2021-01-01 00:55:00,32547.80,7080.37,-19976.50,38834.29,API
2021-01-01 00:56:00,32547.52,7080.27,-19976.42,38834.02,API
2021-01-01 00:57:00,32547.23,7080.24,-19976.38,38833.79,API
2021-01-01 00:58:00,32546.98,7080.21,-19976.33,38833.49,API
2021-01-01 00:59:00,32546.71,7080.15,-19976.25,38833.18,API
2021-01-01 01:00:00,32546.39,7080.11,-19976.14,38832.91,API
2021-01-01 01:01:00,32546.08,7080.02,-19976.04,38832.60,API
2021-01-01 01:02:00,32545.80,7079.96,-19975.93,38832.30,API
2021-01-01 01:03:00,32545.51,7079.87,-19975.86,38832.02,API
2021-01-01 01:04:00,32545.25,7079.84,-19975.75,38831.71,API
2021-01-01 01:05:00,32544.88,7079.72,-19975.64,38831.30,API
