Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,15467.27,3815.78,54349.60,56636.30,ARS
2021-01-01 00:01:00,15467.24,3815.92,54349.50,56636.30,ARS
2021-01-01 00:02:00,15467.08,3816.16,54349.50,56636.20,ARS
2021-01-01 00:03:00,15466.96,3816.66,54349.50,56636.20,ARS
2021-01-01 00:04:00,15466.67,3816.97,54349.50,56636.10,ARS
2021-01-01 00:05:00,15466.61,3816.81,54349.50,56636.10,ARS
2021-01-01 00:06:00,15466.79,3816.09,54349.40,56636.10,ARS
2021-01-01 00:07:00,15467.02,3815.15,54349.40,56636.10,ARS
2021-01-01 00:08:00,15467.69,3814.50,54349.40,56636.20,ARS
2021-01-01 00:09:00,15467.91,3814.89,54349.40,56636.30,ARS
2021-01-01 00:10:00,15467.92,3815.65,54349.50,56636.40,ARS
2021-01-01 00:11:00,15468.12,3816.13,54349.40,56636.40,ARS
2021-01-01 00:12:00,15468.06,3816.36,54349.50,56636.50,ARS
2021-01-01 00:13:00,15467.81,3816.53,54349.40,56636.30,ARS
2021-01-01 00:14:00,15467.50,3816.94,54349.40,56636.30,ARS
2021-01-01 00:15:00,15467.52,3817.27,54349.50,56636.40,ARS
2021-01-01 00:16:00,15467.59,3817.43,54349.50,56636.50,ARS
2021-01-01 00:17:00,15467.34,3817.61,54349.50,56636.40,ARS
2021-01-01 00:18:00,15467.19,3817.38,54349.40,56636.20,ARS
2021-01-01 00:19:00,15467.50,3817.36,54349.40,56636.30,ARS
2021-01-01 00:20:00,15467.56,3817.14,54349.30,56636.20,ARS
2021-01-01 00:21:00,15467.73,3816.85,54349.30,56636.20,ARS
2021-01-01 00:22:00,15467.83,3816.44,54349.40,56636.30,ARS
2021-01-01 00:23:00,15467.76,3815.90,54349.30,56636.30,ARS
2021-01-01 00:24:00,15467.93,3815.23,54349.20,56636.10,ARS
2021-01-01 00:25:00,15468.09,3814.55,54349.20,56636.10,ARS
2021-01-01 00:26:00,15468.16,3814.28,54349.20,56636.10,ARS
2021-01-01 00:27:00,15468.29,3814.17,54349.20,56636.20,ARS
2021-01-01 00:28:00,15468.38,3814.24,54349.30,56636.20,ARS
2021-01-01 00:29:00,15468.45,3814.35,54349.20,56636.20,ARS
2021-01-01 00:30:00,15468.44,3814.40,54349.20,56636.20,ARS
2021-01-01 00:31:00,15468.62,3814.49,54349.20,56636.20,ARS
2021-01-01 00:32:00,15468.64,3814.40,54349.20,56636.30,ARS
2021-01-01 00:33:00,15468.71,3814.13,54349.20,56636.30,ARS
2021-01-01 00:34:00,15468.64,3814.02,54349.20,56636.30,ARS
2021-01-01 00:35:00,15468.55,3813.95,54349.20,56636.20,ARS
2021-01-01 00:36:00,15468.52,3814.08,54349.20,56636.20,ARS
2021-01-01 00:37:00,15468.52,3814.08,54349.20,56636.30,ARS
2021-01-01 00:38:00,15468.71,3814.13,54349.20,56636.30,ARS
2021-01-01 00:39:00,15468.72,3814.09,54349.20,56636.30,ARS
2021-01-01 00:40:00,15468.70,3814.18,54349.30,56636.40,ARS
2021-01-01 00:41:00,15468.55,3814.38,54349.10,56636.20,ARS
2021-01-01 00:42:00,15468.59,3814.63,54349.30,56636.30,ARS
2021-01-01 00:43:00,15468.78,3814.67,54349.30,56636.40,ARS
2021-01-01 00:44:00,15468.82,3814.54,54349.30,56636.40,ARS
2021-01-01 00:45:00,15468.77,3814.29,54349.20,56636.30,ARS
2021-01-01 00:46:00,15468.74,3814.00,54349.20,56636.30,ARS
2021-01-01 00:47:00,15468.61,3813.72,54349.10,56636.10,ARS
2021-01-01 00:48:00,15468.50,3813.74,54349.10,56636.10,ARS
2021-01-01 00:49:00,15468.59,3813.77,54349.10,56636.20,ARS
2021-01-01 00:50:00,15468.58,3813.81,54349.10,56636.20,ARS
2021-01-01 00:51:00,15468.69,3813.79,54349.20,56636.30,ARS
2021-01-01 00:52:00,15468.79,3813.82,54349.20,56636.30,ARS
2021-01-01 00:53:00,15468.80,3813.77,54349.20,56636.30,ARS
2021-01-01 00:54:00,15468.91,3813.75,54349.20,56636.30,ARS
