Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,19776.27,-5010.41,-20225.10,28727.30,ASC
2021-01-01 00:01:00,19776.29,-5010.29,-20225.10,28727.30,ASC
2021-01-01 00:02:00,19776.49,-5010.34,-20225.10,28727.50,ASC
2021-01-01 00:03:00,19776.62,-5010.25,-20225.10,28727.60,ASC
2021-01-01 00:04:00,19776.63,-5010.19,-20225.10,28727.60,ASC
2021-01-01 00:05:00,19776.76,-5010.10,-20225.10,28727.60,ASC
2021-01-01 00:06:00,19776.82,-5010.24,-20225.10,28727.70,ASC
2021-01-01 00:07:00,19776.92,-5010.27,-20225.10,28727.80,ASC
2021-01-01 00:08:00,19776.92,-5010.27,-20225.10,28727.80,ASC
2021-01-01 00:09:00,19776.90,-5010.33,-20225.10,28727.80,ASC
2021-01-01 00:10:00,19776.68,-5010.39,-20225.10,28727.60,ASC
2021-01-01 00:11:00,19776.59,-5010.37,-20225.10,28727.60,ASC
2021-01-01 00:12:00,19776.49,-5010.34,-20225.10,28727.50,ASC
2021-01-01 00:13:00,19776.49,-5010.34,-20225.10,28727.50,ASC
2021-01-01 00:14:00,19776.42,-5010.20,-20225.10,28727.40,ASC
2021-01-01 00:15:00,19776.53,-5010.17,-20225.10,28727.50,ASC
2021-01-01 00:16:00,19776.53,-5010.17,-20225.10,28727.50,ASC
2021-01-01 00:17:00,19776.53,-5010.17,-20225.10,28727.50,ASC
2021-01-01 00:18:00,19776.53,-5010.17,-20225.10,28727.50,ASC
2021-01-01 00:19:00,19776.53,-5010.17,-20225.10,28727.50,ASC
2021-01-01 00:20:00,19776.52,-5010.23,-20225.10,28727.50,ASC
2021-01-01 00:21:00,19776.49,-5010.34,-20225.10,28727.50,ASC
2021-01-01 00:22:00,19776.62,-5010.25,-20225.10,28727.60,ASC
2021-01-01 00:23:00,19776.59,-5010.37,-20225.10,28727.60,ASC
2021-01-01 00:24:00,19776.71,-5010.28,-20225.10,28727.60,ASC
2021-01-01 00:25:00,19776.81,-5010.30,-20225.10,28727.70,ASC
2021-01-01 00:26:00,19777.00,-5010.35,-20225.10,28727.80,ASC
2021-01-01 00:27:00,19777.07,-5010.49,-20225.10,28727.90,ASC
2021-01-01 00:28:00,19777.07,-5010.49,-20225.20,28728.00,ASC
2021-01-01 00:29:00,19777.07,-5010.49,-20225.20,28728.00,ASC
2021-01-01 00:30:00,19777.07,-5010.49,-20225.20,28728.00,ASC
2021-01-01 00:31:00,19777.07,-5010.49,-20225.20,28728.00,ASC
2021-01-01 00:32:00,19777.10,-5010.38,-20225.20,28728.00,ASC
2021-01-01 00:33:00,19777.26,-5010.54,-20225.20,28728.10,ASC
2021-01-01 00:34:00,19777.36,-5010.56,-20225.20,28728.20,ASC
2021-01-01 00:35:00,19777.36,-5010.56,-20225.20,28728.20,ASC
2021-01-01 00:36:00,19777.43,-5010.70,-20225.20,28728.30,ASC
2021-01-01 00:37:00,19777.43,-5010.70,-20225.20,28728.30,ASC
2021-01-01 00:38:00,19777.43,-5010.70,-20225.20,28728.30,ASC
2021-01-01 00:39:00,19777.53,-5010.73,-20225.30,28728.40,ASC
2021-01-01 00:40:00,19777.40,-5010.82,-20225.20,28728.30,ASC
2021-01-01 00:41:00,19777.22,-5010.71,-20225.20,28728.10,ASC
2021-01-01 00:42:00,19777.22,-5010.71,-20225.20,28728.10,ASC
2021-01-01 00:43:00,19777.22,-5010.71,-20225.30,28728.20,ASC
2021-01-01 00:44:00,19777.32,-5010.74,-20225.20,28728.20,ASC
2021-01-01 00:45:00,19777.43,-5010.70,-20225.30,28728.30,ASC
2021-01-01 00:46:00,19777.43,-5010.70,-20225.20,28728.30,ASC
2021-01-01 00:47:00,19777.40,-5010.82,-20225.30,28728.30,ASC
2021-01-01 00:48:00,19777.33,-5010.68,-20225.30,28728.30,ASC
2021-01-01 00:49:00,19777.33,-5010.68,-20225.30,28728.30,ASC
2021-01-01 00:50:00,19777.43,-5010.70,-20225.30,28728.30,ASC
2021-01-01 00:51:00,19777.53,-5010.73,-20225.30,28728.40,ASC
2021-01-01 00:52:00,19777.62,-5010.75,-20225.30,28728.50,ASC
2021-01-01 00:53:00,19777.62,-5010.75,-20225.30,28728.50,ASC
2021-01-01 00:54:00,19777.65,-5010.64,-20225.30,28728.50,ASC
2021-01-01 00:55:00,19777.72,-5010.78,-20225.30,28728.50,ASC
2021-01-01 00:56:00,19777.85,-5010.69,-20225.30,28728.60,ASC
2021-01-01 00:57:00,19777.85,-5010.69,-20225.40,28728.70,ASC
2021-01-01 00:58:00,19777.94,-5010.71,-20225.30,28728.70,ASC
2021-01-01 00:59:00,19778.05,-5010.68,-20225.40,28728.80,ASC
2021-01-01 01:00:00,19778.04,-5010.74,-20225.40,28728.80,ASC
2021-01-01 01:01:00,19778.05,-5010.68,-20225.40,28728.80,ASC
2021-01-01 01:02:00,19778.18,-5010.59,-20225.40,28728.90,ASC
2021-01-01 01:03:00,19778.18,-5010.59,-20225.40,28728.90,ASC
2021-01-01 01:04:00,19778.21,-5010.47,-20225.40,28728.90,ASC
2021-01-01 01:05:00,19778.21,-5010.47,-20225.40,28728.90,ASC
2021-01-01 01:06:00,19778.22,-5010.42,-20225.50,28729.00,ASC
2021-01-01 01:07:00,19778.45,-5010.35,-20225.50,28729.10,ASC
2021-01-01 01:08:00,19778.45,-5010.35,-20225.40,28729.00,ASC
2021-01-01 01:09:00,19778.45,-5010.35,-20225.50,28729.10,ASC
2021-01-01 01:10:00,19778.38,-5010.21,-20225.50,28729.00,ASC
2021-01-01 01:11:00,19778.47,-5010.23,-20225.50,28729.10,ASC
2021-01-01 01:12:00,19778.47,-5010.23,-20225.50,28729.10,ASC
2021-01-01 01:13:00,19778.47,-5010.23,-20225.50,28729.10,ASC
2021-01-01 01:14:00,19778.47,-5010.23,-20225.50,28729.10,ASC
2021-01-01 01:15:00,19778.57,-5010.26,-20225.60,28729.30,ASC
2021-01-01 01:16:00,19778.59,-5010.20,-20225.60,28729.30,ASC
2021-01-01 01:17:00,19778.69,-5010.23,-20225.60,28729.30,ASC
2021-01-01 01:18:00,19778.81,-5010.14,-20225.60,28729.40,ASC
2021-01-01 01:19:00,19778.84,-5010.02,-20225.60,28729.40,ASC
2021-01-01 01:20:00,19778.95,-5009.99,-20225.60,28729.50,ASC
2021-01-01 01:21:00,19778.95,-5009.99,-20225.60,28729.50,ASC
