Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,30126.12,2324.38,-43765.54,53182.70,ASP
2021-01-01 00:01:00,30126.51,2324.32,-43765.42,53182.81,ASP
2021-01-01 00:02:00,30126.84,2324.31,-43765.28,53182.88,ASP
2021-01-01 00:03:00,30127.03,2323.99,-43765.12,53182.85,ASP
2021-01-01 00:04:00,30127.18,2323.43,-43764.92,53182.78,ASP
2021-01-01 00:05:00,30126.89,2323.01,-43764.89,53182.55,ASP
2021-01-01 00:06:00,30126.04,2322.47,-43764.90,53182.03,ASP
2021-01-01 00:07:00,30125.70,2322.38,-43764.83,53181.75,ASP
2021-01-01 00:08:00,30125.73,2322.66,-43764.76,53181.73,ASP
2021-01-01 00:09:00,30125.97,2322.96,-43764.68,53181.85,ASP
2021-01-01 00:10:00,30126.36,2323.19,-43764.58,53182.01,ASP
2021-01-01 00:11:00,30126.59,2323.55,-43764.59,53182.16,ASP
2021-01-01 00:12:00,30126.73,2323.68,-43764.53,53182.24,ASP
2021-01-01 00:13:00,30126.58,2323.69,-43764.49,53182.11,ASP
2021-01-01 00:14:00,30126.84,2323.67,-43764.35,53182.06,ASP
2021-01-01 00:15:00,30127.02,2323.38,-43764.20,53182.07,ASP
2021-01-01 00:16:00,30127.16,2323.32,-43764.08,53182.05,ASP
2021-01-01 00:17:00,30127.31,2323.33,-43764.03,53182.08,ASP
2021-01-01 00:18:00,30127.47,2323.32,-43763.90,53182.06,ASP
2021-01-01 00:19:00,30127.55,2323.59,-43763.96,53182.18,ASP
2021-01-01 00:20:00,30127.68,2323.72,-43763.90,53182.18,ASP
2021-01-01 00:21:00,30127.65,2323.80,-43763.79,53182.10,ASP
2021-01-01 00:22:00,30127.57,2323.97,-43763.81,53182.06,ASP
2021-01-01 00:23:00,30127.48,2324.02,-43763.69,53181.95,ASP
2021-01-01 00:24:00,30127.40,2324.00,-43763.61,53181.85,ASP
2021-01-01 00:25:00,30127.24,2323.77,-43763.47,53181.63,ASP
2021-01-01 00:26:00,30127.30,2323.53,-43763.29,53181.49,ASP
2021-01-01 00:27:00,30127.35,2323.63,-43763.19,53181.42,ASP
2021-01-01 00:28:00,30127.49,2323.84,-43763.15,53181.45,ASP
2021-01-01 00:29:00,30127.56,2324.05,-43763.06,53181.46,ASP
2021-01-01 00:30:00,30127.63,2324.22,-43762.95,53181.42,ASP
2021-01-01 00:31:00,30127.62,2324.36,-43762.88,53181.36,ASP
2021-01-01 00:32:00,30127.54,2324.42,-43762.75,53181.25,ASP
2021-01-01 00:33:00,30127.52,2324.45,-43762.61,53181.17,ASP
2021-01-01 00:34:00,30127.37,2324.41,-43762.51,53180.94,ASP
2021-01-01 00:35:00,30127.37,2324.52,-43762.35,53180.86,ASP
2021-01-01 00:36:00,30127.36,2324.56,-43762.25,53180.79,ASP
2021-01-01 00:37:00,30127.37,2324.54,-43762.09,53180.60,ASP
2021-01-01 00:38:00,30127.44,2324.63,-43761.95,53180.54,ASP
2021-01-01 00:39:00,30127.40,2324.64,-43761.85,53180.38,ASP
2021-01-01 00:40:00,30127.20,2324.79,-43761.78,53180.24,ASP
2021-01-01 00:41:00,30127.16,2325.18,-43761.69,53180.16,ASP
2021-01-01 00:42:00,30127.15,2325.45,-43761.58,53180.11,ASP
2021-01-01 00:43:00,30127.12,2325.59,-43761.47,53179.97,ASP
2021-01-01 00:44:00,30127.06,2325.61,-43761.32,53179.83,ASP
2021-01-01 00:45:00,30126.92,2325.56,-43761.19,53179.66,ASP
2021-01-01 00:46:00,30126.72,2325.54,-43761.07,53179.40,ASP
2021-01-01 00:47:00,30126.57,2325.57,-43760.93,53179.23,ASP
2021-01-01 00:48:00,30126.69,2325.81,-43760.75,53179.18,ASP
2021-01-01 00:49:00,30126.59,2325.92,-43760.68,53179.03,ASP
2021-01-01 00:50:00,30126.62,2326.01,-43760.52,53178.93,ASP
2021-01-01 00:51:00,30126.49,2326.09,-43760.40,53178.76,ASP
2021-01-01 00:52:00,30126.38,2326.09,-43760.21,53178.55,ASP
2021-01-01 00:53:00,30126.27,2326.12,-43760.08,53178.37,ASP
2021-01-01 00:54:00,30126.26,2326.23,-43759.92,53178.29,ASP
2021-01-01 00:55:00,30126.28,2326.37,-43759.78,53178.22,ASP
2021-01-01 00:56:00,30126.39,2326.43,-43759.63,53178.12,ASP
2021-01-01 00:57:00,30126.45,2326.55,-43759.53,53178.05,ASP
2021-01-01 00:58:00,30126.54,2326.67,-43759.40,53177.97,ASP
2021-01-01 00:59:00,30126.48,2326.80,-43759.31,53177.90,ASP
2021-01-01 01:00:00,30126.43,2326.90,-43759.19,53177.80,ASP
2021-01-01 01:01:00,30126.33,2326.93,-43759.12,53177.64,ASP
2021-01-01 01:02:00,30126.32,2326.92,-43758.98,53177.52,ASP
2021-01-01 01:03:00,30126.28,2326.99,-43758.86,53177.42,ASP
2021-01-01 01:04:00,30126.19,2327.04,-43758.78,53177.35,ASP
2021-01-01 01:05:00,30126.14,2327.15,-43758.74,53177.23,ASP
2021-01-01 01:06:00,30126.09,2327.28,-43758.63,53177.15,ASP
2021-01-01 01:07:00,30126.11,2327.38,-43758.57,53177.09,ASP
2021-01-01 01:08:00,30126.02,2327.53,-43758.51,53177.01,ASP
2021-01-01 01:09:00,30125.96,2327.66,-43758.44,53176.91,ASP
2021-01-01 01:10:00,30125.83,2327.80,-43758.34,53176.82,ASP
2021-01-01 01:11:00,30125.78,2327.89,-43758.27,53176.69,ASP
2021-01-01 01:12:00,30125.63,2328.01,-43758.20,53176.58,ASP
2021-01-01 01:13:00,30125.49,2328.17,-43758.13,53176.43,ASP
2021-01-01 01:14:00,30125.42,2328.27,-43758.00,53176.33,ASP
2021-01-01 01:15:00,30125.40,2328.39,-43757.89,53176.17,ASP
2021-01-01 01:16:00,30125.48,2328.39,-43757.73,53176.07,ASP
2021-01-01 01:17:00,30125.52,2328.42,-43757.55,53176.01,ASP
2021-01-01 01:18:00,30125.61,2328.54,-43757.39,53175.89,ASP
2021-01-01 01:19:00,30125.61,2328.59,-43757.25,53175.80,ASP
2021-01-01 01:20:00,30125.56,2328.68,-43757.12,53175.68,ASP
2021-01-01 01:21:00,30125.57,2328.75,-43756.99,53175.54,ASP
2021-01-01 01:22:00,30125.45,2328.86,-43756.86,53175.39,ASP
2021-01-01 01:23:00,30125.33,2329.03,-43756.69,53175.23,ASP
2021-01-01 01:24:00,30125.31,2329.22,-43756.55,53175.12,ASP
2021-01-01 01:25:00,30125.35,2329.52,-43756.46,53175.05,ASP
2021-01-01 01:26:00,30125.18,2329.70,-43756.38,53174.86,ASP
2021-01-01 01:27:00,30125.01,2329.90,-43756.25,53174.70,ASP
2021-01-01 01:28:00,30124.90,2330.18,-43756.15,53174.57,ASP
2021-01-01 01:29:00,30124.78,2330.50,-43756.02,53174.42,ASP
2021-01-01 01:30:00,30124.67,2330.73,-43755.89,53174.25,ASP
2021-01-01 01:31:00,30124.53,2330.86,-43755.72,53174.01,ASP
2021-01-01 01:32:00,30124.42,2330.99,-43755.59,53173.85,ASP
2021-01-01 01:33:00,30124.35,2331.15,-43755.39,53173.71,ASP
2021-01-01 01:34:00,30124.32,2331.40,-43755.27,53173.56,ASP
2021-01-01 01:35:00,30124.22,2331.57,-43755.13,53173.41,ASP
2021-01-01 01:36:00,30124.08,2331.71,-43754.98,53173.21,ASP
2021-01-01 01:37:00,30124.00,2331.91,-43754.81,53173.06,ASP
2021-01-01 01:38:00,30123.93,2332.12,-43754.69,53172.85,ASP
2021-01-01 01:39:00,30123.85,2332.29,-43754.53,53172.74,ASP
2021-01-01 01:40:00,30123.71,2332.53,-43754.43,53172.55,ASP
2021-01-01 01:41:00,30123.65,2332.78,-43754.28,53172.42,ASP
2021-01-01 01:42:00,30123.58,2333.03,-43754.14,53172.27,ASP
2021-01-01 01:43:00,30123.52,2333.24,-43753.98,53172.10,ASP
2021-01-01 01:44:00,30123.39,2333.49,-43753.88,53171.93,ASP
2021-01-01 01:45:00,30123.28,2333.78,-43753.72,53171.79,ASP
2021-01-01 01:46:00,30123.23,2334.07,-43753.57,53171.65,ASP
2021-01-01 01:47:00,30123.11,2334.30,-43753.44,53171.49,ASP
2021-01-01 01:48:00,30122.85,2334.54,-43753.30,53171.27,ASP
2021-01-01 01:49:00,30122.67,2334.90,-43753.16,53171.05,ASP
2021-01-01 01:50:00,30122.57,2335.31,-43753.00,53170.88,ASP
2021-01-01 01:51:00,30122.58,2335.60,-43752.85,53170.74,ASP
2021-01-01 01:52:00,30122.40,2335.84,-43752.68,53170.51,ASP
2021-01-01 01:53:00,30122.30,2336.17,-43752.53,53170.34,ASP
2021-01-01 01:54:00,30122.20,2336.29,-43752.27,53170.10,ASP
2021-01-01 01:55:00,30122.08,2336.66,-43752.12,53169.91,ASP
2021-01-01 01:56:00,30121.88,2337.15,-43751.99,53169.74,ASP
2021-01-01 01:57:00,30121.61,2337.55,-43751.86,53169.51,ASP
2021-01-01 01:58:00,30121.45,2338.00,-43751.75,53169.29,ASP
2021-01-01 01:59:00,30121.26,2338.43,-43751.55,53169.08,ASP
2021-01-01 02:00:00,30121.11,2338.76,-43751.37,53168.86,ASP
2021-01-01 02:01:00,30120.96,2339.04,-43751.23,53168.64,ASP
2021-01-01 02:02:00,30120.81,2339.32,-43751.04,53168.41,ASP
2021-01-01 02:03:00,30120.71,2339.66,-43750.89,53168.25,ASP
