Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,20400.67,1520.95,44435.56,48921.07,BDV
2021-01-01 00:01:00,20400.59,1521.06,44435.59,48917.96,BDV
2021-01-01 00:02:00,20400.56,1520.98,44435.61,48917.97,BDV
2021-01-01 00:03:00,20400.47,1521.10,44435.59,48917.94,BDV
2021-01-01 00:04:00,20400.39,1521.18,44435.56,48917.89,BDV
2021-01-01 00:05:00,20400.34,1520.97,44435.59,48917.88,BDV
2021-01-01 00:06:00,20400.56,1520.53,44435.62,48918.00,BDV
2021-01-01 00:07:00,20400.98,1520.11,44435.68,48918.17,BDV
2021-01-01 00:08:00,20401.68,1519.89,44435.62,48918.45,BDV
2021-01-01 00:09:00,20401.97,1520.10,44435.57,48918.51,BDV
2021-01-01 00:10:00,20401.87,1520.54,44435.48,48918.41,BDV
2021-01-01 00:11:00,20401.71,1520.74,44435.46,48918.33,BDV
2021-01-01 00:12:00,20401.61,1520.76,44435.48,48918.32,BDV
2021-01-01 00:13:00,20401.47,1520.65,44435.52,48918.27,BDV
2021-01-01 00:14:00,20401.37,1520.60,44435.54,48918.25,BDV
2021-01-01 00:15:00,20401.24,1520.74,44435.54,48918.22,BDV
2021-01-01 00:16:00,20401.04,1520.87,44435.56,48918.14,BDV
2021-01-01 00:17:00,20400.60,1520.91,44435.56,48917.98,BDV
2021-01-01 00:18:00,20400.41,1521.00,44435.59,48917.94,BDV
2021-01-01 00:19:00,20400.31,1520.98,44435.69,48917.93,BDV
2021-01-01 00:20:00,20400.29,1520.91,44435.65,48917.94,BDV
2021-01-01 00:21:00,20400.29,1520.71,44435.63,48917.90,BDV
2021-01-01 00:22:00,20400.37,1520.38,44435.68,48917.93,BDV
2021-01-01 00:23:00,20400.38,1520.07,44435.69,48917.95,BDV
2021-01-01 00:24:00,20400.50,1519.84,44435.67,48918.00,BDV
2021-01-01 00:25:00,20400.75,1519.64,44435.74,48918.12,BDV
2021-01-01 00:26:00,20400.84,1519.47,44435.69,48918.15,BDV
2021-01-01 00:27:00,20400.95,1519.40,44435.62,48918.14,BDV
2021-01-01 00:28:00,20401.01,1519.51,44435.61,48918.12,BDV
2021-01-01 00:29:00,20401.06,1519.55,44435.59,48918.14,BDV
2021-01-01 00:30:00,20401.13,1519.60,44435.55,48918.13,BDV
2021-01-01 00:31:00,20401.20,1519.64,44435.51,48918.12,BDV
2021-01-01 00:32:00,20401.23,1519.55,44435.53,48918.13,BDV
2021-01-01 00:33:00,20401.43,1519.38,44435.49,48918.18,BDV
2021-01-01 00:34:00,20401.46,1519.30,44435.55,48918.25,BDV
2021-01-01 00:35:00,20401.40,1519.13,44435.55,48918.25,BDV
2021-01-01 00:36:00,20401.31,1519.11,44435.58,48918.23,BDV
2021-01-01 00:37:00,20401.34,1519.12,44435.53,48918.21,BDV
2021-01-01 00:38:00,20401.39,1519.19,44435.52,48918.21,BDV
2021-01-01 00:39:00,20401.44,1519.23,44435.52,48918.22,BDV
2021-01-01 00:40:00,20401.36,1519.25,44435.50,48918.20,BDV
2021-01-01 00:41:00,20401.23,1519.37,44435.50,48918.13,BDV
2021-01-01 00:42:00,20401.20,1519.49,44435.46,48918.11,BDV
2021-01-01 00:43:00,20401.13,1519.54,44435.49,48918.09,BDV
2021-01-01 00:44:00,20401.13,1519.48,44435.54,48918.11,BDV
2021-01-01 00:45:00,20401.13,1519.34,44435.55,48918.14,BDV
2021-01-01 00:46:00,20401.17,1519.24,44435.58,48918.18,BDV
2021-01-01 00:47:00,20401.15,1519.20,44435.58,48918.18,BDV
2021-01-01 00:48:00,20401.09,1519.24,44435.55,48918.12,BDV
2021-01-01 00:49:00,20401.15,1519.15,44435.54,48918.15,BDV
