Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,18898.80,2195.40,46809.50,50526.90,BEL
2021-01-01 00:01:00,18898.40,2195.40,46809.30,50526.60,BEL
2021-01-01 00:02:00,18898.60,2195.40,46809.30,50526.70,BEL
2021-01-01 00:03:00,18898.70,2195.70,46809.40,50526.80,BEL
2021-01-01 00:04:00,18898.70,2195.80,46809.20,50526.70,BEL
2021-01-01 00:05:00,18898.60,2195.90,46809.20,50526.50,BEL
2021-01-01 00:06:00,18898.40,2195.10,46808.80,50526.10,BEL
2021-01-01 00:07:00,18898.90,2194.50,46808.70,50526.20,BEL
2021-01-01 00:08:00,18899.30,2194.20,46808.40,50526.00,BEL
2021-01-01 00:09:00,18899.60,2194.70,46808.50,50526.30,BEL
2021-01-01 00:10:00,18899.70,2195.40,46808.70,50526.60,BEL
2021-01-01 00:11:00,18899.60,2195.80,46808.80,50526.60,BEL
2021-01-01 00:12:00,18899.70,2195.70,46809.20,50527.00,BEL
2021-01-01 00:13:00,18899.30,2195.40,46809.40,50527.00,BEL
2021-01-01 00:14:00,18899.20,2195.30,46809.60,50527.20,BEL
2021-01-01 00:15:00,18899.00,2195.70,46809.40,50526.90,BEL
2021-01-01 00:16:00,18898.70,2195.80,46809.60,50526.90,BEL
2021-01-01 00:17:00,18898.50,2196.00,46809.80,50527.10,BEL
2021-01-01 00:18:00,18897.90,2196.00,46809.60,50526.70,BEL
2021-01-01 00:19:00,18897.80,2196.00,46809.50,50526.60,BEL
2021-01-01 00:20:00,18898.00,2195.90,46809.40,50526.60,BEL
2021-01-01 00:21:00,18898.40,2195.70,46809.60,50526.80,BEL
2021-01-01 00:22:00,18898.30,2195.30,46809.40,50526.60,BEL
2021-01-01 00:23:00,18897.70,2194.80,46808.90,50525.90,BEL
2021-01-01 00:24:00,18897.80,2194.60,46808.60,50525.70,BEL
2021-01-01 00:25:00,18898.30,2194.50,46808.60,50525.80,BEL
2021-01-01 00:26:00,18898.70,2194.10,46809.00,50526.40,BEL
2021-01-01 00:27:00,18898.50,2194.00,46808.80,50526.10,BEL
2021-01-01 00:28:00,18898.70,2194.20,46808.90,50526.30,BEL
