Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,20994.70,1020.11,43566.61,48371.23,BFO
2021-01-01 00:01:00,20994.65,1020.14,43566.61,48371.19,BFO
2021-01-01 00:02:00,20994.68,1020.04,43566.55,48371.17,BFO
2021-01-01 00:03:00,20994.58,1020.11,43566.59,48371.15,BFO
2021-01-01 00:04:00,20994.49,1020.21,43566.59,48371.13,BFO
2021-01-01 00:05:00,20994.48,1020.00,43566.51,48371.08,BFO
2021-01-01 00:06:00,20994.81,1019.53,43566.37,48371.06,BFO
2021-01-01 00:07:00,20995.32,1019.03,43566.27,48371.15,BFO
2021-01-01 00:08:00,20996.11,1018.77,43566.08,48371.31,BFO
2021-01-01 00:09:00,20996.30,1018.92,43566.10,48371.38,BFO
2021-01-01 00:10:00,20996.09,1019.41,43566.28,48371.50,BFO
2021-01-01 00:11:00,20995.88,1019.62,43566.41,48371.54,BFO
2021-01-01 00:12:00,20995.83,1019.67,43566.42,48371.52,BFO
2021-01-01 00:13:00,20995.72,1019.60,43566.43,48371.49,BFO
2021-01-01 00:14:00,20995.63,1019.53,43566.44,48371.48,BFO
2021-01-01 00:15:00,20995.44,1019.62,43566.49,48371.44,BFO
2021-01-01 00:16:00,20995.22,1019.76,43566.56,48371.44,BFO
2021-01-01 00:17:00,20994.81,1019.87,43566.69,48371.35,BFO
2021-01-01 00:18:00,20994.58,1019.95,43566.71,48371.25,BFO
2021-01-01 00:19:00,20994.48,1019.91,43566.78,48371.27,BFO
2021-01-01 00:20:00,20994.50,1019.86,43566.71,48371.22,BFO
2021-01-01 00:21:00,20994.48,1019.68,43566.64,48371.15,BFO
2021-01-01 00:22:00,20994.55,1019.35,43566.54,48371.11,BFO
2021-01-01 00:23:00,20994.63,1019.06,43566.48,48371.05,BFO
2021-01-01 00:24:00,20994.72,1018.86,43566.38,48371.02,BFO
2021-01-01 00:25:00,20995.02,1018.67,43566.29,48371.09,BFO
2021-01-01 00:26:00,20995.19,1018.47,43566.28,48371.11,BFO
