Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,7087.80,-267.30,57977.00,58412.60,BLC
2021-01-01 00:01:00,7088.20,-267.60,57978.60,58414.10,BLC
2021-01-01 00:02:00,7084.70,-270.80,57978.60,58414.00,BLC
2021-01-01 00:03:00,7080.20,-274.30,57979.80,58414.60,BLC
2021-01-01 00:04:00,7075.50,-276.00,57980.60,58414.80,BLC
2021-01-01 00:05:00,7067.80,-278.10,57978.30,58411.60,BLC
2021-01-01 00:06:00,7066.60,-277.70,57973.10,58406.30,BLC
2021-01-01 00:07:00,7072.70,-274.70,57967.80,58401.60,BLC
2021-01-01 00:08:00,7080.10,-273.00,57965.60,58400.30,BLC
2021-01-01 00:09:00,7085.80,-270.80,57965.30,58400.60,BLC
2021-01-01 00:10:00,7090.20,-269.30,57966.50,58402.30,BLC
2021-01-01 00:11:00,7093.70,-268.10,57970.00,58406.30,BLC
2021-01-01 00:12:00,7095.00,-268.00,57974.80,58411.30,BLC
2021-01-01 00:13:00,7094.30,-270.20,57978.30,58414.80,BLC
2021-01-01 00:14:00,7095.00,-270.00,57980.30,58416.80,BLC
2021-01-01 00:15:00,7092.30,-270.80,57981.60,58417.80,BLC
2021-01-01 00:16:00,7087.30,-273.50,57982.10,58417.60,BLC
2021-01-01 00:17:00,7085.20,-273.70,57982.30,58417.60,BLC
2021-01-01 00:18:00,7086.20,-273.80,57982.60,58418.10,BLC
2021-01-01 00:19:00,7084.30,-274.70,57981.50,58416.80,BLC
2021-01-01 00:20:00,7083.20,-273.70,57979.80,58414.80,BLC
2021-01-01 00:21:00,7084.20,-272.30,57979.10,58414.30,BLC
2021-01-01 00:22:00,7084.20,-271.60,57980.10,58415.30,BLC
2021-01-01 00:23:00,7081.70,-271.50,57982.80,58417.80,BLC
2021-01-01 00:24:00,7079.60,-272.00,57985.10,58419.80,BLC
2021-01-01 00:25:00,7077.60,-272.50,57984.10,58418.50,BLC
2021-01-01 00:26:00,7076.70,-274.10,57979.80,58414.10,BLC
2021-01-01 00:27:00,7076.20,-275.00,57974.30,58408.60,BLC
2021-01-01 00:28:00,7077.20,-274.80,57970.00,58404.30,BLC
2021-01-01 00:29:00,7079.20,-273.60,57969.30,58403.80,BLC
2021-01-01 00:30:00,7082.20,-272.30,57971.80,58406.80,BLC
2021-01-01 00:31:00,7084.70,-271.10,57976.10,58411.30,BLC
2021-01-01 00:32:00,7084.70,-270.60,57977.30,58412.60,BLC
2021-01-01 00:33:00,7082.70,-270.70,57976.60,58411.60,BLC
2021-01-01 00:34:00,7080.00,-270.80,57975.60,58410.30,BLC
2021-01-01 00:35:00,7079.30,-270.50,57974.80,58409.30,BLC
2021-01-01 00:36:00,7080.50,-270.30,57974.60,58409.50,BLC
2021-01-01 00:37:00,7082.00,-271.00,57975.10,58410.00,BLC
2021-01-01 00:38:00,7082.70,-271.70,57975.00,58410.00,BLC
2021-01-01 00:39:00,7082.50,-272.10,57974.60,58409.60,BLC
2021-01-01 00:40:00,7081.70,-272.00,57974.10,58409.00,BLC
2021-01-01 00:41:00,7083.00,-271.20,57974.10,58409.10,BLC
2021-01-01 00:42:00,7084.50,-270.80,57975.30,58410.50,BLC
2021-01-01 00:43:00,7085.20,-270.50,57977.50,58412.80,BLC
2021-01-01 00:44:00,7083.20,-270.80,57979.00,58414.10,BLC
2021-01-01 00:45:00,7080.60,-272.10,57978.60,58413.50,BLC
2021-01-01 00:46:00,7079.70,-272.20,57977.80,58412.50,BLC
2021-01-01 00:47:00,7080.10,-272.00,57977.60,58412.30,BLC
2021-01-01 00:48:00,7081.20,-271.70,57978.30,58413.10,BLC
2021-01-01 00:49:00,7080.20,-272.10,57978.30,58413.10,BLC
2021-01-01 00:50:00,7079.70,-271.80,57977.80,58412.30,BLC
2021-01-01 00:51:00,7079.10,-271.60,57977.50,58412.10,BLC
2021-01-01 00:52:00,7078.50,-271.70,57977.00,58411.50,BLC
2021-01-01 00:53:00,7078.70,-271.50,57976.30,58410.80,BLC
2021-01-01 00:54:00,7079.70,-271.00,57975.60,58410.10,BLC
2021-01-01 00:55:00,7081.10,-270.20,57975.60,58410.30,BLC
2021-01-01 00:56:00,7082.60,-270.10,57976.60,58411.60,BLC
2021-01-01 00:57:00,7082.50,-270.70,57977.80,58412.80,BLC
2021-01-01 00:58:00,7081.20,-270.70,57978.10,58412.80,BLC
2021-01-01 00:59:00,7080.20,-270.10,57976.80,58411.50,BLC
2021-01-01 01:00:00,7080.80,-269.10,57975.60,58410.50,BLC
2021-01-01 01:01:00,7082.20,-268.30,57976.30,58411.10,BLC
2021-01-01 01:02:00,7083.00,-269.20,57977.60,58412.60,BLC
2021-01-01 01:03:00,7083.30,-270.30,57978.50,58413.60,BLC
2021-01-01 01:04:00,7083.50,-271.00,57978.50,58413.60,BLC
2021-01-01 01:05:00,7083.30,-270.50,57977.60,58412.80,BLC
2021-01-01 01:06:00,7083.10,-269.70,57977.60,58412.60,BLC
2021-01-01 01:07:00,7082.20,-270.50,57977.30,58412.30,BLC
2021-01-01 01:08:00,7081.10,-271.70,57976.50,58411.30,BLC
2021-01-01 01:09:00,7080.70,-272.30,57975.30,58410.10,BLC
2021-01-01 01:10:00,7081.50,-271.70,57974.30,58409.10,BLC
2021-01-01 01:11:00,7083.10,-270.20,57973.80,58408.80,BLC
2021-01-01 01:12:00,7084.80,-269.30,57973.80,58409.10,BLC
2021-01-01 01:13:00,7086.30,-268.60,57974.80,58410.30,BLC
2021-01-01 01:14:00,7087.00,-268.30,57976.10,58411.60,BLC
2021-01-01 01:15:00,7087.20,-268.20,57977.80,58413.30,BLC
2021-01-01 01:16:00,7086.70,-269.10,57979.50,58415.00,BLC
2021-01-01 01:17:00,7085.20,-269.70,57980.00,58415.30,BLC
2021-01-01 01:18:00,7083.00,-269.80,57979.30,58414.30,BLC
2021-01-01 01:19:00,7081.50,-269.70,57978.30,58413.30,BLC
2021-01-01 01:20:00,7081.20,-269.70,57977.60,58412.30,BLC
2021-01-01 01:21:00,7082.20,-270.00,57977.30,58412.10,BLC
2021-01-01 01:22:00,7083.10,-270.20,57977.10,58412.10,BLC
2021-01-01 01:23:00,7082.50,-270.60,57976.30,58411.30,BLC
2021-01-01 01:24:00,7081.80,-270.20,57974.80,58409.60,BLC
2021-01-01 01:25:00,7082.80,-268.70,57973.80,58408.80,BLC
2021-01-01 01:26:00,7085.10,-267.20,57975.00,58410.30,BLC
2021-01-01 01:27:00,7086.30,-267.50,57976.60,58412.10,BLC
2021-01-01 01:28:00,7086.10,-268.30,57977.80,58413.10,BLC
2021-01-01 01:29:00,7084.70,-269.10,57978.10,58413.50,BLC
2021-01-01 01:30:00,7083.20,-269.10,57977.60,58412.80,BLC
2021-01-01 01:31:00,7081.80,-268.80,57977.30,58412.30,BLC
2021-01-01 01:32:00,7081.30,-268.70,57977.60,58412.50,BLC
2021-01-01 01:33:00,7081.50,-268.50,57977.30,58412.10,BLC
2021-01-01 01:34:00,7081.50,-268.70,57976.30,58411.10,BLC
2021-01-01 01:35:00,7081.70,-268.70,57975.80,58410.60,BLC
2021-01-01 01:36:00,7082.50,-267.80,57976.60,58411.60,BLC
2021-01-01 01:37:00,7083.10,-267.70,57977.60,58412.60,BLC
2021-01-01 01:38:00,7083.20,-268.60,57978.00,58413.10,BLC
2021-01-01 01:39:00,7082.70,-269.70,57977.50,58412.50,BLC
2021-01-01 01:40:00,7081.80,-270.00,57977.10,58412.00,BLC
2021-01-01 01:41:00,7081.70,-268.80,57976.60,58411.30,BLC
2021-01-01 01:42:00,7083.10,-267.80,57976.50,58411.50,BLC
2021-01-01 01:43:00,7084.30,-267.50,57976.80,58412.00,BLC
2021-01-01 01:44:00,7085.50,-267.80,57976.80,58412.10,BLC
2021-01-01 01:45:00,7085.80,-268.60,57976.80,58412.10,BLC
2021-01-01 01:46:00,7085.10,-268.30,57977.00,58412.10,BLC
2021-01-01 01:47:00,7083.80,-267.80,57976.80,58412.10,BLC
