Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,27877.83,-4144.32,47626.70,55341.00,BMT
2021-01-01 00:01:00,27878.05,-4144.18,47626.70,55341.20,BMT
2021-01-01 00:02:00,27878.35,-4143.56,47626.80,55341.20,BMT
2021-01-01 00:03:00,27878.72,-4143.12,47626.90,55341.40,BMT
2021-01-01 00:04:00,27879.04,-4143.00,47626.80,55341.50,BMT
2021-01-01 00:05:00,27878.88,-4142.73,47626.90,55341.50,BMT
2021-01-01 00:06:00,27878.38,-4143.32,47627.10,55341.60,BMT
2021-01-01 00:07:00,27877.41,-4144.42,47627.10,55341.00,BMT
2021-01-01 00:08:00,27876.71,-4144.40,47626.90,55340.60,BMT
2021-01-01 00:09:00,27876.77,-4143.99,47626.80,55340.50,BMT
2021-01-01 00:10:00,27876.97,-4143.28,47626.90,55340.70,BMT
2021-01-01 00:11:00,27877.30,-4143.16,47626.80,55340.70,BMT
2021-01-01 00:12:00,27877.21,-4142.40,47626.80,55340.60,BMT
2021-01-01 00:13:00,27877.17,-4141.98,47626.90,55340.70,BMT
2021-01-01 00:14:00,27877.45,-4142.10,47626.90,55340.80,BMT
2021-01-01 00:15:00,27877.38,-4141.93,47626.90,55340.80,BMT
2021-01-01 00:16:00,27877.48,-4141.94,47626.80,55340.80,BMT
2021-01-01 00:17:00,27877.50,-4141.78,47626.90,55340.90,BMT
2021-01-01 00:18:00,27877.51,-4141.70,47626.70,55340.60,BMT
2021-01-01 00:19:00,27877.97,-4141.35,47626.90,55340.90,BMT
2021-01-01 00:20:00,27878.07,-4141.37,47626.80,55341.00,BMT
2021-01-01 00:21:00,27878.06,-4141.45,47626.70,55340.90,BMT
2021-01-01 00:22:00,27878.04,-4141.53,47626.80,55340.90,BMT
2021-01-01 00:23:00,27878.01,-4141.77,47626.80,55341.00,BMT
2021-01-01 00:24:00,27877.91,-4141.76,47626.60,55340.80,BMT
2021-01-01 00:25:00,27877.56,-4142.04,47626.60,55340.70,BMT
2021-01-01 00:26:00,27877.28,-4141.91,47626.50,55340.40,BMT
2021-01-01 00:27:00,27877.03,-4141.54,47626.50,55340.30,BMT
2021-01-01 00:28:00,27877.07,-4141.30,47626.50,55340.30,BMT
2021-01-01 00:29:00,27877.27,-4141.25,47626.30,55340.30,BMT
2021-01-01 00:30:00,27877.40,-4141.10,47626.30,55340.30,BMT
2021-01-01 00:31:00,27877.55,-4140.79,47626.30,55340.40,BMT
2021-01-01 00:32:00,27877.63,-4140.89,47626.40,55340.40,BMT
2021-01-01 00:33:00,27877.56,-4140.71,47626.30,55340.30,BMT
2021-01-01 00:34:00,27877.28,-4140.50,47626.30,55340.30,BMT
2021-01-01 00:35:00,27877.45,-4140.78,47626.20,55340.20,BMT
2021-01-01 00:36:00,27877.47,-4140.62,47626.10,55340.10,BMT
2021-01-01 00:37:00,27877.28,-4140.50,47626.20,55340.00,BMT
2021-01-01 00:38:00,27877.43,-4140.20,47626.20,55340.10,BMT
2021-01-01 00:39:00,27877.20,-4140.41,47625.90,55339.80,BMT
2021-01-01 00:40:00,27877.01,-4140.30,47626.10,55339.80,BMT
2021-01-01 00:41:00,27876.82,-4140.27,47626.10,55339.70,BMT
2021-01-01 00:42:00,27876.82,-4140.27,47626.00,55339.60,BMT
2021-01-01 00:43:00,27876.82,-4140.27,47625.90,55339.50,BMT
2021-01-01 00:44:00,27876.82,-4140.27,47625.90,55339.60,BMT
2021-01-01 00:45:00,27876.52,-4140.22,47625.60,55339.30,BMT
2021-01-01 00:46:00,27876.38,-4140.45,47625.50,55339.20,BMT
2021-01-01 00:47:00,27876.09,-4140.41,47625.60,55339.00,BMT
2021-01-01 00:48:00,27876.00,-4140.31,47625.40,55338.90,BMT
2021-01-01 00:49:00,27875.90,-4140.30,47625.40,55338.90,BMT
2021-01-01 00:50:00,27875.99,-4140.39,47625.40,55338.80,BMT
2021-01-01 00:51:00,27875.92,-4140.14,47625.40,55338.80,BMT
2021-01-01 00:52:00,27875.70,-4140.27,47625.40,55338.60,BMT
2021-01-01 00:53:00,27875.80,-4140.28,47625.40,55338.60,BMT
2021-01-01 00:54:00,27875.68,-4140.43,47625.20,55338.40,BMT
2021-01-01 00:55:00,27875.52,-4140.16,47625.30,55338.30,BMT
2021-01-01 00:56:00,27875.70,-4140.27,47625.20,55338.30,BMT
