Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,20528.80,2977.80,47343.60,51688.44,BOU
2021-01-01 00:01:00,20529.30,2977.80,47343.60,51688.64,BOU
2021-01-01 00:02:00,20529.90,2977.50,47343.60,51688.86,BOU
2021-01-01 00:03:00,20530.40,2977.10,47343.60,51688.93,BOU
2021-01-01 00:04:00,20530.40,2976.70,47343.60,51688.91,BOU
2021-01-01 00:05:00,20530.80,2976.80,47343.40,51688.89,BOU
2021-01-01 00:06:00,20530.40,2977.30,47343.30,51688.67,BOU
2021-01-01 00:07:00,20530.10,2978.30,47343.20,51688.52,BOU
2021-01-01 00:08:00,20530.20,2979.20,47343.20,51688.71,BOU
2021-01-01 00:09:00,20529.90,2979.40,47343.50,51688.78,BOU
2021-01-01 00:10:00,20529.60,2978.80,47343.60,51688.81,BOU
2021-01-01 00:11:00,20529.40,2978.20,47343.70,51688.69,BOU
2021-01-01 00:12:00,20529.20,2977.70,47343.60,51688.49,BOU
2021-01-01 00:13:00,20529.10,2977.40,47343.50,51688.34,BOU
2021-01-01 00:14:00,20528.90,2977.10,47343.40,51688.26,BOU
2021-01-01 00:15:00,20529.40,2977.00,47343.30,51688.26,BOU
2021-01-01 00:16:00,20529.30,2976.70,47343.30,51688.20,BOU
2021-01-01 00:17:00,20529.20,2976.70,47343.20,51688.07,BOU
2021-01-01 00:18:00,20528.80,2976.80,47343.20,51687.91,BOU
2021-01-01 00:19:00,20528.90,2977.20,47343.10,51687.89,BOU
2021-01-01 00:20:00,20528.80,2977.40,47343.10,51687.96,BOU
2021-01-01 00:21:00,20528.40,2977.20,47343.20,51687.88,BOU
2021-01-01 00:22:00,20528.60,2977.50,47343.10,51687.78,BOU
2021-01-01 00:23:00,20528.40,2977.70,47343.10,51687.82,BOU
2021-01-01 00:24:00,20528.60,2978.20,47343.00,51687.83,BOU
2021-01-01 00:25:00,20528.90,2978.70,47343.00,51687.88,BOU
2021-01-01 00:26:00,20529.30,2979.30,47343.00,51688.07,BOU
2021-01-01 00:27:00,20529.40,2979.40,47343.20,51688.30,BOU
2021-01-01 00:28:00,20529.30,2979.20,47343.30,51688.34,BOU
2021-01-01 00:29:00,20529.20,2979.00,47343.30,51688.29,BOU
2021-01-01 00:30:00,20529.20,2978.80,47343.30,51688.18,BOU
2021-01-01 00:31:00,20529.00,2978.70,47343.20,51688.10,BOU
2021-01-01 00:32:00,20528.80,2978.60,47343.20,51688.02,BOU
2021-01-01 00:33:00,20528.80,2978.70,47343.10,51688.03,BOU
2021-01-01 00:34:00,20528.60,2978.90,47343.10,51687.86,BOU
2021-01-01 00:35:00,20528.60,2979.00,47343.10,51687.87,BOU
2021-01-01 00:36:00,20528.70,2978.90,47343.10,51688.00,BOU
2021-01-01 00:37:00,20528.80,2978.90,47343.10,51687.94,BOU
2021-01-01 00:38:00,20528.90,2978.80,47343.10,51687.98,BOU
2021-01-01 00:39:00,20528.90,2978.80,47343.10,51687.98,BOU
2021-01-01 00:40:00,20528.60,2978.90,47343.10,51687.86,BOU
2021-01-01 00:41:00,20528.30,2978.70,47343.20,51687.83,BOU
2021-01-01 00:42:00,20528.30,2978.70,47343.10,51687.83,BOU
2021-01-01 00:43:00,20528.30,2978.60,47343.10,51687.73,BOU
2021-01-01 00:44:00,20528.30,2978.70,47343.00,51687.74,BOU
2021-01-01 00:45:00,20528.30,2979.00,47343.00,51687.66,BOU
2021-01-01 00:46:00,20528.30,2979.10,47343.00,51687.67,BOU
2021-01-01 00:47:00,20528.20,2979.10,47343.00,51687.73,BOU
2021-01-01 00:48:00,20528.30,2979.20,47343.00,51687.67,BOU
2021-01-01 00:49:00,20528.40,2979.20,47343.00,51687.71,BOU
2021-01-01 00:50:00,20528.30,2979.30,47343.00,51687.68,BOU
2021-01-01 00:51:00,20528.20,2979.20,47343.00,51687.73,BOU
2021-01-01 00:52:00,20528.40,2979.30,47343.00,51687.72,BOU
2021-01-01 00:53:00,20528.30,2979.40,47343.00,51687.68,BOU
2021-01-01 00:54:00,20528.40,2979.40,47343.00,51687.72,BOU
2021-01-01 00:55:00,20528.40,2979.40,47343.00,51687.72,BOU
2021-01-01 00:56:00,20528.40,2979.30,47343.00,51687.72,BOU
2021-01-01 00:57:00,20528.40,2979.30,47343.00,51687.72,BOU
2021-01-01 00:58:00,20528.40,2979.30,47343.00,51687.72,BOU
2021-01-01 00:59:00,20528.40,2979.30,47343.00,51687.72,BOU
2021-01-01 01:00:00,20528.50,2979.30,47343.00,51687.66,BOU
2021-01-01 01:01:00,20528.60,2979.40,47342.90,51687.71,BOU
2021-01-01 01:02:00,20528.60,2979.40,47342.90,51687.81,BOU
2021-01-01 01:03:00,20528.70,2979.30,47342.90,51687.84,BOU
2021-01-01 01:04:00,20528.70,2979.30,47343.00,51687.84,BOU
2021-01-01 01:05:00,20528.70,2979.20,47343.00,51687.83,BOU
2021-01-01 01:06:00,20528.60,2979.20,47342.90,51687.70,BOU
2021-01-01 01:07:00,20528.60,2979.30,47342.90,51687.70,BOU
2021-01-01 01:08:00,20528.50,2979.30,47342.90,51687.66,BOU
2021-01-01 01:09:00,20528.50,2979.20,47342.90,51687.66,BOU
2021-01-01 01:10:00,20528.40,2979.10,47342.90,51687.71,BOU
2021-01-01 01:11:00,20528.40,2979.00,47342.90,51687.61,BOU
2021-01-01 01:12:00,20528.40,2978.90,47342.90,51687.60,BOU
2021-01-01 01:13:00,20528.30,2978.90,47342.90,51687.56,BOU
2021-01-01 01:14:00,20528.10,2978.90,47342.90,51687.48,BOU
2021-01-01 01:15:00,20528.10,2979.00,47342.80,51687.50,BOU
2021-01-01 01:16:00,20528.20,2979.00,47342.80,51687.44,BOU
2021-01-01 01:17:00,20528.30,2979.20,47342.80,51687.49,BOU
2021-01-01 01:18:00,20528.40,2979.30,47342.80,51687.53,BOU
2021-01-01 01:19:00,20528.40,2979.40,47342.80,51687.64,BOU
2021-01-01 01:20:00,20528.50,2979.50,47342.80,51687.58,BOU
2021-01-01 01:21:00,20528.50,2979.60,47342.80,51687.59,BOU
2021-01-01 01:22:00,20528.30,2979.70,47342.80,51687.62,BOU
2021-01-01 01:23:00,20528.20,2979.80,47342.90,51687.57,BOU
2021-01-01 01:24:00,20528.20,2979.70,47342.90,51687.57,BOU
2021-01-01 01:25:00,20528.20,2979.50,47342.90,51687.56,BOU
2021-01-01 01:26:00,20528.30,2979.60,47342.80,51687.51,BOU
2021-01-01 01:27:00,20528.10,2979.60,47342.80,51687.43,BOU
2021-01-01 01:28:00,20528.00,2979.60,47342.80,51687.49,BOU
2021-01-01 01:29:00,20528.00,2979.50,47342.90,51687.38,BOU
2021-01-01 01:30:00,20528.00,2979.30,47342.80,51687.37,BOU
2021-01-01 01:31:00,20528.10,2979.40,47342.80,51687.42,BOU
2021-01-01 01:32:00,20528.10,2979.50,47342.70,51687.43,BOU
2021-01-01 01:33:00,20528.00,2979.70,47342.70,51687.41,BOU
2021-01-01 01:34:00,20528.00,2979.70,47342.80,51687.40,BOU
2021-01-01 01:35:00,20528.20,2979.90,47342.70,51687.40,BOU
2021-01-01 01:36:00,20528.20,2979.90,47342.80,51687.49,BOU
2021-01-01 01:37:00,20528.30,2979.90,47342.70,51687.54,BOU
2021-01-01 01:38:00,20528.30,2979.80,47342.70,51687.53,BOU
2021-01-01 01:39:00,20528.30,2979.80,47342.70,51687.53,BOU
2021-01-01 01:40:00,20528.30,2979.70,47342.70,51687.53,BOU
2021-01-01 01:41:00,20528.30,2979.70,47342.70,51687.53,BOU
2021-01-01 01:42:00,20528.30,2979.70,47342.70,51687.43,BOU
2021-01-01 01:43:00,20528.20,2979.80,47342.70,51687.39,BOU
2021-01-01 01:44:00,20528.20,2979.70,47342.70,51687.39,BOU
2021-01-01 01:45:00,20528.20,2979.70,47342.70,51687.39,BOU
2021-01-01 01:46:00,20528.00,2979.60,47342.70,51687.30,BOU
2021-01-01 01:47:00,20528.00,2979.60,47342.70,51687.30,BOU
