Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,15128.56,3457.91,50664.67,52988.17,BOX
2021-01-01 00:01:00,15128.40,3458.20,50664.67,52988.12,BOX
2021-01-01 00:02:00,15128.13,3458.21,50664.65,52988.06,BOX
2021-01-01 00:03:00,15127.81,3458.53,50664.71,52987.96,BOX
2021-01-01 00:04:00,15127.37,3458.81,50664.60,52987.82,BOX
2021-01-01 00:05:00,15127.19,3458.50,50664.57,52987.71,BOX
2021-01-01 00:06:00,15127.68,3457.74,50664.57,52987.78,BOX
2021-01-01 00:07:00,15128.30,3456.79,50664.60,52987.96,BOX
2021-01-01 00:08:00,15129.53,3456.20,50664.80,52988.36,BOX
2021-01-01 00:09:00,15129.88,3456.71,50664.86,52988.58,BOX
2021-01-01 00:10:00,15129.67,3457.73,50664.82,52988.60,BOX
2021-01-01 00:11:00,15129.43,3458.47,50664.76,52988.51,BOX
2021-01-01 00:12:00,15129.25,3458.58,50664.71,52988.37,BOX
2021-01-01 00:13:00,15128.90,3458.60,50664.66,52988.22,BOX
2021-01-01 00:14:00,15128.35,3458.72,50664.68,52988.05,BOX
2021-01-01 00:15:00,15128.01,3459.22,50664.58,52987.97,BOX
2021-01-01 00:16:00,15127.79,3459.54,50664.52,52987.89,BOX
2021-01-01 00:17:00,15127.43,3459.83,50664.49,52987.75,BOX
2021-01-01 00:18:00,15127.38,3459.73,50664.49,52987.73,BOX
2021-01-01 00:19:00,15127.68,3459.78,50664.51,52987.82,BOX
2021-01-01 00:20:00,15127.93,3459.43,50664.66,52987.90,BOX
2021-01-01 00:21:00,15128.22,3459.21,50664.61,52988.04,BOX
2021-01-01 00:22:00,15128.49,3458.68,50664.71,52988.14,BOX
2021-01-01 00:23:00,15128.65,3457.94,50664.78,52988.23,BOX
2021-01-01 00:24:00,15129.00,3457.40,50664.86,52988.39,BOX
2021-01-01 00:25:00,15129.49,3456.89,50664.94,52988.58,BOX
2021-01-01 00:26:00,15129.54,3456.60,50665.02,52988.68,BOX
2021-01-01 00:27:00,15129.68,3456.56,50665.05,52988.76,BOX
2021-01-01 00:28:00,15129.72,3456.76,50665.12,52988.79,BOX
2021-01-01 00:29:00,15129.67,3456.87,50665.12,52988.79,BOX
2021-01-01 00:30:00,15129.63,3456.92,50665.07,52988.75,BOX
2021-01-01 00:31:00,15129.66,3456.97,50664.99,52988.73,BOX
2021-01-01 00:32:00,15129.69,3456.83,50664.97,52988.71,BOX
2021-01-01 00:33:00,15129.90,3456.48,50664.99,52988.73,BOX
2021-01-01 00:34:00,15130.02,3456.30,50664.95,52988.76,BOX
2021-01-01 00:35:00,15129.81,3456.17,50665.03,52988.71,BOX
2021-01-01 00:36:00,15129.67,3456.38,50664.90,52988.68,BOX
2021-01-01 00:37:00,15129.58,3456.41,50664.83,52988.62,BOX
2021-01-01 00:38:00,15129.63,3456.53,50664.88,52988.64,BOX
2021-01-01 00:39:00,15129.67,3456.55,50664.81,52988.62,BOX
2021-01-01 00:40:00,15129.58,3456.59,50664.74,52988.57,BOX
2021-01-01 00:41:00,15129.36,3456.85,50664.74,52988.50,BOX
2021-01-01 00:42:00,15129.39,3457.12,50664.68,52988.49,BOX
2021-01-01 00:43:00,15129.42,3457.30,50664.73,52988.46,BOX
2021-01-01 00:44:00,15129.53,3457.23,50664.72,52988.46,BOX
