Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,15256.99,1344.57,54445.01,56552.05,BRD
2021-01-01 00:01:00,15257.72,1344.34,54444.95,56552.16,BRD
2021-01-01 00:02:00,15258.32,1343.70,54444.73,56552.10,BRD
2021-01-01 00:03:00,15258.89,1343.24,54444.43,56552.00,BRD
2021-01-01 00:04:00,15258.40,1342.71,54444.15,56551.62,BRD
2021-01-01 00:05:00,15258.64,1342.65,54443.84,56551.39,BRD
2021-01-01 00:06:00,15258.92,1343.60,54444.46,56551.99,BRD
2021-01-01 00:07:00,15259.18,1345.28,54445.67,56553.20,BRD
2021-01-01 00:08:00,15259.94,1346.20,54446.36,56554.17,BRD
2021-01-01 00:09:00,15259.65,1346.45,54446.54,56554.25,BRD
2021-01-01 00:10:00,15258.51,1345.56,54445.93,56553.30,BRD
2021-01-01 00:11:00,15257.92,1344.59,54444.95,56552.18,BRD
2021-01-01 00:12:00,15257.74,1344.18,54444.35,56551.57,BRD
2021-01-01 00:13:00,15257.66,1343.99,54444.29,56551.43,BRD
2021-01-01 00:14:00,15257.55,1343.80,54444.44,56551.59,BRD
2021-01-01 00:15:00,15257.86,1343.36,54444.22,56551.46,BRD
2021-01-01 00:16:00,15257.65,1342.87,54444.05,56551.21,BRD
2021-01-01 00:17:00,15257.28,1342.90,54444.10,56551.21,BRD
2021-01-01 00:18:00,15257.10,1343.50,54444.49,56551.50,BRD
2021-01-01 00:19:00,15257.26,1343.86,54444.74,56551.79,BRD
2021-01-01 00:20:00,15257.33,1344.10,54445.07,56552.12,BRD
2021-01-01 00:21:00,15256.68,1344.06,54445.04,56551.89,BRD
2021-01-01 00:22:00,15256.45,1344.10,54444.82,56551.65,BRD
2021-01-01 00:23:00,15256.47,1344.19,54444.90,56551.72,BRD
2021-01-01 00:24:00,15256.70,1344.82,54445.16,56552.05,BRD
2021-01-01 00:25:00,15257.62,1345.54,54445.61,56552.76,BRD
2021-01-01 00:26:00,15258.42,1345.97,54446.03,56553.40,BRD
2021-01-01 00:27:00,15258.55,1346.09,54446.05,56553.47,BRD
2021-01-01 00:28:00,15258.27,1345.67,54445.65,56552.99,BRD
2021-01-01 00:29:00,15257.92,1345.31,54445.10,56552.34,BRD
