Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,8944.60,1969.80,56531.40,57268.74,BRW
2021-01-01 00:01:00,8944.40,1969.90,56530.70,57268.02,BRW
2021-01-01 00:02:00,8942.10,1968.10,56529.50,57266.41,BRW
2021-01-01 00:03:00,8939.10,1965.00,56529.10,57265.54,BRW
2021-01-01 00:04:00,8934.40,1956.70,56526.70,57262.35,BRW
2021-01-01 00:05:00,8941.80,1954.40,56526.30,57262.94,BRW
2021-01-01 00:06:00,8940.20,1969.20,56530.90,57267.73,BRW
2021-01-01 00:07:00,8950.30,1981.80,56536.40,57274.98,BRW
2021-01-01 00:08:00,8955.60,1986.20,56539.40,57278.72,BRW
2021-01-01 00:09:00,8952.20,1980.20,56538.60,57277.39,BRW
2021-01-01 00:10:00,8946.70,1972.20,56536.30,57274.08,BRW
2021-01-01 00:11:00,8941.80,1970.00,56535.10,57272.06,BRW
2021-01-01 00:12:00,8944.40,1974.30,56536.10,57273.60,BRW
2021-01-01 00:13:00,8945.40,1975.60,56537.00,57274.59,BRW
2021-01-01 00:14:00,8942.00,1971.60,56535.90,57272.83,BRW
2021-01-01 00:15:00,8937.80,1969.50,56534.40,57270.73,BRW
2021-01-01 00:16:00,8941.10,1969.00,56533.10,57269.94,BRW
2021-01-01 00:17:00,8945.40,1969.10,56533.00,57270.52,BRW
2021-01-01 00:18:00,8947.70,1963.90,56532.90,57270.70,BRW
2021-01-01 00:19:00,8941.80,1958.40,56532.80,57269.59,BRW
2021-01-01 00:20:00,8934.70,1955.80,56531.80,57267.31,BRW
2021-01-01 00:21:00,8934.20,1958.80,56531.60,57267.13,BRW
2021-01-01 00:22:00,8935.20,1963.70,56532.70,57268.44,BRW
2021-01-01 00:23:00,8927.00,1969.10,56534.20,57268.73,BRW
2021-01-01 00:24:00,8920.00,1973.30,56534.50,57268.18,BRW
2021-01-01 00:25:00,8924.40,1978.90,56534.30,57268.76,BRW
2021-01-01 00:26:00,8935.00,1984.50,56535.00,57271.20,BRW
2021-01-01 00:27:00,8941.10,1985.40,56535.70,57272.87,BRW
2021-01-01 00:28:00,8940.00,1982.30,56535.30,57272.20,BRW
2021-01-01 00:29:00,8937.60,1978.30,56533.60,57269.91,BRW
2021-01-01 00:30:00,8936.80,1975.80,56531.80,57268.12,BRW
2021-01-01 00:31:00,8936.40,1975.50,56531.40,57267.65,BRW
2021-01-01 00:32:00,8933.60,1974.50,56531.00,57266.89,BRW
2021-01-01 00:33:00,8932.10,1974.10,56530.60,57266.24,BRW
2021-01-01 00:34:00,8933.90,1974.50,56530.50,57266.34,BRW
2021-01-01 00:35:00,8935.10,1975.90,56530.90,57267.07,BRW
2021-01-01 00:36:00,8937.40,1977.00,56531.50,57267.96,BRW
2021-01-01 00:37:00,8938.10,1978.00,56532.10,57268.59,BRW
2021-01-01 00:38:00,8939.50,1978.20,56532.20,57268.92,BRW
2021-01-01 00:39:00,8941.80,1977.90,56532.10,57269.27,BRW
2021-01-01 00:40:00,8941.50,1976.10,56531.90,57268.96,BRW
2021-01-01 00:41:00,8937.90,1972.40,56530.60,57267.09,BRW
2021-01-01 00:42:00,8936.00,1971.60,56530.10,57266.27,BRW
2021-01-01 00:43:00,8935.30,1972.20,56530.00,57266.08,BRW
2021-01-01 00:44:00,8934.60,1972.60,56530.30,57266.29,BRW
2021-01-01 00:45:00,8934.60,1973.20,56530.70,57266.70,BRW
2021-01-01 00:46:00,8935.30,1975.50,56531.40,57267.58,BRW
