Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,23887.82,-563.17,40517.90,47037.61,BSL
2021-01-01 00:01:00,23888.24,-563.12,40517.91,47037.84,BSL
2021-01-01 00:02:00,23888.74,-563.42,40517.96,47038.13,BSL
2021-01-01 00:03:00,23889.21,-563.65,40518.01,47038.41,BSL
2021-01-01 00:04:00,23889.26,-563.82,40518.04,47038.45,BSL
2021-01-01 00:05:00,23889.58,-563.75,40518.08,47038.64,BSL
2021-01-01 00:06:00,23889.39,-563.39,40518.08,47038.56,BSL
2021-01-01 00:07:00,23889.41,-562.84,40518.15,47038.62,BSL
2021-01-01 00:08:00,23889.62,-562.48,40518.29,47038.83,BSL
2021-01-01 00:09:00,23889.39,-562.51,40518.41,47038.80,BSL
2021-01-01 00:10:00,23889.04,-562.81,40518.40,47038.63,BSL
2021-01-01 00:11:00,23888.69,-563.22,40518.32,47038.41,BSL
2021-01-01 00:12:00,23888.54,-563.48,40518.24,47038.26,BSL
2021-01-01 00:13:00,23888.39,-563.57,40518.16,47038.11,BSL
2021-01-01 00:14:00,23888.36,-563.67,40518.09,47038.04,BSL
2021-01-01 00:15:00,23888.70,-563.75,40518.06,47038.18,BSL
2021-01-01 00:16:00,23888.59,-563.82,40518.00,47038.09,BSL
2021-01-01 00:17:00,23888.61,-563.77,40517.97,47038.08,BSL
2021-01-01 00:18:00,23888.40,-563.62,40517.95,47037.95,BSL
2021-01-01 00:19:00,23888.48,-563.40,40517.95,47037.99,BSL
2021-01-01 00:20:00,23888.40,-563.29,40517.96,47037.95,BSL
2021-01-01 00:21:00,23888.23,-563.23,40517.98,47037.87,BSL
2021-01-01 00:22:00,23888.31,-563.00,40517.98,47037.91,BSL
2021-01-01 00:23:00,23888.22,-562.79,40518.00,47037.88,BSL
2021-01-01 00:24:00,23888.47,-562.48,40518.04,47038.04,BSL
2021-01-01 00:25:00,23888.79,-562.15,40518.13,47038.27,BSL
2021-01-01 00:26:00,23889.25,-561.99,40518.25,47038.61,BSL
2021-01-01 00:27:00,23889.35,-562.00,40518.37,47038.75,BSL
2021-01-01 00:28:00,23889.24,-562.17,40518.43,47038.75,BSL
2021-01-01 00:29:00,23889.10,-562.32,40518.44,47038.68,BSL
2021-01-01 00:30:00,23889.00,-562.41,40518.42,47038.63,BSL
2021-01-01 00:31:00,23888.89,-562.42,40518.40,47038.56,BSL
2021-01-01 00:32:00,23888.81,-562.33,40518.38,47038.49,BSL
2021-01-01 00:33:00,23888.81,-562.21,40518.37,47038.49,BSL
2021-01-01 00:34:00,23888.83,-562.12,40518.38,47038.50,BSL
2021-01-01 00:35:00,23888.86,-562.08,40518.39,47038.53,BSL
2021-01-01 00:36:00,23888.96,-562.14,40518.42,47038.59,BSL
2021-01-01 00:37:00,23888.98,-562.22,40518.44,47038.61,BSL
