Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,5139.13,602.16,58060.83,58280.99,CBB
2021-01-01 00:01:00,5137.42,604.32,58057.20,58277.34,CBB
2021-01-01 00:02:00,5132.00,606.88,58056.69,58276.36,CBB
2021-01-01 00:03:00,5129.05,606.10,58061.92,58281.23,CBB
2021-01-01 00:04:00,5125.71,605.41,58067.60,58286.63,CBB
2021-01-01 00:05:00,5119.38,601.61,58071.74,58290.27,CBB
2021-01-01 00:06:00,5113.73,598.66,58075.02,58293.09,CBB
2021-01-01 00:07:00,5114.17,594.31,58077.05,58295.12,CBB
2021-01-01 00:08:00,5120.02,591.46,58074.68,58293.23,CBB
2021-01-01 00:09:00,5126.47,592.92,58067.07,58286.07,CBB
2021-01-01 00:10:00,5128.65,595.21,58059.31,58278.52,CBB
2021-01-01 00:11:00,5131.34,600.02,58053.48,58273.02,CBB
2021-01-01 00:12:00,5137.39,604.71,58048.16,58268.31,CBB
2021-01-01 00:13:00,5143.68,607.26,58042.37,58263.19,CBB
2021-01-01 00:14:00,5146.85,611.85,58046.48,58267.46,CBB
2021-01-01 00:15:00,5147.50,612.67,58051.90,58272.93,CBB
2021-01-01 00:16:00,5146.36,611.06,58058.47,58279.33,CBB
2021-01-01 00:17:00,5143.66,610.18,58064.18,58284.79,CBB
2021-01-01 00:18:00,5141.38,610.53,58067.19,58287.60,CBB
2021-01-01 00:19:00,5137.67,606.72,58066.03,58286.06,CBB
2021-01-01 00:20:00,5134.79,604.83,58063.10,58282.90,CBB
2021-01-01 00:21:00,5134.88,605.94,58059.79,58279.58,CBB
2021-01-01 00:22:00,5134.77,608.68,58058.62,58278.42,CBB
2021-01-01 00:23:00,5134.66,610.77,58059.38,58279.20,CBB
2021-01-01 00:24:00,5134.20,611.66,58062.20,58282.02,CBB
2021-01-01 00:25:00,5132.96,609.45,58066.00,58285.63,CBB
2021-01-01 00:26:00,5128.15,604.71,58069.06,58288.29,CBB
2021-01-01 00:27:00,5123.95,600.85,58070.05,58288.86,CBB
2021-01-01 00:28:00,5121.91,599.51,58069.52,58288.15,CBB
2021-01-01 00:29:00,5122.69,600.71,58067.64,58286.34,CBB
2021-01-01 00:30:00,5124.45,601.41,58064.49,58283.38,CBB
2021-01-01 00:31:00,5127.06,601.71,58062.40,58281.53,CBB
2021-01-01 00:32:00,5128.59,603.03,58062.06,58281.32,CBB
2021-01-01 00:33:00,5129.81,604.28,58062.63,58282.00,CBB
2021-01-01 00:34:00,5130.49,605.49,58063.70,58283.09,CBB
2021-01-01 00:35:00,5130.26,606.47,58064.37,58283.75,CBB
2021-01-01 00:36:00,5130.19,605.37,58065.07,58284.42,CBB
2021-01-01 00:37:00,5129.04,604.00,58065.23,58284.48,CBB
2021-01-01 00:38:00,5127.63,603.23,58064.72,58283.85,CBB
2021-01-01 00:39:00,5126.98,603.51,58064.04,58283.14,CBB
2021-01-01 00:40:00,5127.15,604.46,58063.30,58282.43,CBB
2021-01-01 00:41:00,5129.13,605.90,58062.08,58281.37,CBB
2021-01-01 00:42:00,5130.46,606.11,58062.23,58281.63,CBB
2021-01-01 00:43:00,5130.39,606.62,58061.68,58281.09,CBB
2021-01-01 00:44:00,5129.47,606.79,58062.95,58282.26,CBB
2021-01-01 00:45:00,5128.48,606.59,58064.36,58283.63,CBB
2021-01-01 00:46:00,5127.83,606.37,58064.98,58284.15,CBB
2021-01-01 00:47:00,5127.27,605.43,58065.38,58284.48,CBB
2021-01-01 00:48:00,5127.60,604.65,58065.68,58284.80,CBB
2021-01-01 00:49:00,5125.58,604.18,58065.55,58284.50,CBB
2021-01-01 00:50:00,5124.11,604.71,58065.23,58284.02,CBB
2021-01-01 00:51:00,5123.83,605.16,58066.18,58284.96,CBB
2021-01-01 00:52:00,5122.95,603.98,58065.71,58284.40,CBB
2021-01-01 00:53:00,5123.05,603.02,58065.16,58283.89,CBB
2021-01-01 00:54:00,5124.15,601.84,58064.65,58283.49,CBB
2021-01-01 00:55:00,5125.14,602.48,58064.04,58282.98,CBB
2021-01-01 00:56:00,5125.64,604.13,58062.73,58281.72,CBB
2021-01-01 00:57:00,5125.41,604.35,58061.88,58280.88,CBB
2021-01-01 00:58:00,5124.96,604.49,58061.98,58280.93,CBB
2021-01-01 00:59:00,5125.42,604.91,58062.51,58281.50,CBB
2021-01-01 01:00:00,5126.25,605.30,58062.85,58281.91,CBB
2021-01-01 01:01:00,5126.19,605.36,58062.98,58282.03,CBB
2021-01-01 01:02:00,5125.26,605.01,58062.93,58281.88,CBB
2021-01-01 01:03:00,5125.07,605.09,58062.91,58281.84,CBB
2021-01-01 01:04:00,5126.18,605.13,58062.96,58281.99,CBB
2021-01-01 01:05:00,5127.46,605.85,58063.38,58282.51,CBB
2021-01-01 01:06:00,5129.03,606.14,58064.77,58284.02,CBB
2021-01-01 01:07:00,5129.26,605.26,58065.06,58284.31,CBB
2021-01-01 01:08:00,5127.88,604.47,58065.38,58284.52,CBB
2021-01-01 01:09:00,5126.36,603.74,58066.53,58285.50,CBB
2021-01-01 01:10:00,5125.14,603.38,58065.91,58284.80,CBB
2021-01-01 01:11:00,5125.40,602.30,58064.68,58283.60,CBB
2021-01-01 01:12:00,5125.82,602.08,58063.72,58282.71,CBB
2021-01-01 01:13:00,5125.06,602.38,58061.46,58280.38,CBB
2021-01-01 01:14:00,5125.39,603.08,58059.77,58278.67,CBB
2021-01-01 01:15:00,5126.67,604.95,58059.48,58278.52,CBB
2021-01-01 01:16:00,5127.40,604.54,58060.16,58279.24,CBB
2021-01-01 01:17:00,5127.35,604.72,58060.38,58279.43,CBB
2021-01-01 01:18:00,5128.08,604.63,58061.45,58280.65,CBB
2021-01-01 01:19:00,5128.37,604.39,58062.21,58281.43,CBB
2021-01-01 01:20:00,5127.93,603.97,58063.66,58282.84,CBB
2021-01-01 01:21:00,5127.12,603.50,58064.67,58283.77,CBB
2021-01-01 01:22:00,5126.53,602.70,58064.26,58283.32,CBB
2021-01-01 01:23:00,5125.44,602.17,58064.18,58283.11,CBB
2021-01-01 01:24:00,5125.34,603.29,58064.55,58283.47,CBB
2021-01-01 01:25:00,5126.33,606.16,58063.08,58282.13,CBB
2021-01-01 01:26:00,5127.90,606.09,58062.60,58281.81,CBB
2021-01-01 01:27:00,5128.94,604.82,58063.04,58282.33,CBB
2021-01-01 01:28:00,5128.30,604.67,58062.52,58281.75,CBB
2021-01-01 01:29:00,5128.02,605.10,58062.20,58281.38,CBB
2021-01-01 01:30:00,5127.78,606.24,58062.93,58282.11,CBB
2021-01-01 01:31:00,5127.65,606.59,58063.87,58283.05,CBB
2021-01-01 01:32:00,5127.69,606.34,58065.16,58284.29,CBB
2021-01-01 01:33:00,5128.17,606.54,58065.60,58284.80,CBB
2021-01-01 01:34:00,5128.20,606.94,58065.83,58285.06,CBB
2021-01-01 01:35:00,5128.64,606.40,58065.84,58285.10,CBB
2021-01-01 01:36:00,5128.93,606.00,58065.08,58284.37,CBB
2021-01-01 01:37:00,5128.50,604.57,58064.25,58283.51,CBB
2021-01-01 01:38:00,5128.09,604.27,58064.30,58283.51,CBB
2021-01-01 01:39:00,5127.62,605.71,58064.18,58283.33,CBB
2021-01-01 01:40:00,5128.06,607.21,58063.74,58282.93,CBB
2021-01-01 01:41:00,5129.47,606.63,58063.73,58283.05,CBB
2021-01-01 01:42:00,5130.32,604.58,58064.43,58283.81,CBB
2021-01-01 01:43:00,5130.22,604.09,58064.68,58284.04,CBB
2021-01-01 01:44:00,5129.01,603.94,58063.46,58282.75,CBB
2021-01-01 01:45:00,5128.23,604.11,58062.70,58281.92,CBB
2021-01-01 01:46:00,5128.51,605.04,58062.91,58282.18,CBB
2021-01-01 01:47:00,5128.45,605.71,58063.21,58282.44,CBB
2021-01-01 01:48:00,5129.05,605.39,58063.17,58282.43,CBB
2021-01-01 01:49:00,5129.35,606.00,58063.77,58283.06,CBB
2021-01-01 01:50:00,5129.88,607.05,58064.09,58283.48,CBB
2021-01-01 01:51:00,5130.01,607.61,58063.85,58283.27,CBB
2021-01-01 01:52:00,5130.00,606.60,58064.43,58283.80,CBB
2021-01-01 01:53:00,5129.63,605.51,58065.83,58285.13,CBB
2021-01-01 01:54:00,5129.65,605.09,58066.55,58285.85,CBB
2021-01-01 01:55:00,5129.30,605.46,58065.79,58285.07,CBB
2021-01-01 01:56:00,5129.53,605.85,58065.69,58285.02,CBB
2021-01-01 01:57:00,5129.70,606.03,58066.37,58285.71,CBB
2021-01-01 01:58:00,5130.28,606.74,58065.86,58285.27,CBB
2021-01-01 01:59:00,5130.30,606.81,58065.36,58284.77,CBB
2021-01-01 02:00:00,5130.62,606.97,58065.70,58285.12,CBB
2021-01-01 02:01:00,5131.06,607.59,58066.36,58285.80,CBB
2021-01-01 02:02:00,5131.26,608.03,58067.09,58286.56,CBB
2021-01-01 02:03:00,5130.92,607.02,58067.92,58287.39,CBB
2021-01-01 02:04:00,5130.82,606.50,58069.00,58288.49,CBB
2021-01-01 02:05:00,5129.72,606.56,58069.15,58288.54,CBB
2021-01-01 02:06:00,5128.98,605.64,58068.75,58288.07,CBB
2021-01-01 02:07:00,5128.86,605.93,58068.50,58287.82,CBB
2021-01-01 02:08:00,5127.97,605.55,58068.11,58287.35,CBB
2021-01-01 02:09:00,5127.32,605.01,58068.30,58287.48,CBB
2021-01-01 02:10:00,5127.38,604.74,58068.34,58287.51,CBB
2021-01-01 02:11:00,5127.72,604.01,58068.59,58287.75,CBB
2021-01-01 02:12:00,5127.51,603.93,58069.04,58288.22,CBB
2021-01-01 02:13:00,5127.35,602.74,58069.19,58288.36,CBB
2021-01-01 02:14:00,5127.29,602.04,58068.45,58287.61,CBB
2021-01-01 02:15:00,5127.14,601.09,58067.60,58286.76,CBB
2021-01-01 02:16:00,5127.58,600.48,58068.11,58287.32,CBB
2021-01-01 02:17:00,5127.81,599.73,58067.94,58287.14,CBB
2021-01-01 02:18:00,5128.24,599.53,58067.28,58286.50,CBB
2021-01-01 02:19:00,5128.62,599.92,58065.98,58285.21,CBB
2021-01-01 02:20:00,5128.87,600.48,58064.88,58284.14,CBB
2021-01-01 02:21:00,5129.48,601.58,58064.67,58283.99,CBB
2021-01-01 02:22:00,5129.46,601.02,58064.32,58283.64,CBB
2021-01-01 02:23:00,5128.16,600.11,58064.57,58283.77,CBB
2021-01-01 02:24:00,5127.71,600.50,58064.06,58283.22,CBB
2021-01-01 02:25:00,5127.73,600.38,58063.08,58282.26,CBB
2021-01-01 02:26:00,5127.92,599.90,58062.42,58281.62,CBB
2021-01-01 02:27:00,5127.91,600.44,58061.83,58281.02,CBB
2021-01-01 02:28:00,5128.14,600.95,58061.48,58280.65,CBB
2021-01-01 02:29:00,5128.90,601.35,58061.06,58280.30,CBB
2021-01-01 02:30:00,5128.95,601.60,58060.17,58279.43,CBB
2021-01-01 02:31:00,5128.52,600.69,58059.64,58278.89,CBB
2021-01-01 02:32:00,5128.31,601.24,58059.47,58278.68,CBB
2021-01-01 02:33:00,5128.07,601.56,58059.34,58278.53,CBB
2021-01-01 02:34:00,5128.60,602.97,58058.71,58278.00,CBB
2021-01-01 02:35:00,5128.33,603.73,58057.35,58276.71,CBB
2021-01-01 02:36:00,5128.10,604.24,58056.36,58275.71,CBB
2021-01-01 02:37:00,5127.79,605.30,58055.83,58275.18,CBB
2021-01-01 02:38:00,5126.93,606.06,58055.95,58275.22,CBB
2021-01-01 02:39:00,5126.21,606.52,58056.72,58275.93,CBB
2021-01-01 02:40:00,5125.35,606.68,58057.46,58276.58,CBB
2021-01-01 02:41:00,5124.66,606.50,58058.50,58277.47,CBB
2021-01-01 02:42:00,5124.33,606.51,58059.17,58278.09,CBB
2021-01-01 02:43:00,5123.85,606.04,58059.84,58278.71,CBB
2021-01-01 02:44:00,5123.48,605.83,58060.61,58279.42,CBB
2021-01-01 02:45:00,5122.99,606.16,58061.03,58279.82,CBB
2021-01-01 02:46:00,5122.88,606.46,58061.55,58280.32,CBB
2021-01-01 02:47:00,5122.90,606.91,58061.96,58280.71,CBB
2021-01-01 02:48:00,5123.06,606.66,58062.50,58281.31,CBB
2021-01-01 02:49:00,5122.97,606.51,58062.96,58281.78,CBB
2021-01-01 02:50:00,5122.76,606.74,58063.22,58282.00,CBB
2021-01-01 02:51:00,5122.40,607.15,58063.17,58281.94,CBB
2021-01-01 02:52:00,5122.08,607.58,58063.18,58281.95,CBB
2021-01-01 02:53:00,5122.02,607.63,58063.32,58282.07,CBB
2021-01-01 02:54:00,5121.86,607.33,58063.61,58282.32,CBB
2021-01-01 02:55:00,5121.50,606.95,58064.08,58282.75,CBB
2021-01-01 02:56:00,5121.24,607.02,58064.26,58282.91,CBB
2021-01-01 02:57:00,5120.96,607.30,58064.36,58282.97,CBB
2021-01-01 02:58:00,5120.80,607.45,58064.49,58283.06,CBB
2021-01-01 02:59:00,5120.80,607.46,58064.75,58283.31,CBB
2021-01-01 03:00:00,5120.76,607.73,58064.89,58283.46,CBB
2021-01-01 03:01:00,5120.39,608.10,58064.95,58283.50,CBB
2021-01-01 03:02:00,5119.54,607.97,58064.95,58283.40,CBB
2021-01-01 03:03:00,5118.25,607.60,58065.16,58283.51,CBB
2021-01-01 03:04:00,5117.14,607.24,58065.46,58283.72,CBB
2021-01-01 03:05:00,5116.75,606.38,58066.23,58284.46,CBB
2021-01-01 03:06:00,5117.07,605.49,58067.36,58285.61,CBB
2021-01-01 03:07:00,5117.73,604.70,58068.04,58286.36,CBB
2021-01-01 03:08:00,5118.34,604.26,58068.32,58286.66,CBB
2021-01-01 03:09:00,5118.25,603.87,58068.17,58286.50,CBB
2021-01-01 03:10:00,5118.28,603.68,58067.77,58286.09,CBB
2021-01-01 03:11:00,5118.41,603.40,58067.44,58285.72,CBB
2021-01-01 03:12:00,5118.55,603.01,58067.08,58285.39,CBB
2021-01-01 03:13:00,5118.49,602.62,58066.59,58284.86,CBB
2021-01-01 03:14:00,5118.40,602.64,58065.80,58284.13,CBB
2021-01-01 03:15:00,5118.19,602.79,58065.16,58283.45,CBB
2021-01-01 03:16:00,5117.76,602.67,58064.52,58282.80,CBB
