Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,34948.10,-1259.89,-32378.60,47658.67,CKI
2021-01-01 00:01:00,34948.20,-1260.13,-32378.68,47658.84,CKI
2021-01-01 00:02:00,34948.47,-1260.36,-32378.63,47659.03,CKI
2021-01-01 00:03:00,34948.72,-1260.71,-32378.67,47659.20,CKI
2021-01-01 00:04:00,34948.71,-1261.27,-32378.81,47659.32,CKI
2021-01-01 00:05:00,34948.73,-1261.47,-32378.84,47659.36,CKI
2021-01-01 00:06:00,34948.49,-1261.64,-32378.97,47659.29,CKI
2021-01-01 00:07:00,34948.10,-1262.11,-32379.31,47659.26,CKI
2021-01-01 00:08:00,34948.01,-1262.25,-32379.42,47659.22,CKI
2021-01-01 00:09:00,34948.08,-1262.24,-32379.41,47659.27,CKI
2021-01-01 00:10:00,34948.22,-1262.27,-32379.40,47659.35,CKI
2021-01-01 00:11:00,34948.25,-1262.27,-32379.41,47659.37,CKI
2021-01-01 00:12:00,34948.32,-1262.45,-32379.43,47659.46,CKI
2021-01-01 00:13:00,34948.33,-1262.63,-32379.50,47659.56,CKI
2021-01-01 00:14:00,34948.47,-1262.97,-32379.55,47659.71,CKI
2021-01-01 00:15:00,34948.49,-1263.44,-32379.72,47659.78,CKI
2021-01-01 00:16:00,34948.56,-1263.68,-32379.74,47659.88,CKI
2021-01-01 00:17:00,34948.59,-1264.09,-32379.88,47660.00,CKI
2021-01-01 00:18:00,34948.55,-1264.51,-32379.99,47660.05,CKI
2021-01-01 00:19:00,34948.64,-1264.45,-32379.90,47660.08,CKI
2021-01-01 00:20:00,34948.64,-1264.78,-32379.96,47660.15,CKI
2021-01-01 00:21:00,34948.64,-1265.05,-32380.04,47660.20,CKI
2021-01-01 00:22:00,34948.67,-1265.29,-32380.13,47660.28,CKI
2021-01-01 00:23:00,34948.63,-1265.85,-32380.31,47660.34,CKI
2021-01-01 00:24:00,34948.58,-1266.20,-32380.44,47660.43,CKI
2021-01-01 00:25:00,34948.50,-1266.62,-32380.55,47660.44,CKI
2021-01-01 00:26:00,34948.45,-1267.08,-32380.67,47660.47,CKI
2021-01-01 00:27:00,34948.39,-1267.18,-32380.70,47660.47,CKI
2021-01-01 00:28:00,34948.44,-1267.26,-32380.68,47660.48,CKI
2021-01-01 00:29:00,34948.53,-1267.32,-32380.63,47660.51,CKI
2021-01-01 00:30:00,34948.54,-1267.43,-32380.66,47660.56,CKI
2021-01-01 00:31:00,34948.62,-1267.53,-32380.65,47660.61,CKI
2021-01-01 00:32:00,34948.61,-1267.65,-32380.65,47660.64,CKI
2021-01-01 00:33:00,34948.66,-1267.84,-32380.67,47660.69,CKI
2021-01-01 00:34:00,34948.66,-1267.90,-32380.67,47660.68,CKI
2021-01-01 00:35:00,34948.66,-1268.00,-32380.68,47660.70,CKI
2021-01-01 00:36:00,34948.72,-1268.12,-32380.66,47660.70,CKI
2021-01-01 00:37:00,34948.68,-1268.27,-32380.73,47660.75,CKI
2021-01-01 00:38:00,34948.75,-1268.41,-32380.73,47660.79,CKI
2021-01-01 00:39:00,34948.74,-1268.56,-32380.77,47660.81,CKI
2021-01-01 00:40:00,34948.63,-1268.61,-32380.81,47660.76,CKI
2021-01-01 00:41:00,34948.63,-1268.64,-32380.83,47660.81,CKI
2021-01-01 00:42:00,34948.75,-1268.58,-32380.76,47660.81,CKI
2021-01-01 00:43:00,34948.80,-1268.64,-32380.76,47660.85,CKI
2021-01-01 00:44:00,34948.85,-1268.79,-32380.77,47660.92,CKI
2021-01-01 00:45:00,34948.89,-1269.01,-32380.82,47660.95,CKI
2021-01-01 00:46:00,34948.79,-1269.16,-32380.85,47660.96,CKI
2021-01-01 00:47:00,34948.68,-1269.35,-32380.94,47660.94,CKI
2021-01-01 00:48:00,34948.76,-1269.52,-32380.99,47661.02,CKI
2021-01-01 00:49:00,34948.88,-1269.45,-32380.91,47661.03,CKI
2021-01-01 00:50:00,34948.98,-1269.63,-32380.90,47661.10,CKI
2021-01-01 00:51:00,34949.01,-1269.65,-32380.90,47661.08,CKI
2021-01-01 00:52:00,34948.97,-1269.77,-32380.93,47661.15,CKI
2021-01-01 00:53:00,34948.98,-1269.96,-32380.97,47661.15,CKI
