Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,21267.73,429.95,43077.22,48043.20,CLF
2021-01-01 00:01:00,21267.68,429.94,43077.23,48043.19,CLF
2021-01-01 00:02:00,21267.78,429.84,43077.25,48043.26,CLF
2021-01-01 00:03:00,21267.62,429.88,43077.24,48043.17,CLF
2021-01-01 00:04:00,21267.53,429.98,43077.23,48043.13,CLF
2021-01-01 00:05:00,21267.61,429.72,43077.23,48043.17,CLF
2021-01-01 00:06:00,21267.89,429.23,43077.22,48043.29,CLF
2021-01-01 00:07:00,21268.53,428.70,43077.39,48043.73,CLF
2021-01-01 00:08:00,21269.25,428.35,43077.42,48044.07,CLF
2021-01-01 00:09:00,21269.39,428.53,43077.32,48044.03,CLF
2021-01-01 00:10:00,21269.19,429.07,43077.30,48043.95,CLF
2021-01-01 00:11:00,21269.12,429.27,43077.45,48044.06,CLF
2021-01-01 00:12:00,21268.95,429.31,43077.39,48043.94,CLF
2021-01-01 00:13:00,21268.76,429.08,43077.41,48043.88,CLF
2021-01-01 00:14:00,21268.92,429.07,43077.47,48044.01,CLF
2021-01-01 00:15:00,21268.77,429.18,43077.47,48043.96,CLF
2021-01-01 00:16:00,21268.42,429.33,43077.39,48043.70,CLF
2021-01-01 00:17:00,21268.02,429.37,43077.44,48043.59,CLF
2021-01-01 00:18:00,21267.75,429.45,43077.55,48043.54,CLF
2021-01-01 00:19:00,21267.55,429.51,43077.49,48043.37,CLF
2021-01-01 00:20:00,21267.70,429.40,43077.57,48043.52,CLF
2021-01-01 00:21:00,21267.59,429.20,43077.65,48043.53,CLF
2021-01-01 00:22:00,21267.70,428.91,43077.66,48043.58,CLF
2021-01-01 00:23:00,21267.86,428.65,43077.75,48043.68,CLF
2021-01-01 00:24:00,21267.94,428.51,43077.68,48043.66,CLF
2021-01-01 00:25:00,21268.17,428.29,43077.62,48043.70,CLF
2021-01-01 00:26:00,21268.46,428.04,43077.75,48043.94,CLF
2021-01-01 00:27:00,21268.42,428.11,43077.66,48043.85,CLF
2021-01-01 00:28:00,21268.38,428.13,43077.68,48043.83,CLF
2021-01-01 00:29:00,21268.47,428.15,43077.74,48043.97,CLF
2021-01-01 00:30:00,21268.46,428.39,43077.60,48043.84,CLF
2021-01-01 00:31:00,21268.51,428.34,43077.61,48043.82,CLF
2021-01-01 00:32:00,21268.67,428.26,43077.76,48044.08,CLF
2021-01-01 00:33:00,21268.68,428.20,43077.58,48043.95,CLF
2021-01-01 00:34:00,21268.53,428.26,43077.24,48043.58,CLF
2021-01-01 00:35:00,21268.36,428.17,43077.14,48043.44,CLF
2021-01-01 00:36:00,21268.15,428.20,43077.06,48043.24,CLF
2021-01-01 00:37:00,21268.27,428.07,43077.14,48043.33,CLF
2021-01-01 00:38:00,21268.08,428.29,43076.96,48043.12,CLF
2021-01-01 00:39:00,21268.16,428.16,43077.14,48043.30,CLF
2021-01-01 00:40:00,21268.17,428.14,43077.19,48043.35,CLF
2021-01-01 00:41:00,21267.99,428.35,43077.19,48043.30,CLF
2021-01-01 00:42:00,21267.91,428.50,43077.21,48043.27,CLF
2021-01-01 00:43:00,21267.77,428.59,43077.17,48043.19,CLF
2021-01-01 00:44:00,21267.73,428.56,43077.15,48043.16,CLF
2021-01-01 00:45:00,21267.86,428.39,43077.26,48043.31,CLF
2021-01-01 00:46:00,21268.20,428.09,43077.49,48043.65,CLF
2021-01-01 00:47:00,21268.01,428.16,43077.33,48043.44,CLF
2021-01-01 00:48:00,21267.91,428.22,43077.31,48043.40,CLF
2021-01-01 00:49:00,21268.01,428.08,43077.39,48043.49,CLF
2021-01-01 00:50:00,21268.03,428.02,43077.43,48043.55,CLF
2021-01-01 00:51:00,21268.02,428.05,43077.40,48043.48,CLF
2021-01-01 00:52:00,21268.17,427.95,43077.43,48043.62,CLF
2021-01-01 00:53:00,21268.24,428.00,43077.42,48043.66,CLF
2021-01-01 00:54:00,21268.11,428.10,43077.30,48043.50,CLF
2021-01-01 00:55:00,21268.22,428.08,43077.30,48043.56,CLF
2021-01-01 00:56:00,21268.22,428.06,43077.35,48043.56,CLF
2021-01-01 00:57:00,21268.08,428.16,43077.27,48043.38,CLF
2021-01-01 00:58:00,21268.02,428.11,43077.22,48043.33,CLF
2021-01-01 00:59:00,21268.05,428.13,43077.27,48043.38,CLF
2021-01-01 01:00:00,21268.10,428.27,43077.26,48043.41,CLF
2021-01-01 01:01:00,21268.16,428.30,43077.38,48043.47,CLF
2021-01-01 01:02:00,21268.25,428.52,43077.41,48043.51,CLF
2021-01-01 01:03:00,21268.22,428.83,43077.25,48043.43,CLF
2021-01-01 01:04:00,21268.35,428.95,43077.33,48043.54,CLF
2021-01-01 01:05:00,21268.46,429.16,43077.33,48043.61,CLF
2021-01-01 01:06:00,21268.49,429.47,43077.16,48043.47,CLF
2021-01-01 01:07:00,21268.57,429.41,43077.26,48043.59,CLF
2021-01-01 01:08:00,21268.61,429.49,43077.20,48043.56,CLF
2021-01-01 01:09:00,21268.61,429.43,43077.13,48043.50,CLF
2021-01-01 01:10:00,21268.65,429.41,43077.13,48043.49,CLF
2021-01-01 01:11:00,21268.76,429.37,43077.09,48043.50,CLF
2021-01-01 01:12:00,21269.09,429.06,43077.54,48044.08,CLF
2021-01-01 01:13:00,21269.19,429.03,43077.53,48044.15,CLF
2021-01-01 01:14:00,21269.23,429.01,43077.48,48044.12,CLF
2021-01-01 01:15:00,21269.17,428.84,43077.50,48044.09,CLF
2021-01-01 01:16:00,21269.27,428.70,43077.50,48044.13,CLF
2021-01-01 01:17:00,21269.40,428.56,43077.52,48044.20,CLF
2021-01-01 01:18:00,21269.38,428.54,43077.50,48044.16,CLF
2021-01-01 01:19:00,21269.47,428.40,43077.57,48044.27,CLF
2021-01-01 01:20:00,21269.55,428.45,43077.52,48044.27,CLF
2021-01-01 01:21:00,21269.67,428.43,43077.53,48044.34,CLF
2021-01-01 01:22:00,21269.90,428.33,43077.61,48044.50,CLF
2021-01-01 01:23:00,21269.98,428.24,43077.71,48044.63,CLF
2021-01-01 01:24:00,21269.96,428.42,43077.61,48044.56,CLF
2021-01-01 01:25:00,21270.03,428.31,43077.71,48044.65,CLF
2021-01-01 01:26:00,21270.08,428.09,43077.78,48044.75,CLF
2021-01-01 01:27:00,21269.82,428.08,43077.68,48044.57,CLF
2021-01-01 01:28:00,21269.73,428.02,43077.78,48044.62,CLF
2021-01-01 01:29:00,21269.68,428.04,43077.82,48044.64,CLF
2021-01-01 01:30:00,21269.53,428.14,43077.79,48044.54,CLF
2021-01-01 01:31:00,21269.65,427.83,43078.02,48044.81,CLF
2021-01-01 01:32:00,21269.73,427.69,43078.03,48044.85,CLF
2021-01-01 01:33:00,21269.59,427.84,43077.74,48044.53,CLF
2021-01-01 01:34:00,21269.57,427.86,43077.64,48044.43,CLF
2021-01-01 01:35:00,21269.65,427.72,43077.74,48044.52,CLF
2021-01-01 01:36:00,21269.43,427.76,43077.67,48044.38,CLF
2021-01-01 01:37:00,21269.41,427.71,43077.74,48044.43,CLF
2021-01-01 01:38:00,21269.33,427.87,43077.64,48044.31,CLF
2021-01-01 01:39:00,21269.20,428.00,43077.55,48044.16,CLF
2021-01-01 01:40:00,21269.24,428.02,43077.56,48044.19,CLF
2021-01-01 01:41:00,21269.29,428.06,43077.60,48044.22,CLF
2021-01-01 01:42:00,21269.15,428.15,43077.59,48044.14,CLF
2021-01-01 01:43:00,21269.21,428.10,43077.69,48044.23,CLF
2021-01-01 01:44:00,21269.25,428.01,43077.80,48044.35,CLF
2021-01-01 01:45:00,21269.19,428.01,43077.79,48044.30,CLF
2021-01-01 01:46:00,21269.28,427.98,43077.85,48044.39,CLF
2021-01-01 01:47:00,21269.31,427.90,43077.86,48044.41,CLF
2021-01-01 01:48:00,21269.25,427.91,43077.75,48044.30,CLF
2021-01-01 01:49:00,21269.26,427.78,43077.81,48044.38,CLF
2021-01-01 01:50:00,21269.33,427.82,43077.87,48044.47,CLF
2021-01-01 01:51:00,21269.29,427.93,43077.75,48044.36,CLF
2021-01-01 01:52:00,21269.32,427.80,43077.78,48044.39,CLF
2021-01-01 01:53:00,21269.40,427.83,43077.74,48044.39,CLF
2021-01-01 01:54:00,21269.43,427.82,43077.77,48044.41,CLF
2021-01-01 01:55:00,21269.33,427.87,43077.75,48044.34,CLF
2021-01-01 01:56:00,21269.43,427.90,43077.80,48044.45,CLF
2021-01-01 01:57:00,21269.37,427.86,43077.81,48044.43,CLF
2021-01-01 01:58:00,21269.33,428.03,43077.63,48044.25,CLF
2021-01-01 01:59:00,21269.43,428.00,43077.76,48044.40,CLF
2021-01-01 02:00:00,21269.43,427.90,43077.79,48044.42,CLF
2021-01-01 02:01:00,21269.47,427.75,43077.72,48044.38,CLF
2021-01-01 02:02:00,21269.64,427.50,43077.80,48044.55,CLF
2021-01-01 02:03:00,21269.68,427.43,43077.73,48044.51,CLF
2021-01-01 02:04:00,21269.87,427.38,43077.62,48044.51,CLF
2021-01-01 02:05:00,21270.10,427.18,43077.76,48044.74,CLF
2021-01-01 02:06:00,21270.14,427.12,43077.70,48044.70,CLF
2021-01-01 02:07:00,21270.00,427.03,43077.60,48044.56,CLF
2021-01-01 02:08:00,21270.37,426.91,43077.81,48044.89,CLF
2021-01-01 02:09:00,21270.13,426.91,43077.70,48044.71,CLF
2021-01-01 02:10:00,21270.40,426.91,43077.69,48044.83,CLF
2021-01-01 02:11:00,21270.55,426.82,43077.82,48045.02,CLF
2021-01-01 02:12:00,21270.30,426.87,43077.71,48044.83,CLF
2021-01-01 02:13:00,21270.12,426.96,43077.57,48044.64,CLF
2021-01-01 02:14:00,21270.42,426.99,43077.71,48044.91,CLF
2021-01-01 02:15:00,21270.24,427.15,43077.54,48044.69,CLF
2021-01-01 02:16:00,21270.23,427.31,43077.39,48044.56,CLF
2021-01-01 02:17:00,21270.29,427.43,43077.51,48044.66,CLF
2021-01-01 02:18:00,21270.43,427.61,43077.68,48044.88,CLF
2021-01-01 02:19:00,21270.03,427.95,43077.35,48044.42,CLF
