Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,12102.10,3601.20,55007.30,56439.66,CMO
2021-01-01 00:01:00,12105.30,3602.00,55006.30,56439.43,CMO
2021-01-01 00:02:00,12104.60,3603.20,55005.80,56438.87,CMO
2021-01-01 00:03:00,12102.30,3602.80,55005.80,56438.35,CMO
2021-01-01 00:04:00,12103.20,3600.20,55005.10,56437.79,CMO
2021-01-01 00:05:00,12102.80,3599.80,55004.40,56437.00,CMO
2021-01-01 00:06:00,12098.70,3604.70,55005.70,56437.70,CMO
2021-01-01 00:07:00,12097.20,3608.10,55007.70,56439.44,CMO
2021-01-01 00:08:00,12097.10,3609.70,55009.50,56441.08,CMO
2021-01-01 00:09:00,12096.10,3608.00,55010.20,56441.54,CMO
2021-01-01 00:10:00,12095.40,3606.80,55010.60,56441.70,CMO
2021-01-01 00:11:00,12095.60,3605.70,55010.80,56441.87,CMO
2021-01-01 00:12:00,12098.40,3604.50,55010.20,56441.91,CMO
2021-01-01 00:13:00,12098.70,3603.70,55009.50,56441.24,CMO
2021-01-01 00:14:00,12099.40,3603.70,55009.10,56441.10,CMO
2021-01-01 00:15:00,12100.90,3604.20,55008.90,56441.16,CMO
2021-01-01 00:16:00,12102.70,3604.00,55008.40,56440.94,CMO
2021-01-01 00:17:00,12102.60,3604.10,55007.90,56440.54,CMO
2021-01-01 00:18:00,12101.40,3601.80,55007.60,56439.74,CMO
2021-01-01 00:19:00,12098.60,3600.00,55007.30,56438.94,CMO
2021-01-01 00:20:00,12097.50,3600.30,55007.50,56439.02,CMO
2021-01-01 00:21:00,12099.00,3601.10,55007.60,56439.39,CMO
2021-01-01 00:22:00,12099.10,3602.60,55007.60,56439.50,CMO
2021-01-01 00:23:00,12099.00,3604.70,55008.10,56440.00,CMO
2021-01-01 00:24:00,12099.80,3606.60,55008.60,56440.68,CMO
2021-01-01 00:25:00,12101.10,3608.30,55009.00,56441.36,CMO
2021-01-01 00:26:00,12102.00,3609.90,55009.30,56441.95,CMO
2021-01-01 00:27:00,12101.60,3610.20,55009.40,56442.08,CMO
2021-01-01 00:28:00,12101.40,3609.30,55009.30,56441.88,CMO
2021-01-01 00:29:00,12101.50,3608.00,55008.90,56441.43,CMO
2021-01-01 00:30:00,12102.10,3607.00,55008.40,56441.11,CMO
2021-01-01 00:31:00,12103.20,3606.60,55008.00,56440.83,CMO
2021-01-01 00:32:00,12103.30,3606.20,55007.50,56440.24,CMO
2021-01-01 00:33:00,12102.90,3606.00,55007.20,56439.94,CMO
2021-01-01 00:34:00,12102.20,3606.40,55007.20,56439.92,CMO
