Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,23093.49,5165.55,-52949.21,57996.58,CNB
2021-01-01 00:01:00,23093.78,5165.70,-52949.15,57996.68,CNB
2021-01-01 00:02:00,23093.87,5165.76,-52949.01,57996.59,CNB
2021-01-01 00:03:00,23093.91,5165.44,-52948.81,57996.40,CNB
2021-01-01 00:04:00,23094.28,5165.24,-52948.58,57996.31,CNB
2021-01-01 00:05:00,23093.78,5164.86,-52948.32,57995.85,CNB
2021-01-01 00:06:00,23093.21,5164.20,-52948.15,57995.40,CNB
2021-01-01 00:07:00,23093.26,5164.77,-52948.16,57995.45,CNB
2021-01-01 00:08:00,23093.05,5165.47,-52948.29,57995.60,CNB
2021-01-01 00:09:00,23092.88,5166.24,-52948.44,57995.71,CNB
2021-01-01 00:10:00,23093.35,5167.06,-52948.54,57996.07,CNB
2021-01-01 00:11:00,23093.68,5168.00,-52948.62,57996.33,CNB
2021-01-01 00:12:00,23093.79,5168.31,-52948.66,57996.44,CNB
2021-01-01 00:13:00,23093.31,5168.32,-52948.60,57996.21,CNB
2021-01-01 00:14:00,23093.43,5168.68,-52948.66,57996.33,CNB
2021-01-01 00:15:00,23093.68,5168.75,-52948.54,57996.35,CNB
2021-01-01 00:16:00,23093.87,5169.09,-52948.49,57996.41,CNB
2021-01-01 00:17:00,23094.11,5169.57,-52948.45,57996.55,CNB
2021-01-01 00:18:00,23094.62,5170.15,-52948.45,57996.78,CNB
2021-01-01 00:19:00,23094.41,5170.69,-52948.50,57996.78,CNB
2021-01-01 00:20:00,23094.55,5171.33,-52948.57,57996.94,CNB
2021-01-01 00:21:00,23094.75,5171.85,-52948.60,57997.09,CNB
2021-01-01 00:22:00,23094.41,5172.37,-52948.66,57997.09,CNB
2021-01-01 00:23:00,23094.37,5172.87,-52948.76,57997.19,CNB
2021-01-01 00:24:00,23094.15,5173.10,-52948.81,57997.20,CNB
