Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,39459.66,-493.82,17524.65,43178.95,CPL
2021-01-01 00:01:00,39459.76,-493.83,17524.60,43179.00,CPL
2021-01-01 00:02:00,39459.98,-493.71,17524.61,43179.23,CPL
2021-01-01 00:03:00,39460.18,-493.60,17524.56,43179.36,CPL
2021-01-01 00:04:00,39460.18,-493.60,17524.55,43179.38,CPL
2021-01-01 00:05:00,39460.22,-493.72,17524.62,43179.46,CPL
2021-01-01 00:06:00,39460.12,-493.94,17524.68,43179.40,CPL
2021-01-01 00:07:00,39459.73,-494.17,17524.77,43179.04,CPL
2021-01-01 00:08:00,39459.64,-494.28,17524.81,43178.98,CPL
2021-01-01 00:09:00,39459.71,-494.05,17524.75,43179.05,CPL
2021-01-01 00:10:00,39459.90,-493.83,17524.64,43179.14,CPL
2021-01-01 00:11:00,39459.95,-493.60,17524.61,43179.16,CPL
2021-01-01 00:12:00,39459.97,-493.60,17524.62,43179.19,CPL
2021-01-01 00:13:00,39459.96,-493.60,17524.66,43179.21,CPL
2021-01-01 00:14:00,39460.04,-493.60,17524.65,43179.32,CPL
2021-01-01 00:15:00,39460.04,-493.48,17524.66,43179.28,CPL
2021-01-01 00:16:00,39460.16,-493.60,17524.70,43179.38,CPL
2021-01-01 00:17:00,39460.11,-493.72,17524.71,43179.37,CPL
2021-01-01 00:18:00,39460.08,-493.83,17524.75,43179.33,CPL
2021-01-01 00:19:00,39460.23,-494.06,17524.77,43179.51,CPL
2021-01-01 00:20:00,39460.35,-494.18,17524.80,43179.62,CPL
2021-01-01 00:21:00,39460.46,-494.29,17524.81,43179.73,CPL
2021-01-01 00:22:00,39460.53,-494.64,17524.86,43179.81,CPL
2021-01-01 00:23:00,39460.50,-494.87,17524.91,43179.83,CPL
2021-01-01 00:24:00,39460.52,-495.10,17524.95,43179.90,CPL
2021-01-01 00:25:00,39460.50,-495.21,17525.00,43179.85,CPL
2021-01-01 00:26:00,39460.47,-495.33,17525.02,43179.81,CPL
2021-01-01 00:27:00,39460.50,-495.33,17525.03,43179.89,CPL
2021-01-01 00:28:00,39460.60,-495.33,17525.01,43179.96,CPL
2021-01-01 00:29:00,39460.75,-495.22,17524.96,43180.08,CPL
2021-01-01 00:30:00,39460.87,-495.33,17525.02,43180.26,CPL
2021-01-01 00:31:00,39461.02,-495.33,17524.99,43180.36,CPL
2021-01-01 00:32:00,39461.14,-495.34,17524.98,43180.45,CPL
2021-01-01 00:33:00,39461.21,-495.45,17525.01,43180.54,CPL
2021-01-01 00:34:00,39461.30,-495.57,17525.04,43180.60,CPL
2021-01-01 00:35:00,39461.36,-495.57,17525.03,43180.64,CPL
2021-01-01 00:36:00,39461.43,-495.57,17525.04,43180.69,CPL
2021-01-01 00:37:00,39461.45,-495.57,17525.02,43180.67,CPL
2021-01-01 00:38:00,39461.56,-495.57,17525.01,43180.81,CPL
2021-01-01 00:39:00,39461.59,-495.57,17525.01,43180.84,CPL
2021-01-01 00:40:00,39461.49,-495.57,17525.03,43180.76,CPL
2021-01-01 00:41:00,39461.42,-495.57,17525.03,43180.71,CPL
