Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,-1154.02,-8936.89,-63484.84,64121.14,CSY
2021-01-01 00:01:00,-1156.95,-8939.58,-63480.93,64117.64,CSY
2021-01-01 00:02:00,-1159.87,-8940.00,-63477.20,64114.08,CSY
2021-01-01 00:03:00,-1163.58,-8940.63,-63472.55,64109.64,CSY
2021-01-01 00:04:00,-1167.95,-8941.39,-63468.26,64105.60,CSY
2021-01-01 00:05:00,-1170.95,-8941.26,-63465.35,64102.68,CSY
2021-01-01 00:06:00,-1168.50,-8939.75,-63466.53,64103.53,CSY
2021-01-01 00:07:00,-1166.33,-8937.82,-63471.05,64107.71,CSY
2021-01-01 00:08:00,-1163.05,-8935.44,-63477.42,64113.60,CSY
2021-01-01 00:09:00,-1158.30,-8936.01,-63483.00,64119.13,CSY
2021-01-01 00:10:00,-1155.97,-8938.45,-63484.74,64121.19,CSY
2021-01-01 00:11:00,-1156.22,-8941.23,-63484.45,64121.30,CSY
2021-01-01 00:12:00,-1156.69,-8942.23,-63484.63,64121.60,CSY
2021-01-01 00:13:00,-1156.65,-8944.67,-63482.97,64120.33,CSY
2021-01-01 00:14:00,-1157.58,-8946.02,-63480.05,64117.62,CSY
2021-01-01 00:15:00,-1157.10,-8946.20,-63478.80,64116.38,CSY
2021-01-01 00:16:00,-1158.20,-8945.46,-63475.78,64113.33,CSY
2021-01-01 00:17:00,-1160.76,-8944.70,-63471.67,64109.24,CSY
2021-01-01 00:18:00,-1163.78,-8942.42,-63467.98,64105.32,CSY
2021-01-01 00:19:00,-1166.25,-8942.80,-63464.33,64101.79,CSY
2021-01-01 00:20:00,-1166.38,-8943.00,-63462.36,64099.84,CSY
2021-01-01 00:21:00,-1166.69,-8943.61,-63460.67,64098.26,CSY
2021-01-01 00:22:00,-1166.61,-8945.57,-63459.01,64096.88,CSY
2021-01-01 00:23:00,-1167.07,-8945.81,-63456.52,64094.52,CSY
2021-01-01 00:24:00,-1168.92,-8945.77,-63454.64,64092.59,CSY
2021-01-01 00:25:00,-1170.28,-8945.32,-63453.31,64091.29,CSY
2021-01-01 00:26:00,-1170.66,-8945.19,-63452.02,64089.93,CSY
2021-01-01 00:27:00,-1170.05,-8944.34,-63451.39,64089.22,CSY
2021-01-01 00:28:00,-1168.99,-8944.49,-63450.29,64088.17,CSY
2021-01-01 00:29:00,-1167.35,-8944.14,-63448.46,64086.25,CSY
2021-01-01 00:30:00,-1167.66,-8944.14,-63445.84,64083.69,CSY
2021-01-01 00:31:00,-1167.97,-8945.37,-63443.37,64081.42,CSY
2021-01-01 00:32:00,-1168.88,-8946.71,-63441.01,64079.25,CSY
2021-01-01 00:33:00,-1168.85,-8946.88,-63439.17,64077.46,CSY
2021-01-01 00:34:00,-1167.65,-8945.52,-63438.54,64076.61,CSY
2021-01-01 00:35:00,-1166.84,-8945.25,-63438.96,64076.94,CSY
2021-01-01 00:36:00,-1164.79,-8944.07,-63440.72,64078.46,CSY
2021-01-01 00:37:00,-1161.58,-8943.18,-63444.11,64081.68,CSY
2021-01-01 00:38:00,-1158.96,-8942.89,-63447.14,64084.62,CSY
2021-01-01 00:39:00,-1155.98,-8941.69,-63450.54,64087.73,CSY
2021-01-01 00:40:00,-1155.51,-8940.95,-63452.51,64089.60,CSY
2021-01-01 00:41:00,-1158.31,-8942.89,-63450.97,64088.41,CSY
2021-01-01 00:42:00,-1161.23,-8945.24,-63449.25,64087.13,CSY
2021-01-01 00:43:00,-1163.76,-8947.37,-63447.44,64085.67,CSY
2021-01-01 00:44:00,-1164.80,-8948.45,-63445.66,64084.06,CSY
2021-01-01 00:45:00,-1165.46,-8947.67,-63444.01,64082.34,CSY
2021-01-01 00:46:00,-1166.26,-8946.76,-63444.14,64082.36,CSY
2021-01-01 00:47:00,-1165.20,-8944.73,-63446.15,64084.01,CSY
2021-01-01 00:48:00,-1163.05,-8943.42,-63449.98,64087.55,CSY
2021-01-01 00:49:00,-1161.15,-8941.89,-63453.45,64090.78,CSY
