Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,30068.96,-4375.89,40370.12,50525.20,CYG
2021-01-01 00:01:00,30068.87,-4375.48,40370.04,50525.13,CYG
2021-01-01 00:02:00,30069.26,-4375.29,40369.96,50525.34,CYG
2021-01-01 00:03:00,30069.56,-4375.16,40369.91,50525.36,CYG
2021-01-01 00:04:00,30069.86,-4374.86,40369.84,50525.42,CYG
2021-01-01 00:05:00,30069.83,-4374.62,40369.80,50525.40,CYG
2021-01-01 00:06:00,30069.20,-4375.17,40369.70,50525.01,CYG
2021-01-01 00:07:00,30068.07,-4375.52,40369.68,50524.38,CYG
2021-01-01 00:08:00,30067.21,-4375.29,40369.71,50523.91,CYG
2021-01-01 00:09:00,30067.24,-4375.14,40369.60,50523.78,CYG
2021-01-01 00:10:00,30067.53,-4375.06,40369.50,50523.88,CYG
2021-01-01 00:11:00,30067.63,-4374.77,40369.44,50523.80,CYG
2021-01-01 00:12:00,30067.59,-4374.43,40369.37,50523.70,CYG
2021-01-01 00:13:00,30067.66,-4374.37,40369.31,50523.75,CYG
2021-01-01 00:14:00,30067.88,-4374.55,40369.15,50523.75,CYG
2021-01-01 00:15:00,30067.72,-4374.31,40369.08,50523.65,CYG
2021-01-01 00:16:00,30067.85,-4374.32,40369.01,50523.66,CYG
2021-01-01 00:17:00,30067.90,-4374.28,40368.90,50523.58,CYG
2021-01-01 00:18:00,30068.13,-4374.52,40368.77,50523.63,CYG
2021-01-01 00:19:00,30068.11,-4374.09,40368.71,50523.60,CYG
2021-01-01 00:20:00,30068.13,-4373.97,40368.65,50523.53,CYG
2021-01-01 00:21:00,30068.22,-4374.19,40368.61,50523.54,CYG
2021-01-01 00:22:00,30068.11,-4374.09,40368.55,50523.43,CYG
2021-01-01 00:23:00,30068.20,-4374.44,40368.47,50523.47,CYG
2021-01-01 00:24:00,30067.99,-4374.54,40368.48,50523.26,CYG
2021-01-01 00:25:00,30067.53,-4374.51,40368.38,50522.95,CYG
2021-01-01 00:26:00,30067.22,-4374.42,40368.33,50522.73,CYG
2021-01-01 00:27:00,30067.03,-4374.29,40368.28,50522.48,CYG
2021-01-01 00:28:00,30067.07,-4374.19,40368.16,50522.47,CYG
2021-01-01 00:29:00,30067.18,-4374.08,40368.13,50522.44,CYG
2021-01-01 00:30:00,30067.26,-4374.06,40368.00,50522.36,CYG
2021-01-01 00:31:00,30067.37,-4374.11,40367.85,50522.38,CYG
2021-01-01 00:32:00,30067.33,-4374.11,40367.75,50522.34,CYG
2021-01-01 00:33:00,30067.21,-4374.05,40367.73,50522.24,CYG
2021-01-01 00:34:00,30067.00,-4373.98,40367.74,50522.09,CYG
2021-01-01 00:35:00,30066.93,-4373.97,40367.67,50521.91,CYG
2021-01-01 00:36:00,30066.84,-4373.94,40367.60,50521.85,CYG
2021-01-01 00:37:00,30066.70,-4373.87,40367.50,50521.69,CYG
2021-01-01 00:38:00,30066.73,-4373.85,40367.43,50521.67,CYG
2021-01-01 00:39:00,30066.47,-4373.80,40367.39,50521.51,CYG
2021-01-01 00:40:00,30066.17,-4373.80,40367.32,50521.27,CYG
2021-01-01 00:41:00,30066.13,-4374.00,40367.25,50521.23,CYG
2021-01-01 00:42:00,30066.03,-4374.01,40367.22,50521.10,CYG
2021-01-01 00:43:00,30066.06,-4374.06,40367.21,50521.06,CYG
2021-01-01 00:44:00,30065.94,-4374.08,40367.16,50521.00,CYG
2021-01-01 00:45:00,30065.77,-4374.16,40367.13,50520.85,CYG
2021-01-01 00:46:00,30065.46,-4374.23,40367.08,50520.72,CYG
2021-01-01 00:47:00,30065.18,-4374.36,40367.04,50520.47,CYG
2021-01-01 00:48:00,30065.17,-4374.48,40367.01,50520.46,CYG
2021-01-01 00:49:00,30065.05,-4374.39,40366.96,50520.34,CYG
2021-01-01 00:50:00,30065.01,-4374.48,40366.88,50520.28,CYG
2021-01-01 00:51:00,30064.88,-4374.47,40366.88,50520.11,CYG
2021-01-01 00:52:00,30064.67,-4374.50,40366.82,50520.03,CYG
2021-01-01 00:53:00,30064.58,-4374.59,40366.78,50519.94,CYG
2021-01-01 00:54:00,30064.54,-4374.70,40366.78,50519.85,CYG
2021-01-01 00:55:00,30064.48,-4374.70,40366.70,50519.75,CYG
2021-01-01 00:56:00,30064.45,-4374.77,40366.63,50519.73,CYG
2021-01-01 00:57:00,30064.38,-4374.82,40366.58,50519.69,CYG
2021-01-01 00:58:00,30064.31,-4374.88,40366.50,50519.56,CYG
2021-01-01 00:59:00,30064.17,-4374.89,40366.49,50519.46,CYG
2021-01-01 01:00:00,30064.09,-4375.00,40366.44,50519.37,CYG
2021-01-01 01:01:00,30064.06,-4375.14,40366.37,50519.35,CYG
2021-01-01 01:02:00,30064.01,-4375.34,40366.27,50519.27,CYG
2021-01-01 01:03:00,30063.92,-4375.46,40366.24,50519.21,CYG
2021-01-01 01:04:00,30063.78,-4375.56,40366.20,50519.11,CYG
2021-01-01 01:05:00,30063.71,-4375.73,40366.15,50518.95,CYG
2021-01-01 01:06:00,30063.67,-4375.92,40366.14,50518.99,CYG
2021-01-01 01:07:00,30063.58,-4376.02,40366.14,50518.87,CYG
2021-01-01 01:08:00,30063.42,-4376.15,40366.11,50518.80,CYG
2021-01-01 01:09:00,30063.25,-4376.31,40365.97,50518.65,CYG
2021-01-01 01:10:00,30063.12,-4376.41,40365.94,50518.56,CYG
2021-01-01 01:11:00,30063.02,-4376.51,40365.88,50518.44,CYG
2021-01-01 01:12:00,30062.83,-4376.56,40365.87,50518.29,CYG
2021-01-01 01:13:00,30062.69,-4376.70,40365.85,50518.28,CYG
2021-01-01 01:14:00,30062.69,-4376.83,40365.84,50518.19,CYG
2021-01-01 01:15:00,30062.58,-4377.02,40365.74,50518.14,CYG
2021-01-01 01:16:00,30062.54,-4377.12,40365.70,50518.11,CYG
2021-01-01 01:17:00,30062.47,-4377.29,40365.65,50517.98,CYG
2021-01-01 01:18:00,30062.42,-4377.50,40365.60,50517.96,CYG
2021-01-01 01:19:00,30062.37,-4377.69,40365.58,50517.95,CYG
2021-01-01 01:20:00,30062.37,-4377.87,40365.58,50517.93,CYG
2021-01-01 01:21:00,30062.29,-4378.11,40365.56,50517.88,CYG
2021-01-01 01:22:00,30062.14,-4378.27,40365.56,50517.80,CYG
2021-01-01 01:23:00,30061.99,-4378.47,40365.56,50517.76,CYG
2021-01-01 01:24:00,30061.98,-4378.65,40365.54,50517.71,CYG
2021-01-01 01:25:00,30061.85,-4378.70,40365.48,50517.67,CYG
2021-01-01 01:26:00,30061.50,-4378.68,40365.50,50517.52,CYG
2021-01-01 01:27:00,30061.44,-4378.79,40365.46,50517.43,CYG
2021-01-01 01:28:00,30061.30,-4378.85,40365.44,50517.34,CYG
2021-01-01 01:29:00,30061.22,-4378.86,40365.48,50517.24,CYG
2021-01-01 01:30:00,30061.15,-4378.93,40365.43,50517.21,CYG
2021-01-01 01:31:00,30061.06,-4379.08,40365.47,50517.13,CYG
2021-01-01 01:32:00,30061.01,-4379.14,40365.46,50517.14,CYG
2021-01-01 01:33:00,30060.94,-4379.21,40365.43,50517.05,CYG
2021-01-01 01:34:00,30060.96,-4379.30,40365.45,50517.05,CYG
2021-01-01 01:35:00,30060.82,-4379.30,40365.44,50517.05,CYG
2021-01-01 01:36:00,30060.80,-4379.38,40365.34,50517.01,CYG
2021-01-01 01:37:00,30060.81,-4379.56,40365.34,50516.99,CYG
2021-01-01 01:38:00,30060.78,-4379.71,40365.39,50516.98,CYG
2021-01-01 01:39:00,30060.69,-4379.84,40365.37,50516.99,CYG
2021-01-01 01:40:00,30060.58,-4380.00,40365.34,50516.91,CYG
2021-01-01 01:41:00,30060.58,-4380.17,40365.35,50516.89,CYG
2021-01-01 01:42:00,30060.48,-4380.29,40365.31,50516.88,CYG
2021-01-01 01:43:00,30060.43,-4380.35,40365.29,50516.82,CYG
2021-01-01 01:44:00,30060.40,-4380.50,40365.26,50516.79,CYG
