Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,9992.89,-12256.26,-34362.97,38533.35,CZT
2021-01-01 00:01:00,9992.90,-12256.34,-34363.06,38533.53,CZT
2021-01-01 00:02:00,9992.99,-12256.40,-34363.13,38533.64,CZT
2021-01-01 00:03:00,9992.83,-12256.46,-34363.15,38533.73,CZT
2021-01-01 00:04:00,9993.00,-12256.48,-34363.54,38533.84,CZT
2021-01-01 00:05:00,9993.17,-12256.40,-34363.67,38533.93,CZT
2021-01-01 00:06:00,9993.48,-12256.38,-34363.68,38534.02,CZT
2021-01-01 00:07:00,9993.66,-12256.08,-34363.79,38534.22,CZT
2021-01-01 00:08:00,9993.87,-12255.78,-34364.04,38534.30,CZT
2021-01-01 00:09:00,9993.89,-12255.61,-34364.07,38534.29,CZT
2021-01-01 00:10:00,9993.97,-12255.67,-34364.05,38534.32,CZT
2021-01-01 00:11:00,9993.71,-12255.78,-34364.21,38534.27,CZT
2021-01-01 00:12:00,9993.71,-12255.92,-34364.22,38534.29,CZT
2021-01-01 00:13:00,9993.49,-12255.93,-34364.11,38534.26,CZT
2021-01-01 00:14:00,9993.44,-12256.12,-34364.12,38534.29,CZT
2021-01-01 00:15:00,9993.48,-12256.07,-34364.15,38534.38,CZT
2021-01-01 00:16:00,9993.32,-12255.99,-34364.12,38534.38,CZT
2021-01-01 00:17:00,9993.14,-12256.10,-34363.99,38534.35,CZT
2021-01-01 00:18:00,9993.24,-12256.22,-34364.13,38534.45,CZT
2021-01-01 00:19:00,9992.95,-12256.78,-34363.91,38534.28,CZT
2021-01-01 00:20:00,9993.03,-12257.14,-34363.93,38534.40,CZT
2021-01-01 00:21:00,9992.95,-12257.61,-34363.82,38534.32,CZT
2021-01-01 00:22:00,9992.76,-12257.80,-34363.85,38534.34,CZT
2021-01-01 00:23:00,9992.72,-12258.02,-34363.83,38534.36,CZT
2021-01-01 00:24:00,9992.74,-12258.22,-34363.84,38534.32,CZT
2021-01-01 00:25:00,9992.80,-12258.16,-34363.94,38534.50,CZT
2021-01-01 00:26:00,9992.74,-12258.04,-34364.07,38534.56,CZT
2021-01-01 00:27:00,9992.71,-12257.92,-34364.18,38534.64,CZT
2021-01-01 00:28:00,9992.80,-12257.97,-34364.18,38534.66,CZT
2021-01-01 00:29:00,9992.79,-12258.11,-34364.16,38534.62,CZT
2021-01-01 00:30:00,9992.78,-12258.22,-34364.09,38534.67,CZT
2021-01-01 00:31:00,9992.67,-12258.36,-34364.01,38534.67,CZT
2021-01-01 00:32:00,9992.79,-12258.59,-34364.06,38534.70,CZT
2021-01-01 00:33:00,9992.93,-12258.69,-34363.99,38534.69,CZT
2021-01-01 00:34:00,9992.83,-12258.75,-34363.73,38534.69,CZT
2021-01-01 00:35:00,9992.76,-12258.79,-34363.82,38534.76,CZT
2021-01-01 00:36:00,9992.71,-12258.84,-34363.81,38534.79,CZT
