Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,40944.37,-630.58,8805.19,41884.66,DLT
2021-01-01 00:01:00,40944.72,-630.47,8805.23,41884.98,DLT
2021-01-01 00:02:00,40945.12,-630.37,8805.23,41885.40,DLT
2021-01-01 00:03:00,40945.60,-630.27,8805.30,41885.90,DLT
2021-01-01 00:04:00,40946.00,-630.30,8805.32,41886.28,DLT
2021-01-01 00:05:00,40946.15,-630.25,8805.31,41886.41,DLT
2021-01-01 00:06:00,40945.90,-630.41,8805.32,41886.20,DLT
2021-01-01 00:07:00,40945.40,-630.61,8805.24,41885.72,DLT
2021-01-01 00:08:00,40945.19,-630.41,8805.17,41885.48,DLT
2021-01-01 00:09:00,40945.33,-630.10,8805.00,41885.59,DLT
2021-01-01 00:10:00,40945.62,-629.84,8804.90,41885.85,DLT
2021-01-01 00:11:00,40945.61,-629.48,8804.78,41885.81,DLT
2021-01-01 00:12:00,40945.70,-629.27,8804.71,41885.90,DLT
2021-01-01 00:13:00,40945.85,-629.18,8804.60,41886.02,DLT
2021-01-01 00:14:00,40946.21,-629.16,8804.56,41886.34,DLT
2021-01-01 00:15:00,40946.49,-629.05,8804.59,41886.63,DLT
2021-01-01 00:16:00,40946.70,-629.00,8804.62,41886.84,DLT
2021-01-01 00:17:00,40946.91,-628.92,8804.59,41887.07,DLT
2021-01-01 00:18:00,40947.09,-628.92,8804.52,41887.22,DLT
2021-01-01 00:19:00,40947.17,-628.64,8804.45,41887.30,DLT
2021-01-01 00:20:00,40947.44,-628.58,8804.46,41887.59,DLT
2021-01-01 00:21:00,40947.57,-628.57,8804.49,41887.72,DLT
2021-01-01 00:22:00,40947.72,-628.52,8804.39,41887.81,DLT
2021-01-01 00:23:00,40947.92,-628.65,8804.43,41887.97,DLT
2021-01-01 00:24:00,40948.06,-628.72,8804.38,41888.13,DLT
2021-01-01 00:25:00,40948.17,-628.68,8804.32,41888.23,DLT
2021-01-01 00:26:00,40948.39,-628.63,8804.25,41888.46,DLT
2021-01-01 00:27:00,40948.50,-628.36,8804.11,41888.47,DLT
2021-01-01 00:28:00,40948.65,-628.14,8803.97,41888.58,DLT
2021-01-01 00:29:00,40948.86,-627.98,8803.82,41888.73,DLT
2021-01-01 00:30:00,40949.10,-627.76,8803.70,41888.93,DLT
2021-01-01 00:31:00,40949.41,-627.55,8803.51,41889.24,DLT
2021-01-01 00:32:00,40949.55,-627.43,8803.45,41889.35,DLT
2021-01-01 00:33:00,40949.74,-627.25,8803.42,41889.50,DLT
2021-01-01 00:34:00,40949.83,-627.04,8803.28,41889.58,DLT
2021-01-01 00:35:00,40950.01,-626.87,8803.19,41889.76,DLT
2021-01-01 00:36:00,40950.14,-626.64,8803.03,41889.84,DLT
2021-01-01 00:37:00,40950.26,-626.52,8802.78,41889.88,DLT
2021-01-01 00:38:00,40950.54,-626.34,8802.75,41890.12,DLT
2021-01-01 00:39:00,40950.65,-626.12,8802.56,41890.17,DLT
2021-01-01 00:40:00,40950.53,-625.89,8802.39,41890.03,DLT
2021-01-01 00:41:00,40950.58,-625.76,8802.23,41890.05,DLT
2021-01-01 00:42:00,40950.70,-625.52,8802.05,41890.18,DLT
2021-01-01 00:43:00,40950.77,-625.40,8801.98,41890.17,DLT
2021-01-01 00:44:00,40950.95,-625.20,8801.89,41890.32,DLT
2021-01-01 00:45:00,40951.11,-625.07,8801.81,41890.45,DLT
2021-01-01 00:46:00,40951.17,-624.95,8801.72,41890.48,DLT
2021-01-01 00:47:00,40951.16,-624.83,8801.55,41890.43,DLT
2021-01-01 00:48:00,40951.30,-624.87,8801.45,41890.62,DLT
2021-01-01 00:49:00,40951.31,-624.45,8801.23,41890.60,DLT
2021-01-01 00:50:00,40951.56,-624.24,8801.20,41890.84,DLT
2021-01-01 00:51:00,40951.72,-623.82,8801.02,41890.97,DLT
2021-01-01 00:52:00,40951.89,-623.67,8800.94,41891.10,DLT
2021-01-01 00:53:00,40952.09,-623.66,8800.84,41891.20,DLT
2021-01-01 00:54:00,40952.19,-623.62,8800.85,41891.41,DLT
2021-01-01 00:55:00,40952.41,-623.46,8800.77,41891.52,DLT
2021-01-01 00:56:00,40952.67,-623.31,8800.73,41891.81,DLT
2021-01-01 00:57:00,40952.89,-623.09,8800.66,41892.03,DLT
2021-01-01 00:58:00,40953.20,-623.00,8800.57,41892.32,DLT
2021-01-01 00:59:00,40953.31,-622.74,8800.48,41892.38,DLT
2021-01-01 01:00:00,40953.56,-622.57,8800.44,41892.56,DLT
2021-01-01 01:01:00,40953.77,-622.41,8800.30,41892.73,DLT
2021-01-01 01:02:00,40953.94,-622.33,8800.20,41892.95,DLT
2021-01-01 01:03:00,40954.14,-622.23,8800.09,41893.19,DLT
2021-01-01 01:04:00,40954.27,-622.04,8799.97,41893.31,DLT
2021-01-01 01:05:00,40954.49,-621.90,8799.90,41893.48,DLT
2021-01-01 01:06:00,40954.69,-621.71,8799.75,41893.60,DLT
2021-01-01 01:07:00,40954.90,-621.63,8799.66,41893.75,DLT
2021-01-01 01:08:00,40955.01,-621.52,8799.52,41893.89,DLT
2021-01-01 01:09:00,40955.16,-621.38,8799.38,41893.98,DLT
2021-01-01 01:10:00,40955.26,-621.19,8799.23,41893.98,DLT
2021-01-01 01:11:00,40955.39,-621.09,8799.03,41894.11,DLT
2021-01-01 01:12:00,40955.47,-620.97,8798.87,41894.21,DLT
2021-01-01 01:13:00,40955.57,-620.82,8798.70,41894.26,DLT
2021-01-01 01:14:00,40955.85,-620.85,8798.61,41894.46,DLT
2021-01-01 01:15:00,40956.17,-620.92,8798.36,41894.67,DLT
2021-01-01 01:16:00,40956.52,-620.86,8798.22,41894.99,DLT
2021-01-01 01:17:00,40956.89,-620.81,8798.06,41895.34,DLT
2021-01-01 01:18:00,40957.26,-620.80,8797.96,41895.57,DLT
2021-01-01 01:19:00,40957.58,-620.82,8797.77,41895.85,DLT
2021-01-01 01:20:00,40957.81,-620.78,8797.57,41896.08,DLT
2021-01-01 01:21:00,40958.06,-620.82,8797.40,41896.28,DLT
2021-01-01 01:22:00,40958.17,-620.85,8797.26,41896.38,DLT
2021-01-01 01:23:00,40958.27,-620.86,8797.10,41896.48,DLT
2021-01-01 01:24:00,40958.53,-620.85,8796.85,41896.62,DLT
2021-01-01 01:25:00,40958.70,-620.71,8796.68,41896.81,DLT
2021-01-01 01:26:00,40958.77,-620.57,8796.43,41896.86,DLT
2021-01-01 01:27:00,40958.89,-620.54,8796.22,41896.95,DLT
2021-01-01 01:28:00,40959.01,-620.42,8796.01,41897.06,DLT
2021-01-01 01:29:00,40959.14,-620.37,8795.81,41897.16,DLT
2021-01-01 01:30:00,40959.37,-620.29,8795.58,41897.27,DLT
2021-01-01 01:31:00,40959.64,-620.26,8795.54,41897.49,DLT
2021-01-01 01:32:00,40959.91,-620.23,8795.37,41897.76,DLT
2021-01-01 01:33:00,40960.16,-620.24,8795.23,41898.00,DLT
2021-01-01 01:34:00,40960.48,-620.27,8795.09,41898.27,DLT
2021-01-01 01:35:00,40960.81,-620.21,8794.92,41898.51,DLT
2021-01-01 01:36:00,40961.04,-620.24,8794.75,41898.65,DLT
2021-01-01 01:37:00,40961.35,-620.24,8794.61,41899.00,DLT
2021-01-01 01:38:00,40961.62,-620.33,8794.45,41899.24,DLT
2021-01-01 01:39:00,40961.97,-620.39,8794.27,41899.49,DLT
2021-01-01 01:40:00,40962.12,-620.34,8794.18,41899.67,DLT
2021-01-01 01:41:00,40962.43,-620.41,8793.98,41899.88,DLT
2021-01-01 01:42:00,40962.65,-620.43,8793.87,41900.11,DLT
2021-01-01 01:43:00,40962.91,-620.48,8793.69,41900.32,DLT
2021-01-01 01:44:00,40963.34,-620.39,8793.50,41900.70,DLT
2021-01-01 01:45:00,99999.00,99999.00,99999.00,99999.00,DLT
2021-01-01 01:46:00,40963.44,-620.88,8793.21,41900.79,DLT
2021-01-01 01:47:00,99999.00,99999.00,99999.00,99999.00,DLT
2021-01-01 01:48:00,40963.83,-620.98,8792.90,41901.11,DLT
2021-01-01 01:49:00,40964.12,-620.97,8792.78,41901.40,DLT
2021-01-01 01:50:00,40964.36,-621.11,8792.60,41901.56,DLT
2021-01-01 01:51:00,40964.67,-621.17,8792.43,41901.85,DLT
2021-01-01 01:52:00,40964.79,-620.68,8792.20,41901.98,DLT
2021-01-01 01:53:00,40965.00,-620.70,8792.00,41902.10,DLT
2021-01-01 01:54:00,40965.50,-620.72,8791.77,41902.53,DLT
2021-01-01 01:55:00,40965.76,-620.88,8791.60,41902.79,DLT
2021-01-01 01:56:00,40965.94,-621.04,8791.48,41902.93,DLT
2021-01-01 01:57:00,40965.95,-621.32,8791.23,41902.95,DLT
2021-01-01 01:58:00,40966.10,-621.57,8791.14,41903.04,DLT
2021-01-01 01:59:00,40966.36,-621.67,8790.93,41903.22,DLT
2021-01-01 02:00:00,40966.60,-621.74,8790.78,41903.46,DLT
2021-01-01 02:01:00,40966.84,-621.84,8790.59,41903.63,DLT
2021-01-01 02:02:00,40967.00,-622.00,8790.45,41903.77,DLT
2021-01-01 02:03:00,40967.37,-622.15,8790.36,41904.10,DLT
2021-01-01 02:04:00,40967.69,-622.20,8790.11,41904.37,DLT
2021-01-01 02:05:00,40968.02,-622.28,8789.89,41904.59,DLT
2021-01-01 02:06:00,40968.29,-622.38,8789.75,41904.91,DLT
2021-01-01 02:07:00,40968.64,-622.43,8789.57,41905.17,DLT
2021-01-01 02:08:00,40968.84,-622.53,8789.37,41905.30,DLT
2021-01-01 02:09:00,40969.09,-622.65,8789.13,41905.48,DLT
2021-01-01 02:10:00,40969.27,-622.79,8788.91,41905.63,DLT
2021-01-01 02:11:00,40969.34,-623.04,8788.74,41905.74,DLT
2021-01-01 02:12:00,40969.48,-623.23,8788.60,41905.77,DLT
2021-01-01 02:13:00,40969.68,-623.38,8788.41,41905.94,DLT
2021-01-01 02:14:00,40969.97,-623.47,8788.29,41906.19,DLT
2021-01-01 02:15:00,40970.25,-623.65,8788.11,41906.41,DLT
2021-01-01 02:16:00,40970.55,-623.79,8787.93,41906.66,DLT
2021-01-01 02:17:00,40970.70,-623.90,8787.65,41906.81,DLT
2021-01-01 02:18:00,99999.00,99999.00,99999.00,99999.00,DLT
2021-01-01 02:19:00,40970.76,-624.19,8787.17,41906.80,DLT
2021-01-01 02:20:00,40970.93,-624.45,8787.04,41906.92,DLT
2021-01-01 02:21:00,99999.00,99999.00,99999.00,99999.00,DLT
2021-01-01 02:22:00,40971.27,-624.45,8786.53,41907.17,DLT
2021-01-01 02:23:00,40971.45,-624.59,8786.26,41907.35,DLT
2021-01-01 02:24:00,40971.60,-624.77,8786.15,41907.42,DLT
2021-01-01 02:25:00,40971.59,-624.95,8785.95,41907.42,DLT
2021-01-01 02:26:00,40971.38,-625.13,8785.69,41907.20,DLT
2021-01-01 02:27:00,40971.37,-625.42,8785.45,41907.11,DLT
2021-01-01 02:28:00,40971.29,-625.56,8785.30,41907.05,DLT
2021-01-01 02:29:00,40971.30,-625.87,8785.13,41907.06,DLT
2021-01-01 02:30:00,40970.99,-625.99,8784.94,41906.67,DLT
2021-01-01 02:31:00,40970.70,-626.13,8784.63,41906.35,DLT
2021-01-01 02:32:00,40970.34,-626.25,8784.33,41905.93,DLT
2021-01-01 02:33:00,40970.25,-626.38,8784.15,41905.80,DLT
2021-01-01 02:34:00,40970.09,-626.48,8783.93,41905.66,DLT
2021-01-01 02:35:00,40970.07,-626.61,8783.78,41905.57,DLT
2021-01-01 02:36:00,40970.14,-627.07,8783.66,41905.61,DLT
2021-01-01 02:37:00,40970.12,-627.41,8783.45,41905.52,DLT
2021-01-01 02:38:00,40970.32,-627.66,8783.30,41905.69,DLT
2021-01-01 02:39:00,40970.38,-627.79,8783.22,41905.74,DLT
2021-01-01 02:40:00,40970.42,-627.95,8783.04,41905.78,DLT
2021-01-01 02:41:00,40970.44,-628.13,8782.83,41905.69,DLT
2021-01-01 02:42:00,40970.49,-628.35,8782.68,41905.80,DLT
2021-01-01 02:43:00,40970.58,-628.55,8782.47,41905.90,DLT
2021-01-01 02:44:00,40970.54,-628.85,8782.23,41905.80,DLT
2021-01-01 02:45:00,40970.69,-629.11,8781.97,41905.92,DLT
2021-01-01 02:46:00,40970.68,-629.32,8781.77,41905.80,DLT
2021-01-01 02:47:00,40970.72,-629.53,8781.47,41905.78,DLT
2021-01-01 02:48:00,40970.66,-629.70,8781.22,41905.72,DLT
2021-01-01 02:49:00,40970.61,-629.87,8781.03,41905.65,DLT
2021-01-01 02:50:00,40970.72,-630.14,8780.87,41905.64,DLT
2021-01-01 02:51:00,40970.77,-630.24,8780.70,41905.75,DLT
2021-01-01 02:52:00,40970.83,-630.38,8780.56,41905.73,DLT
