Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,-8727.81,-6312.78,-61596.47,62535.70,DMC
2021-01-01 00:01:00,-8732.31,-6312.89,-61597.36,62537.25,DMC
2021-01-01 00:02:00,-8735.85,-6311.50,-61598.12,62538.34,DMC
2021-01-01 00:03:00,-8737.50,-6309.27,-61598.90,62539.00,DMC
2021-01-01 00:04:00,-8736.23,-6308.31,-61598.44,62538.33,DMC
2021-01-01 00:05:00,-8734.39,-6310.36,-61598.14,62538.08,DMC
2021-01-01 00:06:00,-8732.01,-6311.32,-61598.71,62538.32,DMC
2021-01-01 00:07:00,-8728.99,-6311.27,-61599.30,62538.45,DMC
2021-01-01 00:08:00,-8725.73,-6310.66,-61598.80,62537.45,DMC
2021-01-01 00:09:00,-8725.24,-6310.96,-61597.57,62536.18,DMC
2021-01-01 00:10:00,-8728.41,-6311.40,-61595.71,62534.84,DMC
2021-01-01 00:11:00,-8730.05,-6311.72,-61594.46,62533.88,DMC
2021-01-01 00:12:00,-8729.12,-6313.85,-61593.04,62532.52,DMC
2021-01-01 00:13:00,-8729.79,-6315.72,-61592.11,62531.96,DMC
2021-01-01 00:14:00,-8731.12,-6314.75,-61591.63,62531.52,DMC
2021-01-01 00:15:00,-8730.77,-6314.39,-61591.74,62531.67,DMC
2021-01-01 00:16:00,-8730.97,-6312.13,-61592.57,62532.21,DMC
2021-01-01 00:17:00,-8732.39,-6308.69,-61593.60,62533.14,DMC
2021-01-01 00:18:00,-8733.79,-6305.08,-61594.33,62533.63,DMC
2021-01-01 00:19:00,-8736.49,-6302.38,-61594.88,62534.27,DMC
2021-01-01 00:20:00,-8738.42,-6300.71,-61594.86,62534.43,DMC
2021-01-01 00:21:00,-8739.92,-6300.22,-61594.71,62534.42,DMC
2021-01-01 00:22:00,-8741.20,-6299.85,-61594.87,62534.75,DMC
2021-01-01 00:23:00,-8741.54,-6299.38,-61595.49,62535.37,DMC
2021-01-01 00:24:00,-8741.19,-6299.02,-61596.42,62536.22,DMC
2021-01-01 00:25:00,-8740.98,-6298.29,-61597.37,62536.99,DMC
2021-01-01 00:26:00,-8741.11,-6298.35,-61598.05,62537.67,DMC
2021-01-01 00:27:00,-8741.10,-6298.20,-61598.29,62537.86,DMC
2021-01-01 00:28:00,-8741.42,-6298.07,-61598.18,62537.82,DMC
2021-01-01 00:29:00,-8741.66,-6298.20,-61598.00,62537.68,DMC
2021-01-01 00:30:00,-8742.18,-6298.98,-61597.89,62537.76,DMC
2021-01-01 00:31:00,-8743.72,-6299.75,-61597.86,62538.04,DMC
2021-01-01 00:32:00,-8744.52,-6300.58,-61597.95,62538.31,DMC
2021-01-01 00:33:00,-8744.91,-6300.45,-61597.76,62538.05,DMC
2021-01-01 00:34:00,-8744.65,-6300.56,-61597.34,62537.64,DMC
2021-01-01 00:35:00,-8745.89,-6299.46,-61597.11,62537.52,DMC
2021-01-01 00:36:00,-8746.81,-6298.58,-61596.45,62536.94,DMC
2021-01-01 00:37:00,-8746.94,-6298.42,-61595.70,62536.17,DMC
2021-01-01 00:38:00,-8747.64,-6297.96,-61595.20,62535.74,DMC
2021-01-01 00:39:00,-8747.82,-6297.93,-61594.51,62535.08,DMC
2021-01-01 00:40:00,-8747.78,-6297.38,-61593.81,62534.31,DMC
2021-01-01 00:41:00,-8749.65,-6295.77,-61592.95,62533.56,DMC
2021-01-01 00:42:00,-8752.38,-6294.17,-61591.98,62532.86,DMC
2021-01-01 00:43:00,-8754.77,-6293.12,-61591.08,62532.20,DMC
2021-01-01 00:44:00,-8756.54,-6292.78,-61590.13,62531.52,DMC
2021-01-01 00:45:00,-8757.09,-6292.85,-61589.29,62530.71,DMC
2021-01-01 00:46:00,-8756.29,-6293.61,-61588.68,62530.16,DMC
2021-01-01 00:47:00,-8756.02,-6294.03,-61588.00,62529.49,DMC
2021-01-01 00:48:00,-8756.94,-6294.24,-61587.24,62528.89,DMC
2021-01-01 00:49:00,-8756.73,-6293.83,-61586.37,62527.96,DMC
2021-01-01 00:50:00,-8757.28,-6294.22,-61585.45,62527.16,DMC
2021-01-01 00:51:00,-8757.81,-6294.48,-61584.18,62525.99,DMC
2021-01-01 00:52:00,-8757.69,-6295.66,-61582.80,62524.75,DMC
2021-01-01 00:53:00,-8757.30,-6297.29,-61581.53,62523.63,DMC
2021-01-01 00:54:00,-8757.38,-6298.56,-61580.46,62522.65,DMC
2021-01-01 00:55:00,-8757.61,-6299.33,-61579.73,62522.04,DMC
2021-01-01 00:56:00,-8758.50,-6299.52,-61579.24,62521.72,DMC
2021-01-01 00:57:00,-8759.77,-6299.37,-61578.82,62521.48,DMC
2021-01-01 00:58:00,-8761.34,-6299.38,-61578.20,62521.13,DMC
2021-01-01 00:59:00,-8762.80,-6299.56,-61577.22,62520.39,DMC
2021-01-01 01:00:00,-8764.32,-6299.54,-61576.03,62519.46,DMC
2021-01-01 01:01:00,-8764.79,-6300.16,-61575.20,62518.79,DMC
2021-01-01 01:02:00,-8764.73,-6300.95,-61574.84,62518.49,DMC
2021-01-01 01:03:00,-8764.46,-6301.71,-61574.64,62518.39,DMC
2021-01-01 01:04:00,-8763.16,-6302.06,-61574.51,62518.10,DMC
2021-01-01 01:05:00,-8761.02,-6302.29,-61574.43,62517.70,DMC
2021-01-01 01:06:00,-8760.26,-6302.17,-61574.13,62517.31,DMC
2021-01-01 01:07:00,-8761.49,-6301.91,-61573.44,62516.77,DMC
2021-01-01 01:08:00,-8762.88,-6301.84,-61572.56,62516.05,DMC
2021-01-01 01:09:00,-8763.93,-6301.97,-61571.51,62515.19,DMC
2021-01-01 01:10:00,-8764.68,-6301.93,-61570.43,62514.27,DMC
2021-01-01 01:11:00,-8765.16,-6301.96,-61569.51,62513.42,DMC
2021-01-01 01:12:00,-8765.77,-6302.92,-61568.47,62512.58,DMC
2021-01-01 01:13:00,-8766.90,-6304.13,-61567.38,62511.72,DMC
2021-01-01 01:14:00,-8769.06,-6304.24,-61565.91,62510.67,DMC
2021-01-01 01:15:00,-8770.51,-6304.91,-61564.35,62509.43,DMC
2021-01-01 01:16:00,-8770.77,-6305.63,-61563.34,62508.48,DMC
2021-01-01 01:17:00,-8770.20,-6307.14,-61562.58,62507.83,DMC
2021-01-01 01:18:00,-8771.33,-6307.97,-61561.85,62507.37,DMC
2021-01-01 01:19:00,-8772.59,-6308.99,-61561.03,62506.83,DMC
2021-01-01 01:20:00,-8773.77,-6309.60,-61560.31,62506.37,DMC
2021-01-01 01:21:00,-8774.31,-6310.22,-61559.65,62505.84,DMC
2021-01-01 01:22:00,-8775.06,-6311.05,-61559.13,62505.54,DMC
2021-01-01 01:23:00,-8775.31,-6311.33,-61558.63,62505.09,DMC
2021-01-01 01:24:00,-8775.22,-6310.84,-61558.10,62504.52,DMC
2021-01-01 01:25:00,-8775.51,-6309.58,-61557.39,62503.74,DMC
2021-01-01 01:26:00,-8775.41,-6308.31,-61556.73,62502.97,DMC
2021-01-01 01:27:00,-8774.99,-6307.11,-61556.05,62502.08,DMC
2021-01-01 01:28:00,-8775.28,-6305.47,-61555.21,62501.11,DMC
2021-01-01 01:29:00,-8776.89,-6303.21,-61554.02,62499.95,DMC
2021-01-01 01:30:00,-8777.90,-6301.98,-61552.91,62498.95,DMC
2021-01-01 01:31:00,-8778.01,-6301.81,-61552.17,62498.25,DMC
2021-01-01 01:32:00,-8777.06,-6301.13,-61551.64,62497.54,DMC
2021-01-01 01:33:00,-8776.56,-6300.14,-61551.25,62496.93,DMC
2021-01-01 01:34:00,-8777.26,-6299.11,-61550.47,62496.11,DMC
2021-01-01 01:35:00,-8777.96,-6299.15,-61549.39,62495.17,DMC
