Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,20163.60,617.50,44418.60,48784.88,DOU
2021-01-01 00:01:00,20163.60,617.50,44418.60,48784.88,DOU
2021-01-01 00:02:00,20163.70,617.50,44418.70,48785.01,DOU
2021-01-01 00:03:00,20163.70,617.30,44418.70,48785.01,DOU
2021-01-01 00:04:00,20163.60,617.60,44418.80,48785.06,DOU
2021-01-01 00:05:00,20163.60,617.30,44418.80,48785.06,DOU
2021-01-01 00:06:00,20164.10,616.90,44418.90,48785.35,DOU
2021-01-01 00:07:00,20164.80,616.30,44419.00,48785.72,DOU
2021-01-01 00:08:00,20166.00,616.10,44419.20,48786.40,DOU
2021-01-01 00:09:00,20166.00,616.30,44418.90,48786.13,DOU
2021-01-01 00:10:00,20165.60,616.80,44418.90,48785.97,DOU
2021-01-01 00:11:00,20165.30,617.00,44418.70,48785.66,DOU
2021-01-01 00:12:00,20165.30,617.00,44418.90,48785.85,DOU
2021-01-01 00:13:00,20165.20,616.80,44418.80,48785.71,DOU
2021-01-01 00:14:00,20165.20,616.80,44418.90,48785.80,DOU
2021-01-01 00:15:00,20165.00,616.90,44418.90,48785.72,DOU
2021-01-01 00:16:00,20164.50,617.10,44418.90,48785.52,DOU
2021-01-01 00:17:00,20164.20,617.00,44419.00,48785.48,DOU
2021-01-01 00:18:00,20163.80,617.10,44419.00,48785.32,DOU
2021-01-01 00:19:00,20163.70,617.20,44419.10,48785.37,DOU
2021-01-01 00:20:00,20163.80,617.10,44419.10,48785.41,DOU
2021-01-01 00:21:00,20163.80,616.90,44419.10,48785.41,DOU
2021-01-01 00:22:00,20164.00,616.70,44419.30,48785.67,DOU
2021-01-01 00:23:00,20164.00,616.50,44419.30,48785.67,DOU
2021-01-01 00:24:00,20164.10,616.30,44419.40,48785.80,DOU
2021-01-01 00:25:00,20164.60,616.10,44419.40,48786.00,DOU
2021-01-01 00:26:00,20164.80,615.90,44419.40,48786.08,DOU
2021-01-01 00:27:00,20164.80,615.90,44419.30,48785.99,DOU
2021-01-01 00:28:00,20164.90,616.10,44419.10,48785.85,DOU
2021-01-01 00:29:00,20164.80,616.10,44419.10,48785.81,DOU
2021-01-01 00:30:00,20164.90,616.30,44419.20,48785.94,DOU
2021-01-01 00:31:00,20164.80,616.40,44419.10,48785.81,DOU
2021-01-01 00:32:00,20164.80,616.40,44419.00,48785.72,DOU
2021-01-01 00:33:00,20165.00,616.30,44419.10,48785.89,DOU
2021-01-01 00:34:00,20165.30,616.10,44419.20,48786.11,DOU
2021-01-01 00:35:00,20165.40,615.80,44419.20,48786.14,DOU
2021-01-01 00:36:00,20165.30,615.70,44419.20,48786.10,DOU
2021-01-01 00:37:00,20165.20,615.70,44419.30,48786.15,DOU
2021-01-01 00:38:00,20165.20,615.80,44419.00,48785.88,DOU
2021-01-01 00:39:00,20165.00,615.80,44419.00,48785.80,DOU
2021-01-01 00:40:00,20165.20,615.90,44419.20,48786.06,DOU
2021-01-01 00:41:00,20164.80,616.00,44419.00,48785.72,DOU
2021-01-01 00:42:00,20164.80,616.40,44419.00,48785.72,DOU
