Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,99999.00,99999.00,99999.00,99999.00,DRV
2021-01-01 00:01:00,99999.00,99999.00,99999.00,69145.73,DRV
2021-01-01 00:02:00,99999.00,99999.00,99999.00,69139.04,DRV
2021-01-01 00:03:00,99999.00,99999.00,99999.00,69145.80,DRV
2021-01-01 00:04:00,99999.00,99999.00,99999.00,69147.93,DRV
2021-01-01 00:05:00,99999.00,99999.00,99999.00,69143.17,DRV
2021-01-01 00:06:00,99999.00,99999.00,99999.00,69144.31,DRV
2021-01-01 00:07:00,99999.00,99999.00,99999.00,69139.13,DRV
2021-01-01 00:08:00,99999.00,99999.00,99999.00,69129.80,DRV
2021-01-01 00:09:00,99999.00,99999.00,99999.00,69121.81,DRV
2021-01-01 00:10:00,99999.00,99999.00,99999.00,69117.34,DRV
2021-01-01 00:11:00,99999.00,99999.00,99999.00,69103.27,DRV
2021-01-01 00:12:00,99999.00,99999.00,99999.00,69095.29,DRV
2021-01-01 00:13:00,99999.00,99999.00,99999.00,69109.63,DRV
2021-01-01 00:14:00,99999.00,99999.00,99999.00,69120.91,DRV
2021-01-01 00:15:00,99999.00,99999.00,99999.00,69116.59,DRV
2021-01-01 00:16:00,99999.00,99999.00,99999.00,69110.27,DRV
2021-01-01 00:17:00,99999.00,99999.00,99999.00,69098.75,DRV
2021-01-01 00:18:00,99999.00,99999.00,99999.00,69093.40,DRV
2021-01-01 00:19:00,99999.00,99999.00,99999.00,69088.63,DRV
2021-01-01 00:20:00,99999.00,99999.00,99999.00,69088.68,DRV
2021-01-01 00:21:00,99999.00,99999.00,99999.00,69084.86,DRV
2021-01-01 00:22:00,99999.00,99999.00,99999.00,69082.66,DRV
2021-01-01 00:23:00,99999.00,99999.00,99999.00,69081.09,DRV
2021-01-01 00:24:00,99999.00,99999.00,99999.00,69081.93,DRV
2021-01-01 00:25:00,99999.00,99999.00,99999.00,69082.23,DRV
2021-01-01 00:26:00,99999.00,99999.00,99999.00,69084.30,DRV
2021-01-01 00:27:00,99999.00,99999.00,99999.00,69085.09,DRV
2021-01-01 00:28:00,99999.00,99999.00,99999.00,69086.30,DRV
2021-01-01 00:29:00,99999.00,99999.00,99999.00,69087.10,DRV
2021-01-01 00:30:00,99999.00,99999.00,99999.00,69086.96,DRV
2021-01-01 00:31:00,99999.00,99999.00,99999.00,69086.10,DRV
2021-01-01 00:32:00,99999.00,99999.00,99999.00,69084.98,DRV
2021-01-01 00:33:00,99999.00,99999.00,99999.00,69087.52,DRV
2021-01-01 00:34:00,99999.00,99999.00,99999.00,69089.98,DRV
2021-01-01 00:35:00,99999.00,99999.00,99999.00,69093.38,DRV
2021-01-01 00:36:00,99999.00,99999.00,99999.00,69099.89,DRV
2021-01-01 00:37:00,99999.00,99999.00,99999.00,69103.61,DRV
2021-01-01 00:38:00,99999.00,99999.00,99999.00,69107.44,DRV
2021-01-01 00:39:00,99999.00,99999.00,99999.00,69111.23,DRV
2021-01-01 00:40:00,99999.00,99999.00,99999.00,69113.72,DRV
2021-01-01 00:41:00,99999.00,99999.00,99999.00,69117.09,DRV
2021-01-01 00:42:00,99999.00,99999.00,99999.00,69122.85,DRV
2021-01-01 00:43:00,99999.00,99999.00,99999.00,69131.94,DRV
2021-01-01 00:44:00,99999.00,99999.00,99999.00,69140.99,DRV
