Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,24897.67,106.75,39548.34,46795.81,DUR
2021-01-01 00:01:00,24897.84,106.90,39548.06,46795.67,DUR
2021-01-01 00:02:00,24897.85,106.83,39548.13,46795.71,DUR
2021-01-01 00:03:00,24897.85,106.90,39548.17,46795.79,DUR
2021-01-01 00:04:00,24897.81,107.04,39548.07,46795.66,DUR
2021-01-01 00:05:00,24897.72,106.83,39548.28,46795.78,DUR
2021-01-01 00:06:00,24897.98,106.39,39548.30,46795.93,DUR
2021-01-01 00:07:00,24898.30,105.96,39548.41,46796.20,DUR
2021-01-01 00:08:00,24898.95,105.75,39548.40,46796.55,DUR
2021-01-01 00:09:00,24899.29,106.04,39548.20,46796.58,DUR
2021-01-01 00:10:00,24899.11,106.40,39548.17,46796.46,DUR
2021-01-01 00:11:00,24898.89,106.61,39548.22,46796.37,DUR
2021-01-01 00:12:00,24899.01,106.76,39547.97,46796.21,DUR
2021-01-01 00:13:00,24898.68,106.54,39548.33,46796.33,DUR
2021-01-01 00:14:00,24898.63,106.61,39548.40,46796.39,DUR
2021-01-01 00:15:00,24898.55,106.69,39548.42,46796.35,DUR
2021-01-01 00:16:00,24898.34,106.83,39548.45,46796.29,DUR
2021-01-01 00:17:00,24897.98,106.97,39548.49,46796.12,DUR
2021-01-01 00:18:00,24897.76,106.97,39548.52,46796.03,DUR
2021-01-01 00:19:00,24897.63,106.90,39548.52,46795.95,DUR
2021-01-01 00:20:00,24897.49,106.68,39548.74,46796.05,DUR
2021-01-01 00:21:00,24897.42,106.46,39548.89,46796.16,DUR
2021-01-01 00:22:00,24897.67,106.25,39548.64,46796.07,DUR
2021-01-01 00:23:00,24897.71,105.89,39548.59,46796.04,DUR
2021-01-01 00:24:00,24897.78,105.67,39548.70,46796.16,DUR
2021-01-01 00:25:00,24897.95,105.38,39548.78,46796.34,DUR
2021-01-01 00:26:00,24898.12,105.31,39548.76,46796.40,DUR
2021-01-01 00:27:00,24898.13,105.24,39548.86,46796.50,DUR
2021-01-01 00:28:00,24898.12,105.31,39548.85,46796.49,DUR
2021-01-01 00:29:00,24898.21,105.38,39548.74,46796.43,DUR
2021-01-01 00:30:00,24898.27,105.45,39548.63,46796.36,DUR
2021-01-01 00:31:00,24898.29,105.45,39548.63,46796.38,DUR
2021-01-01 00:32:00,24898.34,105.38,39548.68,46796.45,DUR
2021-01-01 00:33:00,24898.50,105.16,39548.68,46796.52,DUR
2021-01-01 00:34:00,24898.53,104.95,39548.80,46796.65,DUR
2021-01-01 00:35:00,24898.52,104.87,39548.82,46796.67,DUR
2021-01-01 00:36:00,24898.51,104.87,39548.75,46796.61,DUR
2021-01-01 00:37:00,24898.59,104.95,39548.60,46796.51,DUR
2021-01-01 00:38:00,24898.60,105.02,39548.58,46796.49,DUR
2021-01-01 00:39:00,24898.67,105.02,39548.52,46796.48,DUR
2021-01-01 00:40:00,24898.59,105.02,39548.57,46796.48,DUR
2021-01-01 00:41:00,24898.46,105.24,39548.41,46796.28,DUR
2021-01-01 00:42:00,24898.34,105.31,39548.44,46796.24,DUR
2021-01-01 00:43:00,24898.38,105.38,39548.26,46796.12,DUR
2021-01-01 00:44:00,24898.29,105.24,39548.39,46796.17,DUR
2021-01-01 00:45:00,24898.32,105.16,39548.50,46796.28,DUR
2021-01-01 00:46:00,24898.33,105.02,39548.57,46796.34,DUR
2021-01-01 00:47:00,24898.30,105.02,39548.56,46796.32,DUR
2021-01-01 00:48:00,24898.21,105.02,39548.55,46796.26,DUR
2021-01-01 00:49:00,24898.31,105.02,39548.48,46796.25,DUR
2021-01-01 00:50:00,24898.35,105.02,39548.47,46796.27,DUR
2021-01-01 00:51:00,24898.42,104.95,39548.47,46796.32,DUR
2021-01-01 00:52:00,24898.47,104.95,39548.46,46796.32,DUR
2021-01-01 00:53:00,24898.51,104.95,39548.47,46796.36,DUR
2021-01-01 00:54:00,24898.55,105.02,39548.46,46796.38,DUR
2021-01-01 00:55:00,24898.58,105.02,39548.51,46796.43,DUR
2021-01-01 00:56:00,24898.66,105.02,39548.49,46796.48,DUR
2021-01-01 00:57:00,24898.76,105.17,39548.42,46796.46,DUR
2021-01-01 00:58:00,24898.78,105.17,39548.37,46796.43,DUR
2021-01-01 00:59:00,24898.77,105.17,39548.39,46796.44,DUR
2021-01-01 01:00:00,24898.78,105.24,39548.41,46796.46,DUR
2021-01-01 01:01:00,24898.77,105.31,39548.44,46796.48,DUR
2021-01-01 01:02:00,24898.79,105.46,39548.44,46796.48,DUR
2021-01-01 01:03:00,24898.86,105.53,39548.44,46796.52,DUR
2021-01-01 01:04:00,24898.97,105.67,39548.45,46796.60,DUR
2021-01-01 01:05:00,24899.21,105.89,39548.17,46796.49,DUR
2021-01-01 01:06:00,24899.28,105.96,39548.13,46796.49,DUR
2021-01-01 01:07:00,24899.35,105.89,39548.30,46796.68,DUR
2021-01-01 01:08:00,24899.44,105.97,39548.30,46796.75,DUR
2021-01-01 01:09:00,24899.53,105.89,39548.29,46796.77,DUR
2021-01-01 01:10:00,24899.52,105.89,39548.34,46796.81,DUR
2021-01-01 01:11:00,24899.38,105.89,39548.51,46796.87,DUR
2021-01-01 01:12:00,24899.31,105.89,39548.60,46796.92,DUR
2021-01-01 01:13:00,24899.32,105.89,39548.59,46796.93,DUR
2021-01-01 01:14:00,24899.14,105.82,39548.83,46797.03,DUR
2021-01-01 01:15:00,24899.12,105.67,39548.92,46797.10,DUR
2021-01-01 01:16:00,24899.33,105.60,39548.72,46797.04,DUR
2021-01-01 01:17:00,24899.46,105.53,39548.53,46796.95,DUR
2021-01-01 01:18:00,24899.34,105.46,39548.78,46797.08,DUR
2021-01-01 01:19:00,24899.43,105.46,39548.71,46797.07,DUR
2021-01-01 01:20:00,24899.52,105.46,39548.64,46797.07,DUR
2021-01-01 01:21:00,24899.51,105.39,39548.74,46797.13,DUR
2021-01-01 01:22:00,24899.63,105.39,39548.70,46797.17,DUR
2021-01-01 01:23:00,24899.64,105.39,39548.70,46797.18,DUR
