Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,25326.02,403.93,37663.92,45388.77,EBR
2021-01-01 00:01:00,25326.04,403.97,37663.97,45388.84,EBR
2021-01-01 00:02:00,25326.11,403.90,37663.98,45388.88,EBR
2021-01-01 00:03:00,25326.11,403.99,37664.02,45388.90,EBR
2021-01-01 00:04:00,25326.11,404.12,37664.06,45388.92,EBR
2021-01-01 00:05:00,25326.16,404.01,37664.05,45388.93,EBR
2021-01-01 00:06:00,25326.38,403.80,37664.06,45389.08,EBR
2021-01-01 00:07:00,25326.77,403.68,37664.19,45389.39,EBR
2021-01-01 00:08:00,25327.34,403.76,37664.52,45390.00,EBR
2021-01-01 00:09:00,25327.54,403.97,37664.81,45390.37,EBR
2021-01-01 00:10:00,25327.42,404.26,37664.98,45390.44,EBR
2021-01-01 00:11:00,25327.25,404.29,37664.93,45390.30,EBR
2021-01-01 00:12:00,25327.21,404.28,37664.85,45390.22,EBR
2021-01-01 00:13:00,25327.12,404.23,37664.81,45390.13,EBR
2021-01-01 00:14:00,25327.13,404.24,37664.78,45390.09,EBR
2021-01-01 00:15:00,25327.11,404.28,37664.74,45390.06,EBR
2021-01-01 00:16:00,25326.92,404.27,37664.65,45389.85,EBR
2021-01-01 00:17:00,25326.59,404.18,37664.50,45389.56,EBR
2021-01-01 00:18:00,25326.36,404.10,37664.37,45389.31,EBR
2021-01-01 00:19:00,25326.19,403.92,37664.15,45389.03,EBR
2021-01-01 00:20:00,25326.16,403.89,37664.13,45388.99,EBR
2021-01-01 00:21:00,25326.12,403.76,37664.06,45388.91,EBR
2021-01-01 00:22:00,25326.17,403.56,37663.96,45388.88,EBR
2021-01-01 00:23:00,25326.16,403.44,37663.95,45388.88,EBR
2021-01-01 00:24:00,25326.27,403.35,37663.98,45388.98,EBR
2021-01-01 00:25:00,25326.48,403.28,37664.06,45389.16,EBR
2021-01-01 00:26:00,25326.62,403.20,37664.12,45389.28,EBR
2021-01-01 00:27:00,25326.70,403.22,37664.22,45389.40,EBR
2021-01-01 00:28:00,25326.68,403.26,37664.29,45389.45,EBR
2021-01-01 00:29:00,25326.69,403.35,37664.37,45389.48,EBR
2021-01-01 00:30:00,25326.71,403.42,37664.40,45389.56,EBR
2021-01-01 00:31:00,25326.75,403.50,37664.44,45389.60,EBR
2021-01-01 00:32:00,25326.83,403.54,37664.47,45389.66,EBR
2021-01-01 00:33:00,25326.98,403.50,37664.49,45389.79,EBR
2021-01-01 00:34:00,25327.04,403.39,37664.54,45389.86,EBR
2021-01-01 00:35:00,25327.05,403.24,37664.51,45389.82,EBR
2021-01-01 00:36:00,25327.03,403.18,37664.48,45389.78,EBR
2021-01-01 00:37:00,25327.03,403.16,37664.47,45389.78,EBR
2021-01-01 00:38:00,25327.02,403.17,37664.47,45389.76,EBR
2021-01-01 00:39:00,25327.04,403.17,37664.45,45389.75,EBR
2021-01-01 00:40:00,25327.00,403.19,37664.46,45389.76,EBR
2021-01-01 00:41:00,25326.81,403.25,37664.44,45389.61,EBR
2021-01-01 00:42:00,25326.71,403.28,37664.38,45389.50,EBR
2021-01-01 00:43:00,25326.62,403.31,37664.34,45389.44,EBR
2021-01-01 00:44:00,25326.63,403.28,37664.30,45389.38,EBR
2021-01-01 00:45:00,25326.68,403.21,37664.28,45389.40,EBR
2021-01-01 00:46:00,25326.71,403.17,37664.28,45389.42,EBR
2021-01-01 00:47:00,25326.70,403.16,37664.30,45389.48,EBR
2021-01-01 00:48:00,25326.64,403.19,37664.27,45389.39,EBR
2021-01-01 00:49:00,25326.70,403.13,37664.23,45389.38,EBR
2021-01-01 00:50:00,25326.72,403.12,37664.28,45389.41,EBR
2021-01-01 00:51:00,25326.78,403.12,37664.31,45389.47,EBR
2021-01-01 00:52:00,25326.82,403.12,37664.34,45389.56,EBR
2021-01-01 00:53:00,25326.85,403.14,37664.36,45389.61,EBR
2021-01-01 00:54:00,25326.89,403.23,37664.44,45389.68,EBR
2021-01-01 00:55:00,25326.97,403.27,37664.47,45389.72,EBR
2021-01-01 00:56:00,25327.00,403.30,37664.51,45389.77,EBR
2021-01-01 00:57:00,25327.02,403.30,37664.51,45389.78,EBR
2021-01-01 00:58:00,25327.02,403.31,37664.54,45389.85,EBR
2021-01-01 00:59:00,25327.02,403.27,37664.52,45389.78,EBR
2021-01-01 01:00:00,25327.02,403.29,37664.54,45389.79,EBR
2021-01-01 01:01:00,25327.02,403.36,37664.57,45389.83,EBR
2021-01-01 01:02:00,25327.02,403.51,37664.65,45389.93,EBR
2021-01-01 01:03:00,25327.07,403.66,37664.69,45389.98,EBR
2021-01-01 01:04:00,25327.15,403.86,37664.78,45390.11,EBR
2021-01-01 01:05:00,25327.19,404.05,37664.86,45390.18,EBR
2021-01-01 01:06:00,25327.25,404.18,37664.89,45390.24,EBR
2021-01-01 01:07:00,25327.39,404.28,37664.96,45390.40,EBR
2021-01-01 01:08:00,25327.47,404.33,37664.99,45390.47,EBR
2021-01-01 01:09:00,25327.56,404.34,37664.99,45390.51,EBR
2021-01-01 01:10:00,25327.58,404.34,37664.99,45390.51,EBR
2021-01-01 01:11:00,25327.58,404.33,37664.99,45390.55,EBR
2021-01-01 01:12:00,25327.57,404.30,37664.98,45390.50,EBR
2021-01-01 01:13:00,25327.57,404.25,37664.96,45390.46,EBR
2021-01-01 01:14:00,25327.59,404.22,37664.93,45390.46,EBR
2021-01-01 01:15:00,25327.64,404.12,37664.91,45390.48,EBR
2021-01-01 01:16:00,25327.71,404.03,37664.90,45390.53,EBR
2021-01-01 01:17:00,25327.76,403.99,37664.91,45390.56,EBR
2021-01-01 01:18:00,25327.82,403.98,37664.95,45390.64,EBR
2021-01-01 01:19:00,25327.89,404.00,37664.99,45390.68,EBR
2021-01-01 01:20:00,25327.96,404.08,37665.06,45390.79,EBR
2021-01-01 01:21:00,25328.05,404.11,37665.11,45390.88,EBR
2021-01-01 01:22:00,25328.15,404.13,37665.15,45390.98,EBR
2021-01-01 01:23:00,25328.19,404.17,37665.19,45391.06,EBR
2021-01-01 01:24:00,25328.22,404.26,37665.22,45391.08,EBR
2021-01-01 01:25:00,25328.22,404.25,37665.22,45391.08,EBR
2021-01-01 01:26:00,25328.27,404.10,37665.19,45391.07,EBR
2021-01-01 01:27:00,25328.17,403.95,37665.11,45390.91,EBR
2021-01-01 01:28:00,25328.05,403.87,37665.03,45390.81,EBR
2021-01-01 01:29:00,25327.96,403.82,37664.97,45390.68,EBR
2021-01-01 01:30:00,25327.90,403.76,37664.89,45390.62,EBR
2021-01-01 01:31:00,25327.93,403.69,37664.88,45390.62,EBR
2021-01-01 01:32:00,25327.94,403.57,37664.86,45390.61,EBR
2021-01-01 01:33:00,25327.95,403.48,37664.86,45390.58,EBR
2021-01-01 01:34:00,25327.91,403.38,37664.82,45390.57,EBR
2021-01-01 01:35:00,25327.92,403.28,37664.81,45390.57,EBR
2021-01-01 01:36:00,25327.84,403.22,37664.79,45390.48,EBR
2021-01-01 01:37:00,25327.78,403.18,37664.78,45390.43,EBR
2021-01-01 01:38:00,25327.71,403.19,37664.76,45390.36,EBR
2021-01-01 01:39:00,25327.67,403.22,37664.76,45390.37,EBR
2021-01-01 01:40:00,25327.61,403.25,37664.75,45390.33,EBR
2021-01-01 01:41:00,25327.59,403.28,37664.76,45390.33,EBR
2021-01-01 01:42:00,25327.59,403.32,37664.78,45390.33,EBR
2021-01-01 01:43:00,25327.60,403.38,37664.81,45390.37,EBR
2021-01-01 01:44:00,25327.59,403.37,37664.81,45390.34,EBR
2021-01-01 01:45:00,25327.56,403.33,37664.78,45390.32,EBR
2021-01-01 01:46:00,25327.57,403.31,37664.77,45390.29,EBR
2021-01-01 01:47:00,25327.57,403.30,37664.78,45390.35,EBR
2021-01-01 01:48:00,25327.58,403.24,37664.77,45390.33,EBR
2021-01-01 01:49:00,25327.53,403.22,37664.78,45390.28,EBR
2021-01-01 01:50:00,25327.54,403.25,37664.81,45390.30,EBR
2021-01-01 01:51:00,25327.60,403.29,37664.86,45390.39,EBR
2021-01-01 01:52:00,25327.61,403.23,37664.85,45390.38,EBR
2021-01-01 01:53:00,25327.62,403.23,37664.86,45390.41,EBR
2021-01-01 01:54:00,25327.68,403.24,37664.90,45390.48,EBR
2021-01-01 01:55:00,25327.67,403.32,37664.95,45390.54,EBR
2021-01-01 01:56:00,25327.66,403.36,37664.98,45390.52,EBR
2021-01-01 01:57:00,25327.63,403.30,37664.96,45390.51,EBR
2021-01-01 01:58:00,25327.60,403.29,37664.94,45390.45,EBR
2021-01-01 01:59:00,25327.60,403.31,37664.95,45390.48,EBR
2021-01-01 02:00:00,25327.67,403.30,37664.98,45390.54,EBR
2021-01-01 02:01:00,25327.79,403.23,37665.03,45390.66,EBR
2021-01-01 02:02:00,25327.85,403.14,37665.05,45390.70,EBR
2021-01-01 02:03:00,25327.96,403.12,37665.11,45390.81,EBR
2021-01-01 02:04:00,25328.13,403.08,37665.19,45390.98,EBR
2021-01-01 02:05:00,25328.23,403.03,37665.27,45391.09,EBR
