Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,17596.28,-460.37,46628.10,49839.90,ESK
2021-01-01 00:01:00,17596.18,-460.46,46628.20,49840.00,ESK
2021-01-01 00:02:00,17596.27,-460.67,46628.20,49840.00,ESK
2021-01-01 00:03:00,17596.27,-460.67,46628.20,49840.00,ESK
2021-01-01 00:04:00,17596.08,-460.46,46628.20,49840.00,ESK
2021-01-01 00:05:00,17596.17,-460.77,46628.20,49840.00,ESK
2021-01-01 00:06:00,17596.86,-461.30,46628.20,49840.20,ESK
2021-01-01 00:07:00,17597.94,-461.95,46628.20,49840.60,ESK
2021-01-01 00:08:00,17599.32,-462.49,46628.00,49840.90,ESK
2021-01-01 00:09:00,17599.72,-462.50,46628.00,49841.10,ESK
2021-01-01 00:10:00,17599.24,-461.88,46628.00,49840.90,ESK
2021-01-01 00:11:00,17598.64,-461.66,46627.90,49840.60,ESK
2021-01-01 00:12:00,17598.54,-461.65,46628.00,49840.60,ESK
2021-01-01 00:13:00,17598.44,-461.75,46627.90,49840.50,ESK
2021-01-01 00:14:00,17598.54,-461.96,46627.90,49840.50,ESK
2021-01-01 00:15:00,17598.34,-461.96,46627.90,49840.50,ESK
2021-01-01 00:16:00,17597.74,-461.74,46628.00,49840.40,ESK
2021-01-01 00:17:00,17596.75,-461.40,46628.10,49840.10,ESK
2021-01-01 00:18:00,17596.26,-461.08,46628.20,49840.00,ESK
2021-01-01 00:19:00,17595.86,-461.07,46628.20,49839.90,ESK
2021-01-01 00:20:00,17595.86,-460.97,46628.30,49840.00,ESK
2021-01-01 00:21:00,17595.96,-461.18,46628.30,49840.00,ESK
2021-01-01 00:22:00,17596.25,-461.49,46628.20,49840.00,ESK
2021-01-01 00:23:00,17596.54,-461.70,46628.30,49840.20,ESK
2021-01-01 00:24:00,17596.84,-461.92,46628.20,49840.20,ESK
2021-01-01 00:25:00,17597.33,-462.13,46628.20,49840.40,ESK
2021-01-01 00:26:00,17597.53,-462.29,46628.10,49840.40,ESK
2021-01-01 00:27:00,17597.63,-462.30,46628.10,49840.40,ESK
2021-01-01 00:28:00,17597.53,-462.24,46628.10,49840.40,ESK
2021-01-01 00:29:00,17597.63,-462.04,46628.10,49840.40,ESK
2021-01-01 00:30:00,17597.74,-461.94,46628.10,49840.50,ESK
2021-01-01 00:31:00,17597.74,-461.84,46628.10,49840.50,ESK
2021-01-01 00:32:00,17598.04,-461.95,46628.10,49840.60,ESK
2021-01-01 00:33:00,17598.24,-462.06,46628.00,49840.50,ESK
2021-01-01 00:34:00,17598.43,-462.37,46628.00,49840.60,ESK
2021-01-01 00:35:00,17598.42,-462.57,46627.90,49840.50,ESK
2021-01-01 00:36:00,17598.32,-462.57,46627.90,49840.50,ESK
