Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,19196.21,8405.76,-53379.81,57337.86,EYR
2021-01-01 00:01:00,19196.33,8405.89,-53379.44,57337.70,EYR
2021-01-01 00:02:00,19196.63,8406.02,-53379.09,57337.56,EYR
2021-01-01 00:03:00,19197.08,8406.15,-53378.73,57337.41,EYR
2021-01-01 00:04:00,19197.73,8406.81,-53378.83,57337.76,EYR
2021-01-01 00:05:00,19197.87,8406.65,-53378.48,57337.42,EYR
2021-01-01 00:06:00,19198.34,8407.00,-53378.26,57337.48,EYR
2021-01-01 00:07:00,19198.38,8407.79,-53378.61,57337.84,EYR
2021-01-01 00:08:00,19197.95,8408.05,-53378.47,57337.54,EYR
2021-01-01 00:09:00,19197.43,8408.40,-53378.27,57337.36,EYR
2021-01-01 00:10:00,19197.35,8409.39,-53378.59,57337.82,EYR
2021-01-01 00:11:00,19197.32,8410.17,-53378.80,57338.13,EYR
2021-01-01 00:12:00,19197.64,8410.56,-53378.70,57338.15,EYR
2021-01-01 00:13:00,19197.69,8410.44,-53378.28,57337.81,EYR
2021-01-01 00:14:00,19197.82,8410.97,-53378.21,57337.89,EYR
2021-01-01 00:15:00,19198.14,8411.24,-53378.28,57338.01,EYR
2021-01-01 00:16:00,19198.35,8411.87,-53378.57,57338.30,EYR
2021-01-01 00:17:00,19198.61,8412.55,-53378.66,57338.65,EYR
2021-01-01 00:18:00,19198.81,8413.73,-53379.18,57339.23,EYR
2021-01-01 00:19:00,19198.55,8413.65,-53378.69,57339.05,EYR
2021-01-01 00:20:00,19198.66,8414.22,-53378.86,57339.14,EYR
2021-01-01 00:21:00,19198.79,8415.19,-53379.16,57339.48,EYR
2021-01-01 00:22:00,19198.70,8415.19,-53378.91,57339.22,EYR
2021-01-01 00:23:00,19198.87,8415.66,-53378.82,57339.29,EYR
2021-01-01 00:24:00,19198.75,8415.88,-53378.59,57339.09,EYR
2021-01-01 00:25:00,19198.98,8416.26,-53378.46,57339.10,EYR
2021-01-01 00:26:00,19199.28,8416.75,-53378.48,57339.36,EYR
2021-01-01 00:27:00,19199.29,8417.23,-53378.63,57339.33,EYR
2021-01-01 00:28:00,19199.21,8417.69,-53378.55,57339.41,EYR
