Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,9625.22,-204.58,56371.81,58123.54,FCC
2021-01-01 00:01:00,9624.18,-205.82,56371.87,58123.42,FCC
2021-01-01 00:02:00,9623.50,-207.56,56370.25,58121.70,FCC
2021-01-01 00:03:00,9623.57,-208.79,56368.38,58119.85,FCC
2021-01-01 00:04:00,9623.42,-208.87,56367.89,58119.35,FCC
2021-01-01 00:05:00,9624.34,-208.88,56368.61,58120.21,FCC
2021-01-01 00:06:00,9626.00,-207.14,56369.28,58121.16,FCC
2021-01-01 00:07:00,9628.76,-204.60,56369.74,58122.08,FCC
2021-01-01 00:08:00,9631.26,-203.49,56369.89,58122.64,FCC
2021-01-01 00:09:00,9632.55,-202.53,56369.55,58122.54,FCC
2021-01-01 00:10:00,9632.40,-202.83,56370.26,58123.22,FCC
2021-01-01 00:11:00,9631.05,-204.27,56371.34,58124.07,FCC
2021-01-01 00:12:00,9628.85,-205.85,56371.71,58124.07,FCC
2021-01-01 00:13:00,9627.04,-207.33,56371.16,58123.22,FCC
2021-01-01 00:14:00,9626.84,-207.63,56370.81,58122.85,FCC
2021-01-01 00:15:00,9626.65,-208.09,56370.75,58122.74,FCC
2021-01-01 00:16:00,9626.56,-207.90,56371.60,58123.57,FCC
2021-01-01 00:17:00,9625.84,-208.17,56372.10,58123.94,FCC
2021-01-01 00:18:00,9624.95,-208.16,56371.49,58123.20,FCC
2021-01-01 00:19:00,9624.29,-208.09,56370.48,58122.05,FCC
2021-01-01 00:20:00,9624.85,-207.05,56370.56,58122.24,FCC
2021-01-01 00:21:00,9623.97,-206.59,56370.91,58122.42,FCC
2021-01-01 00:22:00,9622.72,-206.55,56371.00,58122.30,FCC
2021-01-01 00:23:00,9621.60,-206.82,56370.47,58121.59,FCC
2021-01-01 00:24:00,9620.78,-206.90,56369.36,58120.36,FCC
2021-01-01 00:25:00,9621.99,-206.09,56369.08,58120.25,FCC
2021-01-01 00:26:00,9625.08,-205.06,56369.64,58121.34,FCC
2021-01-01 00:27:00,9627.81,-203.51,56370.04,58122.20,FCC
2021-01-01 00:28:00,9629.00,-202.98,56370.25,58122.61,FCC
2021-01-01 00:29:00,9627.76,-203.92,56369.90,58122.05,FCC
2021-01-01 00:30:00,9625.94,-205.55,56369.57,58121.44,FCC
2021-01-01 00:31:00,9624.42,-206.62,56369.27,58120.88,FCC
2021-01-01 00:32:00,9624.56,-206.05,56369.55,58121.18,FCC
2021-01-01 00:33:00,9625.47,-204.70,56370.00,58121.78,FCC
2021-01-01 00:34:00,9625.97,-203.86,56370.04,58121.91,FCC
2021-01-01 00:35:00,9625.91,-203.74,56369.95,58121.82,FCC
2021-01-01 00:36:00,9625.32,-204.32,56369.86,58121.62,FCC
2021-01-01 00:37:00,9625.34,-204.75,56369.82,58121.58,FCC
