Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,21239.00,-3950.60,45862.50,50696.17,FRD
2021-01-01 00:01:00,21239.40,-3950.80,45862.40,50696.16,FRD
2021-01-01 00:02:00,21239.70,-3951.10,45862.30,50696.22,FRD
2021-01-01 00:03:00,21239.90,-3951.40,45862.30,50696.43,FRD
2021-01-01 00:04:00,21239.80,-3951.50,45862.30,50696.29,FRD
2021-01-01 00:05:00,21240.00,-3951.40,45862.20,50696.38,FRD
2021-01-01 00:06:00,21240.00,-3950.80,45862.20,50696.33,FRD
2021-01-01 00:07:00,21240.40,-3950.50,45862.20,50696.48,FRD
2021-01-01 00:08:00,21241.00,-3950.40,45862.10,50696.53,FRD
2021-01-01 00:09:00,21240.90,-3950.30,45862.10,50696.58,FRD
2021-01-01 00:10:00,21240.30,-3950.40,45862.30,50696.42,FRD
2021-01-01 00:11:00,21239.80,-3950.60,45862.40,50696.32,FRD
2021-01-01 00:12:00,21239.60,-3950.80,45862.50,50696.44,FRD
2021-01-01 00:13:00,21239.30,-3950.80,45862.60,50696.30,FRD
2021-01-01 00:14:00,21239.20,-3950.90,45862.60,50696.27,FRD
2021-01-01 00:15:00,21239.60,-3951.00,45862.50,50696.35,FRD
2021-01-01 00:16:00,21239.30,-3951.00,45862.60,50696.32,FRD
2021-01-01 00:17:00,21239.30,-3950.90,45862.60,50696.31,FRD
2021-01-01 00:18:00,21239.20,-3950.60,45862.50,50696.25,FRD
2021-01-01 00:19:00,21239.30,-3950.60,45862.50,50696.20,FRD
2021-01-01 00:20:00,21239.20,-3950.60,45862.50,50696.15,FRD
2021-01-01 00:21:00,21239.00,-3950.40,45862.50,50696.15,FRD
2021-01-01 00:22:00,21239.00,-3950.30,45862.40,50696.06,FRD
2021-01-01 00:23:00,21238.90,-3950.10,45862.50,50695.99,FRD
2021-01-01 00:24:00,21239.20,-3949.80,45862.30,50695.91,FRD
2021-01-01 00:25:00,21239.70,-3949.60,45862.20,50696.01,FRD
2021-01-01 00:26:00,21240.20,-3949.80,45862.10,50696.25,FRD
2021-01-01 00:27:00,21240.30,-3949.80,45862.10,50696.19,FRD
2021-01-01 00:28:00,21240.20,-3950.00,45862.20,50696.25,FRD
2021-01-01 00:29:00,21239.90,-3950.00,45862.30,50696.22,FRD
2021-01-01 00:30:00,21239.70,-3950.00,45862.30,50696.24,FRD
2021-01-01 00:31:00,21239.50,-3950.00,45862.30,50696.15,FRD
2021-01-01 00:32:00,21239.50,-3949.90,45862.30,50696.04,FRD
2021-01-01 00:33:00,21239.50,-3949.70,45862.30,50696.03,FRD
2021-01-01 00:34:00,21239.70,-3949.60,45862.20,50696.01,FRD
2021-01-01 00:35:00,21239.60,-3949.70,45862.20,50695.98,FRD
2021-01-01 00:36:00,21239.70,-3949.70,45862.20,50696.02,FRD
2021-01-01 00:37:00,21239.70,-3949.70,45862.20,50696.12,FRD
2021-01-01 00:38:00,21239.70,-3949.80,45862.20,50696.13,FRD
2021-01-01 00:39:00,21239.80,-3950.00,45862.20,50695.99,FRD
2021-01-01 00:40:00,21239.60,-3949.90,45862.20,50696.00,FRD
2021-01-01 00:41:00,21239.20,-3949.70,45862.30,50696.00,FRD
2021-01-01 00:42:00,21239.20,-3949.70,45862.30,50695.90,FRD
2021-01-01 00:43:00,21239.20,-3949.80,45862.40,50695.90,FRD
2021-01-01 00:44:00,21239.20,-3949.70,45862.30,50695.90,FRD
2021-01-01 00:45:00,21239.40,-3949.80,45862.20,50695.90,FRD
2021-01-01 00:46:00,21239.50,-3949.50,45862.20,50695.92,FRD
2021-01-01 00:47:00,21239.40,-3949.50,45862.20,50695.98,FRD
2021-01-01 00:48:00,21239.40,-3949.50,45862.20,50695.88,FRD
2021-01-01 00:49:00,21239.50,-3949.60,45862.20,50695.93,FRD
2021-01-01 00:50:00,21239.50,-3949.50,45862.10,50695.93,FRD
2021-01-01 00:51:00,21239.50,-3949.20,45862.10,50695.91,FRD
2021-01-01 00:52:00,21239.60,-3949.50,45862.10,50695.97,FRD
2021-01-01 00:53:00,21239.60,-3949.40,45862.10,50695.97,FRD
2021-01-01 00:54:00,21239.60,-3949.30,45862.10,50695.96,FRD
2021-01-01 00:55:00,21239.70,-3949.40,45862.10,50695.91,FRD
2021-01-01 00:56:00,21239.70,-3949.20,45862.10,50695.89,FRD
2021-01-01 00:57:00,21239.80,-3949.30,45862.10,50695.94,FRD
2021-01-01 00:58:00,21239.80,-3949.20,45862.10,50695.93,FRD
2021-01-01 00:59:00,21239.90,-3949.20,45862.10,50695.88,FRD
2021-01-01 01:00:00,21240.00,-3949.30,45862.00,50696.04,FRD
2021-01-01 01:01:00,21240.00,-3949.20,45862.00,50696.03,FRD
2021-01-01 01:02:00,21240.10,-3949.20,45862.00,50695.97,FRD
2021-01-01 01:03:00,21240.20,-3949.10,45862.00,50696.00,FRD
2021-01-01 01:04:00,21240.20,-3949.10,45862.00,50696.00,FRD
2021-01-01 01:05:00,21240.00,-3949.20,45862.10,50696.02,FRD
2021-01-01 01:06:00,21240.00,-3949.10,45862.10,50696.01,FRD
2021-01-01 01:07:00,21240.10,-3949.10,45862.10,50696.05,FRD
2021-01-01 01:08:00,21240.00,-3949.30,45862.10,50696.03,FRD
2021-01-01 01:09:00,21240.00,-3949.20,45862.10,50696.02,FRD
2021-01-01 01:10:00,21239.90,-3949.10,45862.10,50696.07,FRD
2021-01-01 01:11:00,21239.80,-3949.10,45862.10,50696.03,FRD
2021-01-01 01:12:00,21239.70,-3949.00,45862.20,50695.97,FRD
2021-01-01 01:13:00,21239.70,-3949.00,45862.20,50695.97,FRD
2021-01-01 01:14:00,21239.70,-3949.00,45862.20,50695.97,FRD
2021-01-01 01:15:00,21239.70,-3948.90,45862.20,50695.96,FRD
2021-01-01 01:16:00,21239.80,-3948.80,45862.10,50695.90,FRD
2021-01-01 01:17:00,21239.90,-3948.70,45862.10,50695.94,FRD
2021-01-01 01:18:00,21240.00,-3948.70,45862.10,50695.88,FRD
2021-01-01 01:19:00,21240.10,-3948.60,45862.00,50695.92,FRD
2021-01-01 01:20:00,21240.10,-3948.50,45862.00,50695.92,FRD
2021-01-01 01:21:00,21240.00,-3948.40,45862.00,50695.97,FRD
2021-01-01 01:22:00,21240.00,-3948.50,45862.00,50695.97,FRD
2021-01-01 01:23:00,21239.90,-3948.20,45862.10,50695.90,FRD
2021-01-01 01:24:00,21239.80,-3948.30,45862.10,50695.86,FRD
2021-01-01 01:25:00,21239.70,-3948.20,45862.10,50695.81,FRD
2021-01-01 01:26:00,21239.80,-3948.30,45862.10,50695.96,FRD
2021-01-01 01:27:00,21239.90,-3948.40,45862.10,50695.91,FRD
2021-01-01 01:28:00,21239.80,-3948.20,45862.10,50695.96,FRD
2021-01-01 01:29:00,21239.80,-3948.50,45862.10,50695.98,FRD
2021-01-01 01:30:00,21239.80,-3948.50,45862.10,50695.88,FRD
2021-01-01 01:31:00,21239.80,-3948.60,45862.10,50695.89,FRD
2021-01-01 01:32:00,21239.90,-3948.50,45862.00,50695.93,FRD
2021-01-01 01:33:00,21240.00,-3948.50,45862.00,50695.97,FRD
2021-01-01 01:34:00,21240.00,-3948.50,45862.00,50695.97,FRD
2021-01-01 01:35:00,21240.20,-3948.50,45862.00,50695.96,FRD
