Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,22593.10,5070.80,41838.60,47856.92,FRN
2021-01-01 00:01:00,22593.60,5070.60,41838.60,47857.13,FRN
2021-01-01 00:02:00,22594.20,5070.50,41838.70,47857.49,FRN
2021-01-01 00:03:00,22594.70,5070.50,41838.80,47857.82,FRN
2021-01-01 00:04:00,22594.90,5070.30,41838.70,47857.80,FRN
2021-01-01 00:05:00,22595.30,5070.30,41838.80,47858.08,FRN
2021-01-01 00:06:00,22594.80,5071.00,41838.80,47857.92,FRN
2021-01-01 00:07:00,22594.10,5072.00,41838.80,47857.69,FRN
2021-01-01 00:08:00,22593.80,5072.60,41838.90,47857.70,FRN
2021-01-01 00:09:00,22593.40,5072.70,41838.90,47857.52,FRN
2021-01-01 00:10:00,22593.30,5072.30,41838.80,47857.34,FRN
2021-01-01 00:11:00,22593.20,5071.80,41838.80,47857.24,FRN
2021-01-01 00:12:00,22593.20,5071.50,41838.80,47857.21,FRN
2021-01-01 00:13:00,22593.10,5071.40,41838.80,47857.15,FRN
2021-01-01 00:14:00,22593.10,5071.40,41838.80,47857.15,FRN
2021-01-01 00:15:00,22593.50,5071.30,41838.80,47857.33,FRN
2021-01-01 00:16:00,22593.50,5071.20,41838.80,47857.32,FRN
2021-01-01 00:17:00,22593.50,5071.20,41838.80,47857.32,FRN
2021-01-01 00:18:00,22593.10,5071.40,41838.70,47857.07,FRN
2021-01-01 00:19:00,22593.00,5071.60,41838.70,47857.04,FRN
2021-01-01 00:20:00,22592.80,5071.80,41838.70,47856.97,FRN
2021-01-01 00:21:00,22592.70,5071.80,41838.70,47856.92,FRN
2021-01-01 00:22:00,22592.70,5072.00,41838.70,47856.94,FRN
2021-01-01 00:23:00,22592.70,5072.30,41838.70,47856.97,FRN
2021-01-01 00:24:00,22592.70,5072.80,41838.80,47857.11,FRN
2021-01-01 00:25:00,22592.80,5073.40,41838.80,47857.23,FRN
2021-01-01 00:26:00,22593.00,5073.90,41838.90,47857.46,FRN
2021-01-01 00:27:00,22593.00,5074.00,41838.80,47857.38,FRN
2021-01-01 00:28:00,22593.00,5073.90,41838.80,47857.37,FRN
2021-01-01 00:29:00,22592.90,5073.80,41838.80,47857.32,FRN
2021-01-01 00:30:00,22592.80,5073.80,41838.80,47857.27,FRN
2021-01-01 00:31:00,22592.70,5073.80,41838.80,47857.22,FRN
2021-01-01 00:32:00,22592.60,5073.80,41838.80,47857.17,FRN
2021-01-01 00:33:00,22592.50,5073.90,41838.80,47857.14,FRN
2021-01-01 00:34:00,22592.30,5074.00,41838.80,47857.05,FRN
2021-01-01 00:35:00,22592.30,5074.20,41838.80,47857.07,FRN
2021-01-01 00:36:00,22592.40,5074.20,41838.80,47857.12,FRN
2021-01-01 00:37:00,22592.40,5074.20,41838.80,47857.12,FRN
2021-01-01 00:38:00,22592.40,5074.20,41838.80,47857.12,FRN
2021-01-01 00:39:00,22592.30,5074.40,41838.80,47857.10,FRN
2021-01-01 00:40:00,22592.00,5074.50,41838.80,47856.96,FRN
2021-01-01 00:41:00,22591.80,5074.30,41838.70,47856.76,FRN
2021-01-01 00:42:00,22591.80,5074.20,41838.70,47856.75,FRN
2021-01-01 00:43:00,22591.80,5074.20,41838.70,47856.75,FRN
2021-01-01 00:44:00,22591.70,5074.30,41838.70,47856.71,FRN
2021-01-01 00:45:00,22591.70,5074.50,41838.80,47856.82,FRN
2021-01-01 00:46:00,22591.60,5074.70,41838.80,47856.80,FRN
2021-01-01 00:47:00,22591.60,5074.80,41838.80,47856.81,FRN
2021-01-01 00:48:00,22591.70,5074.80,41838.80,47856.85,FRN
2021-01-01 00:49:00,22591.70,5074.80,41838.80,47856.85,FRN
2021-01-01 00:50:00,22591.60,5074.90,41838.70,47856.73,FRN
2021-01-01 00:51:00,22591.50,5074.90,41838.70,47856.68,FRN
2021-01-01 00:52:00,22591.50,5075.10,41838.70,47856.70,FRN
2021-01-01 00:53:00,22591.50,5075.20,41838.70,47856.71,FRN
2021-01-01 00:54:00,22591.50,5075.20,41838.70,47856.71,FRN
2021-01-01 00:55:00,22591.50,5075.10,41838.70,47856.70,FRN
2021-01-01 00:56:00,22591.60,5075.10,41838.70,47856.75,FRN
2021-01-01 00:57:00,22591.60,5075.10,41838.70,47856.75,FRN
2021-01-01 00:58:00,22591.60,5075.10,41838.60,47856.66,FRN
