Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,20986.59,1316.67,43738.18,48530.51,FUR
2021-01-01 00:01:00,20986.47,1316.63,43738.13,48530.46,FUR
2021-01-01 00:02:00,20986.58,1316.60,43738.13,48530.47,FUR
2021-01-01 00:03:00,20986.40,1316.57,43738.14,48530.42,FUR
2021-01-01 00:04:00,20986.26,1316.73,43738.13,48530.39,FUR
2021-01-01 00:05:00,20986.30,1316.58,43738.15,48530.39,FUR
2021-01-01 00:06:00,20986.69,1316.15,43738.22,48530.55,FUR
2021-01-01 00:07:00,20987.09,1315.85,43738.18,48530.76,FUR
2021-01-01 00:08:00,20987.89,1315.57,43738.18,48531.11,FUR
2021-01-01 00:09:00,20988.07,1315.72,43738.14,48531.12,FUR
2021-01-01 00:10:00,20987.90,1316.10,43738.06,48531.01,FUR
2021-01-01 00:11:00,20987.64,1316.32,43738.12,48530.92,FUR
2021-01-01 00:12:00,20987.58,1316.32,43738.09,48530.91,FUR
2021-01-01 00:13:00,20987.52,1316.26,43738.09,48530.86,FUR
2021-01-01 00:14:00,20987.39,1316.31,43738.12,48530.84,FUR
2021-01-01 00:15:00,20987.32,1316.32,43738.08,48530.78,FUR
2021-01-01 00:16:00,20987.03,1316.45,43738.05,48530.67,FUR
2021-01-01 00:17:00,20986.67,1316.53,43738.09,48530.50,FUR
2021-01-01 00:18:00,20986.39,1316.53,43738.08,48530.44,FUR
2021-01-01 00:19:00,20986.25,1316.61,43738.13,48530.41,FUR
2021-01-01 00:20:00,20986.30,1316.53,43738.14,48530.44,FUR
2021-01-01 00:21:00,20986.26,1316.33,43738.15,48530.42,FUR
2021-01-01 00:22:00,20986.39,1316.05,43738.16,48530.47,FUR
2021-01-01 00:23:00,20986.36,1315.74,43738.20,48530.47,FUR
2021-01-01 00:24:00,20986.54,1315.56,43738.19,48530.55,FUR
2021-01-01 00:25:00,20986.79,1315.38,43738.19,48530.64,FUR
2021-01-01 00:26:00,20986.95,1315.21,43738.20,48530.67,FUR
2021-01-01 00:27:00,20987.04,1315.23,43738.13,48530.70,FUR
2021-01-01 00:28:00,20987.02,1315.31,43738.11,48530.69,FUR
2021-01-01 00:29:00,20987.14,1315.34,43738.06,48530.69,FUR
2021-01-01 00:30:00,20987.16,1315.37,43738.14,48530.69,FUR
2021-01-01 00:31:00,20987.24,1315.36,43738.08,48530.70,FUR
2021-01-01 00:32:00,20987.27,1315.31,43738.09,48530.74,FUR
2021-01-01 00:33:00,20987.52,1315.19,43738.06,48530.82,FUR
2021-01-01 00:34:00,20987.51,1314.99,43738.07,48530.82,FUR
2021-01-01 00:35:00,20987.43,1314.89,43738.05,48530.80,FUR
2021-01-01 00:36:00,20987.40,1314.84,43738.02,48530.73,FUR
2021-01-01 00:37:00,20987.45,1314.79,43738.00,48530.74,FUR
2021-01-01 00:38:00,20987.43,1314.92,43738.03,48530.76,FUR
2021-01-01 00:39:00,20987.45,1314.92,43738.00,48530.75,FUR
2021-01-01 00:40:00,20987.45,1314.92,43738.03,48530.75,FUR
2021-01-01 00:41:00,20987.19,1315.06,43738.01,48530.64,FUR
2021-01-01 00:42:00,20987.18,1315.13,43737.95,48530.60,FUR
2021-01-01 00:43:00,20987.08,1315.21,43737.97,48530.59,FUR
2021-01-01 00:44:00,20987.02,1315.17,43737.94,48530.60,FUR
2021-01-01 00:45:00,20987.06,1315.09,43738.00,48530.65,FUR
2021-01-01 00:46:00,20987.11,1314.98,43737.95,48530.66,FUR
2021-01-01 00:47:00,20987.07,1314.88,43737.99,48530.65,FUR
2021-01-01 00:48:00,20986.99,1314.92,43737.99,48530.59,FUR
2021-01-01 00:49:00,20987.12,1314.87,43738.01,48530.63,FUR
2021-01-01 00:50:00,20987.14,1314.86,43738.02,48530.63,FUR
2021-01-01 00:51:00,20987.28,1314.82,43737.92,48530.67,FUR
2021-01-01 00:52:00,20987.30,1314.86,43737.91,48530.70,FUR
2021-01-01 00:53:00,20987.39,1314.93,43737.92,48530.68,FUR
2021-01-01 00:54:00,20987.35,1315.01,43737.90,48530.71,FUR
2021-01-01 00:55:00,20987.41,1315.00,43737.95,48530.74,FUR
2021-01-01 00:56:00,20987.46,1315.04,43737.92,48530.74,FUR
2021-01-01 00:57:00,20987.50,1315.05,43737.93,48530.74,FUR
2021-01-01 00:58:00,20987.52,1315.16,43737.91,48530.74,FUR
2021-01-01 00:59:00,20987.53,1315.17,43737.94,48530.74,FUR
2021-01-01 01:00:00,20987.51,1315.17,43737.91,48530.75,FUR
2021-01-01 01:01:00,20987.52,1315.25,43737.92,48530.75,FUR
2021-01-01 01:02:00,20987.52,1315.35,43737.89,48530.76,FUR
2021-01-01 01:03:00,20987.62,1315.55,43737.90,48530.79,FUR
2021-01-01 01:04:00,20987.84,1315.70,43737.91,48530.89,FUR
2021-01-01 01:05:00,20987.95,1315.94,43737.95,48530.94,FUR
2021-01-01 01:06:00,20987.98,1316.04,43737.90,48530.92,FUR
2021-01-01 01:07:00,20988.21,1316.14,43737.91,48530.97,FUR
2021-01-01 01:08:00,20988.27,1316.14,43737.86,48530.99,FUR
2021-01-01 01:09:00,20988.29,1316.09,43737.85,48531.01,FUR
2021-01-01 01:10:00,20988.27,1316.02,43737.84,48530.99,FUR
2021-01-01 01:11:00,20988.23,1316.01,43737.82,48530.97,FUR
2021-01-01 01:12:00,20988.23,1315.96,43737.77,48530.95,FUR
2021-01-01 01:13:00,20988.25,1315.91,43737.79,48530.96,FUR
2021-01-01 01:14:00,20988.20,1316.00,43737.72,48530.95,FUR
2021-01-01 01:15:00,20988.22,1315.75,43737.80,48530.97,FUR
2021-01-01 01:16:00,20988.29,1315.65,43737.81,48530.98,FUR
2021-01-01 01:17:00,20988.25,1315.51,43737.79,48530.96,FUR
2021-01-01 01:18:00,20988.42,1315.51,43737.83,48530.99,FUR
2021-01-01 01:19:00,20988.42,1315.42,43737.82,48531.02,FUR
2021-01-01 01:20:00,20988.47,1315.38,43737.82,48531.06,FUR
2021-01-01 01:21:00,20988.60,1315.35,43737.76,48531.08,FUR
2021-01-01 01:22:00,20988.68,1315.30,43737.76,48531.11,FUR
2021-01-01 01:23:00,20988.67,1315.24,43737.73,48531.11,FUR
2021-01-01 01:24:00,20988.74,1315.27,43737.74,48531.11,FUR
2021-01-01 01:25:00,20988.76,1315.31,43737.72,48531.09,FUR
2021-01-01 01:26:00,20988.76,1315.17,43737.69,48531.12,FUR
2021-01-01 01:27:00,20988.68,1315.12,43737.67,48531.04,FUR
2021-01-01 01:28:00,20988.57,1315.23,43737.66,48530.98,FUR
2021-01-01 01:29:00,20988.47,1315.23,43737.67,48530.96,FUR
