Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,38117.54,-2700.18,-12827.63,40308.71,GAN
2021-01-01 00:01:00,38117.62,-2700.10,-12827.57,40308.81,GAN
2021-01-01 00:02:00,38117.82,-2700.13,-12827.50,40308.99,GAN
2021-01-01 00:03:00,38117.97,-2700.08,-12827.42,40309.13,GAN
2021-01-01 00:04:00,38117.93,-2700.03,-12827.41,40309.08,GAN
2021-01-01 00:05:00,38118.03,-2700.07,-12827.46,40309.18,GAN
2021-01-01 00:06:00,38117.97,-2700.17,-12827.53,40309.16,GAN
2021-01-01 00:07:00,38117.63,-2700.27,-12827.70,40308.80,GAN
2021-01-01 00:08:00,38117.56,-2700.16,-12827.76,40308.77,GAN
2021-01-01 00:09:00,38117.59,-2699.98,-12827.81,40308.83,GAN
2021-01-01 00:10:00,38117.72,-2699.75,-12827.78,40308.89,GAN
2021-01-01 00:11:00,38117.68,-2699.63,-12827.84,40308.82,GAN
2021-01-01 00:12:00,38117.69,-2699.58,-12827.85,40308.91,GAN
2021-01-01 00:13:00,38117.64,-2699.63,-12827.90,40308.84,GAN
2021-01-01 00:14:00,38117.75,-2699.66,-12827.88,40308.91,GAN
2021-01-01 00:15:00,38117.69,-2699.59,-12827.91,40308.91,GAN
2021-01-01 00:16:00,38117.80,-2699.63,-12827.90,40308.99,GAN
2021-01-01 00:17:00,38117.74,-2699.81,-12827.92,40308.97,GAN
2021-01-01 00:18:00,38117.70,-2699.88,-12827.99,40308.98,GAN
2021-01-01 00:19:00,38117.82,-2700.03,-12827.98,40309.12,GAN
2021-01-01 00:20:00,38117.85,-2700.16,-12827.98,40309.16,GAN
2021-01-01 00:21:00,38118.00,-2700.35,-12827.99,40309.17,GAN
2021-01-01 00:22:00,38117.97,-2700.54,-12828.02,40309.23,GAN
2021-01-01 00:23:00,38117.82,-2700.78,-12828.07,40309.20,GAN
2021-01-01 00:24:00,38117.87,-2700.99,-12828.10,40309.27,GAN
2021-01-01 00:25:00,38117.81,-2701.02,-12828.21,40309.24,GAN
2021-01-01 00:26:00,38117.79,-2701.02,-12828.22,40309.24,GAN
2021-01-01 00:27:00,38117.81,-2701.01,-12828.25,40309.25,GAN
2021-01-01 00:28:00,38117.85,-2701.01,-12828.27,40309.24,GAN
2021-01-01 00:29:00,38117.97,-2700.96,-12828.27,40309.38,GAN
2021-01-01 00:30:00,38118.04,-2700.99,-12828.30,40309.44,GAN
2021-01-01 00:31:00,38118.10,-2701.03,-12828.28,40309.47,GAN
2021-01-01 00:32:00,38118.17,-2701.04,-12828.28,40309.60,GAN
2021-01-01 00:33:00,38118.22,-2701.06,-12828.26,40309.65,GAN
2021-01-01 00:34:00,38118.25,-2701.07,-12828.27,40309.67,GAN
2021-01-01 00:35:00,38118.28,-2701.07,-12828.29,40309.67,GAN
2021-01-01 00:36:00,38118.31,-2701.06,-12828.28,40309.72,GAN
2021-01-01 00:37:00,38118.29,-2701.04,-12828.32,40309.74,GAN
2021-01-01 00:38:00,38118.39,-2701.03,-12828.30,40309.75,GAN
2021-01-01 00:39:00,38118.38,-2700.99,-12828.33,40309.77,GAN
2021-01-01 00:40:00,38118.27,-2700.94,-12828.36,40309.71,GAN
2021-01-01 00:41:00,38118.16,-2700.93,-12828.46,40309.65,GAN
2021-01-01 00:42:00,38118.18,-2700.93,-12828.49,40309.65,GAN
2021-01-01 00:43:00,38118.27,-2700.96,-12828.44,40309.75,GAN
2021-01-01 00:44:00,38118.31,-2701.00,-12828.45,40309.80,GAN
2021-01-01 00:45:00,38118.33,-2701.01,-12828.48,40309.80,GAN
2021-01-01 00:46:00,38118.23,-2701.03,-12828.52,40309.75,GAN
2021-01-01 00:47:00,38118.14,-2700.98,-12828.62,40309.66,GAN
2021-01-01 00:48:00,38118.09,-2701.02,-12828.63,40309.66,GAN
2021-01-01 00:49:00,38118.18,-2700.91,-12828.65,40309.65,GAN
2021-01-01 00:50:00,38118.20,-2700.86,-12828.62,40309.72,GAN
2021-01-01 00:51:00,38118.25,-2700.76,-12828.62,40309.76,GAN
2021-01-01 00:52:00,38118.20,-2700.66,-12828.66,40309.68,GAN
2021-01-01 00:53:00,38118.13,-2700.55,-12828.72,40309.68,GAN
2021-01-01 00:54:00,38118.11,-2700.52,-12828.72,40309.69,GAN
2021-01-01 00:55:00,38118.12,-2700.43,-12828.75,40309.67,GAN
2021-01-01 00:56:00,38118.13,-2700.30,-12828.73,40309.66,GAN
2021-01-01 00:57:00,38118.08,-2700.19,-12828.72,40309.62,GAN
2021-01-01 00:58:00,38118.07,-2700.06,-12828.76,40309.60,GAN
2021-01-01 00:59:00,38118.01,-2699.95,-12828.76,40309.54,GAN
2021-01-01 01:00:00,38117.96,-2699.81,-12828.76,40309.51,GAN
2021-01-01 01:01:00,38117.94,-2699.59,-12828.81,40309.49,GAN
2021-01-01 01:02:00,38117.89,-2699.46,-12828.78,40309.41,GAN
2021-01-01 01:03:00,38117.87,-2699.38,-12828.82,40309.28,GAN
2021-01-01 01:04:00,38117.81,-2699.20,-12828.85,40309.31,GAN
2021-01-01 01:05:00,38117.77,-2699.02,-12828.91,40309.21,GAN
2021-01-01 01:06:00,38117.71,-2698.89,-12828.90,40309.20,GAN
2021-01-01 01:07:00,38117.65,-2698.67,-12828.96,40309.17,GAN
2021-01-01 01:08:00,38117.63,-2698.49,-12828.99,40309.10,GAN
2021-01-01 01:09:00,38117.55,-2698.33,-12829.04,40309.02,GAN
2021-01-01 01:10:00,38117.44,-2698.18,-12829.08,40308.94,GAN
2021-01-01 01:11:00,38117.34,-2698.05,-12829.16,40308.87,GAN
2021-01-01 01:12:00,38117.22,-2697.88,-12829.23,40308.75,GAN
2021-01-01 01:13:00,38117.10,-2697.72,-12829.29,40308.67,GAN
2021-01-01 01:14:00,38117.10,-2697.59,-12829.36,40308.64,GAN
2021-01-01 01:15:00,38117.06,-2697.56,-12829.40,40308.64,GAN
2021-01-01 01:16:00,38117.05,-2697.58,-12829.44,40308.65,GAN
2021-01-01 01:17:00,38116.99,-2697.68,-12829.48,40308.61,GAN
2021-01-01 01:18:00,38116.99,-2697.78,-12829.54,40308.63,GAN
2021-01-01 01:19:00,38116.93,-2697.89,-12829.65,40308.66,GAN
