Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,97.90,57.90,12.30,48067.90,GCK
2021-01-01 00:01:00,97.80,58.00,12.30,48067.90,GCK
2021-01-01 00:02:00,97.90,57.90,12.30,48067.90,GCK
2021-01-01 00:03:00,97.90,58.10,12.30,48067.90,GCK
2021-01-01 00:04:00,97.80,58.20,12.30,48067.90,GCK
2021-01-01 00:05:00,97.70,58.00,12.30,48067.90,GCK
2021-01-01 00:06:00,97.90,57.50,12.30,48067.90,GCK
2021-01-01 00:07:00,98.30,57.10,12.30,48068.10,GCK
2021-01-01 00:08:00,98.90,56.90,12.20,48068.30,GCK
2021-01-01 00:09:00,99.20,57.20,12.20,48068.40,GCK
2021-01-01 00:10:00,99.10,57.70,12.20,48068.40,GCK
2021-01-01 00:11:00,98.90,58.00,12.20,48068.40,GCK
2021-01-01 00:12:00,98.90,58.00,12.30,48068.40,GCK
2021-01-01 00:13:00,98.70,57.90,12.30,48068.30,GCK
2021-01-01 00:14:00,98.60,57.90,12.30,48068.30,GCK
2021-01-01 00:15:00,98.50,58.00,12.40,48068.20,GCK
2021-01-01 00:16:00,98.40,58.20,12.40,48068.20,GCK
2021-01-01 00:17:00,98.10,58.30,12.40,48068.10,GCK
2021-01-01 00:18:00,97.80,58.20,12.50,48068.00,GCK
2021-01-01 00:19:00,97.70,58.20,12.40,48068.00,GCK
2021-01-01 00:20:00,97.70,58.00,12.40,48068.00,GCK
2021-01-01 00:21:00,97.80,57.80,12.50,48068.00,GCK
2021-01-01 00:22:00,97.80,57.40,12.50,48068.00,GCK
2021-01-01 00:23:00,97.80,57.00,12.50,48068.00,GCK
2021-01-01 00:24:00,98.00,56.80,12.50,48068.10,GCK
2021-01-01 00:25:00,98.20,56.60,12.40,48068.10,GCK
2021-01-01 00:26:00,98.30,56.40,12.30,48068.20,GCK
2021-01-01 00:27:00,98.50,56.40,12.40,48068.20,GCK
2021-01-01 00:28:00,98.60,56.60,12.30,48068.20,GCK
2021-01-01 00:29:00,98.60,56.60,12.30,48068.20,GCK
2021-01-01 00:30:00,98.60,56.60,12.30,48068.20,GCK
2021-01-01 00:31:00,98.60,56.60,12.30,48068.30,GCK
2021-01-01 00:32:00,98.70,56.60,12.30,48068.30,GCK
2021-01-01 00:33:00,98.90,56.40,12.30,48068.30,GCK
2021-01-01 00:34:00,98.90,56.20,12.30,48068.30,GCK
2021-01-01 00:35:00,98.90,56.10,12.40,48068.30,GCK
2021-01-01 00:36:00,99.00,56.10,12.40,48068.40,GCK
2021-01-01 00:37:00,99.00,56.20,12.40,48068.40,GCK
2021-01-01 00:38:00,99.00,56.20,12.30,48068.40,GCK
2021-01-01 00:39:00,99.00,56.20,12.30,48068.40,GCK
2021-01-01 00:40:00,99.00,56.20,12.30,48068.40,GCK
2021-01-01 00:41:00,98.80,56.30,12.40,48068.30,GCK
2021-01-01 00:42:00,98.70,56.50,12.40,48068.30,GCK
2021-01-01 00:43:00,98.60,56.60,12.40,48068.20,GCK
2021-01-01 00:44:00,98.60,56.50,12.40,48068.30,GCK
2021-01-01 00:45:00,98.60,56.40,12.40,48068.30,GCK
2021-01-01 00:46:00,98.60,56.20,12.40,48068.30,GCK
2021-01-01 00:47:00,98.60,56.10,12.40,48068.30,GCK
2021-01-01 00:48:00,98.60,56.10,12.40,48068.20,GCK
2021-01-01 00:49:00,98.70,56.10,12.40,48068.30,GCK
2021-01-01 00:50:00,98.70,56.10,12.30,48068.30,GCK
2021-01-01 00:51:00,98.70,56.10,12.40,48068.30,GCK
2021-01-01 00:52:00,98.90,56.20,12.30,48068.30,GCK
2021-01-01 00:53:00,98.90,56.20,12.30,48068.30,GCK
2021-01-01 00:54:00,98.90,56.30,12.30,48068.30,GCK
2021-01-01 00:55:00,99.00,56.30,12.30,48068.40,GCK
2021-01-01 00:56:00,99.00,56.40,12.30,48068.40,GCK
2021-01-01 00:57:00,99.10,56.50,12.30,48068.40,GCK
2021-01-01 00:58:00,99.10,56.50,12.30,48068.40,GCK
2021-01-01 00:59:00,99.10,56.50,12.30,48068.40,GCK
2021-01-01 01:00:00,99.10,56.60,12.30,48068.40,GCK
2021-01-01 01:01:00,99.10,56.70,12.30,48068.40,GCK
2021-01-01 01:02:00,99.10,56.80,12.30,48068.40,GCK
2021-01-01 01:03:00,99.20,56.90,12.30,48068.40,GCK
2021-01-01 01:04:00,99.30,57.00,12.20,48068.50,GCK
