Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,7729.49,-4665.06,55686.00,99999.00,GDH
2021-01-01 00:01:00,7728.06,-4663.15,55685.79,99999.00,GDH
2021-01-01 00:02:00,7723.64,-4663.21,55684.67,99999.00,GDH
2021-01-01 00:03:00,7720.57,-4665.07,55684.88,99999.00,GDH
2021-01-01 00:04:00,7717.97,-4666.72,55683.04,99999.00,GDH
2021-01-01 00:05:00,7714.43,-4666.51,55682.71,99999.00,GDH
2021-01-01 00:06:00,7714.29,-4664.68,55684.92,99999.00,GDH
2021-01-01 00:07:00,7714.01,-4663.95,55688.25,99999.00,GDH
2021-01-01 00:08:00,7715.64,-4664.13,55692.00,99999.00,GDH
2021-01-01 00:09:00,7716.77,-4664.09,55692.96,99999.00,GDH
2021-01-01 00:10:00,7718.78,-4663.78,55693.67,99999.00,GDH
2021-01-01 00:11:00,7720.08,-4663.51,55693.29,99999.00,GDH
2021-01-01 00:12:00,7719.98,-4663.01,55693.00,99999.00,GDH
2021-01-01 00:13:00,7720.22,-4663.46,55693.08,99999.00,GDH
2021-01-01 00:14:00,7719.61,-4664.61,55692.63,99999.00,GDH
2021-01-01 00:15:00,7718.18,-4665.26,55692.58,99999.00,GDH
2021-01-01 00:16:00,7719.63,-4665.00,55693.54,99999.00,GDH
2021-01-01 00:17:00,7718.69,-4663.82,55691.00,99999.00,GDH
2021-01-01 00:18:00,7717.20,-4662.54,55693.04,99999.00,GDH
2021-01-01 00:19:00,7718.52,-4661.35,55696.21,99999.00,GDH
2021-01-01 00:20:00,7719.32,-4660.90,55696.17,99999.00,GDH
2021-01-01 00:21:00,7718.22,-4661.95,55695.46,99999.00,GDH
2021-01-01 00:22:00,7718.44,-4663.05,55696.21,99999.00,GDH
2021-01-01 00:23:00,7720.79,-4663.67,55696.54,99999.00,GDH
2021-01-01 00:24:00,7721.07,-4662.74,55696.29,99999.00,GDH
2021-01-01 00:25:00,7721.25,-4662.15,55696.38,99999.00,GDH
2021-01-01 00:26:00,7721.25,-4662.09,55696.25,99999.00,GDH
2021-01-01 00:27:00,7721.16,-4662.34,55696.21,99999.00,GDH
2021-01-01 00:28:00,7720.91,-4662.05,55695.21,99999.00,GDH
2021-01-01 00:29:00,7719.93,-4663.08,55693.58,99999.00,GDH
2021-01-01 00:30:00,7718.80,-4665.41,55692.96,99999.00,GDH
2021-01-01 00:31:00,7718.43,-4664.87,55693.63,99999.00,GDH
2021-01-01 00:32:00,7720.12,-4664.21,55693.29,99999.00,GDH
2021-01-01 00:33:00,7720.76,-4664.12,55691.42,99999.00,GDH
2021-01-01 00:34:00,7719.59,-4663.87,55690.00,99999.00,GDH
2021-01-01 00:35:00,7718.79,-4663.63,55690.17,99999.00,GDH
2021-01-01 00:36:00,7718.56,-4663.93,55691.25,99999.00,GDH
2021-01-01 00:37:00,7718.69,-4664.65,55691.54,99999.00,GDH
2021-01-01 00:38:00,7718.53,-4664.53,55691.54,99999.00,GDH
2021-01-01 00:39:00,7719.12,-4664.30,55692.08,99999.00,GDH
2021-01-01 00:40:00,7718.88,-4664.06,55692.08,99999.00,GDH
2021-01-01 00:41:00,7719.94,-4663.14,55692.71,99999.00,GDH
2021-01-01 00:42:00,7720.69,-4663.24,55692.25,99999.00,GDH
2021-01-01 00:43:00,7721.03,-4663.28,55691.25,99999.00,GDH
2021-01-01 00:44:00,7720.20,-4662.71,55690.17,99999.00,GDH
2021-01-01 00:45:00,7720.15,-4662.99,55690.21,99999.00,GDH
2021-01-01 00:46:00,7719.72,-4663.29,55691.58,99999.00,GDH
2021-01-01 00:47:00,7718.84,-4664.04,55692.46,99999.00,GDH
2021-01-01 00:48:00,7719.03,-4664.13,55692.71,99999.00,GDH
2021-01-01 00:49:00,7719.63,-4663.48,55691.21,99999.00,GDH
2021-01-01 00:50:00,7718.77,-4662.89,55689.92,99999.00,GDH
2021-01-01 00:51:00,7718.48,-4663.35,55691.50,99999.00,GDH
2021-01-01 00:52:00,7719.53,-4663.88,55691.96,99999.00,GDH
