Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,24188.42,-733.54,-52684.57,57975.93,GNG
2021-01-01 00:01:00,24188.60,-733.97,-52684.55,57975.97,GNG
2021-01-01 00:02:00,24188.81,-733.75,-52684.49,57976.00,GNG
2021-01-01 00:03:00,24188.80,-734.19,-52684.43,57975.97,GNG
2021-01-01 00:04:00,24188.39,-735.70,-52684.64,57975.99,GNG
2021-01-01 00:05:00,24187.86,-736.05,-52684.73,57975.88,GNG
2021-01-01 00:06:00,24186.75,-736.23,-52684.71,57975.43,GNG
2021-01-01 00:07:00,24186.37,-737.13,-52684.96,57975.43,GNG
2021-01-01 00:08:00,24186.48,-736.95,-52684.94,57975.47,GNG
2021-01-01 00:09:00,24186.76,-736.38,-52684.82,57975.48,GNG
2021-01-01 00:10:00,24186.92,-736.13,-52684.70,57975.43,GNG
2021-01-01 00:11:00,24186.97,-735.84,-52684.61,57975.40,GNG
2021-01-01 00:12:00,24187.06,-735.31,-52684.39,57975.21,GNG
2021-01-01 00:13:00,24186.95,-735.02,-52684.29,57975.08,GNG
2021-01-01 00:14:00,24187.23,-735.08,-52684.17,57975.05,GNG
2021-01-01 00:15:00,24187.05,-736.19,-52684.30,57975.12,GNG
2021-01-01 00:16:00,24187.03,-736.39,-52684.26,57975.07,GNG
2021-01-01 00:17:00,24187.03,-736.63,-52684.25,57975.08,GNG
2021-01-01 00:18:00,24186.98,-737.20,-52684.24,57975.00,GNG
2021-01-01 00:19:00,24187.05,-736.45,-52684.00,57974.92,GNG
2021-01-01 00:20:00,24187.04,-736.46,-52683.92,57974.81,GNG
2021-01-01 00:21:00,24186.85,-736.56,-52683.84,57974.64,GNG
2021-01-01 00:22:00,24186.90,-736.45,-52683.72,57974.55,GNG
2021-01-01 00:23:00,24186.91,-736.93,-52683.69,57974.51,GNG
2021-01-01 00:24:00,24186.85,-737.20,-52683.67,57974.47,GNG
2021-01-01 00:25:00,24186.52,-737.82,-52683.69,57974.38,GNG
2021-01-01 00:26:00,24186.36,-738.68,-52683.80,57974.41,GNG
2021-01-01 00:27:00,24186.29,-738.72,-52683.77,57974.37,GNG
2021-01-01 00:28:00,24186.43,-738.40,-52683.67,57974.31,GNG
2021-01-01 00:29:00,24186.52,-738.01,-52683.52,57974.23,GNG
2021-01-01 00:30:00,24186.58,-737.90,-52683.42,57974.15,GNG
2021-01-01 00:31:00,24186.64,-737.70,-52683.29,57974.07,GNG
2021-01-01 00:32:00,24186.62,-737.67,-52683.23,57973.99,GNG
2021-01-01 00:33:00,24186.54,-737.79,-52683.19,57973.90,GNG
2021-01-01 00:34:00,24186.34,-737.87,-52683.13,57973.78,GNG
2021-01-01 00:35:00,24186.37,-737.98,-52683.10,57973.79,GNG
2021-01-01 00:36:00,24186.39,-737.93,-52683.03,57973.73,GNG
2021-01-01 00:37:00,24186.28,-738.29,-52683.05,57973.68,GNG
2021-01-01 00:38:00,24186.36,-738.40,-52683.01,57973.67,GNG
2021-01-01 00:39:00,24186.22,-738.52,-52683.01,57973.65,GNG
2021-01-01 00:40:00,24186.17,-738.34,-52682.90,57973.48,GNG
2021-01-01 00:41:00,24186.40,-737.73,-52682.79,57973.51,GNG
2021-01-01 00:42:00,24186.54,-737.11,-52682.57,57973.35,GNG
2021-01-01 00:43:00,24186.57,-736.79,-52682.45,57973.28,GNG
2021-01-01 00:44:00,24186.45,-736.83,-52682.38,57973.16,GNG
2021-01-01 00:45:00,24186.26,-737.12,-52682.38,57973.07,GNG
2021-01-01 00:46:00,24185.98,-737.35,-52682.39,57972.97,GNG
2021-01-01 00:47:00,24185.75,-737.62,-52682.40,57972.86,GNG
2021-01-01 00:48:00,24185.95,-737.71,-52682.43,57972.97,GNG
2021-01-01 00:49:00,24185.90,-737.19,-52682.25,57972.80,GNG
2021-01-01 00:50:00,24185.84,-737.32,-52682.23,57972.76,GNG
2021-01-01 00:51:00,24185.61,-737.27,-52682.17,57972.62,GNG
2021-01-01 00:52:00,24185.37,-737.56,-52682.17,57972.53,GNG
2021-01-01 00:53:00,24185.20,-737.74,-52682.21,57972.49,GNG
2021-01-01 00:54:00,24185.16,-737.88,-52682.20,57972.42,GNG
2021-01-01 00:55:00,24185.12,-737.94,-52682.17,57972.39,GNG
2021-01-01 00:56:00,24185.08,-738.09,-52682.13,57972.37,GNG
2021-01-01 00:57:00,24185.02,-738.20,-52682.08,57972.29,GNG
2021-01-01 00:58:00,24184.95,-738.21,-52682.05,57972.23,GNG
2021-01-01 00:59:00,24184.91,-738.09,-52681.97,57972.14,GNG
2021-01-01 01:00:00,24184.81,-738.09,-52681.90,57972.03,GNG
2021-01-01 01:01:00,24184.61,-738.14,-52681.86,57971.90,GNG
2021-01-01 01:02:00,24184.54,-738.25,-52681.82,57971.83,GNG
2021-01-01 01:03:00,24184.48,-738.47,-52681.80,57971.80,GNG
2021-01-01 01:04:00,24184.41,-738.47,-52681.71,57971.73,GNG
2021-01-01 01:05:00,24184.37,-738.37,-52681.63,57971.61,GNG
2021-01-01 01:06:00,24184.40,-738.12,-52681.50,57971.51,GNG
2021-01-01 01:07:00,24184.42,-738.04,-52681.38,57971.38,GNG
2021-01-01 01:08:00,24184.39,-737.87,-52681.29,57971.30,GNG
2021-01-01 01:09:00,24184.42,-737.74,-52681.15,57971.15,GNG
2021-01-01 01:10:00,24184.40,-737.55,-52680.98,57971.01,GNG
2021-01-01 01:11:00,24184.34,-737.42,-52680.85,57970.86,GNG
2021-01-01 01:12:00,24184.27,-737.27,-52680.70,57970.70,GNG
2021-01-01 01:13:00,24184.27,-737.03,-52680.54,57970.54,GNG
2021-01-01 01:14:00,24184.30,-736.88,-52680.35,57970.39,GNG
2021-01-01 01:15:00,24184.25,-736.92,-52680.23,57970.29,GNG
2021-01-01 01:16:00,24184.25,-737.09,-52680.10,57970.17,GNG
2021-01-01 01:17:00,24184.26,-737.40,-52680.01,57970.08,GNG
2021-01-01 01:18:00,24184.36,-737.61,-52679.89,57970.01,GNG
2021-01-01 01:19:00,24184.39,-737.69,-52679.75,57969.88,GNG
2021-01-01 01:20:00,24184.40,-737.52,-52679.58,57969.75,GNG
2021-01-01 01:21:00,24184.45,-737.55,-52679.39,57969.61,GNG
2021-01-01 01:22:00,24184.42,-737.32,-52679.23,57969.43,GNG
2021-01-01 01:23:00,24184.48,-737.05,-52679.01,57969.26,GNG
2021-01-01 01:24:00,24184.61,-736.82,-52678.75,57969.09,GNG
2021-01-01 01:25:00,24184.75,-736.46,-52678.52,57968.92,GNG
2021-01-01 01:26:00,24184.64,-736.14,-52678.27,57968.64,GNG
2021-01-01 01:27:00,24184.64,-735.71,-52678.01,57968.42,GNG
2021-01-01 01:28:00,24184.67,-735.28,-52677.76,57968.21,GNG
2021-01-01 01:29:00,24184.73,-734.72,-52677.48,57967.96,GNG
2021-01-01 01:30:00,24184.69,-734.41,-52677.25,57967.70,GNG
2021-01-01 01:31:00,24184.52,-734.58,-52677.07,57967.48,GNG
2021-01-01 01:32:00,24184.40,-734.58,-52676.92,57967.29,GNG
2021-01-01 01:33:00,24184.37,-734.59,-52676.76,57967.16,GNG
2021-01-01 01:34:00,24184.43,-734.30,-52676.57,57967.03,GNG
2021-01-01 01:35:00,24184.28,-734.29,-52676.38,57966.80,GNG
2021-01-01 01:36:00,24184.10,-734.30,-52676.22,57966.55,GNG
2021-01-01 01:37:00,24184.03,-734.21,-52676.07,57966.39,GNG
2021-01-01 01:38:00,24183.92,-734.07,-52675.94,57966.23,GNG
2021-01-01 01:39:00,24183.86,-734.08,-52675.81,57966.06,GNG
2021-01-01 01:40:00,24183.80,-733.87,-52675.66,57965.91,GNG
2021-01-01 01:41:00,24183.80,-733.54,-52675.50,57965.74,GNG
2021-01-01 01:42:00,24183.79,-733.38,-52675.35,57965.58,GNG
2021-01-01 01:43:00,24183.73,-733.25,-52675.21,57965.44,GNG
2021-01-01 01:44:00,24183.60,-732.97,-52675.08,57965.28,GNG
2021-01-01 01:45:00,24183.52,-732.84,-52674.97,57965.14,GNG
2021-01-01 01:46:00,24183.48,-732.77,-52674.87,57965.05,GNG
2021-01-01 01:47:00,24183.35,-732.68,-52674.81,57964.92,GNG
2021-01-01 01:48:00,24183.11,-732.48,-52674.73,57964.74,GNG
2021-01-01 01:49:00,24183.09,-732.25,-52674.64,57964.64,GNG
