Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,27634.19,-3204.80,22545.46,35982.32,GUI
2021-01-01 00:01:00,27634.29,-3204.81,22545.44,35982.38,GUI
2021-01-01 00:02:00,27634.40,-3204.81,22545.54,35982.53,GUI
2021-01-01 00:03:00,27634.49,-3204.76,22545.56,35982.59,GUI
2021-01-01 00:04:00,27634.53,-3204.68,22545.52,35982.58,GUI
2021-01-01 00:05:00,27634.61,-3204.68,22545.56,35982.71,GUI
2021-01-01 00:06:00,27634.73,-3204.79,22545.56,35982.81,GUI
2021-01-01 00:07:00,27635.02,-3204.86,22545.60,35983.05,GUI
2021-01-01 00:08:00,27635.39,-3204.88,22545.72,35983.41,GUI
2021-01-01 00:09:00,27635.51,-3204.93,22545.74,35983.49,GUI
2021-01-01 00:10:00,27635.38,-3204.86,22545.68,35983.36,GUI
2021-01-01 00:11:00,27635.16,-3204.86,22545.62,35983.18,GUI
2021-01-01 00:12:00,27635.16,-3204.84,22545.64,35983.17,GUI
2021-01-01 00:13:00,27635.09,-3204.81,22545.61,35983.07,GUI
2021-01-01 00:14:00,27635.13,-3204.74,22545.52,35983.05,GUI
2021-01-01 00:15:00,27635.18,-3204.70,22545.54,35983.08,GUI
2021-01-01 00:16:00,27635.06,-3204.71,22545.55,35982.99,GUI
2021-01-01 00:17:00,27634.86,-3204.76,22545.45,35982.80,GUI
2021-01-01 00:18:00,27634.72,-3204.77,22545.50,35982.71,GUI
2021-01-01 00:19:00,27634.63,-3204.83,22545.47,35982.60,GUI
2021-01-01 00:20:00,27634.56,-3204.88,22545.51,35982.59,GUI
2021-01-01 00:21:00,27634.52,-3204.90,22545.50,35982.58,GUI
2021-01-01 00:22:00,27634.59,-3204.92,22545.51,35982.58,GUI
2021-01-01 00:23:00,27634.58,-3204.93,22545.55,35982.60,GUI
2021-01-01 00:24:00,27634.69,-3204.92,22545.52,35982.70,GUI
2021-01-01 00:25:00,27634.81,-3204.99,22545.58,35982.83,GUI
2021-01-01 00:26:00,27635.00,-3205.08,22545.67,35983.01,GUI
2021-01-01 00:27:00,27635.05,-3205.11,22545.67,35983.07,GUI
2021-01-01 00:28:00,27635.01,-3205.20,22545.59,35983.01,GUI
2021-01-01 00:29:00,27634.97,-3205.16,22545.60,35983.01,GUI
2021-01-01 00:30:00,27634.96,-3205.14,22545.62,35983.00,GUI
2021-01-01 00:31:00,27634.99,-3205.04,22545.58,35982.97,GUI
2021-01-01 00:32:00,27635.07,-3204.99,22545.59,35983.02,GUI
2021-01-01 00:33:00,27635.16,-3205.02,22545.60,35983.09,GUI
2021-01-01 00:34:00,27635.18,-3205.10,22545.59,35983.16,GUI
2021-01-01 00:35:00,27635.23,-3205.17,22545.61,35983.20,GUI
2021-01-01 00:36:00,27635.23,-3205.19,22545.64,35983.17,GUI
2021-01-01 00:37:00,27635.26,-3205.26,22545.66,35983.21,GUI
2021-01-01 00:38:00,27635.23,-3205.25,22545.62,35983.20,GUI
2021-01-01 00:39:00,27635.29,-3205.29,22545.63,35983.23,GUI
2021-01-01 00:40:00,27635.19,-3205.30,22545.53,35983.14,GUI
2021-01-01 00:41:00,27635.05,-3205.20,22545.53,35983.01,GUI
2021-01-01 00:42:00,27634.95,-3205.18,22545.46,35982.89,GUI
2021-01-01 00:43:00,27634.91,-3205.17,22545.42,35982.79,GUI
2021-01-01 00:44:00,27634.93,-3205.16,22545.45,35982.84,GUI
2021-01-01 00:45:00,27634.97,-3205.18,22545.41,35982.84,GUI
2021-01-01 00:46:00,27634.99,-3205.16,22545.39,35982.87,GUI
2021-01-01 00:47:00,27635.04,-3205.12,22545.37,35982.86,GUI
2021-01-01 00:48:00,27634.95,-3205.03,22545.38,35982.81,GUI
2021-01-01 00:49:00,27634.98,-3205.11,22545.33,35982.84,GUI
2021-01-01 00:50:00,27635.04,-3205.17,22545.34,35982.87,GUI
2021-01-01 00:51:00,27635.09,-3205.19,22545.37,35982.93,GUI
2021-01-01 00:52:00,27635.15,-3205.23,22545.36,35982.97,GUI
2021-01-01 00:53:00,27635.17,-3205.23,22545.36,35982.99,GUI
2021-01-01 00:54:00,27635.23,-3205.13,22545.37,35983.04,GUI
