Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,19820.06,-428.61,44487.40,48704.70,HAD
2021-01-01 00:01:00,19819.96,-428.61,44487.40,48704.60,HAD
2021-01-01 00:02:00,19819.96,-428.84,44487.40,48704.60,HAD
2021-01-01 00:03:00,19819.86,-428.72,44487.40,48704.60,HAD
2021-01-01 00:04:00,19819.87,-428.61,44487.50,48704.70,HAD
2021-01-01 00:05:00,19819.86,-428.84,44487.40,48704.60,HAD
2021-01-01 00:06:00,19820.36,-429.14,44487.50,48704.90,HAD
2021-01-01 00:07:00,19821.05,-429.44,44487.60,48705.30,HAD
2021-01-01 00:08:00,19822.04,-429.69,44487.90,48705.90,HAD
2021-01-01 00:09:00,19822.35,-429.58,44488.00,48706.10,HAD
2021-01-01 00:10:00,19821.95,-429.40,44487.90,48705.90,HAD
2021-01-01 00:11:00,19821.55,-429.28,44487.70,48705.60,HAD
2021-01-01 00:12:00,19821.45,-429.28,44487.70,48705.50,HAD
2021-01-01 00:13:00,19821.35,-429.27,44487.70,48705.50,HAD
2021-01-01 00:14:00,19821.45,-429.39,44487.70,48705.50,HAD
2021-01-01 00:15:00,19821.25,-429.44,44487.70,48705.40,HAD
2021-01-01 00:16:00,19820.85,-429.38,44487.60,48705.20,HAD
2021-01-01 00:17:00,19820.15,-429.30,44487.40,48704.70,HAD
2021-01-01 00:18:00,19819.75,-429.24,44487.40,48704.50,HAD
2021-01-01 00:19:00,19819.55,-429.29,44487.40,48704.50,HAD
2021-01-01 00:20:00,19819.55,-429.23,44487.50,48704.60,HAD
2021-01-01 00:21:00,19819.55,-429.29,44487.50,48704.60,HAD
2021-01-01 00:22:00,19819.65,-429.52,44487.50,48704.60,HAD
2021-01-01 00:23:00,19819.74,-429.64,44487.50,48704.60,HAD
2021-01-01 00:24:00,19819.94,-429.82,44487.60,48704.80,HAD
2021-01-01 00:25:00,19820.24,-429.94,44487.70,48705.00,HAD
2021-01-01 00:26:00,19820.43,-430.06,44487.70,48705.10,HAD
2021-01-01 00:27:00,19820.53,-430.06,44487.70,48705.10,HAD
2021-01-01 00:28:00,19820.53,-430.06,44487.70,48705.10,HAD
2021-01-01 00:29:00,19820.54,-429.95,44487.80,48705.20,HAD
2021-01-01 00:30:00,19820.54,-429.83,44487.80,48705.20,HAD
2021-01-01 00:31:00,19820.64,-429.72,44487.90,48705.40,HAD
2021-01-01 00:32:00,19820.74,-429.72,44487.90,48705.40,HAD
2021-01-01 00:33:00,19820.94,-429.84,44487.90,48705.50,HAD
2021-01-01 00:34:00,19820.93,-430.07,44487.80,48705.40,HAD
