Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,12505.17,-4228.06,-24942.80,28218.40,HBK
2021-01-01 00:01:00,12505.41,-4227.98,-24943.20,28218.80,HBK
2021-01-01 00:02:00,12505.69,-4228.08,-24943.50,28219.10,HBK
2021-01-01 00:03:00,12505.74,-4227.93,-24943.50,28219.20,HBK
2021-01-01 00:04:00,12505.99,-4227.82,-24943.60,28219.30,HBK
2021-01-01 00:05:00,12505.79,-4227.79,-24943.50,28219.20,HBK
2021-01-01 00:06:00,12505.98,-4227.85,-24943.10,28219.00,HBK
2021-01-01 00:07:00,12506.04,-4227.67,-24942.60,28218.50,HBK
2021-01-01 00:08:00,12505.80,-4227.46,-24942.60,28218.40,HBK
2021-01-01 00:09:00,12505.85,-4227.61,-24942.60,28218.70,HBK
2021-01-01 00:10:00,12506.10,-4227.49,-24943.10,28218.70,HBK
2021-01-01 00:11:00,12505.76,-4227.57,-24942.80,28218.60,HBK
2021-01-01 00:12:00,12505.87,-4227.57,-24943.00,28218.70,HBK
2021-01-01 00:13:00,12505.76,-4227.57,-24942.80,28218.60,HBK
2021-01-01 00:14:00,12505.59,-4227.44,-24943.10,28218.70,HBK
2021-01-01 00:15:00,12505.44,-4227.26,-24943.10,28218.70,HBK
2021-01-01 00:16:00,12505.63,-4227.33,-24943.00,28218.70,HBK
2021-01-01 00:17:00,12505.62,-4227.36,-24943.10,28218.60,HBK
2021-01-01 00:18:00,12505.61,-4227.40,-24943.20,28218.80,HBK
2021-01-01 00:19:00,12505.52,-4227.66,-24942.80,28218.30,HBK
2021-01-01 00:20:00,12505.43,-4227.91,-24942.80,28218.60,HBK
2021-01-01 00:21:00,12505.60,-4228.05,-24942.70,28218.40,HBK
2021-01-01 00:22:00,12505.35,-4228.17,-24942.30,28218.00,HBK
2021-01-01 00:23:00,12505.48,-4228.41,-24942.30,28218.10,HBK
2021-01-01 00:24:00,12505.48,-4228.41,-24942.30,28218.20,HBK
2021-01-01 00:25:00,12505.56,-4228.48,-24942.70,28218.60,HBK
2021-01-01 00:26:00,12505.79,-4228.43,-24942.80,28218.80,HBK
2021-01-01 00:27:00,12505.80,-4228.40,-24943.00,28218.70,HBK
2021-01-01 00:28:00,12505.77,-4228.47,-24942.70,28218.70,HBK
2021-01-01 00:29:00,12505.96,-4228.54,-24942.70,28218.50,HBK
2021-01-01 00:30:00,12505.74,-4228.58,-24942.60,28218.50,HBK
2021-01-01 00:31:00,12505.72,-4228.62,-24942.50,28218.50,HBK
2021-01-01 00:32:00,12505.91,-4228.68,-24942.70,28218.60,HBK
2021-01-01 00:33:00,12505.96,-4228.86,-24942.70,28218.90,HBK
2021-01-01 00:34:00,12506.14,-4228.96,-24942.80,28219.00,HBK
2021-01-01 00:35:00,12505.93,-4228.93,-24943.00,28219.00,HBK
2021-01-01 00:36:00,12506.10,-4229.07,-24943.00,28219.10,HBK
2021-01-01 00:37:00,12506.11,-4229.03,-24943.20,28219.30,HBK
2021-01-01 00:38:00,12506.10,-4229.07,-24943.10,28219.30,HBK
2021-01-01 00:39:00,12506.09,-4229.10,-24943.10,28219.30,HBK
2021-01-01 00:40:00,12505.91,-4229.00,-24942.70,28218.80,HBK
2021-01-01 00:41:00,12505.80,-4229.01,-24942.60,28218.60,HBK
2021-01-01 00:42:00,12505.59,-4229.02,-24942.70,28218.50,HBK
2021-01-01 00:43:00,12505.53,-4229.20,-24942.60,28218.60,HBK
2021-01-01 00:44:00,12505.77,-4229.40,-24942.70,28218.70,HBK
2021-01-01 00:45:00,12505.79,-4229.37,-24942.80,28218.90,HBK
2021-01-01 00:46:00,12505.77,-4229.40,-24943.00,28219.00,HBK
2021-01-01 00:47:00,12505.76,-4229.44,-24942.80,28218.80,HBK
2021-01-01 00:48:00,12505.46,-4229.38,-24942.80,28218.80,HBK
2021-01-01 00:49:00,12505.72,-4229.55,-24943.00,28219.00,HBK
2021-01-01 00:50:00,12505.74,-4229.51,-24943.10,28219.00,HBK
2021-01-01 00:51:00,12505.74,-4229.51,-24942.80,28219.00,HBK
2021-01-01 00:52:00,12505.94,-4229.54,-24943.00,28219.10,HBK
2021-01-01 00:53:00,12505.93,-4229.58,-24943.00,28219.10,HBK
2021-01-01 00:54:00,12506.14,-4229.57,-24943.10,28219.20,HBK
2021-01-01 00:55:00,12506.17,-4229.50,-24943.20,28219.40,HBK
2021-01-01 00:56:00,12506.24,-4229.60,-24943.20,28219.50,HBK
2021-01-01 00:57:00,12506.45,-4229.59,-24943.50,28219.80,HBK
2021-01-01 00:58:00,12506.47,-4229.52,-24943.10,28219.30,HBK
2021-01-01 00:59:00,12506.46,-4229.55,-24943.10,28219.30,HBK
2021-01-01 01:00:00,12506.65,-4229.62,-24943.20,28219.60,HBK
2021-01-01 01:01:00,12506.54,-4229.34,-24943.20,28219.40,HBK
2021-01-01 01:02:00,12506.49,-4229.48,-24942.80,28219.40,HBK
2021-01-01 01:03:00,12506.74,-4229.36,-24943.00,28219.50,HBK
2021-01-01 01:04:00,12506.83,-4229.40,-24943.20,28219.70,HBK
2021-01-01 01:05:00,12506.84,-4229.36,-24943.00,28219.40,HBK
2021-01-01 01:06:00,12506.82,-4229.43,-24943.30,28219.80,HBK
2021-01-01 01:07:00,12507.24,-4229.45,-24943.50,28220.00,HBK
2021-01-01 01:08:00,12507.24,-4229.45,-24943.30,28220.00,HBK
2021-01-01 01:09:00,12507.06,-4229.35,-24943.20,28219.80,HBK
2021-01-01 01:10:00,12507.24,-4229.45,-24943.20,28219.90,HBK
2021-01-01 01:11:00,12507.30,-4229.56,-24943.70,28220.00,HBK
2021-01-01 01:12:00,12507.24,-4229.45,-24943.60,28220.20,HBK
2021-01-01 01:13:00,12507.07,-4229.31,-24942.80,28219.40,HBK
2021-01-01 01:14:00,12507.07,-4229.31,-24942.60,28219.20,HBK
2021-01-01 01:15:00,12507.06,-4229.35,-24942.80,28219.50,HBK
