Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,9616.76,-4746.88,-22949.00,25331.30,HER
2021-01-01 00:01:00,9616.84,-4746.71,-22948.90,25331.20,HER
2021-01-01 00:02:00,9617.06,-4746.71,-22948.60,25331.10,HER
2021-01-01 00:03:00,9617.08,-4746.69,-22948.60,25331.10,HER
2021-01-01 00:04:00,9617.13,-4746.58,-22948.50,25331.00,HER
2021-01-01 00:05:00,9617.41,-4746.47,-22948.10,25330.80,HER
2021-01-01 00:06:00,9617.66,-4746.63,-22948.10,25330.80,HER
2021-01-01 00:07:00,9617.68,-4746.60,-22948.10,25330.80,HER
2021-01-01 00:08:00,9617.70,-4746.54,-22948.10,25330.70,HER
2021-01-01 00:09:00,9617.55,-4746.40,-22948.00,25330.70,HER
2021-01-01 00:10:00,9617.51,-4746.48,-22948.10,25330.70,HER
2021-01-01 00:11:00,9617.23,-4746.38,-22948.20,25330.70,HER
2021-01-01 00:12:00,9617.19,-4746.46,-22948.10,25330.80,HER
2021-01-01 00:13:00,9617.02,-4746.35,-22948.10,25330.80,HER
2021-01-01 00:14:00,9617.05,-4746.29,-22948.40,25330.80,HER
2021-01-01 00:15:00,9617.30,-4746.24,-22948.20,25330.70,HER
2021-01-01 00:16:00,9617.28,-4746.27,-22948.20,25330.60,HER
2021-01-01 00:17:00,9617.09,-4746.21,-22948.20,25330.60,HER
2021-01-01 00:18:00,9617.23,-4746.38,-22948.20,25330.70,HER
2021-01-01 00:19:00,9617.02,-4746.35,-22948.40,25330.80,HER
2021-01-01 00:20:00,9617.09,-4746.66,-22948.50,25331.00,HER
2021-01-01 00:21:00,9617.04,-4746.77,-22948.50,25331.00,HER
2021-01-01 00:22:00,9617.02,-4746.80,-22948.60,25331.10,HER
2021-01-01 00:23:00,9617.22,-4747.07,-22948.60,25331.20,HER
2021-01-01 00:24:00,9617.10,-4747.08,-22948.60,25331.20,HER
2021-01-01 00:25:00,9617.22,-4747.07,-22948.60,25331.20,HER
2021-01-01 00:26:00,9617.32,-4746.88,-22948.50,25331.10,HER
2021-01-01 00:27:00,9617.30,-4746.90,-22948.50,25331.10,HER
2021-01-01 00:28:00,9617.46,-4747.05,-22948.40,25331.00,HER
2021-01-01 00:29:00,9617.46,-4747.05,-22948.40,25331.10,HER
2021-01-01 00:30:00,9617.47,-4747.02,-22948.50,25331.10,HER
2021-01-01 00:31:00,9617.39,-4747.19,-22948.40,25331.10,HER
2021-01-01 00:32:00,9617.39,-4747.19,-22948.50,25331.20,HER
2021-01-01 00:33:00,9617.54,-4747.33,-22948.40,25331.20,HER
2021-01-01 00:34:00,9617.61,-4747.40,-22948.40,25331.20,HER
2021-01-01 00:35:00,9617.60,-4747.43,-22948.50,25331.20,HER
2021-01-01 00:36:00,9617.59,-4747.46,-22948.50,25331.20,HER
2021-01-01 00:37:00,9617.60,-4747.43,-22948.40,25331.20,HER
2021-01-01 00:38:00,9617.59,-4747.46,-22948.20,25331.20,HER
2021-01-01 00:39:00,9617.78,-4747.52,-22948.20,25331.20,HER
2021-01-01 00:40:00,9617.59,-4747.46,-22948.20,25331.20,HER
2021-01-01 00:41:00,9617.40,-4747.61,-22948.50,25331.20,HER
2021-01-01 00:42:00,9617.36,-4747.70,-22948.60,25331.30,HER
2021-01-01 00:43:00,9617.33,-4747.75,-22948.70,25331.50,HER
2021-01-01 00:44:00,9617.29,-4747.84,-22948.70,25331.50,HER
