Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,17470.00,1737.50,47457.10,50600.20,HLP
2021-01-01 00:01:00,17470.00,1737.90,47456.80,50599.90,HLP
2021-01-01 00:02:00,17469.90,1737.80,47456.80,50599.80,HLP
2021-01-01 00:03:00,17469.60,1738.00,47456.90,50599.80,HLP
2021-01-01 00:04:00,17469.40,1738.00,47456.80,50599.70,HLP
2021-01-01 00:05:00,17469.30,1737.80,47456.90,50599.70,HLP
2021-01-01 00:06:00,17470.00,1737.00,47456.80,50599.80,HLP
2021-01-01 00:07:00,17471.00,1736.10,47456.80,50600.10,HLP
2021-01-01 00:08:00,17472.30,1735.60,47457.00,50600.70,HLP
2021-01-01 00:09:00,17472.60,1735.80,47457.10,50600.90,HLP
2021-01-01 00:10:00,17472.10,1736.70,47457.00,50600.70,HLP
2021-01-01 00:11:00,17471.50,1737.30,47456.90,50600.50,HLP
2021-01-01 00:12:00,17471.20,1737.40,47457.00,50600.40,HLP
2021-01-01 00:13:00,17470.90,1737.40,47456.90,50600.30,HLP
2021-01-01 00:14:00,17470.70,1737.40,47457.00,50600.30,HLP
2021-01-01 00:15:00,17470.40,1737.80,47456.80,50600.00,HLP
2021-01-01 00:16:00,17470.10,1738.10,47456.70,50599.80,HLP
2021-01-01 00:17:00,17469.40,1738.40,47456.70,50599.50,HLP
2021-01-01 00:18:00,17469.10,1738.50,47456.70,50599.50,HLP
2021-01-01 00:19:00,17469.10,1738.70,47456.50,50599.30,HLP
2021-01-01 00:20:00,17469.40,1738.50,47456.50,50599.40,HLP
2021-01-01 00:21:00,17469.40,1738.20,47456.60,50599.50,HLP
2021-01-01 00:22:00,17469.50,1737.60,47456.80,50599.70,HLP
2021-01-01 00:23:00,17469.80,1737.00,47456.90,50599.90,HLP
2021-01-01 00:24:00,17470.10,1736.60,47457.00,50600.00,HLP
2021-01-01 00:25:00,17470.60,1736.20,47457.00,50600.20,HLP
2021-01-01 00:26:00,17470.80,1736.00,47457.00,50600.30,HLP
2021-01-01 00:27:00,17471.00,1736.00,47456.90,50600.30,HLP
2021-01-01 00:28:00,17471.00,1736.10,47456.90,50600.30,HLP
2021-01-01 00:29:00,17470.90,1736.20,47457.00,50600.30,HLP
2021-01-01 00:30:00,17470.90,1736.30,47457.10,50600.30,HLP
2021-01-01 00:31:00,17471.00,1736.30,47457.00,50600.30,HLP
2021-01-01 00:32:00,17471.00,1736.20,47457.10,50600.40,HLP
2021-01-01 00:33:00,17471.30,1735.90,47457.10,50600.50,HLP
2021-01-01 00:34:00,17471.60,1735.60,47457.00,50600.50,HLP
2021-01-01 00:35:00,17471.40,1735.40,47457.10,50600.60,HLP
2021-01-01 00:36:00,17471.40,1735.60,47456.90,50600.30,HLP
2021-01-01 00:37:00,17471.20,1735.60,47456.90,50600.30,HLP
2021-01-01 00:38:00,17471.20,1735.80,47456.90,50600.30,HLP
2021-01-01 00:39:00,17471.20,1735.90,47456.80,50600.20,HLP
2021-01-01 00:40:00,17471.20,1735.90,47456.80,50600.20,HLP
2021-01-01 00:41:00,17470.70,1736.40,47456.80,50600.10,HLP
2021-01-01 00:42:00,17470.80,1736.50,47456.60,50599.90,HLP
2021-01-01 00:43:00,17470.40,1736.70,47456.70,50599.90,HLP
2021-01-01 00:44:00,17470.30,1736.60,47456.90,50600.00,HLP
2021-01-01 00:45:00,17470.50,1736.40,47456.70,50600.00,HLP
2021-01-01 00:46:00,17470.70,1736.00,47456.80,50600.10,HLP
2021-01-01 00:47:00,17470.80,1735.90,47456.60,50600.00,HLP
2021-01-01 00:48:00,17470.60,1735.90,47456.60,50599.90,HLP
2021-01-01 00:49:00,17470.80,1735.90,47456.50,50599.90,HLP
2021-01-01 00:50:00,17470.80,1735.90,47456.50,50600.00,HLP
2021-01-01 00:51:00,17470.80,1736.00,47456.50,50599.90,HLP
2021-01-01 00:52:00,17471.00,1736.10,47456.40,50600.00,HLP
2021-01-01 00:53:00,17470.90,1736.20,47456.40,50600.00,HLP
2021-01-01 00:54:00,17470.90,1736.30,47456.40,50599.90,HLP
2021-01-01 00:55:00,17471.00,1736.20,47456.40,50600.00,HLP
2021-01-01 00:56:00,17471.00,1736.30,47456.50,50600.00,HLP
2021-01-01 00:57:00,17471.00,1736.40,47456.40,50600.00,HLP
2021-01-01 00:58:00,17471.00,1736.40,47456.50,50600.10,HLP
2021-01-01 00:59:00,17470.90,1736.50,47456.50,50600.10,HLP
2021-01-01 01:00:00,17471.00,1736.60,47456.50,50600.10,HLP
2021-01-01 01:01:00,17470.90,1736.70,47456.50,50600.10,HLP
2021-01-01 01:02:00,17471.10,1736.80,47456.40,50600.10,HLP
2021-01-01 01:03:00,17471.10,1737.00,47456.50,50600.10,HLP
2021-01-01 01:04:00,17471.50,1737.10,47456.40,50600.20,HLP
2021-01-01 01:05:00,17471.60,1737.10,47456.50,50600.40,HLP
2021-01-01 01:06:00,17472.00,1737.40,47456.30,50600.30,HLP
2021-01-01 01:07:00,17471.70,1737.00,47456.80,50600.80,HLP
2021-01-01 01:08:00,17472.10,1737.30,47456.50,50600.60,HLP
2021-01-01 01:09:00,17472.30,1737.00,47456.30,50600.50,HLP
2021-01-01 01:10:00,17471.90,1737.00,47456.70,50600.80,HLP
2021-01-01 01:11:00,17472.00,1737.00,47456.60,50600.60,HLP
2021-01-01 01:12:00,17471.90,1737.10,47456.50,50600.50,HLP
2021-01-01 01:13:00,17471.80,1737.10,47456.50,50600.50,HLP
2021-01-01 01:14:00,17471.90,1737.00,47456.40,50600.40,HLP
2021-01-01 01:15:00,17471.70,1736.90,47456.50,50600.40,HLP
2021-01-01 01:16:00,17471.80,1736.70,47456.30,50600.30,HLP
2021-01-01 01:17:00,17471.90,1736.40,47456.40,50600.50,HLP
2021-01-01 01:18:00,17471.90,1736.40,47456.10,50600.20,HLP
2021-01-01 01:19:00,17472.00,1736.10,47456.50,50600.60,HLP
2021-01-01 01:20:00,17472.10,1736.20,47456.20,50600.30,HLP
2021-01-01 01:21:00,17472.10,1735.90,47456.50,50600.60,HLP
2021-01-01 01:22:00,17472.40,1735.90,47456.20,50600.40,HLP
2021-01-01 01:23:00,17472.50,1735.70,47456.30,50600.50,HLP
2021-01-01 01:24:00,17472.40,1735.80,47456.20,50600.40,HLP
2021-01-01 01:25:00,17472.30,1735.90,47456.20,50600.30,HLP
2021-01-01 01:26:00,17472.40,1735.70,47456.20,50600.40,HLP
2021-01-01 01:27:00,17472.30,1735.80,47456.30,50600.40,HLP
2021-01-01 01:28:00,17471.90,1736.20,47456.00,50600.00,HLP
2021-01-01 01:29:00,17471.80,1736.40,47456.10,50600.10,HLP
2021-01-01 01:30:00,17471.80,1736.60,47456.00,50600.00,HLP
2021-01-01 01:31:00,17471.90,1736.50,47456.00,50599.90,HLP
2021-01-01 01:32:00,17472.10,1736.20,47456.00,50600.10,HLP
2021-01-01 01:33:00,17471.80,1736.20,47456.10,50600.00,HLP
2021-01-01 01:34:00,17471.80,1736.20,47456.10,50600.10,HLP
2021-01-01 01:35:00,17472.10,1736.10,47456.10,50600.20,HLP
2021-01-01 01:36:00,17471.50,1736.30,47456.20,50600.00,HLP
2021-01-01 01:37:00,17471.40,1736.20,47456.40,50600.20,HLP
2021-01-01 01:38:00,17471.60,1736.50,47455.90,50599.80,HLP
2021-01-01 01:39:00,17471.30,1736.50,47456.00,50599.80,HLP
2021-01-01 01:40:00,17471.40,1736.70,47456.00,50599.80,HLP
2021-01-01 01:41:00,17471.50,1736.70,47455.90,50599.80,HLP
