Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,26822.10,4572.50,21166.50,34472.70,HON
2021-01-01 00:01:00,26822.40,4572.40,21166.80,34473.11,HON
2021-01-01 00:02:00,26822.70,4572.60,21167.10,34473.55,HON
2021-01-01 00:03:00,26822.80,4572.70,21167.30,34473.77,HON
2021-01-01 00:04:00,26823.10,4572.80,21167.50,34474.24,HON
2021-01-01 00:05:00,26823.30,4572.90,21167.70,34474.43,HON
2021-01-01 00:06:00,26822.70,4573.40,21167.50,34473.90,HON
2021-01-01 00:07:00,26822.10,4573.80,21167.40,34473.33,HON
2021-01-01 00:08:00,26821.60,4573.80,21167.50,34473.10,HON
2021-01-01 00:09:00,26821.30,4573.80,21167.70,34472.99,HON
2021-01-01 00:10:00,26821.30,4573.80,21168.00,34473.07,HON
2021-01-01 00:11:00,26821.20,4573.80,21168.20,34473.22,HON
2021-01-01 00:12:00,26821.20,4573.80,21168.40,34473.34,HON
2021-01-01 00:13:00,26821.20,4573.90,21168.50,34473.42,HON
2021-01-01 00:14:00,26821.20,4574.10,21168.70,34473.67,HON
2021-01-01 00:15:00,26821.40,4574.30,21169.00,34473.93,HON
2021-01-01 00:16:00,26821.40,4574.50,21169.20,34474.08,HON
2021-01-01 00:17:00,26821.50,4574.70,21169.30,34474.25,HON
2021-01-01 00:18:00,26821.30,4575.10,21169.40,34474.21,HON
2021-01-01 00:19:00,26821.30,4575.10,21169.60,34474.33,HON
2021-01-01 00:20:00,26821.30,4575.40,21169.80,34474.39,HON
2021-01-01 00:21:00,26821.20,4575.70,21169.90,34474.52,HON
2021-01-01 00:22:00,26821.20,4575.90,21170.10,34474.77,HON
2021-01-01 00:23:00,26821.10,4576.40,21170.30,34474.78,HON
2021-01-01 00:24:00,26821.10,4576.70,21170.50,34474.94,HON
2021-01-01 00:25:00,26821.00,4576.90,21170.70,34474.91,HON
2021-01-01 00:26:00,26820.90,4577.00,21170.90,34474.97,HON
2021-01-01 00:27:00,26820.90,4577.20,21171.00,34475.16,HON
2021-01-01 00:28:00,26820.80,4577.30,21171.20,34475.22,HON
2021-01-01 00:29:00,26820.80,4577.40,21171.30,34475.29,HON
2021-01-01 00:30:00,26820.80,4577.50,21171.50,34475.43,HON
2021-01-01 00:31:00,26820.80,4577.70,21171.60,34475.51,HON
2021-01-01 00:32:00,26820.70,4577.80,21171.70,34475.51,HON
2021-01-01 00:33:00,26820.60,4578.00,21171.80,34475.52,HON
2021-01-01 00:34:00,26820.50,4578.20,21171.90,34475.53,HON
2021-01-01 00:35:00,26820.40,4578.40,21172.10,34475.60,HON
2021-01-01 00:36:00,26820.30,4578.60,21172.30,34475.67,HON
2021-01-01 00:37:00,26820.30,4578.80,21172.40,34475.76,HON
2021-01-01 00:38:00,26820.30,4578.90,21172.60,34475.90,HON
2021-01-01 00:39:00,26820.10,4579.00,21172.70,34475.82,HON
2021-01-01 00:40:00,26819.80,4579.20,21172.70,34475.61,HON
2021-01-01 00:41:00,26819.70,4579.40,21172.90,34475.68,HON
2021-01-01 00:42:00,26819.60,4579.40,21173.00,34475.77,HON
2021-01-01 00:43:00,26819.50,4579.60,21173.20,34475.74,HON
2021-01-01 00:44:00,26819.40,4579.80,21173.40,34475.81,HON
2021-01-01 00:45:00,26819.30,4580.00,21173.50,34475.82,HON
2021-01-01 00:46:00,26819.10,4580.20,21173.60,34475.75,HON
2021-01-01 00:47:00,26818.90,4580.30,21173.70,34475.67,HON
2021-01-01 00:48:00,26819.00,4580.50,21174.00,34475.96,HON
2021-01-01 00:49:00,26818.90,4580.50,21174.10,34475.94,HON
2021-01-01 00:50:00,26818.70,4580.70,21174.20,34475.88,HON
2021-01-01 00:51:00,26818.60,4580.90,21174.30,34475.89,HON
2021-01-01 00:52:00,26818.60,4581.00,21174.50,34476.02,HON
2021-01-01 00:53:00,26818.50,4581.20,21174.60,34476.03,HON
2021-01-01 00:54:00,26818.30,4581.30,21174.80,34476.01,HON
2021-01-01 00:55:00,26818.30,4581.40,21174.90,34476.09,HON
2021-01-01 00:56:00,26818.30,4581.60,21175.10,34476.24,HON
2021-01-01 00:57:00,26818.30,4581.70,21175.20,34476.31,HON
2021-01-01 00:58:00,26818.20,4581.80,21175.40,34476.27,HON
2021-01-01 00:59:00,26818.10,4581.90,21175.50,34476.37,HON
2021-01-01 01:00:00,26818.10,4582.10,21175.60,34476.56,HON
2021-01-01 01:01:00,26818.10,4582.20,21175.80,34476.49,HON
2021-01-01 01:02:00,26817.90,4582.40,21175.90,34476.62,HON
2021-01-01 01:03:00,26817.90,4582.50,21176.10,34476.66,HON
2021-01-01 01:04:00,26817.90,4582.60,21176.20,34476.73,HON
2021-01-01 01:05:00,26817.80,4582.70,21176.30,34476.73,HON
2021-01-01 01:06:00,26817.80,4582.90,21176.40,34476.72,HON
2021-01-01 01:07:00,26817.60,4583.00,21176.50,34476.74,HON
2021-01-01 01:08:00,26817.50,4583.00,21176.60,34476.72,HON
2021-01-01 01:09:00,26817.40,4583.20,21176.70,34476.73,HON
2021-01-01 01:10:00,26817.30,4583.30,21176.80,34476.73,HON
2021-01-01 01:11:00,26817.30,4583.40,21176.90,34476.80,HON
2021-01-01 01:12:00,26817.20,4583.50,21177.00,34476.90,HON
2021-01-01 01:13:00,26817.00,4583.70,21177.10,34476.83,HON
2021-01-01 01:14:00,26817.00,4583.90,21177.30,34476.88,HON
2021-01-01 01:15:00,26817.00,4584.10,21177.40,34476.97,HON
2021-01-01 01:16:00,26816.90,4584.20,21177.60,34477.13,HON
2021-01-01 01:17:00,26816.90,4584.40,21177.80,34477.18,HON
2021-01-01 01:18:00,26817.00,4584.60,21177.90,34477.34,HON
2021-01-01 01:19:00,26816.90,4584.70,21178.00,34477.34,HON
2021-01-01 01:20:00,26816.80,4584.80,21178.20,34477.40,HON
2021-01-01 01:21:00,26816.80,4585.00,21178.30,34477.39,HON
2021-01-01 01:22:00,26816.70,4585.10,21178.40,34477.48,HON
2021-01-01 01:23:00,26816.50,4585.30,21178.50,34477.42,HON
2021-01-01 01:24:00,26816.40,4585.40,21178.60,34477.51,HON
2021-01-01 01:25:00,26816.40,4585.60,21178.80,34477.56,HON
2021-01-01 01:26:00,26816.30,4585.80,21178.90,34477.47,HON
2021-01-01 01:27:00,26816.00,4585.90,21179.00,34477.42,HON
2021-01-01 01:28:00,26815.90,4586.10,21179.10,34477.43,HON
2021-01-01 01:29:00,26815.90,4586.20,21179.30,34477.56,HON
2021-01-01 01:30:00,26815.80,4586.40,21179.40,34477.57,HON
2021-01-01 01:31:00,26815.70,4586.70,21179.60,34477.66,HON
2021-01-01 01:32:00,26815.70,4586.90,21179.70,34477.75,HON
2021-01-01 01:33:00,26815.60,4587.10,21179.90,34477.82,HON
2021-01-01 01:34:00,26815.60,4587.30,21180.10,34477.97,HON
2021-01-01 01:35:00,26815.50,4587.60,21180.20,34477.99,HON
2021-01-01 01:36:00,26815.50,4587.80,21180.30,34478.08,HON
2021-01-01 01:37:00,26815.50,4588.00,21180.50,34478.23,HON
