Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,21002.60,1841.30,44104.20,48884.40,HRB
2021-01-01 00:01:00,21002.30,1841.30,44104.40,48884.40,HRB
2021-01-01 00:02:00,21002.30,1841.30,44104.40,48884.40,HRB
2021-01-01 00:03:00,21002.30,1841.40,44104.40,48884.40,HRB
2021-01-01 00:04:00,21002.00,1841.50,44104.30,48884.20,HRB
2021-01-01 00:05:00,21001.70,1841.30,44104.20,48884.00,HRB
2021-01-01 00:06:00,21002.00,1840.80,44104.20,48884.10,HRB
2021-01-01 00:07:00,21002.50,1840.40,44104.20,48884.30,HRB
2021-01-01 00:08:00,21003.50,1840.20,44104.20,48884.70,HRB
2021-01-01 00:09:00,21003.60,1840.30,44104.40,48884.90,HRB
2021-01-01 00:10:00,21003.50,1840.80,44104.50,48885.00,HRB
2021-01-01 00:11:00,21003.50,1841.20,44104.50,48885.00,HRB
2021-01-01 00:12:00,21003.80,1841.30,44104.20,48884.90,HRB
2021-01-01 00:13:00,21003.60,1841.20,44104.20,48884.80,HRB
2021-01-01 00:14:00,21003.50,1841.20,44104.20,48884.70,HRB
2021-01-01 00:15:00,21003.00,1841.30,44104.40,48884.70,HRB
2021-01-01 00:16:00,21002.80,1841.40,44104.40,48884.60,HRB
2021-01-01 00:17:00,21002.30,1841.50,44104.60,48884.60,HRB
2021-01-01 00:18:00,21002.20,1841.50,44104.50,48884.50,HRB
2021-01-01 00:19:00,21001.70,1841.50,44104.20,48884.00,HRB
2021-01-01 00:20:00,21001.80,1841.40,44104.40,48884.20,HRB
2021-01-01 00:21:00,21001.80,1841.20,44104.40,48884.20,HRB
2021-01-01 00:22:00,21002.20,1840.90,44104.70,48884.60,HRB
2021-01-01 00:23:00,21002.30,1840.50,44104.60,48884.60,HRB
2021-01-01 00:24:00,21002.40,1840.20,44104.70,48884.70,HRB
2021-01-01 00:25:00,21002.60,1840.00,44104.70,48884.80,HRB
2021-01-01 00:26:00,21002.60,1839.90,44104.60,48884.70,HRB
2021-01-01 00:27:00,21002.50,1839.80,44104.50,48884.50,HRB
2021-01-01 00:28:00,21002.50,1839.90,44104.50,48884.50,HRB
2021-01-01 00:29:00,21002.60,1840.00,44104.50,48884.60,HRB
2021-01-01 00:30:00,21002.90,1840.00,44104.60,48884.80,HRB
2021-01-01 00:31:00,21003.00,1840.00,44104.60,48884.80,HRB
2021-01-01 00:32:00,21003.00,1839.90,44104.50,48884.70,HRB
2021-01-01 00:33:00,21003.10,1839.80,44104.50,48884.80,HRB
2021-01-01 00:34:00,21002.80,1839.60,44104.30,48884.50,HRB
2021-01-01 00:35:00,21002.80,1839.40,44104.20,48884.40,HRB
2021-01-01 00:36:00,21002.70,1839.40,44104.20,48884.30,HRB
2021-01-01 00:37:00,21003.00,1839.50,44104.30,48884.50,HRB
2021-01-01 00:38:00,21003.10,1839.60,44104.50,48884.80,HRB
2021-01-01 00:39:00,21003.20,1839.60,44104.50,48884.80,HRB
2021-01-01 00:40:00,21003.20,1839.60,44104.40,48884.70,HRB
2021-01-01 00:41:00,21003.30,1839.80,44104.20,48884.60,HRB
2021-01-01 00:42:00,21003.30,1839.90,44104.30,48884.70,HRB
2021-01-01 00:43:00,21003.30,1840.00,44104.20,48884.60,HRB
2021-01-01 00:44:00,21002.90,1839.90,44104.40,48884.60,HRB
2021-01-01 00:45:00,21002.90,1839.70,44104.40,48884.60,HRB
2021-01-01 00:46:00,21002.90,1839.60,44104.50,48884.70,HRB
2021-01-01 00:47:00,21002.80,1839.50,44104.40,48884.60,HRB
2021-01-01 00:48:00,21002.50,1839.60,44104.30,48884.30,HRB
2021-01-01 00:49:00,21002.50,1839.50,44104.30,48884.30,HRB
2021-01-01 00:50:00,21002.50,1839.50,44104.30,48884.30,HRB
2021-01-01 00:51:00,21002.90,1839.50,44104.40,48884.60,HRB
2021-01-01 00:52:00,21003.00,1839.50,44104.40,48884.60,HRB
2021-01-01 00:53:00,21003.00,1839.60,44104.50,48884.70,HRB
2021-01-01 00:54:00,21003.20,1839.60,44104.50,48884.80,HRB
2021-01-01 00:55:00,21003.50,1839.70,44104.40,48884.90,HRB
2021-01-01 00:56:00,21003.70,1839.80,44104.30,48884.90,HRB
2021-01-01 00:57:00,21003.70,1839.90,44104.30,48884.90,HRB
2021-01-01 00:58:00,21003.50,1839.90,44104.30,48884.80,HRB
2021-01-01 00:59:00,21003.30,1839.90,44104.40,48884.80,HRB
2021-01-01 01:00:00,21003.20,1839.90,44104.40,48884.70,HRB
2021-01-01 01:01:00,21003.20,1840.00,44104.50,48884.80,HRB
2021-01-01 01:02:00,21003.50,1840.20,44104.40,48884.90,HRB
2021-01-01 01:03:00,21003.80,1840.30,44104.30,48884.90,HRB
2021-01-01 01:04:00,21004.00,1840.40,44104.20,48884.90,HRB
2021-01-01 01:05:00,21004.00,1840.60,44104.30,48885.00,HRB
2021-01-01 01:06:00,21003.70,1840.70,44104.40,48885.00,HRB
2021-01-01 01:07:00,21003.90,1840.70,44104.50,48885.20,HRB
2021-01-01 01:08:00,21003.90,1840.70,44104.50,48885.20,HRB
2021-01-01 01:09:00,21004.00,1840.70,44104.40,48885.10,HRB
2021-01-01 01:10:00,21004.30,1840.70,44104.20,48885.10,HRB
2021-01-01 01:11:00,21004.30,1840.70,44104.20,48885.10,HRB
2021-01-01 01:12:00,21004.20,1840.70,44104.20,48885.00,HRB
2021-01-01 01:13:00,21003.90,1840.60,44104.40,48885.10,HRB
2021-01-01 01:14:00,21003.80,1840.50,44104.40,48885.00,HRB
2021-01-01 01:15:00,21003.80,1840.40,44104.40,48885.00,HRB
2021-01-01 01:16:00,21003.70,1840.20,44104.40,48885.00,HRB
2021-01-01 01:17:00,21003.50,1840.10,44104.20,48884.70,HRB
2021-01-01 01:18:00,21003.50,1840.00,44104.20,48884.70,HRB
2021-01-01 01:19:00,21003.50,1840.00,44104.20,48884.70,HRB
2021-01-01 01:20:00,21003.90,1839.90,44104.40,48885.00,HRB
2021-01-01 01:21:00,21003.90,1839.80,44104.30,48884.90,HRB
2021-01-01 01:22:00,21004.00,1839.80,44104.40,48885.10,HRB
2021-01-01 01:23:00,21004.00,1839.70,44104.40,48885.10,HRB
2021-01-01 01:24:00,21003.80,1839.70,44104.20,48884.80,HRB
2021-01-01 01:25:00,21003.70,1839.70,44104.20,48884.80,HRB
2021-01-01 01:26:00,21003.80,1839.70,44104.10,48884.70,HRB
2021-01-01 01:27:00,21003.90,1839.70,44104.20,48884.90,HRB
2021-01-01 01:28:00,21004.00,1839.70,44104.30,48885.00,HRB
2021-01-01 01:29:00,21003.90,1839.90,44104.30,48884.90,HRB
2021-01-01 01:30:00,21003.90,1839.90,44104.40,48885.00,HRB
2021-01-01 01:31:00,21004.10,1839.90,44104.20,48884.90,HRB
2021-01-01 01:32:00,21004.40,1839.70,44104.10,48885.00,HRB
2021-01-01 01:33:00,21004.40,1839.70,44104.10,48885.00,HRB
2021-01-01 01:34:00,21004.20,1839.60,44104.10,48884.90,HRB
2021-01-01 01:35:00,21004.00,1839.50,44104.30,48885.00,HRB
2021-01-01 01:36:00,21003.90,1839.50,44104.30,48884.90,HRB
2021-01-01 01:37:00,21003.80,1839.60,44104.30,48884.90,HRB
2021-01-01 01:38:00,21003.80,1839.60,44104.30,48884.90,HRB
2021-01-01 01:39:00,21004.20,1839.70,44104.10,48884.90,HRB
2021-01-01 01:40:00,21004.10,1839.80,44104.10,48884.90,HRB
2021-01-01 01:41:00,21004.10,1839.80,44104.20,48884.90,HRB
2021-01-01 01:42:00,21003.80,1839.80,44104.30,48884.90,HRB
2021-01-01 01:43:00,21003.90,1839.90,44104.40,48885.00,HRB
2021-01-01 01:44:00,21003.80,1839.90,44104.40,48885.00,HRB
2021-01-01 01:45:00,21003.80,1839.90,44104.40,48885.00,HRB
2021-01-01 01:46:00,21003.40,1839.80,44104.20,48884.60,HRB
2021-01-01 01:47:00,21003.50,1839.80,44104.10,48884.60,HRB
2021-01-01 01:48:00,21003.50,1839.70,44104.20,48884.70,HRB
2021-01-01 01:49:00,21003.80,1839.70,44104.30,48884.90,HRB
2021-01-01 01:50:00,21003.80,1839.70,44104.30,48884.90,HRB
2021-01-01 01:51:00,21004.00,1839.80,44104.40,48885.10,HRB
2021-01-01 01:52:00,21003.90,1839.70,44104.40,48885.00,HRB
2021-01-01 01:53:00,21003.60,1839.60,44104.20,48884.70,HRB
2021-01-01 01:54:00,21003.60,1839.70,44104.20,48884.70,HRB
2021-01-01 01:55:00,21003.60,1839.80,44104.20,48884.70,HRB
2021-01-01 01:56:00,21003.90,1839.80,44104.30,48884.90,HRB
2021-01-01 01:57:00,21004.00,1839.70,44104.40,48885.10,HRB
2021-01-01 01:58:00,21004.00,1839.80,44104.50,48885.20,HRB
2021-01-01 01:59:00,21003.90,1839.80,44104.40,48885.00,HRB
2021-01-01 02:00:00,21004.30,1839.80,44104.40,48885.20,HRB
2021-01-01 02:01:00,21004.70,1839.70,44104.30,48885.30,HRB
2021-01-01 02:02:00,21004.70,1839.50,44104.30,48885.30,HRB
2021-01-01 02:03:00,21004.50,1839.40,44104.20,48885.10,HRB
2021-01-01 02:04:00,21004.40,1839.20,44104.40,48885.20,HRB
2021-01-01 02:05:00,21004.40,1839.10,44104.40,48885.20,HRB
2021-01-01 02:06:00,21004.50,1839.00,44104.30,48885.20,HRB
2021-01-01 02:07:00,21004.50,1839.00,44104.20,48885.10,HRB
2021-01-01 02:08:00,21004.40,1838.90,44104.20,48885.00,HRB
2021-01-01 02:09:00,21004.40,1838.90,44104.10,48884.90,HRB
2021-01-01 02:10:00,21004.50,1838.90,44104.10,48885.00,HRB
