Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,7684.20,1309.70,54219.70,54777.10,HRN
2021-01-01 00:01:00,7685.80,1305.70,54218.60,54778.90,HRN
2021-01-01 00:02:00,7684.60,1303.60,54216.30,54776.40,HRN
2021-01-01 00:03:00,7680.90,1301.10,54212.00,54771.40,HRN
2021-01-01 00:04:00,7675.10,1304.80,54206.60,54765.40,HRN
2021-01-01 00:05:00,7670.40,1311.30,54206.30,54764.90,HRN
2021-01-01 00:06:00,7670.20,1313.20,54211.60,54770.20,HRN
2021-01-01 00:07:00,7674.90,1312.20,54217.50,54776.70,HRN
2021-01-01 00:08:00,7680.70,1309.00,54221.60,54781.40,HRN
2021-01-01 00:09:00,7683.40,1305.80,54221.70,54781.80,HRN
2021-01-01 00:10:00,7683.50,1303.60,54219.50,54779.60,HRN
2021-01-01 00:11:00,7683.10,1302.70,54216.70,54776.70,HRN
2021-01-01 00:12:00,7682.60,1301.90,54214.00,54773.90,HRN
2021-01-01 00:13:00,7681.50,1303.90,54211.60,54771.50,HRN
2021-01-01 00:14:00,7681.80,1305.80,54212.10,54772.20,HRN
2021-01-01 00:15:00,7681.10,1306.60,54212.40,54772.40,HRN
2021-01-01 00:16:00,7680.50,1307.30,54213.20,54773.10,HRN
2021-01-01 00:17:00,7680.50,1306.30,54213.80,54773.70,HRN
2021-01-01 00:18:00,7681.10,1304.20,54213.50,54773.40,HRN
2021-01-01 00:19:00,7682.20,1303.40,54212.20,54772.20,HRN
2021-01-01 00:20:00,7682.00,1303.60,54210.20,54770.10,HRN
2021-01-01 00:21:00,7681.90,1305.10,54208.90,54768.90,HRN
2021-01-01 00:22:00,7682.50,1306.20,54208.80,54768.90,HRN
2021-01-01 00:23:00,7683.00,1307.70,54209.00,54769.10,HRN
2021-01-01 00:24:00,7684.90,1308.70,54210.60,54770.70,HRN
2021-01-01 00:25:00,7685.70,1307.10,54212.00,54772.00,HRN
2021-01-01 00:26:00,7685.30,1304.50,54210.70,54770.70,HRN
2021-01-01 00:27:00,7684.70,1303.90,54208.40,54768.40,HRN
2021-01-01 00:28:00,7684.50,1305.20,54207.80,54767.90,HRN
2021-01-01 00:29:00,7684.20,1305.10,54207.70,54767.70,HRN
2021-01-01 00:30:00,7684.00,1304.80,54207.10,54767.10,HRN
2021-01-01 00:31:00,7683.20,1306.40,54205.80,54765.70,HRN
2021-01-01 00:32:00,7683.40,1310.30,54206.20,54766.30,HRN
2021-01-01 00:33:00,7684.20,1312.30,54208.90,54769.00,HRN
2021-01-01 00:34:00,7685.20,1310.40,54211.10,54771.30,HRN
2021-01-01 00:35:00,7685.50,1308.10,54211.50,54771.60,HRN
2021-01-01 00:36:00,7685.30,1306.50,54210.90,54770.80,HRN
2021-01-01 00:37:00,7684.80,1306.00,54209.80,54769.60,HRN
2021-01-01 00:38:00,7684.40,1305.80,54209.20,54768.80,HRN
2021-01-01 00:39:00,7684.20,1305.00,54209.20,54768.70,HRN
2021-01-01 00:40:00,7683.70,1303.20,54209.30,54768.60,HRN
2021-01-01 00:41:00,7683.50,1302.30,54209.20,54768.60,HRN
2021-01-01 00:42:00,7683.00,1303.00,54208.80,54768.20,HRN
2021-01-01 00:43:00,7682.30,1303.90,54208.30,54767.80,HRN
2021-01-01 00:44:00,7681.60,1304.60,54208.10,54767.50,HRN
2021-01-01 00:45:00,7681.20,1305.40,54208.00,54767.40,HRN
2021-01-01 00:46:00,7680.40,1306.20,54207.60,54767.00,HRN
2021-01-01 00:47:00,7679.60,1307.50,54207.30,54766.60,HRN
2021-01-01 00:48:00,7679.60,1309.40,54207.70,54767.00,HRN
2021-01-01 00:49:00,7679.40,1310.40,54208.80,54768.10,HRN
2021-01-01 00:50:00,7679.30,1309.70,54210.10,54769.40,HRN
2021-01-01 00:51:00,7678.90,1309.10,54210.80,54770.00,HRN
2021-01-01 00:52:00,7678.50,1308.90,54211.30,54770.40,HRN
2021-01-01 00:53:00,7678.00,1307.90,54211.70,54770.70,HRN
2021-01-01 00:54:00,7676.80,1308.10,54210.80,54769.70,HRN
2021-01-01 00:55:00,7675.10,1308.90,54209.50,54768.20,HRN
2021-01-01 00:56:00,7674.90,1310.50,54208.70,54767.40,HRN
2021-01-01 00:57:00,7673.90,1311.70,54207.40,54765.90,HRN
2021-01-01 00:58:00,7673.00,1312.20,54206.50,54764.90,HRN
2021-01-01 00:59:00,7673.00,1313.30,54206.40,54764.90,HRN
2021-01-01 01:00:00,7673.60,1317.30,54206.10,54764.80,HRN
2021-01-01 01:01:00,7672.30,1321.10,54205.10,54763.70,HRN
2021-01-01 01:02:00,7665.40,1324.60,54202.70,54760.50,HRN
2021-01-01 01:03:00,7658.20,1324.90,54199.60,54756.60,HRN
2021-01-01 01:04:00,7654.00,1324.40,54196.90,54753.40,HRN
2021-01-01 01:05:00,7653.10,1325.80,54195.60,54751.90,HRN
2021-01-01 01:06:00,7653.80,1326.70,54198.10,54754.70,HRN
2021-01-01 01:07:00,7653.50,1324.90,54200.40,54756.80,HRN
2021-01-01 01:08:00,7652.80,1324.30,54201.20,54757.60,HRN
2021-01-01 01:09:00,7651.20,1325.50,54201.10,54757.20,HRN
2021-01-01 01:10:00,7652.90,1325.30,54204.10,54760.50,HRN
2021-01-01 01:11:00,7659.00,1319.10,54208.30,54765.20,HRN
2021-01-01 01:12:00,7662.10,1317.20,54208.90,54766.20,HRN
2021-01-01 01:13:00,7662.50,1317.20,54207.10,54764.20,HRN
2021-01-01 01:14:00,7662.50,1316.40,54206.10,54763.10,HRN
2021-01-01 01:15:00,7663.50,1316.70,54206.30,54763.50,HRN
2021-01-01 01:16:00,7664.30,1317.10,54207.10,54764.30,HRN
2021-01-01 01:17:00,7665.40,1317.00,54208.10,54765.60,HRN
2021-01-01 01:18:00,7664.80,1317.80,54207.70,54765.20,HRN
2021-01-01 01:19:00,7663.10,1317.00,54206.70,54763.90,HRN
