Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,24464.00,-1267.50,-752.90,24508.40,HUA
2021-01-01 00:01:00,24464.30,-1267.00,-752.90,24508.70,HUA
2021-01-01 00:02:00,24464.70,-1267.00,-752.80,24509.10,HUA
2021-01-01 00:03:00,24465.20,-1266.80,-752.70,24509.60,HUA
2021-01-01 00:04:00,24465.30,-1266.60,-752.60,24509.70,HUA
2021-01-01 00:05:00,24465.80,-1266.40,-752.50,24510.20,HUA
2021-01-01 00:06:00,24465.70,-1266.20,-752.50,24510.00,HUA
2021-01-01 00:07:00,24465.60,-1266.00,-752.60,24509.90,HUA
2021-01-01 00:08:00,24465.50,-1266.10,-752.60,24509.80,HUA
2021-01-01 00:09:00,24465.30,-1266.30,-752.60,24509.60,HUA
2021-01-01 00:10:00,24464.90,-1266.40,-752.70,24509.30,HUA
2021-01-01 00:11:00,24464.50,-1266.50,-752.70,24508.90,HUA
2021-01-01 00:12:00,24464.50,-1266.50,-752.80,24508.90,HUA
2021-01-01 00:13:00,24464.40,-1266.50,-752.80,24508.80,HUA
2021-01-01 00:14:00,24464.40,-1266.40,-752.80,24508.80,HUA
2021-01-01 00:15:00,24464.80,-1266.30,-752.80,24509.10,HUA
2021-01-01 00:16:00,24464.70,-1266.00,-752.80,24509.00,HUA
2021-01-01 00:17:00,24464.80,-1265.90,-752.80,24509.10,HUA
2021-01-01 00:18:00,24464.60,-1265.70,-752.90,24508.90,HUA
2021-01-01 00:19:00,24464.70,-1265.60,-752.90,24509.00,HUA
2021-01-01 00:20:00,24464.60,-1265.40,-752.90,24508.90,HUA
2021-01-01 00:21:00,24464.50,-1265.30,-752.90,24508.80,HUA
2021-01-01 00:22:00,24464.80,-1265.10,-753.00,24509.10,HUA
2021-01-01 00:23:00,24464.80,-1264.90,-753.00,24509.10,HUA
2021-01-01 00:24:00,24465.00,-1264.70,-752.90,24509.30,HUA
2021-01-01 00:25:00,24465.10,-1264.60,-753.00,24509.40,HUA
2021-01-01 00:26:00,24465.40,-1264.50,-752.90,24509.70,HUA
