Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,39599.90,-392.01,18345.32,43644.66,HYB
2021-01-01 00:01:00,39600.03,-391.90,18345.29,43644.74,HYB
2021-01-01 00:02:00,39600.23,-391.90,18345.30,43644.92,HYB
2021-01-01 00:03:00,39600.45,-391.78,18345.27,43645.12,HYB
2021-01-01 00:04:00,39600.43,-391.67,18345.26,43645.07,HYB
2021-01-01 00:05:00,39600.51,-391.90,18345.29,43645.15,HYB
2021-01-01 00:06:00,39600.45,-392.13,18345.35,43645.12,HYB
2021-01-01 00:07:00,39600.06,-392.24,18345.45,43644.77,HYB
2021-01-01 00:08:00,39599.92,-392.36,18345.50,43644.70,HYB
2021-01-01 00:09:00,39600.01,-392.13,18345.51,43644.80,HYB
2021-01-01 00:10:00,39600.16,-391.90,18345.35,43644.91,HYB
2021-01-01 00:11:00,39600.17,-391.78,18345.31,43644.87,HYB
2021-01-01 00:12:00,39600.23,-391.67,18345.26,43644.95,HYB
2021-01-01 00:13:00,39600.15,-391.67,18345.29,43644.91,HYB
2021-01-01 00:14:00,39600.28,-391.67,18345.32,43645.01,HYB
2021-01-01 00:15:00,39600.29,-391.67,18345.29,43644.98,HYB
2021-01-01 00:16:00,39600.37,-391.67,18345.32,43645.11,HYB
2021-01-01 00:17:00,39600.35,-391.78,18345.30,43645.08,HYB
2021-01-01 00:18:00,39600.33,-391.90,18345.32,43645.03,HYB
2021-01-01 00:19:00,39600.51,-392.13,18345.38,43645.21,HYB
2021-01-01 00:20:00,39600.63,-392.25,18345.44,43645.26,HYB
2021-01-01 00:21:00,39600.74,-392.36,18345.49,43645.41,HYB
2021-01-01 00:22:00,39600.73,-392.71,18345.49,43645.48,HYB
2021-01-01 00:23:00,39600.73,-392.94,18345.53,43645.55,HYB
2021-01-01 00:24:00,39600.76,-393.17,18345.57,43645.55,HYB
2021-01-01 00:25:00,39600.78,-393.29,18345.62,43645.57,HYB
2021-01-01 00:26:00,39600.75,-393.40,18345.65,43645.48,HYB
2021-01-01 00:27:00,39600.75,-393.40,18345.65,43645.53,HYB
2021-01-01 00:28:00,39600.89,-393.40,18345.64,43645.63,HYB
2021-01-01 00:29:00,39601.01,-393.40,18345.63,43645.81,HYB
2021-01-01 00:30:00,39601.15,-393.40,18345.65,43645.90,HYB
2021-01-01 00:31:00,39601.29,-393.52,18345.66,43646.03,HYB
