Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,8637.04,-4064.14,55989.98,56878.03,IQA
2021-01-01 00:01:00,8637.88,-4063.76,55988.27,56876.34,IQA
2021-01-01 00:02:00,8636.29,-4064.88,55985.97,56873.88,IQA
2021-01-01 00:03:00,8634.63,-4066.36,55986.04,56873.71,IQA
2021-01-01 00:04:00,8630.94,-4067.51,55986.89,56874.18,IQA
2021-01-01 00:05:00,8625.32,-4069.11,55987.65,56874.11,IQA
2021-01-01 00:06:00,8619.28,-4069.50,55987.54,56873.17,IQA
2021-01-01 00:07:00,8616.81,-4068.51,55987.41,56872.65,IQA
2021-01-01 00:08:00,8618.42,-4066.20,55988.21,56873.46,IQA
2021-01-01 00:09:00,8620.77,-4065.01,55988.62,56874.30,IQA
2021-01-01 00:10:00,8625.06,-4063.79,55989.91,56876.08,IQA
2021-01-01 00:11:00,8631.13,-4061.88,55991.93,56878.79,IQA
2021-01-01 00:12:00,8635.57,-4060.66,55992.70,56880.19,IQA
2021-01-01 00:13:00,8638.88,-4059.83,55993.00,56880.89,IQA
2021-01-01 00:14:00,8643.06,-4058.94,55994.63,56883.15,IQA
2021-01-01 00:15:00,8645.59,-4058.98,55996.79,56885.57,IQA
2021-01-01 00:16:00,8645.89,-4058.71,55998.72,56887.59,IQA
2021-01-01 00:17:00,8643.82,-4057.83,55999.50,56888.00,IQA
2021-01-01 00:18:00,8639.27,-4057.47,55997.80,56885.63,IQA
2021-01-01 00:19:00,8637.16,-4057.28,55995.58,56883.04,IQA
2021-01-01 00:20:00,8636.85,-4056.34,55993.56,56880.91,IQA
2021-01-01 00:21:00,8638.41,-4055.62,55992.73,56880.29,IQA
2021-01-01 00:22:00,8639.29,-4055.57,55992.47,56880.11,IQA
2021-01-01 00:23:00,8639.21,-4055.09,55992.70,56880.29,IQA
2021-01-01 00:24:00,8639.08,-4054.43,55993.32,56880.84,IQA
2021-01-01 00:25:00,8636.97,-4055.14,55992.15,56879.37,IQA
2021-01-01 00:26:00,8634.07,-4057.42,55990.12,56877.04,IQA
2021-01-01 00:27:00,8629.46,-4060.45,55987.64,56874.13,IQA
2021-01-01 00:28:00,8626.41,-4061.65,55985.95,56872.00,IQA
2021-01-01 00:29:00,8625.81,-4061.16,55985.57,56871.46,IQA
2021-01-01 00:30:00,8628.98,-4060.33,55986.82,56873.23,IQA
2021-01-01 00:31:00,8634.01,-4058.43,55988.93,56875.96,IQA
2021-01-01 00:32:00,8636.85,-4056.83,55989.96,56877.32,IQA
2021-01-01 00:33:00,8637.03,-4056.49,55990.16,56877.48,IQA
2021-01-01 00:34:00,8634.76,-4057.40,55989.46,56876.56,IQA
2021-01-01 00:35:00,8633.74,-4058.19,55989.25,56876.31,IQA
2021-01-01 00:36:00,8634.93,-4058.47,55989.94,56877.21,IQA
2021-01-01 00:37:00,8635.52,-4058.24,55990.40,56877.72,IQA
2021-01-01 00:38:00,8636.22,-4057.81,55990.65,56878.08,IQA
2021-01-01 00:39:00,8636.25,-4057.95,55990.21,56877.63,IQA
2021-01-01 00:40:00,8635.83,-4058.31,55989.46,56876.74,IQA
2021-01-01 00:41:00,8636.51,-4058.43,55989.17,56876.56,IQA
2021-01-01 00:42:00,8638.38,-4057.90,55989.58,56877.25,IQA
2021-01-01 00:43:00,8639.41,-4057.63,55989.89,56877.77,IQA
2021-01-01 00:44:00,8638.96,-4057.65,55989.75,56877.61,IQA
2021-01-01 00:45:00,8635.75,-4058.37,55989.14,56876.54,IQA
2021-01-01 00:46:00,8631.82,-4059.81,55988.42,56875.28,IQA
2021-01-01 00:47:00,8629.56,-4060.15,55988.18,56874.70,IQA
2021-01-01 00:48:00,8631.88,-4058.94,55989.70,56876.48,IQA
2021-01-01 00:49:00,8633.24,-4057.96,55990.65,56877.63,IQA
2021-01-01 00:50:00,8632.36,-4058.18,55990.90,56877.73,IQA
2021-01-01 00:51:00,8629.76,-4059.12,55990.32,56876.85,IQA
2021-01-01 00:52:00,8627.33,-4060.02,55989.59,56875.75,IQA
2021-01-01 00:53:00,8625.79,-4060.15,55989.13,56875.16,IQA
2021-01-01 00:54:00,8626.09,-4059.37,55989.28,56875.34,IQA
2021-01-01 00:55:00,8627.34,-4058.29,55989.79,56875.92,IQA
2021-01-01 00:56:00,8629.43,-4056.94,55990.48,56876.92,IQA
2021-01-01 00:57:00,8630.68,-4056.13,55990.46,56876.98,IQA
2021-01-01 00:58:00,8630.27,-4056.07,55989.45,56875.89,IQA
2021-01-01 00:59:00,8629.32,-4056.12,55988.19,56874.47,IQA
2021-01-01 01:00:00,8628.69,-4056.44,55986.88,56872.98,IQA
2021-01-01 01:01:00,8628.50,-4057.07,55985.85,56871.98,IQA
2021-01-01 01:02:00,8629.47,-4057.58,55985.67,56872.05,IQA
2021-01-01 01:03:00,8632.36,-4056.88,55986.55,56873.30,IQA
2021-01-01 01:04:00,8634.29,-4056.51,55987.02,56873.96,IQA
2021-01-01 01:05:00,8634.74,-4057.45,55986.87,56874.02,IQA
2021-01-01 01:06:00,8634.18,-4058.27,55986.50,56873.61,IQA
2021-01-01 01:07:00,8632.76,-4059.36,55985.69,56872.73,IQA
2021-01-01 01:08:00,8631.95,-4060.13,55985.15,56871.96,IQA
2021-01-01 01:09:00,8632.10,-4061.04,55984.86,56871.82,IQA
2021-01-01 01:10:00,8632.67,-4061.32,55985.13,56872.23,IQA
2021-01-01 01:11:00,8634.33,-4060.80,55985.99,56873.42,IQA
2021-01-01 01:12:00,8636.21,-4059.85,55986.96,56874.62,IQA
2021-01-01 01:13:00,8637.39,-4059.68,55987.86,56875.70,IQA
2021-01-01 01:14:00,8637.24,-4059.77,55988.34,56876.06,IQA
2021-01-01 01:15:00,8635.85,-4059.95,55987.53,56875.00,IQA
2021-01-01 01:16:00,8635.54,-4059.43,55986.68,56874.02,IQA
2021-01-01 01:17:00,8634.85,-4059.22,55985.66,56872.82,IQA
2021-01-01 01:18:00,8632.66,-4060.06,55984.43,56871.47,IQA
2021-01-01 01:19:00,8630.37,-4060.68,55983.71,56870.47,IQA
2021-01-01 01:20:00,8628.97,-4060.95,55983.93,56870.52,IQA
2021-01-01 01:21:00,8628.26,-4060.62,55984.87,56871.26,IQA
2021-01-01 01:22:00,8628.83,-4058.97,55986.08,56872.28,IQA
2021-01-01 01:23:00,8629.14,-4058.03,55986.25,56872.57,IQA
2021-01-01 01:24:00,8630.84,-4057.38,55986.63,56873.13,IQA
2021-01-01 01:25:00,8634.40,-4056.98,55987.41,56874.45,IQA
2021-01-01 01:26:00,8637.54,-4056.37,55988.17,56875.47,IQA
2021-01-01 01:27:00,8638.38,-4055.90,55988.34,56875.91,IQA
2021-01-01 01:28:00,8637.55,-4055.41,55988.36,56875.64,IQA
2021-01-01 01:29:00,8635.47,-4055.24,55987.70,56874.63,IQA
2021-01-01 01:30:00,8632.78,-4054.98,55986.85,56873.43,IQA
2021-01-01 01:31:00,8631.16,-4054.36,55986.37,56872.56,IQA
2021-01-01 01:32:00,8630.70,-4053.83,55986.15,56872.29,IQA
2021-01-01 01:33:00,8631.10,-4053.38,55986.09,56872.34,IQA
2021-01-01 01:34:00,8631.89,-4053.25,55986.04,56872.30,IQA
2021-01-01 01:35:00,8631.41,-4053.68,55985.58,56871.84,IQA
2021-01-01 01:36:00,8630.91,-4054.21,55985.07,56871.26,IQA
2021-01-01 01:37:00,8630.62,-4054.87,55984.62,56870.88,IQA
2021-01-01 01:38:00,8631.01,-4055.39,55984.52,56870.87,IQA
2021-01-01 01:39:00,8631.30,-4055.79,55984.45,56870.86,IQA
2021-01-01 01:40:00,8631.76,-4055.79,55984.38,56870.82,IQA
2021-01-01 01:41:00,8632.32,-4055.71,55984.13,56870.77,IQA
2021-01-01 01:42:00,8632.59,-4055.58,55983.91,56870.59,IQA
2021-01-01 01:43:00,8632.67,-4055.78,55983.70,56870.41,IQA
2021-01-01 01:44:00,8632.67,-4055.88,55983.35,56869.94,IQA
2021-01-01 01:45:00,8632.24,-4056.07,55982.81,56869.40,IQA
2021-01-01 01:46:00,8631.75,-4056.31,55982.39,56868.99,IQA
2021-01-01 01:47:00,8631.76,-4056.46,55982.56,56869.21,IQA
2021-01-01 01:48:00,8631.81,-4056.73,55982.94,56869.60,IQA
2021-01-01 01:49:00,8631.80,-4056.77,55983.24,56869.85,IQA
2021-01-01 01:50:00,8631.99,-4056.82,55983.49,56870.14,IQA
2021-01-01 01:51:00,8632.17,-4057.08,55983.77,56870.42,IQA
2021-01-01 01:52:00,8631.56,-4057.71,55983.67,56870.35,IQA
2021-01-01 01:53:00,8631.27,-4058.35,55983.89,56870.60,IQA
2021-01-01 01:54:00,8630.91,-4058.61,55984.17,56870.92,IQA
2021-01-01 01:55:00,8630.90,-4058.38,55984.53,56871.15,IQA
2021-01-01 01:56:00,8631.47,-4057.88,55984.95,56871.60,IQA
2021-01-01 01:57:00,8632.00,-4057.33,55985.26,56871.98,IQA
2021-01-01 01:58:00,8632.60,-4056.87,55985.55,56872.32,IQA
2021-01-01 01:59:00,8633.02,-4056.69,55985.78,56872.56,IQA
2021-01-01 02:00:00,8633.34,-4056.69,55986.14,56872.92,IQA
2021-01-01 02:01:00,8633.08,-4056.93,55986.45,56873.16,IQA
2021-01-01 02:02:00,8632.85,-4057.10,55986.72,56873.54,IQA
2021-01-01 02:03:00,8633.39,-4056.79,55987.12,56873.91,IQA
2021-01-01 02:04:00,8633.40,-4056.80,55987.09,56873.93,IQA
2021-01-01 02:05:00,8632.96,-4057.03,55987.05,56873.83,IQA
2021-01-01 02:06:00,8633.12,-4056.79,55987.17,56873.89,IQA
2021-01-01 02:07:00,8632.88,-4056.54,55986.79,56873.57,IQA
2021-01-01 02:08:00,8632.84,-4056.37,55986.49,56873.11,IQA
2021-01-01 02:09:00,8633.01,-4056.43,55986.13,56872.74,IQA
2021-01-01 02:10:00,8632.66,-4056.99,55985.68,56872.33,IQA
2021-01-01 02:11:00,8631.83,-4057.67,55985.31,56871.91,IQA
2021-01-01 02:12:00,8630.95,-4057.79,55985.28,56871.68,IQA
2021-01-01 02:13:00,8629.80,-4057.99,55985.02,56871.36,IQA
2021-01-01 02:14:00,8629.17,-4057.92,55984.81,56871.05,IQA
2021-01-01 02:15:00,8628.59,-4057.86,55984.34,56870.51,IQA
2021-01-01 02:16:00,8628.05,-4058.05,55983.58,56869.71,IQA
2021-01-01 02:17:00,8627.93,-4058.70,55982.90,56869.08,IQA
2021-01-01 02:18:00,8628.19,-4059.60,55982.77,56869.11,IQA
2021-01-01 02:19:00,8628.79,-4060.22,55983.39,56869.85,IQA
2021-01-01 02:20:00,8628.69,-4060.52,55983.77,56870.32,IQA
2021-01-01 02:21:00,8628.95,-4060.17,55983.96,56870.46,IQA
2021-01-01 02:22:00,8629.10,-4059.52,55983.63,56870.11,IQA
2021-01-01 02:23:00,8629.25,-4059.01,55983.20,56869.66,IQA
