Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,25067.34,2512.14,40607.20,99999.00,IZN
2021-01-01 00:01:00,25067.34,2512.14,40607.20,99999.00,IZN
2021-01-01 00:02:00,25067.43,2512.23,40607.20,99999.00,IZN
2021-01-01 00:03:00,25067.31,2512.43,40607.20,99999.00,IZN
2021-01-01 00:04:00,25067.11,2512.41,40607.20,99999.00,IZN
2021-01-01 00:05:00,25067.34,2512.07,40607.20,99999.00,IZN
2021-01-01 00:06:00,25067.58,2511.72,40607.10,99999.00,IZN
2021-01-01 00:07:00,25068.22,2511.35,40607.00,99999.00,IZN
2021-01-01 00:08:00,25068.72,2511.32,40607.00,99999.00,IZN
2021-01-01 00:09:00,25068.69,2511.69,40607.10,99999.00,IZN
2021-01-01 00:10:00,25068.45,2512.11,40607.20,99999.00,IZN
2021-01-01 00:11:00,25068.22,2512.31,40607.20,99999.00,IZN
2021-01-01 00:12:00,25068.12,2512.30,40607.20,99999.00,IZN
2021-01-01 00:13:00,25068.03,2512.29,40607.20,99999.00,IZN
2021-01-01 00:14:00,25067.91,2512.42,40607.20,99999.00,IZN
2021-01-01 00:15:00,25067.80,2512.56,40607.30,99999.00,IZN
2021-01-01 00:16:00,25067.48,2512.67,40607.30,99999.00,IZN
2021-01-01 00:17:00,25067.29,2512.65,40607.30,99999.00,IZN
2021-01-01 00:18:00,25067.19,2512.64,40607.30,99999.00,IZN
2021-01-01 00:19:00,25067.20,2512.50,40607.30,99999.00,IZN
2021-01-01 00:20:00,25067.32,2512.29,40607.30,99999.00,IZN
2021-01-01 00:21:00,25067.34,2512.07,40607.20,99999.00,IZN
2021-01-01 00:22:00,25067.49,2511.64,40607.20,99999.00,IZN
2021-01-01 00:23:00,25067.62,2511.36,40607.10,99999.00,IZN
2021-01-01 00:24:00,25067.94,2511.10,40607.10,99999.00,IZN
2021-01-01 00:25:00,25068.06,2510.89,40607.10,99999.00,IZN
2021-01-01 00:26:00,25068.27,2510.84,40607.10,99999.00,IZN
2021-01-01 00:27:00,25068.37,2510.85,40607.10,99999.00,IZN
2021-01-01 00:28:00,25068.36,2510.92,40607.10,99999.00,IZN
2021-01-01 00:29:00,25068.46,2510.93,40607.10,99999.00,IZN
2021-01-01 00:30:00,25068.36,2510.92,40607.10,99999.00,IZN
2021-01-01 00:31:00,25068.47,2510.86,40607.10,99999.00,IZN
2021-01-01 00:32:00,25068.68,2510.80,40607.10,99999.00,IZN
2021-01-01 00:33:00,25068.80,2510.59,40607.10,99999.00,IZN
2021-01-01 00:34:00,25068.81,2510.45,40607.10,99999.00,IZN
2021-01-01 00:35:00,25068.71,2510.44,40607.10,99999.00,IZN
2021-01-01 00:36:00,25068.71,2510.44,40607.10,99999.00,IZN
2021-01-01 00:37:00,25068.71,2510.51,40607.20,99999.00,IZN
2021-01-01 00:38:00,25068.80,2510.52,40607.20,99999.00,IZN
2021-01-01 00:39:00,25068.80,2510.52,40607.20,99999.00,IZN
2021-01-01 00:40:00,25068.59,2510.65,40607.20,99999.00,IZN
2021-01-01 00:41:00,25068.38,2510.77,40607.30,99999.00,IZN
2021-01-01 00:42:00,25068.37,2510.85,40607.30,99999.00,IZN
2021-01-01 00:43:00,25068.38,2510.77,40607.20,99999.00,IZN
2021-01-01 00:44:00,25068.39,2510.70,40607.20,99999.00,IZN
2021-01-01 00:45:00,25068.40,2510.56,40607.20,99999.00,IZN
2021-01-01 00:46:00,25068.41,2510.41,40607.20,99999.00,IZN
2021-01-01 00:47:00,25068.40,2510.56,40607.20,99999.00,IZN
2021-01-01 00:48:00,25068.30,2510.55,40607.20,99999.00,IZN
2021-01-01 00:49:00,25068.41,2510.48,40607.20,99999.00,IZN
2021-01-01 00:50:00,25068.50,2510.57,40607.10,99999.00,IZN
2021-01-01 00:51:00,25068.60,2510.57,40607.10,99999.00,IZN
2021-01-01 00:52:00,25068.70,2510.58,40607.20,99999.00,IZN
2021-01-01 00:53:00,25068.80,2510.59,40607.20,99999.00,IZN
2021-01-01 00:54:00,25068.80,2510.59,40607.20,99999.00,IZN
2021-01-01 00:55:00,25068.90,2510.60,40607.20,99999.00,IZN
2021-01-01 00:56:00,25068.90,2510.60,40607.20,99999.00,IZN
2021-01-01 00:57:00,25068.89,2510.68,40607.20,99999.00,IZN
2021-01-01 00:58:00,25068.89,2510.68,40607.20,99999.00,IZN
2021-01-01 00:59:00,25068.98,2510.76,40607.20,99999.00,IZN
2021-01-01 01:00:00,25068.98,2510.76,40607.20,99999.00,IZN
2021-01-01 01:01:00,25068.97,2510.91,40607.20,99999.00,IZN
2021-01-01 01:02:00,25068.96,2510.98,40607.10,99999.00,IZN
2021-01-01 01:03:00,25069.06,2510.99,40607.10,99999.00,IZN
2021-01-01 01:04:00,25069.25,2511.08,40607.10,99999.00,IZN
2021-01-01 01:05:00,25069.24,2511.16,40607.10,99999.00,IZN
2021-01-01 01:06:00,25069.35,2511.17,40607.20,99999.00,IZN
2021-01-01 01:07:00,25069.55,2511.11,40607.10,99999.00,IZN
2021-01-01 01:08:00,25069.54,2511.19,40607.10,99999.00,IZN
2021-01-01 01:09:00,25069.54,2511.19,40607.10,99999.00,IZN
2021-01-01 01:10:00,25069.55,2511.11,40607.10,99999.00,IZN
2021-01-01 01:11:00,25069.44,2511.18,40607.10,99999.00,IZN
2021-01-01 01:12:00,25069.44,2511.18,40607.10,99999.00,IZN
2021-01-01 01:13:00,25069.44,2511.18,40607.10,99999.00,IZN
2021-01-01 01:14:00,25069.45,2511.10,40607.10,99999.00,IZN
2021-01-01 01:15:00,25069.46,2510.96,40607.10,99999.00,IZN
2021-01-01 01:16:00,25069.46,2510.96,40607.10,99999.00,IZN
2021-01-01 01:17:00,25069.57,2510.89,40607.10,99999.00,IZN
2021-01-01 01:18:00,25069.59,2510.75,40607.00,99999.00,IZN
2021-01-01 01:19:00,25069.69,2510.76,40607.10,99999.00,IZN
2021-01-01 01:20:00,25069.69,2510.68,40607.00,99999.00,IZN
2021-01-01 01:21:00,25069.70,2510.61,40607.00,99999.00,IZN
2021-01-01 01:22:00,25069.81,2510.55,40607.10,99999.00,IZN
2021-01-01 01:23:00,25069.81,2510.55,40607.00,99999.00,IZN
2021-01-01 01:24:00,25069.81,2510.55,40607.00,99999.00,IZN
