Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,35345.80,167.50,31853.40,47559.80,JAI
2021-01-01 00:01:00,35345.90,167.60,31853.50,47559.80,JAI
2021-01-01 00:02:00,35346.00,167.70,31853.50,47560.00,JAI
2021-01-01 00:03:00,35346.20,167.90,31853.40,47560.10,JAI
2021-01-01 00:04:00,35346.10,168.00,31853.40,47560.10,JAI
2021-01-01 00:05:00,35346.20,167.90,31853.50,47560.10,JAI
2021-01-01 00:06:00,35346.20,167.50,31853.30,47560.00,JAI
2021-01-01 00:07:00,35345.90,167.10,31853.30,47559.80,JAI
2021-01-01 00:08:00,35346.00,167.00,31853.10,47559.80,JAI
2021-01-01 00:09:00,35346.00,167.20,31853.10,47559.80,JAI
2021-01-01 00:10:00,35346.00,167.70,31853.40,47560.00,JAI
2021-01-01 00:11:00,35346.10,167.90,31853.40,47560.00,JAI
2021-01-01 00:12:00,35346.10,168.00,31853.50,47560.00,JAI
2021-01-01 00:13:00,35346.00,168.00,31853.40,47560.00,JAI
2021-01-01 00:14:00,35346.10,168.10,31853.40,47560.10,JAI
2021-01-01 00:15:00,35346.10,168.20,31853.40,47560.00,JAI
2021-01-01 00:16:00,35346.10,168.10,31853.40,47560.10,JAI
2021-01-01 00:17:00,35346.10,168.00,31853.30,47560.00,JAI
2021-01-01 00:18:00,35346.10,167.90,31853.30,47560.00,JAI
2021-01-01 00:19:00,35346.30,167.60,31853.10,47560.10,JAI
2021-01-01 00:20:00,35346.40,167.40,31853.00,47560.10,JAI
2021-01-01 00:21:00,35346.50,167.20,31853.00,47560.10,JAI
2021-01-01 00:22:00,35346.60,166.80,31853.00,47560.10,JAI
2021-01-01 00:23:00,35346.60,166.50,31853.00,47560.10,JAI
2021-01-01 00:24:00,35346.70,166.10,31852.90,47560.10,JAI
2021-01-01 00:25:00,35346.70,165.90,31852.80,47560.10,JAI
2021-01-01 00:26:00,35346.70,165.90,31852.80,47560.10,JAI
2021-01-01 00:27:00,35346.70,165.90,31852.90,47560.10,JAI
2021-01-01 00:28:00,35346.80,165.90,31852.80,47560.30,JAI
