Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,8748.69,2533.73,56546.20,57275.10,JCO
2021-01-01 00:01:00,8743.12,2531.40,56544.40,57272.30,JCO
2021-01-01 00:02:00,8736.86,2531.07,56543.80,57270.80,JCO
2021-01-01 00:03:00,8736.53,2531.50,56544.20,57271.10,JCO
2021-01-01 00:04:00,8731.39,2525.86,56545.40,57271.30,JCO
2021-01-01 00:05:00,8733.64,2524.55,56546.10,57272.30,JCO
2021-01-01 00:06:00,8738.59,2540.89,56546.10,57273.80,JCO
2021-01-01 00:07:00,8752.40,2551.06,56546.20,57276.40,JCO
2021-01-01 00:08:00,8758.76,2556.76,56545.60,57277.00,JCO
2021-01-01 00:09:00,8757.45,2554.47,56545.00,57276.10,JCO
2021-01-01 00:10:00,8750.44,2548.15,56545.40,57275.20,JCO
2021-01-01 00:11:00,8744.26,2541.46,56546.70,57275.20,JCO
2021-01-01 00:12:00,8746.93,2537.99,56547.20,57276.00,JCO
2021-01-01 00:13:00,8749.09,2538.45,56546.90,57276.00,JCO
2021-01-01 00:14:00,8747.21,2538.82,56547.10,57276.00,JCO
2021-01-01 00:15:00,8744.11,2538.39,56547.30,57275.70,JCO
2021-01-01 00:16:00,8743.64,2536.07,56547.30,57275.50,JCO
2021-01-01 00:17:00,8743.90,2537.30,56547.60,57275.90,JCO
2021-01-01 00:18:00,8745.86,2531.61,56548.50,57276.80,JCO
2021-01-01 00:19:00,8742.03,2528.68,56549.10,57276.70,JCO
2021-01-01 00:20:00,8733.40,2527.21,56550.40,57276.60,JCO
2021-01-01 00:21:00,8728.96,2524.91,56551.50,57276.90,JCO
2021-01-01 00:22:00,8729.41,2527.68,56551.70,57277.30,JCO
2021-01-01 00:23:00,8731.49,2535.60,56551.90,57278.10,JCO
2021-01-01 00:24:00,8733.50,2541.23,56552.20,57279.00,JCO
2021-01-01 00:25:00,8737.46,2544.42,56551.90,57279.50,JCO
2021-01-01 00:26:00,8745.29,2548.28,56550.30,57279.20,JCO
2021-01-01 00:27:00,8752.22,2551.32,56548.70,57278.90,JCO
2021-01-01 00:28:00,8753.15,2549.93,56547.80,57278.00,JCO
2021-01-01 00:29:00,8748.64,2543.95,56547.50,57276.80,JCO
2021-01-01 00:30:00,8744.94,2539.81,56546.70,57275.30,JCO
2021-01-01 00:31:00,8745.65,2539.91,56545.50,57274.20,JCO
2021-01-01 00:32:00,8745.23,2539.90,56544.70,57273.30,JCO
2021-01-01 00:33:00,8743.56,2538.86,56544.80,57273.10,JCO
2021-01-01 00:34:00,8742.48,2538.96,56545.20,57273.40,JCO
2021-01-01 00:35:00,8743.99,2541.30,56545.40,57273.90,JCO
2021-01-01 00:36:00,8746.39,2543.08,56545.00,57274.00,JCO
2021-01-01 00:37:00,8748.33,2544.28,56545.00,57274.30,JCO
2021-01-01 00:38:00,8749.68,2543.95,56544.60,57274.10,JCO
2021-01-01 00:39:00,8750.03,2543.44,56544.20,57273.70,JCO
2021-01-01 00:40:00,8749.82,2542.75,56544.00,57273.50,JCO
2021-01-01 00:41:00,8744.58,2538.55,56544.10,57272.60,JCO
2021-01-01 00:42:00,8742.02,2539.13,56544.50,57272.60,JCO
2021-01-01 00:43:00,8741.50,2539.48,56545.00,57273.00,JCO
2021-01-01 00:44:00,8741.86,2539.69,56545.30,57273.40,JCO
2021-01-01 00:45:00,8741.96,2540.77,56545.50,57273.70,JCO
2021-01-01 00:46:00,8743.01,2544.33,56545.80,57274.30,JCO
2021-01-01 00:47:00,8748.91,2546.95,56545.50,57275.00,JCO
2021-01-01 00:48:00,8753.03,2544.23,56544.30,57274.30,JCO
2021-01-01 00:49:00,8750.91,2544.00,56543.70,57273.40,JCO
2021-01-01 00:50:00,8743.27,2539.49,56544.00,57272.30,JCO
2021-01-01 00:51:00,8741.72,2539.46,56544.40,57272.50,JCO
2021-01-01 00:52:00,8743.84,2542.20,56544.50,57273.00,JCO
2021-01-01 00:53:00,8746.48,2544.56,56544.70,57273.70,JCO
2021-01-01 00:54:00,8748.87,2545.29,56544.70,57274.10,JCO
2021-01-01 00:55:00,8748.58,2544.87,56544.70,57274.10,JCO
2021-01-01 00:56:00,8748.22,2543.94,56544.40,57273.70,JCO
2021-01-01 00:57:00,8747.14,2541.20,56544.20,57273.20,JCO
2021-01-01 00:58:00,8746.16,2541.00,56544.20,57273.00,JCO
2021-01-01 00:59:00,8746.83,2541.93,56544.30,57273.30,JCO
2021-01-01 01:00:00,8747.81,2542.85,56544.00,57273.20,JCO
2021-01-01 01:01:00,8749.61,2542.05,56543.60,57273.00,JCO
2021-01-01 01:02:00,8749.44,2541.89,56543.60,57273.00,JCO
2021-01-01 01:03:00,8747.72,2541.37,56543.60,57272.70,JCO
2021-01-01 01:04:00,8748.95,2541.45,56543.70,57273.00,JCO
2021-01-01 01:05:00,8751.73,2543.00,56543.20,57273.00,JCO
2021-01-01 01:06:00,8750.79,2544.08,56543.30,57273.00,JCO
2021-01-01 01:07:00,8750.22,2542.45,56543.50,57273.00,JCO
2021-01-01 01:08:00,8751.56,2541.07,56543.40,57273.10,JCO
2021-01-01 01:09:00,8748.87,2542.78,56543.70,57273.00,JCO
2021-01-01 01:10:00,8749.17,2543.91,56543.90,57273.30,JCO
2021-01-01 01:11:00,8748.58,2543.41,56544.20,57273.50,JCO
2021-01-01 01:12:00,8751.07,2543.11,56544.10,57273.80,JCO
2021-01-01 01:13:00,8751.82,2543.03,56543.60,57273.40,JCO
2021-01-01 01:14:00,8748.98,2541.34,56543.70,57273.00,JCO
2021-01-01 01:15:00,8745.66,2539.50,56544.30,57273.00,JCO
2021-01-01 01:16:00,8746.67,2539.60,56544.40,57273.20,JCO
2021-01-01 01:17:00,8750.06,2542.29,56544.00,57273.50,JCO
2021-01-01 01:18:00,8752.01,2543.11,56543.60,57273.40,JCO
2021-01-01 01:19:00,8751.64,2543.30,56543.50,57273.30,JCO
2021-01-01 01:20:00,8752.21,2542.75,56543.10,57272.90,JCO
2021-01-01 01:21:00,8750.19,2540.76,56542.80,57272.20,JCO
2021-01-01 01:22:00,8748.59,2541.23,56542.90,57272.10,JCO
2021-01-01 01:23:00,8747.38,2540.74,56543.20,57272.20,JCO
2021-01-01 01:24:00,8745.90,2540.84,56543.70,57272.50,JCO
2021-01-01 01:25:00,8745.70,2541.50,56544.30,57273.10,JCO
2021-01-01 01:26:00,8751.10,2544.80,56543.90,57273.70,JCO
2021-01-01 01:27:00,8752.49,2545.02,56543.80,57273.80,JCO
2021-01-01 01:28:00,8749.79,2543.57,56544.10,57273.60,JCO
2021-01-01 01:29:00,8746.87,2540.71,56544.20,57273.10,JCO
2021-01-01 01:30:00,8746.49,2540.59,56543.90,57272.80,JCO
2021-01-01 01:31:00,8748.04,2542.42,56544.00,57273.20,JCO
2021-01-01 01:32:00,8748.38,2543.05,56544.10,57273.40,JCO
2021-01-01 01:33:00,8748.24,2541.02,56544.40,57273.50,JCO
2021-01-01 01:34:00,8747.53,2540.59,56544.20,57273.20,JCO
2021-01-01 01:35:00,8748.95,2542.16,56543.90,57273.20,JCO
2021-01-01 01:36:00,8749.53,2543.38,56543.50,57272.90,JCO
2021-01-01 01:37:00,8749.67,2544.69,56543.50,57273.00,JCO
2021-01-01 01:38:00,8750.87,2544.52,56543.20,57272.90,JCO
2021-01-01 01:39:00,8750.34,2542.38,56543.10,57272.60,JCO
2021-01-01 01:40:00,8750.73,2544.28,56542.80,57272.50,JCO
2021-01-01 01:41:00,8752.96,2545.90,56542.40,57272.50,JCO
2021-01-01 01:42:00,8755.67,2548.40,56541.70,57272.30,JCO
2021-01-01 01:43:00,8755.15,2546.98,56541.60,57272.10,JCO
2021-01-01 01:44:00,8752.71,2545.00,56542.00,57272.00,JCO
2021-01-01 01:45:00,8751.20,2545.88,56542.50,57272.30,JCO
2021-01-01 01:46:00,8749.91,2544.95,56543.10,57272.70,JCO
2021-01-01 01:47:00,8748.14,2544.22,56543.90,57273.20,JCO
2021-01-01 01:48:00,8748.91,2546.24,56544.50,57274.00,JCO
2021-01-01 01:49:00,8750.02,2546.37,56544.70,57274.40,JCO
2021-01-01 01:50:00,8748.98,2543.85,56544.80,57274.20,JCO
2021-01-01 01:51:00,8748.52,2542.56,56545.00,57274.20,JCO
2021-01-01 01:52:00,8750.48,2544.40,56544.70,57274.30,JCO
2021-01-01 01:53:00,8749.24,2545.09,56544.70,57274.20,JCO
2021-01-01 01:54:00,8747.83,2546.01,56545.40,57274.70,JCO
2021-01-01 01:55:00,8746.77,2544.65,56545.90,57275.00,JCO
2021-01-01 01:56:00,8748.46,2544.20,56545.70,57275.00,JCO
2021-01-01 01:57:00,8750.52,2545.35,56544.90,57274.60,JCO
2021-01-01 01:58:00,8748.40,2543.69,56544.90,57274.20,JCO
2021-01-01 01:59:00,8746.93,2543.01,56545.10,57274.10,JCO
2021-01-01 02:00:00,8748.22,2543.61,56544.70,57274.00,JCO
2021-01-01 02:01:00,8751.20,2546.60,56544.20,57274.00,JCO
2021-01-01 02:02:00,8751.89,2549.23,56544.10,57274.20,JCO
2021-01-01 02:03:00,8751.63,2549.05,56544.00,57274.00,JCO
2021-01-01 02:04:00,8751.82,2547.33,56543.70,57273.70,JCO
2021-01-01 02:05:00,8752.39,2546.45,56543.30,57273.30,JCO
2021-01-01 02:06:00,8751.12,2547.21,56543.40,57273.30,JCO
2021-01-01 02:07:00,8750.96,2548.85,56543.50,57273.40,JCO
2021-01-01 02:08:00,8752.71,2549.99,56543.70,57273.90,JCO
2021-01-01 02:09:00,8753.24,2550.67,56544.00,57274.30,JCO
2021-01-01 02:10:00,8752.36,2550.11,56544.50,57274.70,JCO
2021-01-01 02:11:00,8753.00,2549.36,56544.30,57274.50,JCO
2021-01-01 02:12:00,8755.36,2550.19,56543.80,57274.40,JCO
2021-01-01 02:13:00,8756.79,2552.07,56543.40,57274.40,JCO
2021-01-01 02:14:00,8757.97,2553.05,56543.30,57274.50,JCO
2021-01-01 02:15:00,8758.64,2551.81,56543.30,57274.50,JCO
2021-01-01 02:16:00,8761.33,2551.87,56543.00,57274.60,JCO
2021-01-01 02:17:00,8762.47,2552.95,56542.60,57274.50,JCO
2021-01-01 02:18:00,8764.96,2556.22,56542.10,57274.50,JCO
2021-01-01 02:19:00,8764.97,2559.04,56542.30,57274.80,JCO
2021-01-01 02:20:00,8762.95,2554.89,56543.20,57275.20,JCO
2021-01-01 02:21:00,8762.25,2552.28,56544.10,57275.90,JCO
2021-01-01 02:22:00,8759.31,2550.23,56545.00,57276.20,JCO
2021-01-01 02:23:00,8756.92,2551.28,56545.60,57276.50,JCO
2021-01-01 02:24:00,8755.38,2552.26,56546.80,57277.50,JCO
2021-01-01 02:25:00,8753.76,2550.33,56548.30,57278.60,JCO
2021-01-01 02:26:00,8751.38,2546.68,56549.40,57279.20,JCO
2021-01-01 02:27:00,8750.99,2544.47,56549.80,57279.50,JCO
2021-01-01 02:28:00,8751.67,2545.71,56549.70,57279.50,JCO
2021-01-01 02:29:00,8751.07,2545.62,56550.10,57279.80,JCO
2021-01-01 02:30:00,8751.27,2547.06,56550.40,57280.20,JCO
2021-01-01 02:31:00,8751.08,2547.01,56550.50,57280.30,JCO
2021-01-01 02:32:00,8748.87,2546.01,56550.50,57279.90,JCO
2021-01-01 02:33:00,8747.68,2544.72,56550.50,57279.70,JCO
2021-01-01 02:34:00,8748.48,2544.84,56550.10,57279.40,JCO
2021-01-01 02:35:00,8747.84,2543.83,56549.80,57278.90,JCO
2021-01-01 02:36:00,8746.98,2543.55,56549.80,57278.80,JCO
2021-01-01 02:37:00,8745.44,2544.56,56550.20,57279.00,JCO
2021-01-01 02:38:00,8743.75,2544.98,56550.50,57279.10,JCO
2021-01-01 02:39:00,8743.63,2545.06,56550.40,57278.90,JCO
2021-01-01 02:40:00,8745.95,2546.37,56549.70,57278.70,JCO
2021-01-01 02:41:00,8749.04,2547.21,56548.60,57278.10,JCO
2021-01-01 02:42:00,8749.78,2547.54,56547.90,57277.50,JCO
2021-01-01 02:43:00,8749.34,2547.61,56547.40,57277.00,JCO
2021-01-01 02:44:00,8747.69,2548.26,56547.50,57276.80,JCO
2021-01-01 02:45:00,8746.12,2547.58,56547.90,57277.00,JCO
2021-01-01 02:46:00,8746.48,2547.79,56548.20,57277.30,JCO
2021-01-01 02:47:00,8748.06,2548.80,56547.70,57277.10,JCO
2021-01-01 02:48:00,8750.13,2550.98,56547.10,57276.90,JCO
2021-01-01 02:49:00,8749.41,2551.30,56547.00,57276.70,JCO
2021-01-01 02:50:00,8748.62,2550.10,56547.20,57276.80,JCO
2021-01-01 02:51:00,8746.35,2547.87,56547.60,57276.70,JCO
2021-01-01 02:52:00,8746.38,2547.76,56547.70,57276.80,JCO
2021-01-01 02:53:00,8746.89,2549.60,56547.60,57276.90,JCO
2021-01-01 02:54:00,8747.82,2550.70,56547.50,57277.00,JCO
2021-01-01 02:55:00,8748.43,2551.09,56547.40,57277.00,JCO
2021-01-01 02:56:00,8748.45,2549.97,56547.20,57276.70,JCO
2021-01-01 02:57:00,8748.00,2549.73,56547.10,57276.60,JCO
2021-01-01 02:58:00,8748.38,2550.56,56547.10,57276.60,JCO
2021-01-01 02:59:00,8749.06,2551.08,56546.90,57276.60,JCO
2021-01-01 03:00:00,8748.73,2549.72,56546.90,57276.50,JCO
2021-01-01 03:01:00,8746.54,2548.64,56547.10,57276.30,JCO
2021-01-01 03:02:00,8744.71,2550.29,56547.80,57276.80,JCO
2021-01-01 03:03:00,8741.97,2551.11,56548.50,57277.10,JCO
2021-01-01 03:04:00,8741.91,2551.32,56548.90,57277.50,JCO
2021-01-01 03:05:00,8747.12,2554.16,56548.40,57277.90,JCO
2021-01-01 03:06:00,8752.81,2555.36,56547.30,57277.70,JCO
2021-01-01 03:07:00,8755.24,2555.26,56546.20,57277.00,JCO
2021-01-01 03:08:00,8753.35,2553.86,56545.60,57276.10,JCO
2021-01-01 03:09:00,8750.30,2553.96,56545.50,57275.50,JCO
2021-01-01 03:10:00,8749.05,2553.60,56545.70,57275.50,JCO
2021-01-01 03:11:00,8749.07,2553.19,56546.00,57275.80,JCO
2021-01-01 03:12:00,8749.62,2553.46,56546.20,57276.10,JCO
2021-01-01 03:13:00,8749.40,2552.76,56546.40,57276.20,JCO
2021-01-01 03:14:00,8747.85,2551.67,56546.70,57276.20,JCO
2021-01-01 03:15:00,8747.04,2551.21,56547.10,57276.50,JCO
2021-01-01 03:16:00,8746.97,2550.75,56547.30,57276.60,JCO
2021-01-01 03:17:00,8747.54,2552.00,56547.30,57276.80,JCO
2021-01-01 03:18:00,8747.79,2551.85,56547.40,57276.90,JCO
2021-01-01 03:19:00,8747.94,2551.36,56547.50,57277.00,JCO
2021-01-01 03:20:00,8748.58,2550.94,56547.20,57276.80,JCO
2021-01-01 03:21:00,8750.22,2551.75,56546.70,57276.60,JCO
2021-01-01 03:22:00,8751.49,2553.81,56546.30,57276.50,JCO
2021-01-01 03:23:00,8751.51,2554.45,56546.20,57276.40,JCO
2021-01-01 03:24:00,8751.64,2554.38,56546.40,57276.60,JCO
2021-01-01 03:25:00,8750.71,2552.20,56546.50,57276.50,JCO
2021-01-01 03:26:00,8751.33,2551.88,56546.10,57276.20,JCO
2021-01-01 03:27:00,8751.12,2552.96,56545.50,57275.60,JCO
2021-01-01 03:28:00,8750.40,2555.04,56545.50,57275.60,JCO
2021-01-01 03:29:00,8748.14,2554.24,56546.30,57276.00,JCO
2021-01-01 03:30:00,8746.19,2550.22,56547.10,57276.30,JCO
2021-01-01 03:31:00,8747.43,2549.53,56547.20,57276.60,JCO
2021-01-01 03:32:00,8748.32,2550.76,56546.50,57276.10,JCO
2021-01-01 03:33:00,8749.39,2553.17,56546.20,57276.00,JCO
2021-01-01 03:34:00,8749.76,2554.02,56546.60,57276.50,JCO
2021-01-01 03:35:00,8748.71,2552.64,56547.30,57277.00,JCO
2021-01-01 03:36:00,8748.22,2550.40,56547.50,57277.00,JCO
2021-01-01 03:37:00,8749.74,2552.33,56547.00,57276.80,JCO
2021-01-01 03:38:00,8751.92,2555.21,56545.90,57276.20,JCO
2021-01-01 03:39:00,8752.69,2556.48,56545.50,57276.00,JCO
2021-01-01 03:40:00,8751.44,2555.78,56546.10,57276.40,JCO
2021-01-01 03:41:00,8749.68,2554.30,56546.70,57276.60,JCO
2021-01-01 03:42:00,8749.40,2553.48,56546.80,57276.70,JCO
2021-01-01 03:43:00,8750.03,2552.75,56546.40,57276.30,JCO
2021-01-01 03:44:00,8748.64,2551.79,56546.50,57276.20,JCO
2021-01-01 03:45:00,8746.99,2550.67,56547.00,57276.30,JCO
2021-01-01 03:46:00,8747.18,2551.45,56547.00,57276.40,JCO
2021-01-01 03:47:00,8747.03,2552.68,56547.10,57276.60,JCO
2021-01-01 03:48:00,8747.87,2554.08,56546.90,57276.50,JCO
2021-01-01 03:49:00,8748.00,2554.01,56546.60,57276.30,JCO
2021-01-01 03:50:00,8749.15,2554.34,56546.30,57276.20,JCO
2021-01-01 03:51:00,8750.18,2554.03,56546.00,57276.00,JCO
2021-01-01 03:52:00,8750.72,2553.59,56545.90,57276.00,JCO
2021-01-01 03:53:00,8749.47,2553.94,56545.90,57275.80,JCO
2021-01-01 03:54:00,8748.67,2555.97,56546.10,57276.00,JCO
2021-01-01 03:55:00,8748.44,2555.71,56546.20,57276.00,JCO
2021-01-01 03:56:00,8749.28,2554.60,56546.00,57275.90,JCO
2021-01-01 03:57:00,8750.74,2555.66,56545.50,57275.70,JCO
2021-01-01 03:58:00,8749.49,2556.02,56545.60,57275.60,JCO
2021-01-01 03:59:00,8747.82,2553.54,56545.90,57275.50,JCO
2021-01-01 04:00:00,8747.20,2550.32,56546.10,57275.50,JCO
2021-01-01 04:01:00,8746.02,2549.01,56546.10,57275.20,JCO
2021-01-01 04:02:00,8745.12,2548.53,56546.40,57275.40,JCO
2021-01-01 04:03:00,8743.99,2549.55,56546.90,57275.70,JCO
2021-01-01 04:04:00,8742.68,2549.03,56547.70,57276.30,JCO
2021-01-01 04:05:00,8741.73,2548.34,56548.40,57276.80,JCO
2021-01-01 04:06:00,8742.05,2550.12,56548.10,57276.60,JCO
2021-01-01 04:07:00,8742.64,2548.08,56547.70,57276.30,JCO
2021-01-01 04:08:00,8746.97,2551.80,56546.60,57276.00,JCO
2021-01-01 04:09:00,8747.21,2554.19,56546.00,57275.60,JCO
