Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,29805.32,-4053.50,35870.60,46815.10,KAK
2021-01-01 00:01:00,29805.43,-4053.42,35870.60,46815.10,KAK
2021-01-01 00:02:00,29805.54,-4053.35,35870.70,46815.30,KAK
2021-01-01 00:03:00,29805.84,-4053.39,35870.70,46815.50,KAK
2021-01-01 00:04:00,29806.14,-4053.43,35871.00,46815.90,KAK
2021-01-01 00:05:00,29806.16,-4053.26,35871.10,46815.90,KAK
2021-01-01 00:06:00,29805.60,-4053.71,35870.90,46815.50,KAK
2021-01-01 00:07:00,29804.60,-4054.37,35870.30,46814.50,KAK
2021-01-01 00:08:00,29803.79,-4054.35,35869.70,46813.50,KAK
2021-01-01 00:09:00,29803.58,-4054.41,35869.30,46813.10,KAK
2021-01-01 00:10:00,29803.87,-4054.53,35869.30,46813.20,KAK
2021-01-01 00:11:00,29803.87,-4054.53,35869.50,46813.40,KAK
2021-01-01 00:12:00,29803.91,-4054.19,35869.20,46813.20,KAK
2021-01-01 00:13:00,29803.90,-4054.27,35869.20,46813.20,KAK
2021-01-01 00:14:00,29804.05,-4054.65,35869.30,46813.30,KAK
2021-01-01 00:15:00,29803.94,-4054.72,35869.30,46813.40,KAK
2021-01-01 00:16:00,29803.94,-4054.72,35869.40,46813.40,KAK
2021-01-01 00:17:00,29804.02,-4054.91,35869.60,46813.50,KAK
2021-01-01 00:18:00,29804.11,-4055.01,35869.30,46813.40,KAK
2021-01-01 00:19:00,29804.21,-4055.02,35869.70,46813.80,KAK
2021-01-01 00:20:00,29804.11,-4055.01,35869.80,46813.80,KAK
2021-01-01 00:21:00,29804.00,-4055.08,35869.60,46813.60,KAK
2021-01-01 00:22:00,29804.00,-4055.08,35869.20,46813.30,KAK
2021-01-01 00:23:00,29803.86,-4055.33,35869.20,46813.20,KAK
2021-01-01 00:24:00,29803.72,-4055.66,35869.50,46813.40,KAK
2021-01-01 00:25:00,29803.31,-4055.69,35869.40,46813.10,KAK
2021-01-01 00:26:00,29803.10,-4055.75,35869.20,46812.80,KAK
2021-01-01 00:27:00,29802.90,-4055.73,35869.10,46812.50,KAK
2021-01-01 00:28:00,29802.81,-4055.63,35868.80,46812.20,KAK
2021-01-01 00:29:00,29802.80,-4055.71,35869.10,46812.50,KAK
2021-01-01 00:30:00,29802.90,-4055.73,35869.10,46812.60,KAK
2021-01-01 00:31:00,29802.90,-4055.73,35869.10,46812.60,KAK
2021-01-01 00:32:00,29802.88,-4055.90,35869.40,46812.80,KAK
2021-01-01 00:33:00,29802.88,-4055.90,35869.20,46812.60,KAK
2021-01-01 00:34:00,29802.58,-4055.86,35869.00,46812.40,KAK
2021-01-01 00:35:00,29802.57,-4055.95,35869.00,46812.30,KAK
2021-01-01 00:36:00,29802.37,-4055.92,35869.00,46812.20,KAK
2021-01-01 00:37:00,29802.27,-4055.91,35869.00,46812.20,KAK
2021-01-01 00:38:00,29802.26,-4055.99,35868.80,46812.00,KAK
2021-01-01 00:39:00,29802.15,-4056.07,35868.90,46812.00,KAK
2021-01-01 00:40:00,29801.83,-4056.11,35868.90,46811.80,KAK
2021-01-01 00:41:00,29801.70,-4056.36,35868.80,46811.70,KAK
2021-01-01 00:42:00,29801.60,-4056.35,35868.80,46811.60,KAK
2021-01-01 00:43:00,29801.59,-4056.43,35868.50,46811.30,KAK
2021-01-01 00:44:00,29801.48,-4056.51,35868.60,46811.30,KAK
2021-01-01 00:45:00,29801.27,-4056.57,35868.60,46811.30,KAK
2021-01-01 00:46:00,29801.15,-4056.73,35868.50,46811.10,KAK
2021-01-01 00:47:00,29800.83,-4056.86,35868.50,46810.90,KAK
2021-01-01 00:48:00,29800.91,-4056.96,35868.20,46810.80,KAK
2021-01-01 00:49:00,29800.72,-4056.93,35868.20,46810.60,KAK
2021-01-01 00:50:00,29800.70,-4057.02,35868.30,46810.70,KAK
2021-01-01 00:51:00,29800.59,-4057.09,35868.40,46810.70,KAK
2021-01-01 00:52:00,29800.38,-4057.15,35868.30,46810.50,KAK
2021-01-01 00:53:00,29800.27,-4057.22,35868.00,46810.20,KAK
2021-01-01 00:54:00,29800.25,-4057.40,35867.90,46810.20,KAK
2021-01-01 00:55:00,29800.24,-4057.48,35868.00,46810.20,KAK
2021-01-01 00:56:00,29800.22,-4057.57,35868.10,46810.30,KAK
2021-01-01 00:57:00,29800.22,-4057.57,35867.90,46810.10,KAK
2021-01-01 00:58:00,29800.11,-4057.64,35867.90,46810.10,KAK
2021-01-01 00:59:00,29800.00,-4057.72,35867.80,46810.00,KAK
2021-01-01 01:00:00,29799.89,-4057.79,35867.80,46809.90,KAK
2021-01-01 01:01:00,29799.97,-4057.98,35867.70,46809.80,KAK
2021-01-01 01:02:00,29799.94,-4058.15,35867.70,46809.80,KAK
2021-01-01 01:03:00,29799.92,-4058.32,35867.70,46809.90,KAK
2021-01-01 01:04:00,29799.81,-4058.40,35867.80,46809.90,KAK
2021-01-01 01:05:00,29799.69,-4058.56,35867.90,46809.80,KAK
2021-01-01 01:06:00,29799.68,-4058.64,35867.60,46809.70,KAK
2021-01-01 01:07:00,29799.76,-4058.74,35867.50,46809.60,KAK
2021-01-01 01:08:00,29799.64,-4058.90,35867.60,46809.60,KAK
2021-01-01 01:09:00,29799.53,-4058.98,35867.70,46809.60,KAK
2021-01-01 01:10:00,29799.52,-4059.06,35867.60,46809.60,KAK
2021-01-01 01:11:00,29799.41,-4059.14,35867.60,46809.50,KAK
2021-01-01 01:12:00,29799.40,-4059.22,35867.40,46809.30,KAK
2021-01-01 01:13:00,29799.38,-4059.31,35867.40,46809.30,KAK
2021-01-01 01:14:00,29799.37,-4059.40,35867.50,46809.40,KAK
2021-01-01 01:15:00,29799.45,-4059.58,35867.50,46809.50,KAK
2021-01-01 01:16:00,29799.54,-4059.68,35867.70,46809.70,KAK
2021-01-01 01:17:00,29799.62,-4059.78,35867.60,46809.70,KAK
2021-01-01 01:18:00,29799.71,-4059.88,35867.60,46809.80,KAK
2021-01-01 01:19:00,29799.78,-4060.07,35867.60,46809.80,KAK
2021-01-01 01:20:00,29799.86,-4060.26,35867.80,46810.10,KAK
2021-01-01 01:21:00,29799.94,-4060.44,35867.80,46810.20,KAK
2021-01-01 01:22:00,29800.01,-4060.63,35867.60,46810.00,KAK
2021-01-01 01:23:00,29799.98,-4060.89,35867.70,46810.10,KAK
2021-01-01 01:24:00,29800.06,-4060.99,35867.80,46810.30,KAK
2021-01-01 01:25:00,29800.15,-4061.09,35867.80,46810.30,KAK
2021-01-01 01:26:00,29800.05,-4061.08,35867.70,46810.20,KAK
2021-01-01 01:27:00,29800.04,-4061.17,35867.60,46810.10,KAK
2021-01-01 01:28:00,29800.11,-4061.35,35867.50,46810.00,KAK
2021-01-01 01:29:00,29800.11,-4061.35,35867.40,46810.00,KAK
2021-01-01 01:30:00,29800.20,-4061.45,35867.30,46810.00,KAK
2021-01-01 01:31:00,29800.19,-4061.54,35867.30,46810.00,KAK
2021-01-01 01:32:00,29800.36,-4061.74,35867.40,46810.20,KAK
2021-01-01 01:33:00,29800.45,-4061.84,35867.20,46810.10,KAK
2021-01-01 01:34:00,29800.64,-4061.95,35866.90,46810.00,KAK
2021-01-01 01:35:00,29800.71,-4062.14,35867.20,46810.20,KAK
2021-01-01 01:36:00,29800.80,-4062.24,35867.10,46810.30,KAK
2021-01-01 01:37:00,29800.98,-4062.44,35867.10,46810.40,KAK
2021-01-01 01:38:00,29801.05,-4062.63,35867.20,46810.50,KAK
2021-01-01 01:39:00,29801.13,-4062.81,35867.10,46810.50,KAK
2021-01-01 01:40:00,29801.19,-4063.09,35867.00,46810.60,KAK
2021-01-01 01:41:00,29801.25,-4063.36,35867.30,46810.80,KAK
2021-01-01 01:42:00,29801.43,-4063.56,35867.20,46810.80,KAK
2021-01-01 01:43:00,29801.39,-4063.82,35867.00,46810.70,KAK
2021-01-01 01:44:00,29801.48,-4063.92,35866.80,46810.60,KAK
2021-01-01 01:45:00,29801.56,-4064.11,35867.00,46810.90,KAK
2021-01-01 01:46:00,29801.73,-4064.31,35866.60,46810.70,KAK
2021-01-01 01:47:00,29801.91,-4064.51,35866.70,46810.90,KAK
2021-01-01 01:48:00,29801.87,-4064.77,35866.80,46811.00,KAK
2021-01-01 01:49:00,29801.94,-4064.96,35866.50,46810.80,KAK
2021-01-01 01:50:00,29802.11,-4065.24,35866.60,46811.00,KAK
2021-01-01 01:51:00,29802.27,-4065.53,35866.90,46811.30,KAK
2021-01-01 01:52:00,29802.25,-4065.70,35866.60,46811.10,KAK
2021-01-01 01:53:00,29802.32,-4065.89,35866.50,46811.10,KAK
2021-01-01 01:54:00,29802.39,-4066.17,35866.30,46811.00,KAK
2021-01-01 01:55:00,29802.55,-4066.45,35866.40,46811.20,KAK
2021-01-01 01:56:00,29802.71,-4066.74,35866.50,46811.40,KAK
2021-01-01 01:57:00,29802.77,-4067.01,35866.30,46811.30,KAK
2021-01-01 01:58:00,29802.84,-4067.29,35866.40,46811.50,KAK
2021-01-01 01:59:00,29803.10,-4067.59,35866.40,46811.70,KAK
2021-01-01 02:00:00,29803.06,-4067.85,35866.70,46811.90,KAK
2021-01-01 02:01:00,29803.25,-4067.96,35866.70,46812.00,KAK
2021-01-01 02:02:00,29803.31,-4068.23,35866.50,46811.90,KAK
2021-01-01 02:03:00,29803.48,-4068.52,35866.60,46812.20,KAK
2021-01-01 02:04:00,29803.75,-4068.74,35866.60,46812.30,KAK
2021-01-01 02:05:00,29803.71,-4069.00,35866.80,46812.50,KAK
2021-01-01 02:06:00,29803.98,-4069.30,35867.10,46812.90,KAK
2021-01-01 02:07:00,29804.26,-4069.42,35866.90,46812.90,KAK
2021-01-01 02:08:00,29804.34,-4069.61,35866.90,46813.00,KAK
2021-01-01 02:09:00,29804.40,-4069.88,35867.10,46813.20,KAK
2021-01-01 02:10:00,29804.56,-4070.17,35867.10,46813.40,KAK
2021-01-01 02:11:00,29804.63,-4070.45,35867.20,46813.60,KAK
2021-01-01 02:12:00,29804.79,-4070.73,35867.40,46813.80,KAK
2021-01-01 02:13:00,29804.85,-4071.01,35867.40,46813.90,KAK
2021-01-01 02:14:00,29805.03,-4071.21,35867.40,46814.00,KAK
2021-01-01 02:15:00,29805.19,-4071.49,35867.60,46814.30,KAK
2021-01-01 02:16:00,29805.25,-4071.77,35867.80,46814.50,KAK
2021-01-01 02:17:00,29805.42,-4072.05,35867.90,46814.70,KAK
2021-01-01 02:18:00,29805.39,-4072.23,35867.80,46814.60,KAK
2021-01-01 02:19:00,29805.46,-4072.50,35868.00,46814.90,KAK
2021-01-01 02:20:00,29805.62,-4072.79,35868.10,46815.00,KAK
2021-01-01 02:21:00,29805.79,-4072.99,35868.20,46815.20,KAK
2021-01-01 02:22:00,29806.08,-4073.12,35868.30,46815.60,KAK
2021-01-01 02:23:00,29806.25,-4073.32,35868.50,46815.80,KAK
2021-01-01 02:24:00,29806.33,-4073.50,35868.70,46816.10,KAK
2021-01-01 02:25:00,29806.50,-4073.70,35868.70,46816.10,KAK
2021-01-01 02:26:00,29806.37,-4073.95,35868.90,46816.20,KAK
2021-01-01 02:27:00,29806.44,-4074.14,35869.10,46816.40,KAK
2021-01-01 02:28:00,29806.41,-4074.40,35869.10,46816.40,KAK
2021-01-01 02:29:00,29806.47,-4074.67,35869.20,46816.60,KAK
