Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,35458.15,1674.01,-29601.94,46220.58,KDU
2021-01-01 00:01:00,35458.54,1673.88,-29601.91,46220.87,KDU
2021-01-01 00:02:00,35458.93,1673.90,-29601.91,46221.20,KDU
2021-01-01 00:03:00,35459.29,1673.60,-29601.97,46221.53,KDU
2021-01-01 00:04:00,35459.66,1673.18,-29602.05,46221.83,KDU
2021-01-01 00:05:00,35459.71,1672.91,-29602.10,46221.88,KDU
2021-01-01 00:06:00,35459.25,1672.54,-29601.94,46221.39,KDU
2021-01-01 00:07:00,35458.82,1672.45,-29601.67,46220.92,KDU
2021-01-01 00:08:00,99999.00,99999.00,99999.00,46220.67,KDU
2021-01-01 00:09:00,99999.00,99999.00,99999.00,46220.61,KDU
2021-01-01 00:10:00,35459.16,1673.01,-29600.77,46220.64,KDU
2021-01-01 00:11:00,35459.29,1673.32,-29600.62,46220.67,KDU
2021-01-01 00:12:00,35459.45,1673.44,-29600.38,46220.69,KDU
2021-01-01 00:13:00,35459.49,1673.45,-29600.29,46220.61,KDU
2021-01-01 00:14:00,35459.68,1673.46,-29600.16,46220.70,KDU
2021-01-01 00:15:00,35460.01,1673.23,-29600.19,46220.96,KDU
2021-01-01 00:16:00,35460.11,1673.22,-29600.12,46221.05,KDU
2021-01-01 00:17:00,35460.30,1673.24,-29600.01,46221.11,KDU
2021-01-01 00:18:00,35460.50,1673.27,-29599.88,46221.13,KDU
2021-01-01 00:19:00,35460.54,1673.49,-29599.64,46221.07,KDU
2021-01-01 00:20:00,35460.70,1673.59,-29599.48,46221.06,KDU
2021-01-01 00:21:00,35460.69,1673.72,-29599.35,46220.98,KDU
2021-01-01 00:22:00,35460.71,1673.87,-29599.13,46220.85,KDU
2021-01-01 00:23:00,35460.74,1673.86,-29598.92,46220.77,KDU
2021-01-01 00:24:00,35460.86,1673.84,-29598.81,46220.75,KDU
2021-01-01 00:25:00,35460.98,1673.65,-29598.73,46220.76,KDU
2021-01-01 00:26:00,35461.26,1673.54,-29598.69,46220.87,KDU
2021-01-01 00:27:00,35461.39,1673.65,-29598.53,46220.87,KDU
2021-01-01 00:28:00,35461.56,1673.84,-29598.31,46220.88,KDU
2021-01-01 00:29:00,35461.65,1674.07,-29598.10,46220.84,KDU
2021-01-01 00:30:00,35461.85,1674.19,-29597.95,46220.88,KDU
2021-01-01 00:31:00,35461.94,1674.31,-29597.78,46220.88,KDU
2021-01-01 00:32:00,35462.01,1674.34,-29597.67,46220.86,KDU
2021-01-01 00:33:00,35462.14,1674.46,-29597.52,46220.90,KDU
2021-01-01 00:34:00,35462.18,1674.49,-29597.43,46220.86,KDU
2021-01-01 00:35:00,35462.30,1674.57,-29597.29,46220.87,KDU
2021-01-01 00:36:00,35462.44,1674.68,-29597.09,46220.86,KDU
2021-01-01 00:37:00,35462.58,1674.68,-29596.93,46220.90,KDU
2021-01-01 00:38:00,35462.77,1674.72,-29596.83,46220.97,KDU
2021-01-01 00:39:00,35462.85,1674.80,-29596.79,46220.99,KDU
2021-01-01 00:40:00,35462.77,1674.98,-29596.66,46220.86,KDU
2021-01-01 00:41:00,35462.72,1675.28,-29596.49,46220.72,KDU
