Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,15283.13,-1891.25,-22904.10,27599.80,KEP
2021-01-01 00:01:00,15283.38,-1890.87,-22904.10,27599.90,KEP
2021-01-01 00:02:00,15283.81,-1890.61,-22904.10,27600.10,KEP
2021-01-01 00:03:00,15284.17,-1890.16,-22904.00,27600.20,KEP
2021-01-01 00:04:00,15284.50,-1889.88,-22904.00,27600.40,KEP
2021-01-01 00:05:00,15284.93,-1889.66,-22903.90,27600.50,KEP
2021-01-01 00:06:00,15285.32,-1889.80,-22903.80,27600.60,KEP
2021-01-01 00:07:00,15285.29,-1890.07,-22903.70,27600.60,KEP
2021-01-01 00:08:00,15285.26,-1890.29,-22903.80,27600.60,KEP
2021-01-01 00:09:00,15285.01,-1890.67,-22903.70,27600.50,KEP
2021-01-01 00:10:00,15284.37,-1890.99,-22903.90,27600.30,KEP
2021-01-01 00:11:00,15283.82,-1891.33,-22904.00,27600.10,KEP
2021-01-01 00:12:00,15283.81,-1891.42,-22904.00,27600.10,KEP
2021-01-01 00:13:00,15283.85,-1891.11,-22904.10,27600.20,KEP
2021-01-01 00:14:00,15283.97,-1890.94,-22904.10,27600.20,KEP
2021-01-01 00:15:00,15284.20,-1890.75,-22904.00,27600.30,KEP
2021-01-01 00:16:00,15284.31,-1890.67,-22904.00,27600.30,KEP
2021-01-01 00:17:00,15284.54,-1890.38,-22904.00,27600.40,KEP
2021-01-01 00:18:00,15284.52,-1890.60,-22903.90,27600.30,KEP
2021-01-01 00:19:00,15284.34,-1890.36,-22904.10,27600.40,KEP
2021-01-01 00:20:00,15284.34,-1890.36,-22904.10,27600.40,KEP
2021-01-01 00:21:00,15284.44,-1890.37,-22904.00,27600.40,KEP
2021-01-01 00:22:00,15284.46,-1890.28,-22904.10,27600.40,KEP
2021-01-01 00:23:00,15284.58,-1890.12,-22904.10,27600.50,KEP
2021-01-01 00:24:00,15284.80,-1889.92,-22904.10,27600.60,KEP
2021-01-01 00:25:00,15285.01,-1889.85,-22904.10,27600.70,KEP
2021-01-01 00:26:00,15285.55,-1889.60,-22904.00,27600.90,KEP
2021-01-01 00:27:00,15285.73,-1889.76,-22903.90,27601.00,KEP
2021-01-01 00:28:00,15285.52,-1889.83,-22903.90,27600.80,KEP
2021-01-01 00:29:00,15285.30,-1889.98,-22904.00,27600.80,KEP
2021-01-01 00:30:00,15285.20,-1889.97,-22904.00,27600.80,KEP
2021-01-01 00:31:00,15285.10,-1889.95,-22904.10,27600.80,KEP
2021-01-01 00:32:00,15285.20,-1889.97,-22904.10,27600.80,KEP
2021-01-01 00:33:00,15285.30,-1889.98,-22904.10,27600.90,KEP
2021-01-01 00:34:00,15285.40,-1889.99,-22904.00,27600.90,KEP
2021-01-01 00:35:00,15285.40,-1889.99,-22904.00,27600.90,KEP
2021-01-01 00:36:00,15285.19,-1890.06,-22904.00,27600.80,KEP
2021-01-01 00:37:00,15285.37,-1890.21,-22904.00,27600.90,KEP
2021-01-01 00:38:00,15285.40,-1889.99,-22904.00,27600.90,KEP
