Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,23301.00,-5403.96,49359.21,99999.00,KHB
2021-01-01 00:01:00,23300.94,-5403.86,49359.24,54849.49,KHB
2021-01-01 00:02:00,23301.24,-5403.33,49359.16,54849.60,KHB
2021-01-01 00:03:00,23301.42,-5403.37,49359.11,54849.61,KHB
2021-01-01 00:04:00,23301.84,-5403.00,49359.13,54849.70,KHB
2021-01-01 00:05:00,23301.71,-5402.75,49359.18,54849.69,KHB
2021-01-01 00:06:00,23301.16,-5403.82,49359.02,54849.40,KHB
2021-01-01 00:07:00,23299.56,-5404.91,49358.94,54848.83,KHB
2021-01-01 00:08:00,23298.18,-5404.76,49358.96,54848.21,KHB
2021-01-01 00:09:00,23298.19,-5404.81,49359.00,54848.19,KHB
2021-01-01 00:10:00,23298.81,-5404.82,49358.94,54848.42,KHB
2021-01-01 00:11:00,23298.80,-5404.48,49358.96,54848.45,KHB
2021-01-01 00:12:00,23298.86,-5404.02,49358.87,54848.36,KHB
2021-01-01 00:13:00,23298.88,-5404.07,49358.94,54848.39,KHB
2021-01-01 00:14:00,23299.28,-5404.54,49358.86,54848.54,KHB
2021-01-01 00:15:00,23299.07,-5404.33,49358.79,54848.44,KHB
2021-01-01 00:16:00,23298.99,-5404.39,49358.87,54848.52,KHB
2021-01-01 00:17:00,23299.22,-5404.70,49358.82,54848.63,KHB
2021-01-01 00:18:00,23299.36,-5404.56,49358.82,54848.63,KHB
2021-01-01 00:19:00,23299.56,-5404.18,49358.83,54848.53,KHB
2021-01-01 00:20:00,23299.38,-5404.57,49358.87,54848.66,KHB
2021-01-01 00:21:00,23299.53,-5404.73,49358.81,54848.64,KHB
2021-01-01 00:22:00,23299.55,-5404.48,49358.72,54848.57,KHB
2021-01-01 00:23:00,23299.59,-5405.13,49358.66,54848.60,KHB
2021-01-01 00:24:00,23299.31,-5405.37,49358.66,54848.54,KHB
2021-01-01 00:25:00,23298.84,-5404.96,49358.61,54848.19,KHB
2021-01-01 00:26:00,23298.27,-5405.17,49358.66,54847.99,KHB
2021-01-01 00:27:00,23297.97,-5405.06,49358.67,54847.86,KHB
2021-01-01 00:28:00,23298.05,-5404.77,49358.69,54847.89,KHB
2021-01-01 00:29:00,23298.13,-5404.88,49358.68,54847.90,KHB
2021-01-01 00:30:00,23298.32,-5404.41,49358.63,54847.91,KHB
2021-01-01 00:31:00,23298.58,-5404.94,49358.51,54847.99,KHB
2021-01-01 00:32:00,23298.64,-5405.08,49358.49,54848.02,KHB
2021-01-01 00:33:00,23298.50,-5404.79,49358.51,54847.92,KHB
2021-01-01 00:34:00,23298.24,-5404.82,49358.45,54847.81,KHB
2021-01-01 00:35:00,23298.20,-5404.94,49358.42,54847.73,KHB
2021-01-01 00:36:00,23297.99,-5404.89,49358.41,54847.70,KHB
2021-01-01 00:37:00,23297.90,-5404.87,49358.45,54847.56,KHB
2021-01-01 00:38:00,23298.06,-5404.91,49358.35,54847.61,KHB
2021-01-01 00:39:00,23297.74,-5404.87,49358.35,54847.47,KHB
2021-01-01 00:40:00,23297.46,-5404.94,49358.25,54847.33,KHB
2021-01-01 00:41:00,23297.64,-5405.24,49358.31,54847.41,KHB
2021-01-01 00:42:00,23297.58,-5405.44,49358.28,54847.36,KHB
2021-01-01 00:43:00,23297.69,-5405.33,49358.24,54847.36,KHB
2021-01-01 00:44:00,23297.45,-5405.45,49358.24,54847.31,KHB
2021-01-01 00:45:00,23297.42,-5405.40,49358.15,54847.20,KHB
2021-01-01 00:46:00,23297.03,-5405.70,49358.18,54847.06,KHB
2021-01-01 00:47:00,23296.74,-5405.88,49358.11,54846.91,KHB
2021-01-01 00:48:00,23296.91,-5406.01,49358.08,54847.02,KHB
2021-01-01 00:49:00,23296.76,-5406.06,49358.02,54846.89,KHB
2021-01-01 00:50:00,23296.83,-5405.78,49358.03,54846.88,KHB
2021-01-01 00:51:00,23296.69,-5405.87,49358.00,54846.79,KHB
2021-01-01 00:52:00,23296.51,-5406.00,49357.94,54846.69,KHB
2021-01-01 00:53:00,23296.32,-5406.26,49357.89,54846.61,KHB
2021-01-01 00:54:00,23296.35,-5406.14,49357.89,54846.57,KHB
2021-01-01 00:55:00,23296.20,-5406.32,49357.89,54846.57,KHB
2021-01-01 00:56:00,23296.38,-5406.40,49357.86,54846.54,KHB
2021-01-01 00:57:00,23296.22,-5406.49,49357.80,54846.50,KHB
2021-01-01 00:58:00,23296.26,-5406.33,49357.79,54846.45,KHB
2021-01-01 00:59:00,23296.02,-5406.79,49357.75,54846.41,KHB
2021-01-01 01:00:00,23296.14,-5406.56,49357.66,54846.35,KHB
2021-01-01 01:01:00,23296.05,-5406.92,49357.65,54846.32,KHB
2021-01-01 01:02:00,23296.23,-5406.92,49357.59,54846.34,KHB
2021-01-01 01:03:00,23295.91,-5407.06,49357.65,54846.30,KHB
2021-01-01 01:04:00,23295.97,-5407.12,49357.59,54846.27,KHB
2021-01-01 01:05:00,23295.86,-5407.22,49357.63,54846.24,KHB
2021-01-01 01:06:00,23295.82,-5407.77,49357.59,54846.27,KHB
2021-01-01 01:07:00,23295.83,-5407.73,49357.59,54846.25,KHB
2021-01-01 01:08:00,23295.69,-5407.74,49357.54,54846.22,KHB
2021-01-01 01:09:00,23295.67,-5407.91,49357.56,54846.17,KHB
2021-01-01 01:10:00,23295.40,-5407.84,49357.65,54846.13,KHB
2021-01-01 01:11:00,23295.55,-5407.92,49357.56,54846.13,KHB
2021-01-01 01:12:00,23295.19,-5407.88,49357.70,54846.06,KHB
2021-01-01 01:13:00,23295.33,-5407.96,49357.56,54846.05,KHB
2021-01-01 01:14:00,23295.21,-5408.06,49357.60,54846.06,KHB
2021-01-01 01:15:00,23295.10,-5408.16,49357.65,54846.03,KHB
2021-01-01 01:16:00,23295.12,-5408.42,49357.59,54846.04,KHB
2021-01-01 01:17:00,23295.11,-5408.46,49357.57,54846.02,KHB
