Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,10627.56,-3308.01,-24260.50,26694.50,KMH
2021-01-01 00:01:00,10627.60,-3307.89,-24260.50,26694.50,KMH
2021-01-01 00:02:00,10627.83,-3307.83,-24260.50,26694.60,KMH
2021-01-01 00:03:00,10627.88,-3307.67,-24260.50,26694.50,KMH
2021-01-01 00:04:00,10628.13,-3307.55,-24260.50,26694.60,KMH
2021-01-01 00:05:00,10628.23,-3307.54,-24260.50,26694.60,KMH
2021-01-01 00:06:00,10628.58,-3307.79,-24260.50,26694.70,KMH
2021-01-01 00:07:00,10628.42,-3307.60,-24260.50,26694.70,KMH
2021-01-01 00:08:00,10628.45,-3307.51,-24260.50,26694.70,KMH
2021-01-01 00:09:00,10628.48,-3307.42,-24260.40,26694.60,KMH
2021-01-01 00:10:00,10628.28,-3307.39,-24260.40,26694.50,KMH
2021-01-01 00:11:00,10627.97,-3307.36,-24260.30,26694.40,KMH
2021-01-01 00:12:00,10627.96,-3307.39,-24260.30,26694.40,KMH
2021-01-01 00:13:00,10627.97,-3307.36,-24260.40,26694.30,KMH
2021-01-01 00:14:00,10627.98,-3307.33,-24260.40,26694.30,KMH
2021-01-01 00:15:00,10628.04,-3307.15,-24260.40,26694.40,KMH
2021-01-01 00:16:00,10628.02,-3307.21,-24260.40,26694.40,KMH
2021-01-01 00:17:00,10628.03,-3307.18,-24260.30,26694.30,KMH
2021-01-01 00:18:00,10628.01,-3307.24,-24260.30,26694.40,KMH
2021-01-01 00:19:00,10627.94,-3307.49,-24260.30,26694.40,KMH
2021-01-01 00:20:00,10628.08,-3307.70,-24260.40,26694.40,KMH
2021-01-01 00:21:00,10628.04,-3307.82,-24260.40,26694.50,KMH
2021-01-01 00:22:00,10627.99,-3307.98,-24260.50,26694.60,KMH
2021-01-01 00:23:00,10628.06,-3308.10,-24260.50,26694.60,KMH
2021-01-01 00:24:00,10628.24,-3308.19,-24260.50,26694.70,KMH
2021-01-01 00:25:00,10628.25,-3308.16,-24260.50,26694.80,KMH
2021-01-01 00:26:00,10628.28,-3308.07,-24260.50,26694.80,KMH
2021-01-01 00:27:00,10628.48,-3308.10,-24260.50,26694.80,KMH
2021-01-01 00:28:00,10628.46,-3308.16,-24260.50,26694.80,KMH
2021-01-01 00:29:00,10628.54,-3308.25,-24260.50,26694.80,KMH
2021-01-01 00:30:00,10628.54,-3308.25,-24260.50,26694.90,KMH
2021-01-01 00:31:00,10628.52,-3308.31,-24260.50,26694.90,KMH
2021-01-01 00:32:00,10628.51,-3308.34,-24260.50,26694.90,KMH
2021-01-01 00:33:00,10628.69,-3308.43,-24260.50,26695.00,KMH
2021-01-01 00:34:00,10628.66,-3308.53,-24260.50,26695.00,KMH
2021-01-01 00:35:00,10628.64,-3308.59,-24260.50,26695.00,KMH
2021-01-01 00:36:00,10628.63,-3308.62,-24260.50,26695.00,KMH
2021-01-01 00:37:00,10628.63,-3308.62,-24260.50,26695.00,KMH
2021-01-01 00:38:00,10628.83,-3308.65,-24260.50,26695.10,KMH
2021-01-01 00:39:00,10628.83,-3308.65,-24260.50,26695.00,KMH
2021-01-01 00:40:00,10628.63,-3308.62,-24260.50,26695.00,KMH
2021-01-01 00:41:00,10628.42,-3308.62,-24260.50,26694.80,KMH
2021-01-01 00:42:00,10628.32,-3308.62,-24260.50,26694.80,KMH
2021-01-01 00:43:00,10628.26,-3308.81,-24260.50,26694.90,KMH
2021-01-01 00:44:00,10628.34,-3308.87,-24260.60,26694.90,KMH
2021-01-01 00:45:00,10628.35,-3308.84,-24260.60,26695.00,KMH
2021-01-01 00:46:00,10628.33,-3308.90,-24260.60,26695.00,KMH
2021-01-01 00:47:00,10628.34,-3308.87,-24260.60,26694.90,KMH
2021-01-01 00:48:00,10628.26,-3308.81,-24260.60,26694.90,KMH
2021-01-01 00:49:00,10628.32,-3308.93,-24260.60,26694.90,KMH
2021-01-01 00:50:00,10628.32,-3308.93,-24260.60,26695.00,KMH
2021-01-01 00:51:00,10628.31,-3308.96,-24260.60,26695.10,KMH
2021-01-01 00:52:00,10628.52,-3308.99,-24260.60,26695.10,KMH
2021-01-01 00:53:00,10628.53,-3308.93,-24260.60,26695.10,KMH
2021-01-01 00:54:00,10628.74,-3308.96,-24260.60,26695.10,KMH
2021-01-01 00:55:00,10628.75,-3308.89,-24260.60,26695.20,KMH
2021-01-01 00:56:00,10628.88,-3308.83,-24260.50,26695.10,KMH
2021-01-01 00:57:00,10628.89,-3308.80,-24260.60,26695.10,KMH
2021-01-01 00:58:00,10629.08,-3308.86,-24260.50,26695.20,KMH
2021-01-01 00:59:00,10629.09,-3308.83,-24260.50,26695.20,KMH
2021-01-01 01:00:00,10629.09,-3308.83,-24260.50,26695.20,KMH
2021-01-01 01:01:00,10629.09,-3308.83,-24260.50,26695.20,KMH
2021-01-01 01:02:00,10629.30,-3308.83,-24260.50,26695.20,KMH
2021-01-01 01:03:00,10629.35,-3308.67,-24260.50,26695.20,KMH
2021-01-01 01:04:00,10629.45,-3308.67,-24260.50,26695.20,KMH
2021-01-01 01:05:00,10629.44,-3308.70,-24260.50,26695.20,KMH
2021-01-01 01:06:00,10629.46,-3308.64,-24260.50,26695.20,KMH
2021-01-01 01:07:00,10629.47,-3308.61,-24260.50,26695.30,KMH
2021-01-01 01:08:00,10629.49,-3308.55,-24260.50,26695.30,KMH
2021-01-01 01:09:00,10629.68,-3308.61,-24260.50,26695.20,KMH
2021-01-01 01:10:00,10629.68,-3308.61,-24260.50,26695.30,KMH
2021-01-01 01:11:00,10629.68,-3308.61,-24260.50,26695.20,KMH
2021-01-01 01:12:00,10629.68,-3308.61,-24260.50,26695.30,KMH
2021-01-01 01:13:00,10629.68,-3308.61,-24260.40,26695.20,KMH
2021-01-01 01:14:00,10629.66,-3308.67,-24260.50,26695.20,KMH
2021-01-01 01:15:00,10629.66,-3308.67,-24260.50,26695.30,KMH
2021-01-01 01:16:00,10629.95,-3308.76,-24260.40,26695.40,KMH
2021-01-01 01:17:00,10629.97,-3308.70,-24260.40,26695.40,KMH
2021-01-01 01:18:00,10630.00,-3308.60,-24260.40,26695.40,KMH
2021-01-01 01:19:00,10629.99,-3308.63,-24260.40,26695.40,KMH
2021-01-01 01:20:00,10630.20,-3308.63,-24260.40,26695.50,KMH
2021-01-01 01:21:00,10630.19,-3308.66,-24260.40,26695.40,KMH
2021-01-01 01:22:00,10630.20,-3308.63,-24260.40,26695.40,KMH
2021-01-01 01:23:00,10630.00,-3308.60,-24260.40,26695.40,KMH
2021-01-01 01:24:00,10630.19,-3308.66,-24260.40,26695.40,KMH
2021-01-01 01:25:00,10629.97,-3308.70,-24260.40,26695.40,KMH
2021-01-01 01:26:00,10629.97,-3308.70,-24260.40,26695.40,KMH
2021-01-01 01:27:00,10629.97,-3308.70,-24260.40,26695.30,KMH
2021-01-01 01:28:00,10629.86,-3308.70,-24260.40,26695.30,KMH
2021-01-01 01:29:00,10629.85,-3308.73,-24260.40,26695.30,KMH
2021-01-01 01:30:00,10629.83,-3308.79,-24260.40,26695.30,KMH
2021-01-01 01:31:00,10629.94,-3308.79,-24260.40,26695.40,KMH
2021-01-01 01:32:00,10629.92,-3308.85,-24260.40,26695.40,KMH
2021-01-01 01:33:00,10630.11,-3308.91,-24260.40,26695.40,KMH
2021-01-01 01:34:00,10630.09,-3308.97,-24260.40,26695.40,KMH
2021-01-01 01:35:00,10630.06,-3309.06,-24260.50,26695.50,KMH
2021-01-01 01:36:00,10630.04,-3309.13,-24260.50,26695.60,KMH
2021-01-01 01:37:00,10630.06,-3309.06,-24260.50,26695.50,KMH
2021-01-01 01:38:00,10630.06,-3309.06,-24260.40,26695.60,KMH
2021-01-01 01:39:00,10630.07,-3309.03,-24260.40,26695.50,KMH
2021-01-01 01:40:00,10629.88,-3308.97,-24260.40,26695.50,KMH
2021-01-01 01:41:00,10629.86,-3309.04,-24260.40,26695.40,KMH
2021-01-01 01:42:00,10629.86,-3309.04,-24260.40,26695.40,KMH
2021-01-01 01:43:00,10629.85,-3309.07,-24260.40,26695.40,KMH
2021-01-01 01:44:00,10629.84,-3309.10,-24260.40,26695.40,KMH
2021-01-01 01:45:00,10629.84,-3309.10,-24260.40,26695.40,KMH
2021-01-01 01:46:00,10629.83,-3309.13,-24260.40,26695.50,KMH
2021-01-01 01:47:00,10629.81,-3309.19,-24260.50,26695.40,KMH
2021-01-01 01:48:00,10629.79,-3309.28,-24260.50,26695.40,KMH
2021-01-01 01:49:00,10629.66,-3309.35,-24260.50,26695.30,KMH
2021-01-01 01:50:00,10629.63,-3309.44,-24260.50,26695.40,KMH
2021-01-01 01:51:00,10629.73,-3309.47,-24260.50,26695.50,KMH
2021-01-01 01:52:00,10629.65,-3309.38,-24260.50,26695.50,KMH
2021-01-01 01:53:00,10629.63,-3309.44,-24260.50,26695.40,KMH
2021-01-01 01:54:00,10629.63,-3309.44,-24260.50,26695.50,KMH
2021-01-01 01:55:00,10629.63,-3309.44,-24260.50,26695.40,KMH
2021-01-01 01:56:00,10629.62,-3309.47,-24260.50,26695.50,KMH
2021-01-01 01:57:00,10629.42,-3309.44,-24260.50,26695.40,KMH
2021-01-01 01:58:00,10629.39,-3309.53,-24260.50,26695.40,KMH
2021-01-01 01:59:00,10629.36,-3309.63,-24260.50,26695.40,KMH
2021-01-01 02:00:00,10629.33,-3309.75,-24260.50,26695.50,KMH
2021-01-01 02:01:00,10629.53,-3309.78,-24260.60,26695.50,KMH
2021-01-01 02:02:00,10629.53,-3309.78,-24260.60,26695.60,KMH
2021-01-01 02:03:00,10629.54,-3309.75,-24260.60,26695.60,KMH
