Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,32533.14,-3966.90,33365.40,46771.80,KNY
2021-01-01 00:01:00,32533.27,-3966.63,33365.30,46771.90,KNY
2021-01-01 00:02:00,32533.60,-3966.38,33365.30,46772.00,KNY
2021-01-01 00:03:00,32533.81,-3966.31,33365.30,46772.20,KNY
2021-01-01 00:04:00,32534.13,-3966.16,33365.40,46772.40,KNY
2021-01-01 00:05:00,32534.16,-3965.97,33365.40,46772.50,KNY
2021-01-01 00:06:00,32533.73,-3966.20,33365.20,46772.00,KNY
2021-01-01 00:07:00,32532.65,-3966.74,33364.70,46771.00,KNY
2021-01-01 00:08:00,32531.86,-3966.65,33364.20,46770.10,KNY
2021-01-01 00:09:00,32531.78,-3966.45,33363.90,46769.80,KNY
2021-01-01 00:10:00,32532.08,-3966.48,33363.80,46769.90,KNY
2021-01-01 00:11:00,32532.10,-3966.29,33363.70,46769.80,KNY
2021-01-01 00:12:00,32532.05,-3965.90,33363.60,46769.70,KNY
2021-01-01 00:13:00,32532.16,-3965.82,33363.60,46769.70,KNY
2021-01-01 00:14:00,32532.33,-3966.03,33363.50,46769.80,KNY
2021-01-01 00:15:00,32532.25,-3965.93,33363.50,46769.80,KNY
2021-01-01 00:16:00,32532.25,-3965.93,33363.40,46769.70,KNY
2021-01-01 00:17:00,32532.33,-3966.03,33363.40,46769.80,KNY
2021-01-01 00:18:00,32532.42,-3966.14,33363.30,46769.70,KNY
2021-01-01 00:19:00,32532.54,-3965.96,33363.30,46769.80,KNY
2021-01-01 00:20:00,32532.54,-3965.96,33363.30,46769.80,KNY
2021-01-01 00:21:00,32532.54,-3965.96,33363.10,46769.70,KNY
2021-01-01 00:22:00,32532.43,-3966.05,33363.10,46769.70,KNY
2021-01-01 00:23:00,32532.51,-3966.25,33363.00,46769.60,KNY
2021-01-01 00:24:00,32532.38,-3966.52,33362.90,46769.50,KNY
2021-01-01 00:25:00,32532.07,-3966.58,33362.70,46769.10,KNY
2021-01-01 00:26:00,32531.87,-3966.55,33362.50,46768.90,KNY
2021-01-01 00:27:00,32531.68,-3966.43,33362.40,46768.70,KNY
2021-01-01 00:28:00,32531.68,-3966.43,33362.30,46768.60,KNY
2021-01-01 00:29:00,32531.80,-3966.26,33362.30,46768.60,KNY
2021-01-01 00:30:00,32531.91,-3966.27,33362.20,46768.60,KNY
2021-01-01 00:31:00,32532.00,-3966.28,33362.20,46768.70,KNY
2021-01-01 00:32:00,32532.10,-3966.29,33362.20,46768.70,KNY
2021-01-01 00:33:00,32532.00,-3966.28,33362.10,46768.60,KNY
2021-01-01 00:34:00,32531.92,-3966.17,33362.00,46768.50,KNY
2021-01-01 00:35:00,32531.82,-3966.16,33361.90,46768.40,KNY
2021-01-01 00:36:00,32531.82,-3966.16,33361.80,46768.30,KNY
2021-01-01 00:37:00,32531.73,-3966.06,33361.70,46768.10,KNY
2021-01-01 00:38:00,32531.82,-3966.16,33361.70,46768.20,KNY
2021-01-01 00:39:00,32531.73,-3966.06,33361.50,46768.00,KNY
2021-01-01 00:40:00,32531.43,-3966.02,33361.40,46767.70,KNY
2021-01-01 00:41:00,32531.31,-3966.20,33361.20,46767.50,KNY
2021-01-01 00:42:00,32531.30,-3966.29,33361.00,46767.40,KNY
2021-01-01 00:43:00,32531.30,-3966.29,33360.90,46767.30,KNY
2021-01-01 00:44:00,32531.19,-3966.37,33360.80,46767.10,KNY
2021-01-01 00:45:00,32531.08,-3966.46,33360.60,46767.00,KNY
2021-01-01 00:46:00,32530.96,-3966.54,33360.40,46766.70,KNY
2021-01-01 00:47:00,32530.64,-3966.69,33360.20,46766.40,KNY
2021-01-01 00:48:00,32530.71,-3966.99,33360.00,46766.30,KNY
2021-01-01 00:49:00,32530.52,-3966.87,33359.90,46766.10,KNY
2021-01-01 00:50:00,32530.50,-3967.06,33359.80,46766.00,KNY
2021-01-01 00:51:00,32530.40,-3967.05,33359.60,46765.80,KNY
2021-01-01 00:52:00,32530.29,-3967.13,33359.50,46765.60,KNY
2021-01-01 00:53:00,32530.16,-3967.31,33359.30,46765.40,KNY
2021-01-01 00:54:00,32530.14,-3967.49,33359.20,46765.30,KNY
2021-01-01 00:55:00,32530.03,-3967.58,33359.10,46765.20,KNY
2021-01-01 00:56:00,32530.02,-3967.67,33359.00,46765.10,KNY
2021-01-01 00:57:00,32529.91,-3967.75,33358.90,46765.00,KNY
2021-01-01 00:58:00,32529.89,-3967.94,33358.80,46764.90,KNY
2021-01-01 00:59:00,32529.68,-3968.01,33358.70,46764.70,KNY
2021-01-01 01:00:00,32529.65,-3968.20,33358.50,46764.60,KNY
2021-01-01 01:01:00,32529.53,-3968.38,33358.50,46764.50,KNY
2021-01-01 01:02:00,32529.41,-3968.56,33358.40,46764.40,KNY
2021-01-01 01:03:00,32529.28,-3968.83,33358.30,46764.20,KNY
2021-01-01 01:04:00,32529.15,-3969.01,33358.20,46764.10,KNY
2021-01-01 01:05:00,32529.03,-3969.18,33358.10,46764.00,KNY
2021-01-01 01:06:00,32528.90,-3969.46,33358.00,46763.90,KNY
2021-01-01 01:07:00,32528.77,-3969.63,33358.00,46763.70,KNY
2021-01-01 01:08:00,32528.56,-3969.70,33357.90,46763.60,KNY
2021-01-01 01:09:00,32528.44,-3969.88,33357.90,46763.40,KNY
2021-01-01 01:10:00,32528.22,-3970.05,33357.80,46763.20,KNY
2021-01-01 01:11:00,32528.11,-3970.13,33357.70,46763.10,KNY
2021-01-01 01:12:00,32527.99,-3970.30,33357.60,46763.00,KNY
2021-01-01 01:13:00,32527.77,-3970.38,33357.50,46762.80,KNY
2021-01-01 01:14:00,32527.66,-3970.55,33357.50,46762.80,KNY
2021-01-01 01:15:00,32527.63,-3970.74,33357.50,46762.70,KNY
2021-01-01 01:16:00,32527.61,-3970.93,33357.50,46762.70,KNY
2021-01-01 01:17:00,32527.59,-3971.12,33357.50,46762.70,KNY
2021-01-01 01:18:00,32527.66,-3971.32,33357.50,46762.70,KNY
2021-01-01 01:19:00,32527.64,-3971.51,33357.50,46762.70,KNY
2021-01-01 01:20:00,32527.60,-3971.79,33357.40,46762.70,KNY
2021-01-01 01:21:00,32527.58,-3971.98,33357.40,46762.80,KNY
2021-01-01 01:22:00,32527.45,-3972.26,33357.40,46762.60,KNY
2021-01-01 01:23:00,32527.32,-3972.43,33357.30,46762.50,KNY
2021-01-01 01:24:00,32527.41,-3972.54,33357.20,46762.60,KNY
2021-01-01 01:25:00,32527.39,-3972.73,33357.20,46762.50,KNY
2021-01-01 01:26:00,32527.09,-3972.69,33357.10,46762.30,KNY
2021-01-01 01:27:00,32526.98,-3972.77,33357.00,46762.20,KNY
2021-01-01 01:28:00,32526.95,-3972.96,33357.00,46762.10,KNY
2021-01-01 01:29:00,32526.85,-3973.05,33356.90,46762.00,KNY
2021-01-01 01:30:00,32526.85,-3973.05,33356.90,46762.00,KNY
2021-01-01 01:31:00,32526.83,-3973.24,33356.80,46761.90,KNY
2021-01-01 01:32:00,32526.81,-3973.33,33356.80,46761.90,KNY
2021-01-01 01:33:00,32526.90,-3973.44,33356.80,46762.00,KNY
2021-01-01 01:34:00,32526.98,-3973.64,33356.80,46762.00,KNY
2021-01-01 01:35:00,32526.98,-3973.64,33356.80,46762.00,KNY
2021-01-01 01:36:00,32526.96,-3973.73,33356.80,46762.00,KNY
2021-01-01 01:37:00,32527.04,-3973.93,33356.80,46762.10,KNY
2021-01-01 01:38:00,32527.01,-3974.12,33356.70,46762.10,KNY
2021-01-01 01:39:00,32527.19,-3974.34,33356.70,46762.10,KNY
2021-01-01 01:40:00,32527.07,-3974.51,33356.70,46762.10,KNY
2021-01-01 01:41:00,32527.15,-3974.72,33356.60,46762.10,KNY
2021-01-01 01:42:00,32527.14,-3974.81,33356.60,46762.10,KNY
2021-01-01 01:43:00,32527.21,-3975.01,33356.50,46762.10,KNY
2021-01-01 01:44:00,32527.30,-3975.12,33356.50,46762.20,KNY
2021-01-01 01:45:00,32527.27,-3975.31,33356.50,46762.20,KNY
2021-01-01 01:46:00,32527.46,-3975.43,33356.50,46762.20,KNY
2021-01-01 01:47:00,32527.54,-3975.63,33356.50,46762.30,KNY
2021-01-01 01:48:00,32527.41,-3975.80,33356.40,46762.30,KNY
2021-01-01 01:49:00,32527.49,-3976.01,33356.40,46762.30,KNY
2021-01-01 01:50:00,32527.67,-3976.22,33356.40,46762.40,KNY
2021-01-01 01:51:00,32527.75,-3976.33,33356.40,46762.50,KNY
2021-01-01 01:52:00,32527.74,-3976.42,33356.40,46762.50,KNY
2021-01-01 01:53:00,32527.82,-3976.62,33356.30,46762.50,KNY
2021-01-01 01:54:00,32527.90,-3976.82,33356.30,46762.60,KNY
2021-01-01 01:55:00,32527.87,-3977.01,33356.30,46762.60,KNY
2021-01-01 01:56:00,32528.05,-3977.23,33356.30,46762.70,KNY
2021-01-01 01:57:00,32528.02,-3977.42,33356.30,46762.70,KNY
2021-01-01 01:58:00,32528.20,-3977.63,33356.30,46762.80,KNY
2021-01-01 01:59:00,32528.28,-3977.83,33356.30,46762.90,KNY
2021-01-01 02:00:00,32528.35,-3978.03,33356.40,46763.10,KNY
2021-01-01 02:01:00,32528.44,-3978.14,33356.40,46763.10,KNY
2021-01-01 02:02:00,32528.51,-3978.34,33356.40,46763.20,KNY
2021-01-01 02:03:00,32528.69,-3978.55,33356.40,46763.40,KNY
2021-01-01 02:04:00,32528.88,-3978.67,33356.40,46763.50,KNY
2021-01-01 02:05:00,32529.07,-3978.79,33356.50,46763.70,KNY
2021-01-01 02:06:00,32529.25,-3978.91,33356.50,46763.80,KNY
2021-01-01 02:07:00,32529.44,-3979.03,33356.60,46764.00,KNY
2021-01-01 02:08:00,32529.53,-3979.14,33356.60,46764.10,KNY
2021-01-01 02:09:00,32529.60,-3979.34,33356.60,46764.20,KNY
2021-01-01 02:10:00,32529.68,-3979.54,33356.60,46764.30,KNY
2021-01-01 02:11:00,32529.77,-3979.65,33356.50,46764.30,KNY
2021-01-01 02:12:00,32529.84,-3979.85,33356.50,46764.30,KNY
2021-01-01 02:13:00,32529.91,-3980.14,33356.40,46764.30,KNY
2021-01-01 02:14:00,32529.99,-3980.34,33356.40,46764.40,KNY
2021-01-01 02:15:00,32530.16,-3980.56,33356.40,46764.50,KNY
2021-01-01 02:16:00,32530.23,-3980.76,33356.40,46764.60,KNY
2021-01-01 02:17:00,32530.21,-3980.95,33356.30,46764.50,KNY
2021-01-01 02:18:00,32530.17,-3981.23,33356.20,46764.40,KNY
2021-01-01 02:19:00,32530.15,-3981.42,33356.10,46764.40,KNY
2021-01-01 02:20:00,32530.22,-3981.72,33356.00,46764.40,KNY
2021-01-01 02:21:00,32530.28,-3982.01,33356.00,46764.50,KNY
2021-01-01 02:22:00,32530.56,-3982.24,33356.00,46764.60,KNY
2021-01-01 02:23:00,32530.62,-3982.54,33356.00,46764.80,KNY
2021-01-01 02:24:00,32530.70,-3982.74,33356.00,46764.80,KNY
2021-01-01 02:25:00,32530.75,-3983.13,33355.90,46764.80,KNY
2021-01-01 02:26:00,32530.61,-3983.49,33355.80,46764.70,KNY
2021-01-01 02:27:00,32530.57,-3983.78,33355.80,46764.60,KNY
2021-01-01 02:28:00,32530.51,-3984.25,33355.70,46764.60,KNY
2021-01-01 02:29:00,32530.46,-3984.72,33355.60,46764.50,KNY
2021-01-01 02:30:00,32530.12,-3984.97,33355.50,46764.20,KNY
2021-01-01 02:31:00,32529.88,-3985.33,33355.30,46764.00,KNY
2021-01-01 02:32:00,32529.64,-3985.59,33355.10,46763.70,KNY
2021-01-01 02:33:00,32529.59,-3985.96,33355.00,46763.60,KNY
2021-01-01 02:34:00,32529.45,-3986.33,33354.90,46763.50,KNY
2021-01-01 02:35:00,32529.50,-3986.72,33354.90,46763.50,KNY
2021-01-01 02:36:00,32529.66,-3987.12,33354.90,46763.60,KNY
2021-01-01 02:37:00,32529.62,-3987.41,33354.90,46763.70,KNY
2021-01-01 02:38:00,32529.68,-3987.70,33354.90,46763.70,KNY
2021-01-01 02:39:00,32529.75,-3988.00,33354.90,46763.80,KNY
2021-01-01 02:40:00,32529.81,-3988.30,33354.90,46763.90,KNY
2021-01-01 02:41:00,32529.78,-3988.58,33354.90,46763.90,KNY
2021-01-01 02:42:00,32529.95,-3988.89,33354.90,46764.00,KNY
2021-01-01 02:43:00,32530.01,-3989.18,33355.00,46764.10,KNY
2021-01-01 02:44:00,32529.98,-3989.37,33355.00,46764.20,KNY
2021-01-01 02:45:00,32530.05,-3989.67,33355.10,46764.30,KNY
2021-01-01 02:46:00,32530.03,-3989.86,33355.10,46764.30,KNY
2021-01-01 02:47:00,32529.99,-3990.14,33355.10,46764.30,KNY
2021-01-01 02:48:00,32529.97,-3990.33,33355.10,46764.30,KNY
2021-01-01 02:49:00,32529.95,-3990.52,33355.10,46764.30,KNY
2021-01-01 02:50:00,32530.01,-3990.82,33355.20,46764.50,KNY
2021-01-01 02:51:00,32530.08,-3991.02,33355.30,46764.60,KNY
2021-01-01 02:52:00,32530.17,-3991.13,33355.30,46764.60,KNY
2021-01-01 02:53:00,32530.14,-3991.41,33355.40,46764.70,KNY
2021-01-01 02:54:00,32530.11,-3991.69,33355.40,46764.80,KNY
2021-01-01 02:55:00,32530.08,-3991.88,33355.40,46764.80,KNY
2021-01-01 02:56:00,32530.07,-3991.98,33355.50,46764.80,KNY
2021-01-01 02:57:00,32529.95,-3992.15,33355.50,46764.80,KNY
2021-01-01 02:58:00,32529.92,-3992.34,33355.60,46764.80,KNY
2021-01-01 02:59:00,32530.01,-3992.45,33355.60,46764.90,KNY
2021-01-01 03:00:00,32530.17,-3992.76,33355.70,46765.10,KNY
2021-01-01 03:01:00,32530.45,-3992.98,33355.90,46765.50,KNY
2021-01-01 03:02:00,32530.55,-3993.00,33356.10,46765.70,KNY
2021-01-01 03:03:00,32530.74,-3993.11,33356.30,46765.90,KNY
2021-01-01 03:04:00,32530.82,-3993.22,33356.50,46766.10,KNY
2021-01-01 03:05:00,32530.82,-3993.22,33356.60,46766.20,KNY
2021-01-01 03:06:00,32530.80,-3993.41,33356.70,46766.20,KNY
2021-01-01 03:07:00,32530.59,-3993.48,33356.80,46766.20,KNY
2021-01-01 03:08:00,32530.57,-3993.67,33356.80,46766.20,KNY
2021-01-01 03:09:00,32530.54,-3993.86,33356.90,46766.30,KNY
2021-01-01 03:10:00,32530.52,-3994.05,33357.00,46766.30,KNY
2021-01-01 03:11:00,32530.50,-3994.24,33357.10,46766.40,KNY
2021-01-01 03:12:00,32530.37,-3994.42,33357.10,46766.40,KNY
2021-01-01 03:13:00,32530.35,-3994.60,33357.20,46766.50,KNY
2021-01-01 03:14:00,32530.44,-3994.71,33357.30,46766.60,KNY
2021-01-01 03:15:00,32530.42,-3994.90,33357.40,46766.70,KNY
2021-01-01 03:16:00,32530.50,-3995.01,33357.50,46766.80,KNY
2021-01-01 03:17:00,32530.59,-3995.11,33357.60,46767.00,KNY
2021-01-01 03:18:00,32530.68,-3995.22,33357.70,46767.10,KNY
