Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,26544.69,-8652.03,6364.04,28635.30,KOU
2021-01-01 00:01:00,26544.90,-8652.01,6363.83,28635.40,KOU
2021-01-01 00:02:00,26545.10,-8652.07,6363.69,28635.58,KOU
2021-01-01 00:03:00,26545.35,-8652.04,6363.61,28635.75,KOU
2021-01-01 00:04:00,26545.40,-8651.96,6363.46,28635.76,KOU
2021-01-01 00:05:00,26545.55,-8651.94,6363.32,28635.87,KOU
2021-01-01 00:06:00,26545.52,-8651.94,6363.35,28635.83,KOU
2021-01-01 00:07:00,26545.52,-8651.91,6363.34,28635.81,KOU
2021-01-01 00:08:00,26545.59,-8651.99,6363.38,28635.95,KOU
2021-01-01 00:09:00,26545.50,-8652.18,6363.53,28635.92,KOU
2021-01-01 00:10:00,26545.30,-8652.23,6363.69,28635.78,KOU
2021-01-01 00:11:00,26545.10,-8652.30,6363.88,28635.65,KOU
2021-01-01 00:12:00,26545.02,-8652.33,6363.94,28635.60,KOU
2021-01-01 00:13:00,26544.93,-8652.27,6363.91,28635.55,KOU
2021-01-01 00:14:00,26544.97,-8652.25,6363.83,28635.48,KOU
2021-01-01 00:15:00,26545.12,-8652.27,6363.69,28635.56,KOU
2021-01-01 00:16:00,26545.09,-8652.26,6363.69,28635.51,KOU
2021-01-01 00:17:00,26545.03,-8652.19,6363.62,28635.51,KOU
2021-01-01 00:18:00,26544.86,-8652.18,6363.65,28635.39,KOU
2021-01-01 00:19:00,26544.88,-8652.06,6363.57,28635.36,KOU
2021-01-01 00:20:00,26544.90,-8652.04,6363.53,28635.32,KOU
2021-01-01 00:21:00,26544.86,-8652.04,6363.47,28635.25,KOU
2021-01-01 00:22:00,26544.94,-8651.91,6363.35,28635.25,KOU
2021-01-01 00:23:00,26544.94,-8651.83,6363.21,28635.19,KOU
2021-01-01 00:24:00,26545.08,-8651.72,6363.06,28635.24,KOU
2021-01-01 00:25:00,26545.22,-8651.72,6363.01,28635.32,KOU
2021-01-01 00:26:00,26545.48,-8651.76,6362.93,28635.48,KOU
2021-01-01 00:27:00,26545.49,-8651.87,6363.05,28635.59,KOU
2021-01-01 00:28:00,26545.38,-8651.99,6363.15,28635.58,KOU
2021-01-01 00:29:00,26545.31,-8651.95,6363.16,28635.55,KOU
2021-01-01 00:30:00,26545.29,-8651.93,6363.16,28635.50,KOU
2021-01-01 00:31:00,26545.31,-8651.78,6363.11,28635.47,KOU
2021-01-01 00:32:00,26545.30,-8651.71,6363.08,28635.40,KOU
2021-01-01 00:33:00,26545.38,-8651.72,6363.04,28635.44,KOU
2021-01-01 00:34:00,26545.37,-8651.77,6363.04,28635.46,KOU
2021-01-01 00:35:00,26545.41,-8651.75,6363.04,28635.50,KOU
